r_t1, r_t2, c_prob, c_prob_epoch_t0, c_prob_epoch_t1, cp, obs_cp, mu_rewards, std_rewards
5.954610,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
2.656908,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.237069,0.333333,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
0.000000,5.301580,0.500000,0.500000,0.500000,0.000000,0.000000,3.000000,1.000000
3.440301,0.000000,0.400000,0.600000,0.400000,0.000000,1.000000,3.000000,1.000000
0.000000,3.026008,0.500000,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
0.000000,2.185486,0.571429,0.428571,0.571429,0.000000,0.000000,3.000000,1.000000
0.000000,3.464520,0.625000,0.375000,0.625000,0.000000,0.000000,3.000000,1.000000
0.000000,3.554262,0.666667,0.333333,0.666667,0.000000,0.000000,3.000000,1.000000
0.000000,4.319731,0.700000,0.300000,0.700000,0.000000,0.000000,3.000000,1.000000
0.000000,4.312374,0.727273,0.272727,0.727273,0.000000,0.000000,3.000000,1.000000
4.492166,0.000000,0.666667,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
3.381471,0.000000,0.615385,0.384615,0.615385,0.000000,0.000000,3.000000,1.000000
0.000000,2.040590,0.642857,0.357143,0.642857,0.000000,1.000000,3.000000,1.000000
0.000000,0.834170,0.666667,0.333333,0.666667,0.000000,0.000000,3.000000,1.000000
2.119650,0.000000,0.625000,0.375000,0.625000,0.000000,1.000000,3.000000,1.000000
0.000000,3.047282,0.647059,0.352941,0.647059,0.000000,1.000000,3.000000,1.000000
3.927219,0.000000,0.611111,0.388889,0.611111,0.000000,1.000000,3.000000,1.000000
0.000000,2.274140,0.631579,0.368421,0.631579,0.000000,1.000000,3.000000,1.000000
4.245048,0.000000,0.600000,0.400000,0.600000,0.000000,1.000000,3.000000,1.000000
4.302605,0.000000,0.571429,0.428571,0.571429,0.000000,0.000000,3.000000,1.000000
0.000000,2.318528,0.590909,0.409091,0.590909,0.000000,1.000000,3.000000,1.000000
2.086945,0.000000,0.565217,0.434783,0.565217,0.000000,1.000000,3.000000,1.000000
