r_t1, r_t2, c_prob, c_prob_epoch_t0, c_prob_epoch_t1,cp, obs_cp, mu_rewards, std_rewards
0.000000,2.615238,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,4.427355,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.567405,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,1.913197,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,2.854228,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,1.818109,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.513579,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.992130,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.089127,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,2.922522,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,2.735947,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,1.785569,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,2.043842,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.390751,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,2.790513,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
2.958005,0.000000,0.937500,0.062500,0.937500,0.000000,1.000000,3.000000,1.000000
0.000000,3.707437,0.941176,0.058824,0.941176,0.000000,1.000000,3.000000,1.000000
0.000000,3.339104,0.944444,0.055556,0.944444,0.000000,0.000000,3.000000,1.000000
0.000000,1.286121,0.947368,0.052632,0.947368,0.000000,0.000000,3.000000,1.000000
3.554370,0.000000,0.950000,1.000000,0.000000,1.000000,1.000000,3.000000,1.000000
3.114335,0.000000,0.952381,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.429396,0.909091,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
3.606665,0.000000,0.913043,0.750000,0.250000,0.000000,1.000000,3.000000,1.000000
2.827185,0.000000,0.916667,0.800000,0.200000,0.000000,0.000000,3.000000,1.000000
3.180955,0.000000,0.920000,0.833333,0.166667,0.000000,0.000000,3.000000,1.000000
2.271636,0.000000,0.923077,0.857143,0.142857,0.000000,0.000000,3.000000,1.000000
0.918970,0.000000,0.925926,0.875000,0.125000,0.000000,0.000000,3.000000,1.000000
3.983664,0.000000,0.928571,0.888889,0.111111,0.000000,0.000000,3.000000,1.000000
3.547650,0.000000,0.931034,0.900000,0.100000,0.000000,0.000000,3.000000,1.000000
2.247357,0.000000,0.933333,0.909091,0.090909,0.000000,0.000000,3.000000,1.000000
4.986613,0.000000,0.935484,0.916667,0.083333,0.000000,0.000000,3.000000,1.000000
3.124946,0.000000,0.937500,0.923077,0.076923,0.000000,0.000000,3.000000,1.000000
3.234923,0.000000,0.939394,0.928571,0.071429,0.000000,0.000000,3.000000,1.000000
2.812679,0.000000,0.941176,0.933333,0.066667,0.000000,0.000000,3.000000,1.000000
4.120610,0.000000,0.942857,0.937500,0.062500,0.000000,0.000000,3.000000,1.000000
3.867102,0.000000,0.944444,0.941176,0.058824,0.000000,0.000000,3.000000,1.000000
0.000000,4.522553,0.945946,0.000000,1.000000,1.000000,1.000000,3.000000,1.000000
0.000000,3.771190,0.947368,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,5.127857,0.948718,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,2.728793,0.950000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,0.428964,0.951220,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,5.109879,0.952381,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,4.514594,0.953488,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,2.099796,0.954545,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,1.475818,0.955556,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.875659,0.956522,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,2.340527,0.957447,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.980428,0.958333,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.121692,0.959184,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,1.164091,0.960000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,5.720709,0.960784,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,4.107735,0.961538,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.629164,0.962264,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
2.086952,0.000000,0.944444,0.055556,0.944444,0.000000,1.000000,3.000000,1.000000
0.000000,2.596661,0.945455,0.052632,0.947368,0.000000,1.000000,3.000000,1.000000
0.000000,2.213351,0.946429,0.050000,0.950000,0.000000,0.000000,3.000000,1.000000
0.000000,1.950997,0.947368,0.047619,0.952381,0.000000,0.000000,3.000000,1.000000
0.000000,3.121611,0.948276,0.045455,0.954545,0.000000,0.000000,3.000000,1.000000
0.000000,5.220668,0.949153,0.043478,0.956522,0.000000,0.000000,3.000000,1.000000
0.000000,3.227076,0.933333,0.000000,1.000000,1.000000,0.000000,3.000000,1.000000
2.643793,0.000000,0.934426,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
3.370394,0.000000,0.935484,0.666667,0.333333,0.000000,0.000000,3.000000,1.000000
3.888803,0.000000,0.936508,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
2.551943,0.000000,0.937500,0.800000,0.200000,0.000000,0.000000,3.000000,1.000000
3.235004,0.000000,0.938462,0.833333,0.166667,0.000000,0.000000,3.000000,1.000000
2.476286,0.000000,0.939394,0.857143,0.142857,0.000000,0.000000,3.000000,1.000000
3.833079,0.000000,0.940299,0.875000,0.125000,0.000000,0.000000,3.000000,1.000000
2.839496,0.000000,0.941176,0.888889,0.111111,0.000000,0.000000,3.000000,1.000000
2.609989,0.000000,0.942029,0.900000,0.100000,0.000000,0.000000,3.000000,1.000000
1.914431,0.000000,0.942857,0.909091,0.090909,0.000000,0.000000,3.000000,1.000000
5.154212,0.000000,0.943662,0.916667,0.083333,0.000000,0.000000,3.000000,1.000000
4.860068,0.000000,0.944444,0.923077,0.076923,0.000000,0.000000,3.000000,1.000000
4.476884,0.000000,0.945205,0.928571,0.071429,0.000000,0.000000,3.000000,1.000000
1.235486,0.000000,0.945946,0.933333,0.066667,0.000000,0.000000,3.000000,1.000000
0.000000,1.907038,0.933333,0.875000,0.125000,0.000000,1.000000,3.000000,1.000000
