r_t1, r_t2, c_prob, c_prob_epoch_t0, c_prob_epoch_t1, cp, obs_cp,mu_rewards, std_rewards
2.625758,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
0.000000,4.166653,0.500000,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
0.000000,3.401219,0.666667,0.333333,0.666667,0.000000,0.000000,3.000000,1.000000
0.000000,2.846335,0.750000,0.250000,0.750000,0.000000,0.000000,3.000000,1.000000
0.000000,2.758988,0.800000,0.200000,0.800000,0.000000,0.000000,3.000000,1.000000
0.000000,5.133789,0.833333,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
0.000000,4.617202,0.857143,0.142857,0.857143,0.000000,0.000000,3.000000,1.000000
0.000000,1.677122,0.875000,0.125000,0.875000,0.000000,0.000000,3.000000,1.000000
0.000000,3.004724,0.888889,0.111111,0.888889,0.000000,0.000000,3.000000,1.000000
2.542249,0.000000,0.800000,0.200000,0.800000,0.000000,1.000000,3.000000,1.000000
0.000000,3.236769,0.818182,0.181818,0.818182,0.000000,1.000000,3.000000,1.000000
0.000000,2.703501,0.833333,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
2.102207,0.000000,0.769231,0.230769,0.769231,0.000000,1.000000,3.000000,1.000000
0.000000,2.213859,0.785714,0.214286,0.785714,0.000000,1.000000,3.000000,1.000000
0.000000,3.016010,0.800000,0.200000,0.800000,0.000000,0.000000,3.000000,1.000000
0.000000,4.560535,0.812500,0.187500,0.812500,0.000000,0.000000,3.000000,1.000000
0.000000,3.409667,0.823529,0.176471,0.823529,0.000000,0.000000,3.000000,1.000000
0.000000,1.916958,0.833333,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
4.604426,0.000000,0.789474,0.210526,0.789474,0.000000,1.000000,3.000000,1.000000
0.000000,3.855464,0.800000,0.200000,0.800000,0.000000,1.000000,3.000000,1.000000
0.000000,0.162334,0.809524,0.190476,0.809524,0.000000,0.000000,3.000000,1.000000
0.000000,2.313682,0.818182,0.181818,0.818182,0.000000,0.000000,3.000000,1.000000
0.000000,4.272274,0.826087,0.173913,0.826087,0.000000,0.000000,3.000000,1.000000
0.000000,2.218259,0.833333,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
0.000000,3.033219,0.840000,0.160000,0.840000,0.000000,0.000000,3.000000,1.000000
0.000000,3.281050,0.846154,0.153846,0.846154,0.000000,0.000000,3.000000,1.000000
0.000000,2.641866,0.851852,0.148148,0.851852,0.000000,0.000000,3.000000,1.000000
0.000000,3.013496,0.857143,0.142857,0.857143,0.000000,0.000000,3.000000,1.000000
0.000000,3.242411,0.862069,0.137931,0.862069,0.000000,0.000000,3.000000,1.000000
1.114175,0.000000,0.833333,0.166667,0.833333,0.000000,1.000000,3.000000,1.000000
0.000000,2.361061,0.838710,0.161290,0.838710,0.000000,1.000000,3.000000,1.000000
0.000000,3.829442,0.843750,0.156250,0.843750,0.000000,0.000000,3.000000,1.000000
0.000000,3.092601,0.848485,0.151515,0.848485,0.000000,0.000000,3.000000,1.000000
3.091396,0.000000,0.852941,1.000000,0.000000,1.000000,1.000000,3.000000,1.000000
2.778423,0.000000,0.857143,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
0.000000,1.081827,0.833333,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
4.634795,0.000000,0.837838,0.750000,0.250000,0.000000,1.000000,3.000000,1.000000
3.419897,0.000000,0.842105,0.800000,0.200000,0.000000,0.000000,3.000000,1.000000
3.323244,0.000000,0.846154,0.833333,0.166667,0.000000,0.000000,3.000000,1.000000
4.198237,0.000000,0.850000,0.857143,0.142857,0.000000,0.000000,3.000000,1.000000
3.431973,0.000000,0.853659,0.875000,0.125000,0.000000,0.000000,3.000000,1.000000
2.503278,0.000000,0.857143,0.888889,0.111111,0.000000,0.000000,3.000000,1.000000
3.313476,0.000000,0.860465,0.900000,0.100000,0.000000,0.000000,3.000000,1.000000
2.659392,0.000000,0.863636,0.909091,0.090909,0.000000,0.000000,3.000000,1.000000
3.340886,0.000000,0.866667,0.916667,0.083333,0.000000,0.000000,3.000000,1.000000
2.091716,0.000000,0.869565,0.923077,0.076923,0.000000,0.000000,3.000000,1.000000
2.386253,0.000000,0.872340,0.928571,0.071429,0.000000,0.000000,3.000000,1.000000
3.103686,0.000000,0.875000,0.933333,0.066667,0.000000,0.000000,3.000000,1.000000
4.594076,0.000000,0.877551,0.937500,0.062500,0.000000,0.000000,3.000000,1.000000
0.000000,3.515316,0.860000,0.882353,0.117647,0.000000,1.000000,3.000000,1.000000
3.314363,0.000000,0.862745,0.888889,0.111111,0.000000,1.000000,3.000000,1.000000
3.098181,0.000000,0.865385,0.894737,0.105263,0.000000,0.000000,3.000000,1.000000
3.782338,0.000000,0.867925,0.900000,0.100000,0.000000,0.000000,3.000000,1.000000
0.000000,4.338911,0.851852,0.857143,0.142857,0.000000,1.000000,3.000000,1.000000
