"r_t1","r_t2","c_prob","c_prob_epoch_t0","c_prob_epoch_t1","cp","obs_cp","mu_rewards","std_rewards","condition","trial","trialset","epoch_n","ID","p_id_solution","t0_p","t1_p","epoch_trial"
3.924626,0,0,1,0,0,0,3,1,"hc",1,"53",0,814,111,0.35,0.65,1
0,4.431682,0.5,0.5,0.5,0,1,3,1,"hc",2,"53",0,814,111,0.35,0.65,2
3.422947,0,0.333333,0.666667,0.333333,0,1,3,1,"hc",3,"53",0,814,111,0.35,0.65,3
1.789855,0,0.25,0.75,0.25,0,0,3,1,"hc",4,"53",0,814,111,0.35,0.65,4
0,5.767983,0.4,0.6,0.4,0,1,3,1,"hc",5,"53",0,814,111,0.35,0.65,5
0,1.903892,0.5,0.5,0.5,0,0,3,1,"hc",6,"53",0,814,111,0.35,0.65,6
0,1.651267,0.571429,0.428571,0.571429,0,0,3,1,"hc",7,"53",0,814,111,0.35,0.65,7
0,3.009921,0.625,0.375,0.625,0,0,3,1,"hc",8,"53",0,814,111,0.35,0.65,8
2.342017,0,0.555556,0.444444,0.555556,0,1,3,1,"hc",9,"53",0,814,111,0.35,0.65,9
0,3.021576,0.6,0.4,0.6,0,1,3,1,"hc",10,"53",0,814,111,0.35,0.65,10
0,2.363673,0.636364,0.363636,0.636364,0,0,3,1,"hc",11,"53",0,814,111,0.35,0.65,11
2.795584,0,0.583333,0.416667,0.583333,0,1,3,1,"hc",12,"53",0,814,111,0.35,0.65,12
0,1.508975,0.615385,0.384615,0.615385,0,1,3,1,"hc",13,"53",0,814,111,0.35,0.65,13
0,4.303033,0.642857,0.357143,0.642857,0,0,3,1,"hc",14,"53",0,814,111,0.35,0.65,14
0,0.315726,0.666667,0.333333,0.666667,0,0,3,1,"hc",15,"53",0,814,111,0.35,0.65,15
2.959341,0,0.625,0.375,0.625,0,1,3,1,"hc",16,"53",0,814,111,0.35,0.65,16
0,2.912527,0.647059,0.352941,0.647059,0,1,3,1,"hc",17,"53",0,814,111,0.35,0.65,17
0,2.509149,0.666667,0.333333,0.666667,0,0,3,1,"hc",18,"53",0,814,111,0.35,0.65,18
0,1.665481,0.684211,0.315789,0.684211,0,0,3,1,"hc",19,"53",0,814,111,0.35,0.65,19
2.412938,0,0.65,0.35,0.65,0,1,3,1,"hc",20,"53",0,814,111,0.35,0.65,20
