"r_t1","r_t2","c_prob","c_prob_epoch_t0","c_prob_epoch_t1","cp","obs_cp","mu_rewards","std_rewards","condition","trial","trialset","epoch_n","ID","p_id_solution","t0_p","t1_p","epoch_trial"
0,4.201077,1,0,1,0,0,3,1,"hv",1,"40",0,801,111,0.25,0.75,1
0,2.28959,1,0,1,0,0,3,1,"hv",2,"40",0,801,111,0.25,0.75,2
0,2.136995,1,0,1,0,0,3,1,"hv",3,"40",0,801,111,0.25,0.75,3
0,2.815755,1,0,1,0,0,3,1,"hv",4,"40",0,801,111,0.25,0.75,4
0,1.176773,1,0,1,0,0,3,1,"hv",5,"40",0,801,111,0.25,0.75,5
0,0.351191,1,0,1,0,0,3,1,"hv",6,"40",0,801,111,0.25,0.75,6
3.719306,0,1,1,0,1,1,3,1,"hv",7,"40",1,801,112,0.75,0.25,1
2.788518,0,1,1,0,0,0,3,1,"hv",8,"40",1,801,112,0.75,0.25,2
4.002591,0,1,1,0,0,0,3,1,"hv",9,"40",1,801,112,0.75,0.25,3
4.713403,0,1,1,0,0,0,3,1,"hv",10,"40",1,801,112,0.75,0.25,4
2.52661,0,1,1,0,0,0,3,1,"hv",11,"40",1,801,112,0.75,0.25,5
1.098592,0,1,1,0,0,0,3,1,"hv",12,"40",1,801,112,0.75,0.25,6
3.765437,0,1,1,0,0,0,3,1,"hv",13,"40",1,801,112,0.75,0.25,7
0,2.592268,0.928571,0.875,0.125,0,1,3,1,"hv",14,"40",1,801,112,0.75,0.25,8
3.109407,0,0.933333,0.888889,0.111111,0,1,3,1,"hv",15,"40",1,801,112,0.75,0.25,9
1.583,0,0.9375,0.9,0.1,0,0,3,1,"hv",16,"40",1,801,112,0.75,0.25,10
0,3.19228,0.882353,0.818182,0.181818,0,1,3,1,"hv",17,"40",1,801,112,0.75,0.25,11
0,3.927675,0.833333,0.75,0.25,0,0,3,1,"hv",18,"40",1,801,112,0.75,0.25,12
0,2.600623,0.789474,0.692308,0.307692,0,0,3,1,"hv",19,"40",1,801,112,0.75,0.25,13
3.586068,0,0.8,0.714286,0.285714,0,1,3,1,"hv",20,"40",1,801,112,0.75,0.25,14
3.178332,0,0.809524,0.733333,0.266667,0,0,3,1,"hv",21,"40",1,801,112,0.75,0.25,15
0,4.597011,0.772727,0.6875,0.3125,0,1,3,1,"hv",22,"40",1,801,112,0.75,0.25,16
3.818451,0,0.73913,1,0,1,1,3,1,"hv",23,"40",2,801,111,0.25,0.75,1
0,1.383197,0.75,0.5,0.5,0,1,3,1,"hv",24,"40",2,801,111,0.25,0.75,2
0,3.743085,0.76,0.333333,0.666667,0,0,3,1,"hv",25,"40",2,801,111,0.25,0.75,3
0,2.404609,0.769231,0.25,0.75,0,0,3,1,"hv",26,"40",2,801,111,0.25,0.75,4
0,3.156043,0.777778,0.2,0.8,0,0,3,1,"hv",27,"40",2,801,111,0.25,0.75,5
0,2.676653,0.785714,0.166667,0.833333,0,0,3,1,"hv",28,"40",2,801,111,0.25,0.75,6
0,3.116903,0.793103,0.142857,0.857143,0,0,3,1,"hv",29,"40",2,801,111,0.25,0.75,7
0,3.405893,0.8,0.125,0.875,0,0,3,1,"hv",30,"40",2,801,111,0.25,0.75,8
1.622941,0,0.774194,0.222222,0.777778,0,1,3,1,"hv",31,"40",2,801,111,0.25,0.75,9
4.439232,0,0.75,0.3,0.7,0,0,3,1,"hv",32,"40",2,801,111,0.25,0.75,10
3.512773,0,0.727273,0.363636,0.636364,0,0,3,1,"hv",33,"40",2,801,111,0.25,0.75,11
0,2.768878,0.735294,0.333333,0.666667,0,1,3,1,"hv",34,"40",2,801,111,0.25,0.75,12
0,2.866262,0.742857,0.307692,0.692308,0,0,3,1,"hv",35,"40",2,801,111,0.25,0.75,13
0,2.82782,0.75,0.285714,0.714286,0,0,3,1,"hv",36,"40",2,801,111,0.25,0.75,14
0.693289,0,0.72973,0.333333,0.666667,0,1,3,1,"hv",37,"40",2,801,111,0.25,0.75,15
4.033371,0,0.710526,0.375,0.625,0,0,3,1,"hv",38,"40",2,801,111,0.25,0.75,16
0,2.57837,0.692308,0,1,1,1,3,1,"hv",39,"40",3,801,112,0.75,0.25,1
2.905094,0,0.7,0.5,0.5,0,1,3,1,"hv",40,"40",3,801,112,0.75,0.25,2
