"r_t1","r_t2","c_prob","c_prob_epoch_t0","c_prob_epoch_t1","cp","obs_cp","mu_rewards","std_rewards","condition","trial","trialset","epoch_n","ID","p_id_solution","t0_p","t1_p","epoch_trial"
0,2.488048,1,0,1,0,0,3,1,"lc",1,"23",0,784,111,0.15,0.85,1
0,1.752512,1,0,1,0,0,3,1,"lc",2,"23",0,784,111,0.15,0.85,2
0,3.683347,1,0,1,0,0,3,1,"lc",3,"23",0,784,111,0.15,0.85,3
0,2.365284,1,0,1,0,0,3,1,"lc",4,"23",0,784,111,0.15,0.85,4
0,2.178238,1,0,1,0,0,3,1,"lc",5,"23",0,784,111,0.15,0.85,5
0,2.361245,1,0,1,0,0,3,1,"lc",6,"23",0,784,111,0.15,0.85,6
0,2.153168,1,0,1,0,0,3,1,"lc",7,"23",0,784,111,0.15,0.85,7
0,1.877719,1,0,1,0,0,3,1,"lc",8,"23",0,784,111,0.15,0.85,8
0,1.495901,1,0,1,0,0,3,1,"lc",9,"23",0,784,111,0.15,0.85,9
2.352679,0,0.9,0.1,0.9,0,1,3,1,"lc",10,"23",0,784,111,0.15,0.85,10
3.795295,0,0.818182,0.181818,0.818182,0,0,3,1,"lc",11,"23",0,784,111,0.15,0.85,11
0,2.959447,0.833333,0.166667,0.833333,0,1,3,1,"lc",12,"23",0,784,111,0.15,0.85,12
2.206258,0,0.769231,0.230769,0.769231,0,1,3,1,"lc",13,"23",0,784,111,0.15,0.85,13
0,2.973297,0.785714,0.214286,0.785714,0,1,3,1,"lc",14,"23",0,784,111,0.15,0.85,14
0,1.715574,0.8,0.2,0.8,0,0,3,1,"lc",15,"23",0,784,111,0.15,0.85,15
0,3.801297,0.8125,0.1875,0.8125,0,0,3,1,"lc",16,"23",0,784,111,0.15,0.85,16
0,1.023346,0.823529,0.176471,0.823529,0,0,3,1,"lc",17,"23",0,784,111,0.15,0.85,17
0,4.262158,0.833333,0.166667,0.833333,0,0,3,1,"lc",18,"23",0,784,111,0.15,0.85,18
0,2.122466,0.842105,0.157895,0.842105,0,0,3,1,"lc",19,"23",0,784,111,0.15,0.85,19
2.485411,0,0.8,0.2,0.8,0,1,3,1,"lc",20,"23",0,784,111,0.15,0.85,20
0,3.688639,0.809524,0.190476,0.809524,0,1,3,1,"lc",21,"23",0,784,111,0.15,0.85,21
0,2.201029,0.818182,0.181818,0.818182,0,0,3,1,"lc",22,"23",0,784,111,0.15,0.85,22
0,3.321844,0.826087,0.173913,0.826087,0,0,3,1,"lc",23,"23",0,784,111,0.15,0.85,23
0,4.398265,0.833333,0.166667,0.833333,0,0,3,1,"lc",24,"23",0,784,111,0.15,0.85,24
0,2.90603,0.84,0.16,0.84,0,0,3,1,"lc",25,"23",0,784,111,0.15,0.85,25
0,2.15267,0.846154,0.153846,0.846154,0,0,3,1,"lc",26,"23",0,784,111,0.15,0.85,26
0,2.584152,0.851852,0.148148,0.851852,0,0,3,1,"lc",27,"23",0,784,111,0.15,0.85,27
0,2.790111,0.857143,0.142857,0.857143,0,0,3,1,"lc",28,"23",0,784,111,0.15,0.85,28
0,4.22376,0.862069,0.137931,0.862069,0,0,3,1,"lc",29,"23",0,784,111,0.15,0.85,29
0,3.921535,0.866667,0.133333,0.866667,0,0,3,1,"lc",30,"23",0,784,111,0.15,0.85,30
0,3.751673,0.870968,0.129032,0.870968,0,0,3,1,"lc",31,"23",0,784,111,0.15,0.85,31
0,1.354375,0.875,0.125,0.875,0,0,3,1,"lc",32,"23",0,784,111,0.15,0.85,32
0,3.933628,0.878788,0.121212,0.878788,0,0,3,1,"lc",33,"23",0,784,111,0.15,0.85,33
0,3.093853,0.882353,0.117647,0.882353,0,0,3,1,"lc",34,"23",0,784,111,0.15,0.85,34
3.612639,0,0.885714,1,0,1,1,3,1,"lc",35,"23",1,784,112,0.85,0.15,1
4.53537,0,0.888889,1,0,0,0,3,1,"lc",36,"23",1,784,112,0.85,0.15,2
4.829513,0,0.891892,1,0,0,0,3,1,"lc",37,"23",1,784,112,0.85,0.15,3
3.468514,0,0.894737,1,0,0,0,3,1,"lc",38,"23",1,784,112,0.85,0.15,4
4.023257,0,0.897436,1,0,0,0,3,1,"lc",39,"23",1,784,112,0.85,0.15,5
3.463315,0,0.9,1,0,0,0,3,1,"lc",40,"23",1,784,112,0.85,0.15,6
1.247043,0,0.902439,1,0,0,0,3,1,"lc",41,"23",1,784,112,0.85,0.15,7
2.715856,0,0.904762,1,0,0,0,3,1,"lc",42,"23",1,784,112,0.85,0.15,8
3.457663,0,0.906977,1,0,0,0,3,1,"lc",43,"23",1,784,112,0.85,0.15,9
3.291754,0,0.909091,1,0,0,0,3,1,"lc",44,"23",1,784,112,0.85,0.15,10
2.467804,0,0.911111,1,0,0,0,3,1,"lc",45,"23",1,784,112,0.85,0.15,11
3.982979,0,0.913043,1,0,0,0,3,1,"lc",46,"23",1,784,112,0.85,0.15,12
3.279404,0,0.914894,1,0,0,0,3,1,"lc",47,"23",1,784,112,0.85,0.15,13
3.886184,0,0.916667,1,0,0,0,3,1,"lc",48,"23",1,784,112,0.85,0.15,14
1.759523,0,0.918367,1,0,0,0,3,1,"lc",49,"23",1,784,112,0.85,0.15,15
0,3.529376,0.9,0.9375,0.0625,0,1,3,1,"lc",50,"23",1,784,112,0.85,0.15,16
4.259998,0,0.901961,0.941176,0.058824,0,1,3,1,"lc",51,"23",1,784,112,0.85,0.15,17
0,3.455348,0.884615,0.888889,0.111111,0,1,3,1,"lc",52,"23",1,784,112,0.85,0.15,18
2.418365,0,0.886792,0.894737,0.105263,0,1,3,1,"lc",53,"23",1,784,112,0.85,0.15,19
2.771505,0,0.888889,0.9,0.1,0,0,3,1,"lc",54,"23",1,784,112,0.85,0.15,20
3.261715,0,0.890909,0.904762,0.095238,0,0,3,1,"lc",55,"23",1,784,112,0.85,0.15,21
2.774214,0,0.875,1,0,1,0,3,1,"lc",56,"23",2,784,111,0.15,0.85,1
0,1.038502,0.877193,0.5,0.5,0,1,3,1,"lc",57,"23",2,784,111,0.15,0.85,2
0,5.005002,0.87931,0.333333,0.666667,0,0,3,1,"lc",58,"23",2,784,111,0.15,0.85,3
0,3.419332,0.881356,0.25,0.75,0,0,3,1,"lc",59,"23",2,784,111,0.15,0.85,4
0,4.186364,0.883333,0.2,0.8,0,0,3,1,"lc",60,"23",2,784,111,0.15,0.85,5
2.775411,0,0.868852,0.333333,0.666667,0,1,3,1,"lc",61,"23",2,784,111,0.15,0.85,6
0,4.30301,0.870968,0.285714,0.714286,0,1,3,1,"lc",62,"23",2,784,111,0.15,0.85,7
0,3.036054,0.873016,0.25,0.75,0,0,3,1,"lc",63,"23",2,784,111,0.15,0.85,8
0,2.083015,0.875,0.222222,0.777778,0,0,3,1,"lc",64,"23",2,784,111,0.15,0.85,9
0,3.556575,0.876923,0.2,0.8,0,0,3,1,"lc",65,"23",2,784,111,0.15,0.85,10
0,3.109477,0.878788,0.181818,0.818182,0,0,3,1,"lc",66,"23",2,784,111,0.15,0.85,11
0,1.180713,0.880597,0.166667,0.833333,0,0,3,1,"lc",67,"23",2,784,111,0.15,0.85,12
0,2.614248,0.882353,0.153846,0.846154,0,0,3,1,"lc",68,"23",2,784,111,0.15,0.85,13
3.478858,0,0.869565,0.214286,0.785714,0,1,3,1,"lc",69,"23",2,784,111,0.15,0.85,14
0,3.805717,0.871429,0.2,0.8,0,1,3,1,"lc",70,"23",2,784,111,0.15,0.85,15
0,3.175645,0.873239,0.1875,0.8125,0,0,3,1,"lc",71,"23",2,784,111,0.15,0.85,16
0,2.699906,0.875,0.176471,0.823529,0,0,3,1,"lc",72,"23",2,784,111,0.15,0.85,17
0,4.832715,0.876712,0.166667,0.833333,0,0,3,1,"lc",73,"23",2,784,111,0.15,0.85,18
3.153461,0,0.864865,0.210526,0.789474,0,1,3,1,"lc",74,"23",2,784,111,0.15,0.85,19
0,2.336163,0.866667,0.2,0.8,0,1,3,1,"lc",75,"23",2,784,111,0.15,0.85,20
4.087645,0,0.855263,0.238095,0.761905,0,1,3,1,"lc",76,"23",2,784,111,0.15,0.85,21
0,1.483529,0.857143,0.227273,0.772727,0,1,3,1,"lc",77,"23",2,784,111,0.15,0.85,22
0,2.051333,0.858974,0.217391,0.782609,0,0,3,1,"lc",78,"23",2,784,111,0.15,0.85,23
3.536301,0,0.848101,0.25,0.75,0,1,3,1,"lc",79,"23",2,784,111,0.15,0.85,24
0,2.139505,0.85,0.24,0.76,0,1,3,1,"lc",80,"23",2,784,111,0.15,0.85,25
3.147618,0,0.839506,0.269231,0.730769,0,1,3,1,"lc",81,"23",2,784,111,0.15,0.85,26
