"r_t1","r_t2","c_prob","c_prob_epoch_t0","c_prob_epoch_t1","cp","obs_cp","mu_rewards","std_rewards","condition","trial","trialset","epoch_n","ID","p_id_solution","t0_p","t1_p","epoch_trial"
3.578751,0,0,1,0,0,0,3,1,"lv",1,"23",0,784,111,0.25,0.75,1
0,3.558765,0.5,0.5,0.5,0,1,3,1,"lv",2,"23",0,784,111,0.25,0.75,2
0,1.483574,0.666667,0.333333,0.666667,0,0,3,1,"lv",3,"23",0,784,111,0.25,0.75,3
0,2.934714,0.75,0.25,0.75,0,0,3,1,"lv",4,"23",0,784,111,0.25,0.75,4
3.530668,0,0.6,0.4,0.6,0,1,3,1,"lv",5,"23",0,784,111,0.25,0.75,5
0,3.151961,0.666667,0.333333,0.666667,0,1,3,1,"lv",6,"23",0,784,111,0.25,0.75,6
0,2.222356,0.714286,0.285714,0.714286,0,0,3,1,"lv",7,"23",0,784,111,0.25,0.75,7
0,2.973063,0.75,0.25,0.75,0,0,3,1,"lv",8,"23",0,784,111,0.25,0.75,8
0,3.84994,0.777778,0.222222,0.777778,0,0,3,1,"lv",9,"23",0,784,111,0.25,0.75,9
0,1.321404,0.8,0.2,0.8,0,0,3,1,"lv",10,"23",0,784,111,0.25,0.75,10
0,2.882735,0.818182,0.181818,0.818182,0,0,3,1,"lv",11,"23",0,784,111,0.25,0.75,11
2.373656,0,0.75,0.25,0.75,0,1,3,1,"lv",12,"23",0,784,111,0.25,0.75,12
0,2.514524,0.769231,0.230769,0.769231,0,1,3,1,"lv",13,"23",0,784,111,0.25,0.75,13
0,2.091727,0.785714,0.214286,0.785714,0,0,3,1,"lv",14,"23",0,784,111,0.25,0.75,14
0,0.845411,0.8,0.2,0.8,0,0,3,1,"lv",15,"23",0,784,111,0.25,0.75,15
0,2.994777,0.8125,0.1875,0.8125,0,0,3,1,"lv",16,"23",0,784,111,0.25,0.75,16
0,1.743782,0.823529,0.176471,0.823529,0,0,3,1,"lv",17,"23",0,784,111,0.25,0.75,17
0,2.927435,0.833333,0.166667,0.833333,0,0,3,1,"lv",18,"23",0,784,111,0.25,0.75,18
0,3.602028,0.842105,0.157895,0.842105,0,0,3,1,"lv",19,"23",0,784,111,0.25,0.75,19
2.390181,0,0.8,0.2,0.8,0,1,3,1,"lv",20,"23",0,784,111,0.25,0.75,20
0,2.563132,0.809524,0.190476,0.809524,0,1,3,1,"lv",21,"23",0,784,111,0.25,0.75,21
0,2.338502,0.818182,0.181818,0.818182,0,0,3,1,"lv",22,"23",0,784,111,0.25,0.75,22
0,4.639108,0.826087,0.173913,0.826087,0,0,3,1,"lv",23,"23",0,784,111,0.25,0.75,23
0,2.989924,0.833333,0.166667,0.833333,0,0,3,1,"lv",24,"23",0,784,111,0.25,0.75,24
3.022722,0,0.8,0.2,0.8,0,1,3,1,"lv",25,"23",0,784,111,0.25,0.75,25
3.27795,0,0.769231,0.230769,0.769231,0,0,3,1,"lv",26,"23",0,784,111,0.25,0.75,26
0,0.544315,0.777778,0.222222,0.777778,0,1,3,1,"lv",27,"23",0,784,111,0.25,0.75,27
3.312217,0,0.75,0.25,0.75,0,1,3,1,"lv",28,"23",0,784,111,0.25,0.75,28
3.785307,0,0.724138,0.275862,0.724138,0,0,3,1,"lv",29,"23",0,784,111,0.25,0.75,29
0,3.398201,0.733333,0.266667,0.733333,0,1,3,1,"lv",30,"23",0,784,111,0.25,0.75,30
1.664876,0,0.709677,0.290323,0.709677,0,1,3,1,"lv",31,"23",0,784,111,0.25,0.75,31
0,3.011251,0.71875,0.28125,0.71875,0,1,3,1,"lv",32,"23",0,784,111,0.25,0.75,32
-1.476029,0,0.727273,0,1,1,1,3,1,"lv",33,"23",1,784,112,0.75,0.25,1
3.678888,0,0.735294,0.5,0.5,0,0,3,1,"lv",34,"23",1,784,112,0.75,0.25,2
0,3.717547,0.714286,0.333333,0.666667,0,1,3,1,"lv",35,"23",1,784,112,0.75,0.25,3
2.126931,0,0.722222,0.5,0.5,0,1,3,1,"lv",36,"23",1,784,112,0.75,0.25,4
4.807054,0,0.72973,0.6,0.4,0,0,3,1,"lv",37,"23",1,784,112,0.75,0.25,5
2.348692,0,0.736842,0.666667,0.333333,0,0,3,1,"lv",38,"23",1,784,112,0.75,0.25,6
3.73226,0,0.74359,0.714286,0.285714,0,0,3,1,"lv",39,"23",1,784,112,0.75,0.25,7
3.014134,0,0.75,0.75,0.25,0,0,3,1,"lv",40,"23",1,784,112,0.75,0.25,8
1.942894,0,0.756098,0.777778,0.222222,0,0,3,1,"lv",41,"23",1,784,112,0.75,0.25,9
2.40982,0,0.761905,0.8,0.2,0,0,3,1,"lv",42,"23",1,784,112,0.75,0.25,10
1.056035,0,0.767442,0.818182,0.181818,0,0,3,1,"lv",43,"23",1,784,112,0.75,0.25,11
2.029217,0,0.772727,0.833333,0.166667,0,0,3,1,"lv",44,"23",1,784,112,0.75,0.25,12
3.775147,0,0.777778,0.846154,0.153846,0,0,3,1,"lv",45,"23",1,784,112,0.75,0.25,13
3.470078,0,0.782609,0.857143,0.142857,0,0,3,1,"lv",46,"23",1,784,112,0.75,0.25,14
1.691172,0,0.787234,0.866667,0.133333,0,0,3,1,"lv",47,"23",1,784,112,0.75,0.25,15
3.695788,0,0.791667,0.875,0.125,0,0,3,1,"lv",48,"23",1,784,112,0.75,0.25,16
4.345565,0,0.795918,0.882353,0.117647,0,0,3,1,"lv",49,"23",1,784,112,0.75,0.25,17
3.368876,0,0.8,0.888889,0.111111,0,0,3,1,"lv",50,"23",1,784,112,0.75,0.25,18
0,1.906515,0.784314,0.842105,0.157895,0,1,3,1,"lv",51,"23",1,784,112,0.75,0.25,19
4.539638,0,0.788462,0.85,0.15,0,1,3,1,"lv",52,"23",1,784,112,0.75,0.25,20
2.531969,0,0.792453,0.857143,0.142857,0,0,3,1,"lv",53,"23",1,784,112,0.75,0.25,21
1.954179,0,0.796296,0.863636,0.136364,0,0,3,1,"lv",54,"23",1,784,112,0.75,0.25,22
3.75447,0,0.8,0.869565,0.130435,0,0,3,1,"lv",55,"23",1,784,112,0.75,0.25,23
2.051814,0,0.803571,0.875,0.125,0,0,3,1,"lv",56,"23",1,784,112,0.75,0.25,24
3.436318,0,0.807018,0.88,0.12,0,0,3,1,"lv",57,"23",1,784,112,0.75,0.25,25
3.580119,0,0.810345,0.884615,0.115385,0,0,3,1,"lv",58,"23",1,784,112,0.75,0.25,26
2.897939,0,0.813559,0.888889,0.111111,0,0,3,1,"lv",59,"23",1,784,112,0.75,0.25,27
0,2.917235,0.8,0.857143,0.142857,0,1,3,1,"lv",60,"23",1,784,112,0.75,0.25,28
2.81463,0,0.803279,0.862069,0.137931,0,1,3,1,"lv",61,"23",1,784,112,0.75,0.25,29
0,3.548448,0.790323,0.833333,0.166667,0,1,3,1,"lv",62,"23",1,784,112,0.75,0.25,30
4.369069,0,0.793651,0.83871,0.16129,0,1,3,1,"lv",63,"23",1,784,112,0.75,0.25,31
2.95077,0,0.796875,0.84375,0.15625,0,0,3,1,"lv",64,"23",1,784,112,0.75,0.25,32
0,3.649271,0.784615,0.818182,0.181818,0,1,3,1,"lv",65,"23",1,784,112,0.75,0.25,33
2.641413,0,0.787879,0.823529,0.176471,0,1,3,1,"lv",66,"23",1,784,112,0.75,0.25,34
0,5.344271,0.791045,0,1,1,1,3,1,"lv",67,"23",2,784,111,0.25,0.75,1
0,3.652132,0.794118,0,1,0,0,3,1,"lv",68,"23",2,784,111,0.25,0.75,2
0,3.915657,0.797101,0,1,0,0,3,1,"lv",69,"23",2,784,111,0.25,0.75,3
0,3.752459,0.8,0,1,0,0,3,1,"lv",70,"23",2,784,111,0.25,0.75,4
0,2.812614,0.802817,0,1,0,0,3,1,"lv",71,"23",2,784,111,0.25,0.75,5
0,1.339316,0.805556,0,1,0,0,3,1,"lv",72,"23",2,784,111,0.25,0.75,6
0,2.418017,0.808219,0,1,0,0,3,1,"lv",73,"23",2,784,111,0.25,0.75,7
0,3.796255,0.810811,0,1,0,0,3,1,"lv",74,"23",2,784,111,0.25,0.75,8
1.031789,0,0.8,0.111111,0.888889,0,1,3,1,"lv",75,"23",2,784,111,0.25,0.75,9
0,2.092616,0.802632,0.1,0.9,0,1,3,1,"lv",76,"23",2,784,111,0.25,0.75,10
0,3.819407,0.805195,0.090909,0.909091,0,0,3,1,"lv",77,"23",2,784,111,0.25,0.75,11
5.321442,0,0.794872,0.166667,0.833333,0,1,3,1,"lv",78,"23",2,784,111,0.25,0.75,12
0,2.578019,0.797468,0.153846,0.846154,0,1,3,1,"lv",79,"23",2,784,111,0.25,0.75,13
0,4.637193,0.8,0.142857,0.857143,0,0,3,1,"lv",80,"23",2,784,111,0.25,0.75,14
0,2.25045,0.802469,0.133333,0.866667,0,0,3,1,"lv",81,"23",2,784,111,0.25,0.75,15
0,1.050208,0.804878,0.125,0.875,0,0,3,1,"lv",82,"23",2,784,111,0.25,0.75,16
0,5.750134,0.807229,0.117647,0.882353,0,0,3,1,"lv",83,"23",2,784,111,0.25,0.75,17
2.673108,0,0.797619,0.166667,0.833333,0,1,3,1,"lv",84,"23",2,784,111,0.25,0.75,18
0,1.883011,0.8,0.157895,0.842105,0,1,3,1,"lv",85,"23",2,784,111,0.25,0.75,19
0,1.778001,0.802326,0.15,0.85,0,0,3,1,"lv",86,"23",2,784,111,0.25,0.75,20
2.545764,0,0.793103,0.190476,0.809524,0,1,3,1,"lv",87,"23",2,784,111,0.25,0.75,21
3.217015,0,0.784091,0.227273,0.772727,0,0,3,1,"lv",88,"23",2,784,111,0.25,0.75,22
0,4.447083,0.786517,0.217391,0.782609,0,1,3,1,"lv",89,"23",2,784,111,0.25,0.75,23
0,2.764615,0.788889,0.208333,0.791667,0,0,3,1,"lv",90,"23",2,784,111,0.25,0.75,24
0,2.503002,0.791209,0.2,0.8,0,0,3,1,"lv",91,"23",2,784,111,0.25,0.75,25
0,3.535324,0.793478,0.192308,0.807692,0,0,3,1,"lv",92,"23",2,784,111,0.25,0.75,26
3.214354,0,0.784946,0.222222,0.777778,0,1,3,1,"lv",93,"23",2,784,111,0.25,0.75,27
0,2.981081,0.787234,0.214286,0.785714,0,1,3,1,"lv",94,"23",2,784,111,0.25,0.75,28
0,3.087541,0.789474,0.206897,0.793103,0,0,3,1,"lv",95,"23",2,784,111,0.25,0.75,29
0,2.62625,0.791667,0.2,0.8,0,0,3,1,"lv",96,"23",2,784,111,0.25,0.75,30
2.832084,0,0.783505,0.225806,0.774194,0,1,3,1,"lv",97,"23",2,784,111,0.25,0.75,31
0,3.519081,0.785714,0.21875,0.78125,0,1,3,1,"lv",98,"23",2,784,111,0.25,0.75,32
0,3.369174,0.787879,0.212121,0.787879,0,0,3,1,"lv",99,"23",2,784,111,0.25,0.75,33
3.222246,0,0.78,0.235294,0.764706,0,1,3,1,"lv",100,"23",2,784,111,0.25,0.75,34
0,0.528066,0.782178,0.228571,0.771429,0,1,3,1,"lv",101,"23",2,784,111,0.25,0.75,35
3.278048,0,0.77451,0.25,0.75,0,1,3,1,"lv",102,"23",2,784,111,0.25,0.75,36
0,2.173816,0.776699,0.243243,0.756757,0,1,3,1,"lv",103,"23",2,784,111,0.25,0.75,37
0,2.509246,0.778846,0.236842,0.763158,0,0,3,1,"lv",104,"23",2,784,111,0.25,0.75,38
0,1.87139,0.780952,0.230769,0.769231,0,0,3,1,"lv",105,"23",2,784,111,0.25,0.75,39
0,2.067041,0.783019,0.225,0.775,0,0,3,1,"lv",106,"23",2,784,111,0.25,0.75,40
4.890877,0,0.775701,0.243902,0.756098,0,1,3,1,"lv",107,"23",2,784,111,0.25,0.75,41
2.698054,0,0.768519,0.261905,0.738095,0,0,3,1,"lv",108,"23",2,784,111,0.25,0.75,42
3.691663,0,0.761468,0.27907,0.72093,0,0,3,1,"lv",109,"23",2,784,111,0.25,0.75,43
0,3.050752,0.763636,0.272727,0.727273,0,1,3,1,"lv",110,"23",2,784,111,0.25,0.75,44
0,3.710735,0.765766,0.266667,0.733333,0,0,3,1,"lv",111,"23",2,784,111,0.25,0.75,45
0,4.010815,0.767857,0.26087,0.73913,0,0,3,1,"lv",112,"23",2,784,111,0.25,0.75,46
1.658642,0,0.769912,1,0,1,1,3,1,"lv",113,"23",3,784,112,0.75,0.25,1
0,3.195145,0.763158,0.5,0.5,0,1,3,1,"lv",114,"23",3,784,112,0.75,0.25,2
1.907284,0,0.765217,0.666667,0.333333,0,1,3,1,"lv",115,"23",3,784,112,0.75,0.25,3
3.115052,0,0.767241,0.75,0.25,0,0,3,1,"lv",116,"23",3,784,112,0.75,0.25,4
3.281956,0,0.769231,0.8,0.2,0,0,3,1,"lv",117,"23",3,784,112,0.75,0.25,5
2.532267,0,0.771186,0.833333,0.166667,0,0,3,1,"lv",118,"23",3,784,112,0.75,0.25,6
3.298786,0,0.773109,0.857143,0.142857,0,0,3,1,"lv",119,"23",3,784,112,0.75,0.25,7
3.271687,0,0.775,0.875,0.125,0,0,3,1,"lv",120,"23",3,784,112,0.75,0.25,8
0,2.537936,0.768595,0.777778,0.222222,0,1,3,1,"lv",121,"23",3,784,112,0.75,0.25,9
0,2.235652,0.762295,0.7,0.3,0,0,3,1,"lv",122,"23",3,784,112,0.75,0.25,10
3.116929,0,0.764228,0.727273,0.272727,0,1,3,1,"lv",123,"23",3,784,112,0.75,0.25,11
4.374447,0,0.766129,0.75,0.25,0,0,3,1,"lv",124,"23",3,784,112,0.75,0.25,12
3.64034,0,0.768,0.769231,0.230769,0,0,3,1,"lv",125,"23",3,784,112,0.75,0.25,13
2.492821,0,0.769841,0.785714,0.214286,0,0,3,1,"lv",126,"23",3,784,112,0.75,0.25,14
0,5.256104,0.76378,0.733333,0.266667,0,1,3,1,"lv",127,"23",3,784,112,0.75,0.25,15
4.231158,0,0.765625,0.75,0.25,0,1,3,1,"lv",128,"23",3,784,112,0.75,0.25,16
3.739369,0,0.767442,0.764706,0.235294,0,0,3,1,"lv",129,"23",3,784,112,0.75,0.25,17
0.91537,0,0.769231,0.777778,0.222222,0,0,3,1,"lv",130,"23",3,784,112,0.75,0.25,18
3.314764,0,0.770992,0.789474,0.210526,0,0,3,1,"lv",131,"23",3,784,112,0.75,0.25,19
2.450513,0,0.772727,0.8,0.2,0,0,3,1,"lv",132,"23",3,784,112,0.75,0.25,20
0,0.676037,0.766917,0.761905,0.238095,0,1,3,1,"lv",133,"23",3,784,112,0.75,0.25,21
3.47446,0,0.768657,0.772727,0.227273,0,1,3,1,"lv",134,"23",3,784,112,0.75,0.25,22
2.502421,0,0.77037,0.782609,0.217391,0,0,3,1,"lv",135,"23",3,784,112,0.75,0.25,23
5.267873,0,0.772059,0.791667,0.208333,0,0,3,1,"lv",136,"23",3,784,112,0.75,0.25,24
0,3.20214,0.773723,0,1,1,1,3,1,"lv",137,"23",4,784,111,0.25,0.75,1
3.206076,0,0.768116,0.5,0.5,0,1,3,1,"lv",138,"23",4,784,111,0.25,0.75,2
4.733177,0,0.76259,0.666667,0.333333,0,0,3,1,"lv",139,"23",4,784,111,0.25,0.75,3
0,2.667423,0.764286,0.5,0.5,0,1,3,1,"lv",140,"23",4,784,111,0.25,0.75,4
0,2.115514,0.765957,0.4,0.6,0,0,3,1,"lv",141,"23",4,784,111,0.25,0.75,5
0,4.245332,0.767606,0.333333,0.666667,0,0,3,1,"lv",142,"23",4,784,111,0.25,0.75,6
3.575731,0,0.762238,0.428571,0.571429,0,1,3,1,"lv",143,"23",4,784,111,0.25,0.75,7
0,3.860632,0.763889,0.375,0.625,0,1,3,1,"lv",144,"23",4,784,111,0.25,0.75,8
3.093759,0,0.758621,0.444444,0.555556,0,1,3,1,"lv",145,"23",4,784,111,0.25,0.75,9
0,2.909003,0.760274,0.4,0.6,0,1,3,1,"lv",146,"23",4,784,111,0.25,0.75,10
