rt, response, subj_idx, cond
0.7,0,0,lc
0.7,0,0,lc
0.7,1,0,lc
0.7,0,0,lc
0.7,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.35200000000000004,0,0,lc
0.47200000000000003,0,0,lc
0.7,0,0,lc
0.42200000000000004,1,0,lc
0.252,1,0,lc
0.5720000000000001,1,0,lc
0.292,1,0,lc
0.242,1,0,lc
0.242,1,0,lc
0.242,1,0,lc
0.262,1,0,lc
0.242,1,0,lc
0.242,1,0,lc
0.242,0,0,lc
0.542,0,0,lc
0.272,0,0,lc
0.252,0,0,lc
0.242,0,0,lc
0.342,1,0,lc
0.7,1,0,lc
0.292,1,0,lc
0.252,0,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.242,0,0,lc
0.252,0,0,lc
0.242,0,0,lc
0.242,1,0,lc
0.262,1,0,lc
0.35200000000000004,1,0,lc
0.282,1,0,lc
0.262,1,0,lc
0.252,1,0,lc
0.252,1,0,lc
0.302,1,0,lc
0.242,1,0,lc
0.242,1,0,lc
0.242,1,0,lc
0.272,1,0,lc
0.252,1,0,lc
0.252,0,0,lc
0.7,1,0,lc
0.272,0,0,lc
0.252,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.36200000000000004,0,0,lc
0.37200000000000005,0,0,lc
0.262,0,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.5920000000000001,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,1,0,lc
0.272,0,0,lc
0.272,1,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.242,1,0,lc
0.452,1,0,lc
0.252,1,0,lc
0.242,1,0,lc
0.242,1,0,lc
0.7,1,0,lc
0.282,1,0,lc
0.342,1,0,lc
0.262,1,0,lc
0.252,1,0,lc
0.242,0,0,lc
0.7,1,0,lc
0.262,0,0,lc
0.252,0,0,lc
0.272,0,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.5720000000000001,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
