                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
a(hc)              1.18772    0.0619244      1.06615      1.14661      1.18829      1.22966      1.31063  0.000678118
a(hv)              1.31623    0.0616352      1.19329      1.27563      1.31609      1.35723      1.43704  0.000677978
a(lc)              1.19137    0.0618532      1.06754      1.15012      1.19081      1.23249      1.31412  0.000631123
a(lv)              1.11046    0.0629447     0.985459       1.0687      1.10991      1.15299      1.23498  0.000638165
a_std             0.227805    0.0245124      0.18602     0.210494     0.225982     0.242595     0.282058  0.000329672
a_subj(hc).12      1.11337    0.0126457      1.08857      1.10484      1.11319      1.12207      1.13848  0.000177328
a_subj(hc).13       1.4558    0.0127659      1.43056      1.44728      1.45579      1.46449      1.48128  0.000151242
a_subj(hc).14     0.951246   0.00888431     0.934224     0.945213     0.951185     0.957272     0.969034   0.00014858
a_subj(hc).15      0.86559   0.00792907     0.850001     0.860251     0.865587     0.870854     0.881226  0.000133247
a_subj(hc).16      1.36119    0.0102349      1.34104      1.35435      1.36098        1.368      1.38151  0.000119312
a_subj(hc).17       1.3847      0.01142      1.36221      1.37716      1.38472      1.39244      1.40712  0.000111498
a_subj(hc).18      1.40551    0.0112052      1.38369      1.39786      1.40569      1.41306      1.42791   0.00011745
a_subj(hc).19      1.08536   0.00989418      1.06648      1.07858      1.08532      1.09197      1.10498  0.000192691
a_subj(hc).20       1.1455    0.0101909      1.12553      1.13864      1.14538      1.15231      1.16534  0.000149759
a_subj(hc).21      1.00717   0.00923054     0.989706      1.00086      1.00697      1.01327      1.02569  0.000148848
a_subj(hc).22      1.45364    0.0121278      1.42996       1.4455      1.45347      1.46164      1.47782  0.000140866
a_subj(hc).23     0.828875   0.00755584     0.814099     0.823906     0.828819     0.833874     0.843859  0.000139568
a_subj(hc).24      1.44036    0.0117631       1.4173      1.43224       1.4404      1.44818      1.46335  0.000141669
a_subj(hv).37      1.17893    0.0119839      1.15531      1.17076      1.17878      1.18699       1.2028  0.000136652
a_subj(hv).38       1.5185    0.0120535        1.495      1.51053      1.51837      1.52658      1.54212  0.000128621
a_subj(hv).39      1.10856   0.00972166      1.08952      1.10194      1.10866      1.11507      1.12775  0.000169647
a_subj(hv).40      1.09032   0.00965795      1.07178      1.08381       1.0903      1.09672      1.10957  0.000165107
a_subj(hv).41      1.41761    0.0102434      1.39788      1.41068      1.41753      1.42451      1.43801  0.000107717
a_subj(hv).42      1.47224    0.0109621      1.45094       1.4648      1.47218      1.47959      1.49389  0.000117934
a_subj(hv).43      1.46258    0.0108952      1.44144      1.45517      1.46251      1.46995      1.48398  0.000122069
a_subj(hv).44      1.21001    0.0102574      1.19019      1.20304       1.2099      1.21695      1.23023   0.00016449
a_subj(hv).45      1.23021    0.0105224      1.20975      1.22302      1.23025      1.23732      1.25097  0.000178924
a_subj(hv).46      1.17247    0.0102865      1.15285      1.16551      1.17238       1.1794      1.19298  0.000172439
a_subj(hv).47      1.52794    0.0115093      1.50539      1.51994      1.52786      1.53575      1.55099  0.000116476
a_subj(hv).48      1.08049   0.00939008       1.0618      1.07412      1.08041      1.08683      1.09893  0.000178343
a_subj(hv).49      1.48026     0.010955      1.45878        1.473      1.48034       1.4875      1.50215  0.000123635
a_subj(lc).0       1.43911    0.0126322      1.41436      1.43058      1.43918      1.44767      1.46368  0.000142681
a_subj(lc).1      0.930244   0.00856787     0.913846     0.924333     0.930307     0.935909     0.947072  0.000165924
a_subj(lc).2      0.952009   0.00883424     0.934819        0.946     0.951903     0.957858      0.96999  0.000164226
a_subj(lc).3       1.39356    0.0111154      1.37189      1.38602       1.3935      1.40105      1.41548  0.000127516
a_subj(lc).4        1.0648   0.00984433      1.04544      1.05804      1.06477       1.0714       1.0843  0.000157844
a_subj(lc).5       1.43779    0.0120237       1.4145      1.42957      1.43767      1.44576      1.46154  0.000137094
a_subj(lc).6       1.14411    0.0104816      1.12378      1.13697      1.14394       1.1512      1.16437  0.000168226
a_subj(lc).7       1.07121   0.00991755      1.05221      1.06443      1.07134      1.07786      1.09068   0.00018478
a_subj(lc).8       1.12357    0.0101923      1.10408      1.11654      1.12349      1.13046      1.14369  0.000151065
a_subj(lc).9       1.44572    0.0122278      1.42211      1.43724      1.44571      1.45405      1.47009  0.000121252
a_subj(lc).10     0.934551   0.00850069     0.917848     0.928971     0.934479     0.940196     0.951395  0.000146246
a_subj(lc).11      1.45947    0.0125696      1.43435      1.45116      1.45957      1.46778      1.48472  0.000148104
a_subj(lc).12      1.02573    0.0119646      1.00242      1.01761      1.02562      1.03381      1.04952  0.000213659
a_subj(lv).25      1.40419    0.0131369      1.37882      1.39534      1.40407      1.41304      1.43051  0.000160688
a_subj(lv).26     0.817943   0.00767632     0.803134     0.812685      0.81792     0.823128     0.832898  0.000144854
a_subj(lv).27      0.81664   0.00803289     0.800923     0.811092      0.81667     0.822117     0.832244  0.000140503
a_subj(lv).28       1.3539    0.0112316      1.33201      1.34622      1.35389      1.36139      1.37599  0.000131918
a_subj(lv).29     0.989847    0.0095391     0.971051      0.98362     0.989763      0.99626      1.00883  0.000161654
