rt, response, subj_idx, cond
0.7,0,0,lc
0.7,0,0,lc
0.7,0,0,lc
0.7,0,0,lc
0.48200000000000004,1,0,lc
0.502,1,0,lc
0.49200000000000005,1,0,lc
0.48200000000000004,1,0,lc
0.48200000000000004,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,0,0,lc
0.49200000000000005,0,0,lc
0.49200000000000005,0,0,lc
0.49200000000000005,0,0,lc
0.48200000000000004,0,0,lc
0.48200000000000004,0,0,lc
0.7,1,0,lc
0.38200000000000006,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,0,0,lc
0.282,0,0,lc
0.282,0,0,lc
0.282,0,0,lc
0.662,0,0,lc
0.47200000000000003,1,0,lc
0.48200000000000004,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,0,0,lc
0.542,0,0,lc
0.502,0,0,lc
0.48200000000000004,0,0,lc
0.7,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.282,0,0,lc
0.282,0,0,lc
0.282,0,0,lc
0.282,0,0,lc
0.7,0,0,lc
0.672,1,0,lc
0.48200000000000004,1,0,lc
0.48200000000000004,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
0.47200000000000003,1,0,lc
