                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
a(hc)              1.18093    0.0602372      1.06081      1.14135      1.18131       1.2209      1.29904  0.000681589
a(hv)              1.31546    0.0612407       1.1947      1.27439      1.31583      1.35592      1.43299  0.000620086
a(lc)              1.19007    0.0625544       1.0635      1.14936      1.19044       1.2316      1.31208  0.000650992
a(lv)              1.10839    0.0619022     0.984516      1.06733      1.10925        1.149       1.2292  0.000664438
a_std             0.226215    0.0243231     0.183935     0.209557       0.2241     0.241001     0.279915  0.000325476
a_subj(hc).12      1.12072    0.0144476      1.09288      1.11075      1.12077      1.13062       1.1497  0.000193238
a_subj(hc).13      1.45191    0.0144541      1.42389      1.44198       1.4522      1.46161      1.48024  0.000175848
a_subj(hc).14     0.932923   0.00987379     0.913781     0.926217     0.932758      0.93955     0.952712  0.000182996
a_subj(hc).15     0.870414   0.00946012     0.852015     0.863934     0.870398      0.87687       0.8889  0.000155387
a_subj(hc).16      1.33207    0.0113197      1.30993       1.3243      1.33198      1.33979      1.35433  0.000131873
a_subj(hc).17      1.39323     0.013399      1.36737      1.38401      1.39332      1.40227      1.41934  0.000158362
a_subj(hc).18      1.40559    0.0127806      1.38011      1.39702      1.40574      1.41408      1.43125  0.000144307
a_subj(hc).19      1.06285    0.0109408      1.04165       1.0553      1.06279      1.07037        1.084  0.000166761
a_subj(hc).20      1.14285    0.0116538      1.12035      1.13497       1.1428      1.15053      1.16595  0.000188765
a_subj(hc).21      1.00222    0.0107292     0.981811     0.994954      1.00196      1.00934      1.02361  0.000173913
a_subj(hc).22      1.44415    0.0137537      1.41726      1.43485      1.44413      1.45348      1.47119  0.000169292
a_subj(hc).23     0.825988   0.00878829     0.809195      0.81996     0.825919     0.831857      0.84337  0.000164382
a_subj(hc).24      1.42286    0.0131928      1.39759      1.41381      1.42275      1.43164      1.44933  0.000149691
a_subj(hv).37      1.17199    0.0137975      1.14501      1.16279      1.17174      1.18126      1.19986   0.00019692
a_subj(hv).38      1.52246    0.0141035      1.49499      1.51293      1.52244      1.53187      1.55023  0.000161746
a_subj(hv).39      1.11906    0.0113653      1.09725      1.11141      1.11877       1.1267       1.1421  0.000202004
a_subj(hv).40      1.07497    0.0110211       1.0539      1.06735      1.07494      1.08235      1.09677  0.000181603
a_subj(hv).41      1.41415    0.0116654      1.39148       1.4061      1.41434      1.42199      1.43723  0.000118345
a_subj(hv).42      1.48609    0.0131158      1.46078      1.47718      1.48611      1.49495      1.51215  0.000139236
a_subj(hv).43      1.45081    0.0117788       1.4279      1.44291      1.45068      1.45865      1.47401   0.00013641
a_subj(hv).44      1.21733    0.0121079      1.19399      1.20903      1.21717      1.22566      1.24136  0.000215711
a_subj(hv).45      1.22938    0.0120077      1.20632       1.2211      1.22936      1.23743      1.25333  0.000194352
a_subj(hv).46      1.17637    0.0118866      1.15336      1.16816       1.1763      1.18435      1.19967  0.000213869
a_subj(hv).47      1.52472    0.0131972      1.49888      1.51591      1.52476      1.53335      1.55084  0.000127333
a_subj(hv).48      1.08264    0.0108458      1.06096      1.07549      1.08269       1.0899      1.10373  0.000185496
a_subj(hv).49      1.47238    0.0124411      1.44762      1.46404       1.4723      1.48053       1.4976  0.000125394
a_subj(lc).0        1.4395    0.0145465      1.41146      1.42974      1.43931      1.44907      1.46891  0.000157591
a_subj(lc).1      0.935168    0.0101009     0.915701     0.928417     0.935158     0.941983     0.954801   0.00017717
a_subj(lc).2      0.957296    0.0104278     0.937266     0.950118     0.957238      0.96438     0.978161  0.000184461
a_subj(lc).3       1.38968    0.0127372      1.36497      1.38105      1.38961      1.39825      1.41501  0.000138076
a_subj(lc).4       1.06443    0.0113223      1.04243      1.05675      1.06438      1.07196      1.08694  0.000159104
a_subj(lc).5        1.4264    0.0133887      1.40045      1.41722      1.42647      1.43536      1.45286  0.000145352
a_subj(lc).6       1.14164     0.012254       1.1177      1.13334      1.14166       1.1499      1.16616  0.000206257
a_subj(lc).7       1.07749     0.011388      1.05621      1.06949       1.0773      1.08506      1.10015  0.000196515
a_subj(lc).8        1.1122    0.0115799      1.09023      1.10446      1.11219      1.11979      1.13536  0.000197167
a_subj(lc).9       1.44894    0.0141684      1.42173      1.43912      1.44894      1.45871      1.47679  0.000163864
a_subj(lc).10     0.935982   0.00961487     0.917843     0.929492     0.935825     0.942437     0.955051  0.000141706
a_subj(lc).11       1.4473    0.0145026      1.41962      1.43744      1.44721      1.45683      1.47652  0.000156271
a_subj(lc).12      1.02962    0.0136239      1.00351      1.02019      1.02964      1.03879      1.05683  0.000222422
a_subj(lv).25      1.40181    0.0148438      1.37302      1.39178      1.40188      1.41186      1.43065  0.000177153
a_subj(lv).26     0.812039   0.00911966     0.794425     0.805771     0.812002     0.818049     0.830141  0.000159097
a_subj(lv).27     0.830065   0.00912034      0.81226     0.823734     0.830075     0.836235     0.848149  0.000161984
a_subj(lv).28       1.3414    0.0129701       1.3159       1.3325      1.34147      1.35044      1.36632  0.000139292
a_subj(lv).29     0.993697    0.0110585     0.972341      0.98616      0.99374      1.00108      1.01539  0.000183149
a_subj(lv).30      1.41993    0.0148182       1.3909      1.41003       1.4197      1.42992      1.44922  0.000164612
a_subj(lv).31      1.05394    0.0118786      1.03113      1.04589       1.0539      1.06189      1.07732  0.000192847
a_subj(lv).32     0.966904    0.0107585     0.945883     0.959553     0.966843     0.974229     0.988084  0.000204829
a_subj(lv).33       1.0532    0.0115219      1.03054      1.04544      1.05321      1.06083      1.07592  0.000195923
a_subj(lv).34       1.4153    0.0147917      1.38588      1.40556      1.41524      1.42519      1.44488  0.000164319
a_subj(lv).35     0.823184   0.00909373     0.805314      0.81709     0.823153     0.829123     0.841556  0.000137679
a_subj(lv).36      1.43456     0.015421      1.40446      1.42397      1.43458      1.44491       1.4647  0.000167425
a_subj(lv).37     0.962571    0.0141209     0.935249     0.952942     0.962373     0.972074     0.990572  0.000252272
v(hc)             0.797717    0.0373974     0.724673     0.773457      0.79797     0.822116     0.871435  0.000404296
v(hv)             0.195095    0.0363767     0.123672     0.170442     0.195253     0.219945     0.266722  0.000339744
v(lc)                0.915    0.0367602     0.842444     0.890936     0.915037        0.939     0.986989  0.000418278
v(lv)              1.24326    0.0379261       1.1707      1.21734      1.24316      1.26825      1.31802   0.00046595
v_std             0.126961    0.0152838     0.100847     0.116014     0.125694     0.136202     0.160818  0.000222655
v_subj(hc).12     0.713895    0.0499354     0.615565     0.680729     0.714117     0.747707     0.812413  0.000576178
v_subj(hc).13     0.670867    0.0318033     0.608936     0.649566     0.671304     0.692001     0.733325  0.000306232
v_subj(hc).14     0.861617    0.0416708     0.780373     0.833941     0.861382     0.889732     0.943821  0.000425194
v_subj(hc).15      1.12985    0.0478171      1.03573      1.09752      1.12992      1.16171      1.22484  0.000553131
v_subj(hc).16     0.734262    0.0328651     0.670542     0.712019     0.734515     0.756471     0.799773  0.000361994
v_subj(hc).17     0.762525     0.032408     0.699861     0.740798     0.762341     0.784307      0.82611   0.00035864
v_subj(hc).18     0.773515    0.0315833     0.711333     0.752387     0.773961     0.794667     0.834867  0.000344109
v_subj(hc).19     0.796532    0.0384782     0.721997     0.770193     0.796007     0.822892     0.871498  0.000365984
v_subj(hc).20      0.76418    0.0355807     0.694565     0.740257     0.764323     0.788271     0.833523  0.000396779
v_subj(hc).21     0.872151    0.0402414     0.792301     0.845046      0.87229     0.899237     0.950032  0.000426758
v_subj(hc).22     0.683957    0.0308389     0.623738     0.663409     0.684008     0.704952     0.743934  0.000300148
v_subj(hc).23     0.885917     0.046477     0.795021     0.854901     0.886022     0.917529      0.97648  0.000507895
v_subj(hc).24     0.724971    0.0313806     0.663368     0.703513     0.725193     0.746387     0.786462  0.000372825
v_subj(hv).37     0.196591    0.0458478     0.105165     0.165756     0.196539     0.227355     0.285611  0.000430462
v_subj(hv).38     0.327432    0.0281877     0.272234     0.308023     0.327209     0.346999     0.382476  0.000312247
v_subj(hv).39      0.16366    0.0338172    0.0971795     0.140409     0.163345     0.186438     0.230148  0.000354176
v_subj(hv).40     0.442392    0.0371759     0.369555     0.417266     0.442579     0.467476      0.51539  0.000401212
v_subj(hv).41     0.227465    0.0287922     0.169697     0.208103     0.227995     0.247131     0.283513  0.000321201
v_subj(hv).42    0.0422589    0.0279136   -0.0117755    0.0233819    0.0420507    0.0611157    0.0963332  0.000295415
v_subj(hv).43     0.201123    0.0287445     0.144857     0.181461     0.201492     0.220752     0.256877  0.000258865
v_subj(hv).44     0.144001    0.0317904    0.0831796     0.122839     0.143759     0.165012     0.208755  0.000333609
v_subj(hv).45     0.118448    0.0322468    0.0562204    0.0968893     0.118358     0.140177     0.180954  0.000369117
v_subj(hv).46     0.312666    0.0337518     0.245834     0.290085     0.313243     0.335059     0.378949  0.000371317
v_subj(hv).47     0.112723    0.0275127    0.0587497    0.0941802     0.112574     0.131752     0.167065  0.000296269
v_subj(hv).48     0.112473    0.0350957    0.0457513    0.0885769     0.111802     0.136279     0.182609  0.000425378
v_subj(hv).49      0.12936     0.028187    0.0741295     0.110294     0.129163     0.148712     0.183203  0.000271893
v_subj(lc).0       0.87933    0.0327474     0.816019     0.856821     0.879189     0.901324     0.943294   0.00034287
v_subj(lc).1       1.03215    0.0427053     0.948589      1.00354      1.03207      1.06043      1.11756  0.000465929
v_subj(lc).2       1.02945    0.0424248      0.94511      1.00129       1.0299      1.05795      1.11316  0.000412561
v_subj(lc).3       0.86004    0.0325837     0.796807     0.837749     0.860029     0.882282     0.924805  0.000349291
v_subj(lc).4      0.986471    0.0390758     0.910099     0.959968     0.986339      1.01283      1.06285  0.000427579
v_subj(lc).5      0.864801    0.0329336     0.801365     0.842275     0.864766      0.88699     0.929877  0.000342489
v_subj(lc).6      0.908685    0.0368506     0.837298     0.883624     0.908904     0.933552     0.980907  0.000411897
v_subj(lc).7      0.896898    0.0373301     0.822978      0.87174     0.897034     0.922592     0.968655  0.000393572
v_subj(lc).8      0.912643    0.0372696     0.839083     0.887726     0.913079     0.937474     0.986622   0.00039646
v_subj(lc).9      0.837483    0.0321702     0.775515     0.816143     0.837672     0.858888      0.90177  0.000380116
v_subj(lc).10     0.969674     0.042335     0.886335     0.941557     0.969685     0.998328      1.05093  0.000462844
v_subj(lc).11      0.82335    0.0319896     0.760241     0.801808     0.823357     0.845202     0.885432  0.000350595
v_subj(lc).12     0.893482    0.0518941     0.790974     0.857965     0.893077     0.928623      0.99556  0.000631241
v_subj(lv).25      1.09898    0.0353147      1.02953      1.07559      1.09869      1.12228      1.16888  0.000419627
v_subj(lv).26      1.41951      0.04966      1.32036       1.3862      1.41932      1.45371      1.51602  0.000557414
v_subj(lv).27      1.41357    0.0496246      1.31551      1.38057      1.41352      1.44719      1.50933   0.00061434
v_subj(lv).28      1.05626    0.0347833     0.988361      1.03283      1.05669      1.07984      1.12451  0.000401733
v_subj(lv).29      1.30025    0.0432707      1.21633      1.27063      1.30067      1.32922      1.38487  0.000501296
v_subj(lv).30      1.14904    0.0347994      1.07979      1.12603      1.14898      1.17209      1.21801  0.000349553
v_subj(lv).31       1.2113    0.0410801       1.1293      1.18383      1.21168      1.23916      1.29041  0.000381635
v_subj(lv).32      1.29275    0.0433326      1.20856      1.26335      1.29208      1.32189      1.37826  0.000485804
v_subj(lv).33      1.27021    0.0408067      1.19145       1.2423      1.27002      1.29759      1.35137  0.000483464
v_subj(lv).34      1.06852    0.0344665      1.00144      1.04536      1.06838      1.09149       1.1361  0.000395788
v_subj(lv).35       1.5665    0.0522153      1.46336      1.53176      1.56622      1.60111      1.66862  0.000670237
v_subj(lv).36      1.10096    0.0344257      1.03358      1.07778      1.10125      1.12402       1.1681   0.00042197
v_subj(lv).37      1.21531    0.0569143      1.10315      1.17709      1.21546      1.25302       1.3288  0.000658496
t                 0.178506    0.0743563    0.0776708     0.128801     0.165164     0.210154     0.380265   0.00520448
t_std             0.478425     0.212897     0.193396     0.336796     0.435862     0.567727      1.06197    0.0150709
t_subj.0         0.0153495  0.000751682    0.0137661    0.0148813    0.0153911    0.0158723    0.0167056  7.05505e-06
t_subj.1          0.201483   0.00139694     0.198701     0.200549     0.201515     0.202447     0.204135  2.53343e-05
t_subj.2          0.195818   0.00149475     0.192859     0.194817      0.19585     0.196831      0.19868  2.65953e-05
t_subj.3       2.78353e-06   7.5157e-06  3.66333e-16  3.70269e-10  8.68008e-08  1.68162e-06   2.3878e-05   2.6013e-07
t_subj.4          0.134514   0.00169837     0.131102     0.133387     0.134546     0.135665      0.13774  2.34828e-05
t_subj.5       2.88069e-06  7.23822e-06  4.44126e-16  4.86119e-10  1.23105e-07  2.00848e-06  2.42723e-05  2.80605e-07
t_subj.6          0.110882   0.00178898      0.10726     0.109696     0.110913     0.112111     0.114353  2.79669e-05
t_subj.7           0.12661   0.00193994     0.122735     0.125327     0.126661     0.127946     0.130307  3.32421e-05
t_subj.8          0.110333   0.00181348     0.106635     0.109141     0.110369     0.111564     0.113734  3.04818e-05
t_subj.9       2.34249e-06  6.38849e-06  3.94002e-17  1.41815e-10  6.25701e-08  1.40124e-06  2.05476e-05  2.07045e-07
t_subj.10         0.204777   0.00129938     0.202162      0.20394     0.204806     0.205668     0.207275  1.84699e-05
t_subj.11      2.54714e-06  6.61111e-06  3.62366e-16  4.42369e-10  9.01403e-08  1.70805e-06  2.09784e-05  2.26383e-07
t_subj.12         0.143847   0.00175925     0.140298     0.142673      0.14389     0.145054      0.14721  3.27005e-05
t_subj.13        0.0151895  0.000791686    0.0135101    0.0146841    0.0152355    0.0157416    0.0165756  8.80633e-06
t_subj.14         0.188215   0.00158242     0.185051     0.187139      0.18824      0.18932     0.191249   2.8994e-05
t_subj.15         0.235806   0.00118003      0.23346     0.235008     0.235812     0.236615     0.238057  1.91541e-05
t_subj.16      2.84051e-06  6.82321e-06  2.53709e-15  3.35829e-09  1.55214e-07  1.97262e-06  2.41509e-05  2.25572e-07
t_subj.17        0.0154548  0.000777379    0.0137908    0.0149557    0.0155175    0.0159954    0.0168166  8.72256e-06
t_subj.18      2.98415e-06  7.63166e-06  6.05319e-18  1.88454e-09  1.37997e-07  2.06047e-06  2.42832e-05  2.53506e-07
t_subj.19         0.134522   0.00172012     0.131084     0.133358     0.134558     0.135726      0.13775  2.54656e-05
t_subj.20          0.10721   0.00196198     0.103169     0.105928     0.107264     0.108544     0.110965  3.33494e-05
t_subj.21         0.183965   0.00156873     0.180809     0.182916     0.183982     0.185003     0.186991  2.53778e-05
t_subj.22      2.19658e-06   6.1676e-06  9.52808e-34  4.89788e-13  2.15313e-08  1.13476e-06   2.0684e-05  2.37494e-07
t_subj.23         0.247398   0.00123177     0.244929     0.246592     0.247424     0.248247     0.249768    2.225e-05
t_subj.24      2.18353e-06  6.38122e-06  3.66604e-22  1.24508e-10  4.47771e-08  1.10743e-06  1.92702e-05  2.07795e-07
t_subj.25        0.0159724  0.000668638      0.01456    0.0155382    0.0160183    0.0164443     0.017173  7.57904e-06
t_subj.26         0.211754   0.00105043     0.209616     0.211076     0.211785     0.212477     0.213713  1.85778e-05
t_subj.27         0.208041    0.0010942      0.20587     0.207304     0.208035     0.208782     0.210149  1.86587e-05
t_subj.28       2.9474e-06  7.11411e-06  2.25781e-15  2.40002e-09  1.52692e-07  2.35025e-06  2.31299e-05  2.47682e-07
t_subj.29         0.141697   0.00141547     0.138899     0.140745     0.141734     0.142653     0.144382  2.31665e-05
t_subj.30      2.57824e-06   6.8774e-06  4.92546e-17  4.12979e-10  9.35521e-08  1.47806e-06  2.32569e-05  2.37658e-07
t_subj.31         0.117536   0.00152117     0.114441     0.116544     0.117556     0.118573      0.12046  2.47269e-05
t_subj.32         0.138284   0.00153905     0.135195     0.137266     0.138304     0.139335     0.141207  2.97144e-05
t_subj.33         0.117968   0.00153841     0.114934     0.116941     0.117986     0.119025      0.12092  2.67239e-05
t_subj.34      2.21511e-06  6.05521e-06  4.19711e-21  3.66173e-11  2.66432e-08  1.19142e-06   2.0453e-05  2.09402e-07
t_subj.35         0.215291  0.000946851     0.213409     0.214667     0.215306     0.215934     0.217123  1.38861e-05
t_subj.36      2.45212e-06  6.72254e-06   5.7929e-31  6.83033e-10  6.89925e-08  1.49252e-06  2.11787e-05   2.1661e-07
t_subj.37         0.147005   0.00176408     0.143476     0.145812     0.147021     0.148217     0.150487  3.47251e-05
t_subj.38        0.0139836  0.000953256    0.0119579    0.0133693    0.0140376    0.0146469    0.0157145  1.04129e-05
