choice, accuracy, solution,  reward, cumulative_reward, rt,  total_trial_time, iti, cp_with_slow_fast
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.500000000000000000e+01,3.500000000000000000e+01,5.880777835845947266e-01,1.578402686119079590e+01,2.808309375912033667e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,9.500000000000000000e+01,4.629418849945068359e-01,1.705611944198608398e+00,2.532231616674567309e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.100000000000000000e+01,1.560000000000000000e+02,2.882649898529052734e-01,1.974215984344482422e+00,6.935769091423278354e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.190000000000000000e+02,2.336161136627197266e-01,1.819600105285644531e+00,5.967069533871491860e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.600000000000000000e+01,2.850000000000000000e+02,2.310080528259277344e-01,1.568319082260131836e+00,3.487044425405692594e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.700000000000000000e+01,3.520000000000000000e+02,3.264391422271728516e-01,1.612568855285644531e+00,3.113883109951479655e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,4.110000000000000000e+02,2.558169364929199219e-01,1.795442104339599609e+00,5.565797646639757401e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.900000000000000000e+01,4.800000000000000000e+02,2.477781772613525391e-01,1.615715980529785156e+00,3.726014647246196909e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.100000000000000000e+01,5.410000000000000000e+02,2.201879024505615234e-01,1.911463022232055664e+00,7.004622448070894070e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.700000000000000000e+01,6.080000000000000000e+02,2.716767787933349609e-01,1.905371189117431641e+00,6.393108992748601782e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.400000000000000000e+01,6.720000000000000000e+02,2.886958122253417969e-01,1.998261928558349609e+00,7.209121566880916099e-01,0.000000000000000000e+00
