choice, accuracy, solution,  reward, cumulative_reward, rt,  total_trial_time, iti, cp_with_slow_fast, high_val_cue
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.700000000000000000e+01,5.700000000000000000e+01,7.872550487518310547e-01,2.204550981521606445e+00,4.228410963241697185e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,1.130000000000000000e+02,3.223431110382080078e-01,1.905586004257202148e+00,5.949977420856449317e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.100000000000000000e+01,1.740000000000000000e+02,2.944059371948242188e-01,1.937774181365966797e+00,6.494243653893634338e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000000e+01,2.300000000000000000e+02,3.034551143646240234e-01,1.939959049224853516e+00,6.394947837783616640e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.900000000000000000e+01,2.890000000000000000e+02,3.042800426483154297e-01,1.895262956619262695e+00,6.015057270894547115e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,3.480000000000000000e+02,2.832961082458496094e-01,1.599357128143310547e+00,3.178551602126787889e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.200000000000000000e+01,4.000000000000000000e+02,3.373069763183593750e-01,1.983153820037841797e+00,6.507305618763365995e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.100000000000000000e+01,4.510000000000000000e+02,3.190081119537353516e-01,1.824022054672241211e+00,5.083094826104885833e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.100000000000000000e+01,5.020000000000000000e+02,3.625109195709228516e-01,1.907160043716430664e+00,5.488512176292014155e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000000e+01,5.580000000000000000e+02,2.588930130004882812e-01,1.818412065505981445e+00,5.672809269266977372e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,6.140000000000000000e+02,2.412340641021728516e-01,1.856905937194824219e+00,6.242347776943485416e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.300000000000000000e+01,6.770000000000000000e+02,3.003818988800048828e-01,2.007508039474487305e+00,7.150085051235997025e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.200000000000000000e+01,7.290000000000000000e+02,2.914319038391113281e-01,1.916218996047973633e+00,6.480583870764491383e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.100000000000000000e+01,7.900000000000000000e+02,2.678060531616210938e-01,1.786802053451538086e+00,5.350669514224908330e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.900000000000000000e+01,8.490000000000000000e+02,2.778570652008056641e-01,1.900920152664184570e+00,6.359184261766017698e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,9.080000000000000000e+02,2.819278240203857422e-01,1.733972072601318359e+00,4.534361135249354025e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.700000000000000000e+01,9.650000000000000000e+02,3.727278709411621094e-01,2.037225008010864258e+00,6.738363836468433954e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.200000000000000000e+01,1.017000000000000000e+03,2.823259830474853516e-01,2.015590906143188477e+00,7.393959553750428793e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,1.073000000000000000e+03,2.507638931274414062e-01,1.891484975814819336e+00,6.477366694175707984e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000000e+01,1.128000000000000000e+03,3.314630985260009766e-01,1.907370090484619141e+00,5.885757020527391248e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+01,1.188000000000000000e+03,2.978808879852294922e-01,1.644977092742919922e+00,3.505467050072501589e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.200000000000000000e+01,1.250000000000000000e+03,4.518949985504150391e-01,2.073514938354492188e+00,6.238241782332548668e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,1.309000000000000000e+03,2.582459449768066406e-01,1.791074991226196289e+00,5.483810886072929547e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.700000000000000000e+01,1.366000000000000000e+03,2.610020637512207031e-01,1.731040000915527344e+00,4.961671060284437162e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.900000000000000000e+01,1.405000000000000000e+03,2.568008899688720703e-01,1.832807064056396484e+00,5.956265382938592534e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+01,1.465000000000000000e+03,3.504569530487060547e-01,1.713353157043457031e+00,3.759482010823450016e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.100000000000000000e+01,1.526000000000000000e+03,2.618350982666015625e-01,1.592808008193969727e+00,3.354900182933724384e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.200000000000000000e+01,1.588000000000000000e+03,2.398860454559326172e-01,1.509968996047973633e+00,2.789281351720089841e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.400000000000000000e+01,1.642000000000000000e+03,2.889869213104248047e-01,2.011461973190307617e+00,7.399559844578742496e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.900000000000000000e+01,1.701000000000000000e+03,2.523200511932373047e-01,1.878126144409179688e+00,6.349253555634069013e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000000e+01,1.757000000000000000e+03,2.591087818145751953e-01,1.683393955230712891e+00,4.352517258280081403e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000000e+01,1.813000000000000000e+03,2.627711296081542969e-01,1.841187000274658203e+00,5.763616056787257413e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,1.869000000000000000e+03,2.515270709991455078e-01,1.904607057571411133e+00,6.642667462475972950e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000000e+01,1.924000000000000000e+03,2.826039791107177734e-01,1.799625873565673828e+00,5.307312815436338038e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000000e+01,1.979000000000000000e+03,2.636559009552001953e-01,1.506138086318969727e+00,2.539051292309922880e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.700000000000000000e+01,2.036000000000000000e+03,4.300642013549804688e-01,2.049379110336303711e+00,6.196400709609546364e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,2.092000000000000000e+03,2.511389255523681641e-01,1.635501861572265625e+00,3.887691098723227712e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.700000000000000000e+01,2.149000000000000000e+03,2.598519325256347656e-01,1.978674888610839844e+00,7.338315359548087669e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000000e+01,2.205000000000000000e+03,3.965759277343750000e-01,1.740139961242675781e+00,3.410955275793021158e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000000e+01,2.260000000000000000e+03,2.622931003570556641e-01,1.873985052108764648e+00,6.148676573602440687e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000000e+01,2.316000000000000000e+03,2.637259960174560547e-01,1.980394124984741211e+00,7.285336447459176412e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.500000000000000000e+01,2.371000000000000000e+03,4.044430255889892578e-01,1.908746957778930664e+00,5.208952234406861725e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,2.427000000000000000e+03,2.978730201721191406e-01,1.905182838439941406e+00,6.093753899253322448e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.700000000000000000e+01,2.484000000000000000e+03,2.828500270843505859e-01,1.732375860214233398e+00,4.586578831208228402e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.400000000000000000e+01,2.538000000000000000e+03,2.476000785827636719e-01,1.600916147232055664e+00,3.597162839280122482e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.601000000000000000e+03,3.157451152801513672e-01,1.742682933807373047e+00,4.356893776207665936e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.200000000000000000e+01,2.653000000000000000e+03,2.818281650543212891e-01,1.599205017089843750e+00,3.184033348375616135e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.200000000000000000e+01,2.705000000000000000e+03,3.108739852905273438e-01,1.569024085998535156e+00,2.708886770859804116e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,2.764000000000000000e+03,3.082919120788574219e-01,1.647122144699096680e+00,3.513437948379918296e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.900000000000000000e+01,2.823000000000000000e+03,2.943098545074462891e-01,1.817239999771118164e+00,5.350849131227369826e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,2.883000000000000000e+03,2.827680110931396484e-01,2.001505851745605469e+00,7.197951415591576918e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.900000000000000000e+01,2.922000000000000000e+03,2.668099403381347656e-01,1.633477926254272461e+00,3.703633123991274534e-01,0.000000000000000000e+00,1.120000000000000000e+02
