t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
0.254478,-0.254478,nan,0.000000,0.508956,0.510858,0.055503
0.265841,-0.265841,nan,0.000000,0.531682,0.510858,0.055503
0.233562,-0.233562,nan,0.000000,0.467123,0.510858,0.055503
0.262608,-0.262608,nan,0.000000,0.525216,0.510858,0.055503
0.246419,-0.246419,nan,0.000000,0.492838,0.510858,0.055503
0.308275,-0.308275,nan,0.000000,0.616550,0.510858,0.055503
0.281195,-0.281195,nan,0.000000,0.562389,0.510858,0.055503
0.261816,-0.261816,nan,0.000000,0.523632,0.510858,0.055503
0.289963,-0.289963,nan,0.000000,0.579925,0.510858,0.055503
0.217444,-0.217444,nan,0.000000,0.434887,0.510858,0.055503
0.249744,-0.249744,nan,0.000000,0.499489,0.510858,0.055503
0.228457,-0.228457,nan,0.000000,0.456913,0.510858,0.055503
0.279736,-0.279736,nan,0.000000,0.559472,0.510858,0.055503
0.222709,-0.222709,nan,0.000000,0.445419,0.510858,0.055503
0.272629,-0.272629,nan,0.000000,0.545258,0.510858,0.055503
0.259611,-0.259611,nan,0.000000,0.519221,0.510858,0.055503
0.219156,-0.219156,nan,0.000000,0.438311,0.510858,0.055503
0.247605,-0.247605,nan,0.000000,0.495211,0.510858,0.055503
0.275817,-0.275817,nan,0.000000,0.551634,0.510858,0.055503
0.241145,-0.241145,nan,0.000000,0.482289,0.510858,0.055503
0.303714,-0.303714,nan,0.000000,0.607428,0.510858,0.055503
0.246238,-0.246238,nan,0.000000,0.492476,0.510858,0.055503
0.247163,-0.247163,nan,0.000000,0.494326,0.510858,0.055503
0.242191,-0.242191,nan,0.000000,0.484382,0.510858,0.055503
0.240305,-0.240305,nan,0.000000,0.480610,0.510858,0.055503
0.252819,-0.252819,nan,0.000000,0.505638,0.510858,0.055503
0.309303,-0.309303,nan,0.000000,0.618606,0.510858,0.055503
-0.195334,0.195334,nan,1.000000,-0.390669,-0.437931,0.055503
-0.208567,0.208567,nan,0.000000,-0.417134,-0.437931,0.055503
-0.196522,0.196522,nan,0.000000,-0.393044,-0.437931,0.055503
-0.203819,0.203819,nan,0.000000,-0.407637,-0.437931,0.055503
-0.259453,0.259453,nan,0.000000,-0.518906,-0.437931,0.055503
-0.202949,0.202949,nan,0.000000,-0.405899,-0.437931,0.055503
-0.294408,0.294408,nan,0.000000,-0.588815,-0.437931,0.055503
-0.206613,0.206613,nan,0.000000,-0.413226,-0.437931,0.055503
-0.179731,0.179731,nan,0.000000,-0.359462,-0.437931,0.055503
-0.215492,0.215492,nan,0.000000,-0.430984,-0.437931,0.055503
-0.270609,0.270609,nan,0.000000,-0.541218,-0.437931,0.055503
-0.251465,0.251465,nan,0.000000,-0.502930,-0.437931,0.055503
-0.197849,0.197849,nan,0.000000,-0.395698,-0.437931,0.055503
-0.227615,0.227615,nan,0.000000,-0.455229,-0.437931,0.055503
-0.258343,0.258343,nan,0.000000,-0.516687,-0.437931,0.055503
-0.168431,0.168431,nan,0.000000,-0.336862,-0.437931,0.055503
-0.204088,0.204088,nan,0.000000,-0.408177,-0.437931,0.055503
-0.219501,0.219501,nan,0.000000,-0.439001,-0.437931,0.055503
-0.192709,0.192709,nan,0.000000,-0.385418,-0.437931,0.055503
-0.212710,0.212710,nan,0.000000,-0.425420,-0.437931,0.055503
-0.177287,0.177287,nan,0.000000,-0.354574,-0.437931,0.055503
-0.213767,0.213767,nan,0.000000,-0.427533,-0.437931,0.055503
