t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
0.091022,-0.091022,nan,0.000000,0.182045,0.143326,0.068164
0.062060,-0.062060,nan,0.000000,0.124119,0.143326,0.068164
0.081109,-0.081109,nan,0.000000,0.162219,0.143326,0.068164
0.040255,-0.040255,nan,0.000000,0.080511,0.143326,0.068164
0.049263,-0.049263,nan,0.000000,0.098526,0.143326,0.068164
0.074101,-0.074101,nan,0.000000,0.148201,0.143326,0.068164
0.081695,-0.081695,nan,0.000000,0.163390,0.143326,0.068164
0.038821,-0.038821,nan,0.000000,0.077641,0.143326,0.068164
0.035624,-0.035624,nan,0.000000,0.071248,0.143326,0.068164
0.068353,-0.068353,nan,0.000000,0.136707,0.143326,0.068164
0.079765,-0.079765,nan,0.000000,0.159531,0.143326,0.068164
0.100745,-0.100745,nan,0.000000,0.201490,0.143326,0.068164
0.117340,-0.117340,nan,0.000000,0.234679,0.143326,0.068164
0.042281,-0.042281,nan,0.000000,0.084562,0.143326,0.068164
0.023072,-0.023072,nan,0.000000,0.046144,0.143326,0.068164
0.099772,-0.099772,nan,0.000000,0.199544,0.143326,0.068164
0.104722,-0.104722,nan,0.000000,0.209444,0.143326,0.068164
0.086007,-0.086007,nan,0.000000,0.172014,0.143326,0.068164
0.086566,-0.086566,nan,0.000000,0.173132,0.143326,0.068164
0.088859,-0.088859,nan,0.000000,0.177717,0.143326,0.068164
0.100629,-0.100629,nan,0.000000,0.201257,0.143326,0.068164
0.078587,-0.078587,nan,0.000000,0.157173,0.143326,0.068164
0.005681,-0.005681,nan,0.000000,0.011362,0.143326,0.068164
0.023390,-0.023390,nan,0.000000,0.046780,0.143326,0.068164
0.060096,-0.060096,nan,0.000000,0.120193,0.143326,0.068164
0.059863,-0.059863,nan,0.000000,0.119726,0.143326,0.068164
0.067008,-0.067008,nan,0.000000,0.134016,0.143326,0.068164
0.093704,-0.093704,nan,0.000000,0.187408,0.143326,0.068164
0.084109,-0.084109,nan,0.000000,0.168217,0.143326,0.068164
0.050737,-0.050737,nan,0.000000,0.101473,0.143326,0.068164
0.066018,-0.066018,nan,0.000000,0.132037,0.143326,0.068164
0.062756,-0.062756,nan,0.000000,0.125513,0.143326,0.068164
0.113876,-0.113876,nan,0.000000,0.227751,0.143326,0.068164
0.071242,-0.071242,nan,0.000000,0.142484,0.143326,0.068164
0.019174,-0.019174,nan,0.000000,0.038347,0.143326,0.068164
-0.010904,0.010904,nan,0.000000,-0.021809,0.143326,0.068164
0.057298,-0.057298,nan,0.000000,0.114596,0.143326,0.068164
