t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
-0.078877,0.078877,nan,0.000000,-0.157754,-0.018308,0.069014
-0.012106,0.012106,nan,0.000000,-0.024211,-0.018308,0.069014
-0.021257,0.021257,nan,0.000000,-0.042513,-0.018308,0.069014
0.024961,-0.024961,nan,0.000000,0.049922,-0.018308,0.069014
-0.053887,0.053887,nan,0.000000,-0.107773,-0.018308,0.069014
-0.002679,0.002679,nan,0.000000,-0.005359,-0.018308,0.069014
0.030675,-0.030675,nan,0.000000,0.061350,-0.018308,0.069014
0.019760,-0.019760,nan,0.000000,0.039521,-0.018308,0.069014
-0.007825,0.007825,nan,0.000000,-0.015650,-0.018308,0.069014
-0.021931,0.021931,nan,0.000000,-0.043862,-0.018308,0.069014
-0.047954,0.047954,nan,0.000000,-0.095907,-0.018308,0.069014
-0.009670,0.009670,nan,0.000000,-0.019340,-0.018308,0.069014
0.003383,-0.003383,nan,0.000000,0.006766,-0.018308,0.069014
-0.052866,0.052866,nan,0.000000,-0.105731,-0.018308,0.069014
-0.050982,0.050982,nan,0.000000,-0.101963,-0.018308,0.069014
-0.035495,0.035495,nan,0.000000,-0.070989,-0.018308,0.069014
-0.001778,0.001778,nan,0.000000,-0.003557,-0.018308,0.069014
-0.009916,0.009916,nan,0.000000,-0.019831,-0.018308,0.069014
-0.037681,0.037681,nan,0.000000,-0.075361,-0.018308,0.069014
-0.016789,0.016789,nan,0.000000,-0.033577,-0.018308,0.069014
0.035534,-0.035534,nan,0.000000,0.071068,-0.018308,0.069014
-0.037821,0.037821,nan,0.000000,-0.075642,-0.018308,0.069014
-0.013558,0.013558,nan,0.000000,-0.027116,-0.018308,0.069014
-0.051882,0.051882,nan,0.000000,-0.103765,-0.018308,0.069014
-0.001080,0.001080,nan,0.000000,-0.002160,-0.018308,0.069014
0.034449,-0.034449,nan,0.000000,0.068898,-0.018308,0.069014
0.005450,-0.005450,nan,0.000000,0.010901,-0.018308,0.069014
0.041475,-0.041475,nan,0.000000,0.082949,-0.018308,0.069014
-0.032420,0.032420,nan,0.000000,-0.064840,-0.018308,0.069014
-0.008095,0.008095,nan,0.000000,-0.016189,-0.018308,0.069014
0.023353,-0.023353,nan,0.000000,0.046705,-0.018308,0.069014
-0.075921,0.075921,nan,0.000000,-0.151842,-0.018308,0.069014
-0.009407,0.009407,nan,0.000000,-0.018813,-0.018308,0.069014
0.017123,-0.017123,nan,0.000000,0.034247,-0.018308,0.069014
-0.043016,0.043016,nan,0.000000,-0.086032,-0.018308,0.069014
0.032143,-0.032143,nan,0.000000,0.064286,-0.018308,0.069014
-0.040305,0.040305,nan,0.000000,-0.080610,-0.018308,0.069014
-0.057395,0.057395,nan,0.000000,-0.114791,-0.018308,0.069014
-0.025853,0.025853,nan,0.000000,-0.051706,-0.018308,0.069014
0.002794,-0.002794,nan,0.000000,0.005587,-0.018308,0.069014
-0.001781,0.001781,nan,0.000000,-0.003562,-0.018308,0.069014
0.007468,-0.007468,nan,0.000000,0.014937,-0.018308,0.069014
0.034898,-0.034898,nan,0.000000,0.069797,-0.018308,0.069014
-0.033543,0.033543,nan,0.000000,-0.067086,-0.018308,0.069014
0.001583,-0.001583,nan,0.000000,0.003167,-0.018308,0.069014
0.022309,-0.022309,nan,1.000000,0.044617,0.065367,0.069014
-0.000965,0.000965,nan,0.000000,-0.001930,0.065367,0.069014
0.105929,-0.105929,nan,0.000000,0.211857,0.065367,0.069014
0.000769,-0.000769,nan,0.000000,0.001538,0.065367,0.069014
0.084499,-0.084499,nan,0.000000,0.168997,0.065367,0.069014
-0.003995,0.003995,nan,0.000000,-0.007990,0.065367,0.069014
0.049809,-0.049809,nan,0.000000,0.099618,0.065367,0.069014
0.077794,-0.077794,nan,0.000000,0.155588,0.065367,0.069014
0.006504,-0.006504,nan,0.000000,0.013007,0.065367,0.069014
-0.044322,0.044322,nan,0.000000,-0.088645,0.065367,0.069014
0.017250,-0.017250,nan,0.000000,0.034501,0.065367,0.069014
0.031969,-0.031969,nan,0.000000,0.063939,0.065367,0.069014
0.046711,-0.046711,nan,0.000000,0.093423,0.065367,0.069014
0.051584,-0.051584,nan,0.000000,0.103168,0.065367,0.069014
0.085475,-0.085475,nan,0.000000,0.170951,0.065367,0.069014
0.014090,-0.014090,nan,0.000000,0.028180,0.065367,0.069014
0.025436,-0.025436,nan,0.000000,0.050873,0.065367,0.069014
0.013919,-0.013919,nan,0.000000,0.027837,0.065367,0.069014
0.032193,-0.032193,nan,0.000000,0.064386,0.065367,0.069014
-0.038927,0.038927,nan,0.000000,-0.077854,0.065367,0.069014
-0.018994,0.018994,nan,0.000000,-0.037988,0.065367,0.069014
0.071130,-0.071130,nan,0.000000,0.142259,0.065367,0.069014
