t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
-0.073920,0.073920,nan,0.000000,-0.147841,-0.198004,0.062413
-0.122814,0.122814,nan,0.000000,-0.245629,-0.198004,0.062413
-0.079631,0.079631,nan,0.000000,-0.159263,-0.198004,0.062413
-0.024226,0.024226,nan,0.000000,-0.048453,-0.198004,0.062413
-0.117616,0.117616,nan,0.000000,-0.235232,-0.198004,0.062413
-0.100434,0.100434,nan,0.000000,-0.200868,-0.198004,0.062413
-0.101550,0.101550,nan,0.000000,-0.203099,-0.198004,0.062413
-0.139038,0.139038,nan,0.000000,-0.278075,-0.198004,0.062413
-0.075406,0.075406,nan,0.000000,-0.150813,-0.198004,0.062413
-0.157473,0.157473,nan,0.000000,-0.314947,-0.198004,0.062413
-0.135516,0.135516,nan,0.000000,-0.271031,-0.198004,0.062413
-0.023737,0.023737,nan,1.000000,-0.047474,0.013149,0.062413
-0.016055,0.016055,nan,0.000000,-0.032109,0.013149,0.062413
0.012692,-0.012692,nan,0.000000,0.025384,0.013149,0.062413
0.098219,-0.098219,nan,0.000000,0.196438,0.013149,0.062413
0.043829,-0.043829,nan,0.000000,0.087657,0.013149,0.062413
0.006245,-0.006245,nan,0.000000,0.012490,0.013149,0.062413
0.028377,-0.028377,nan,0.000000,0.056753,0.013149,0.062413
0.000077,-0.000077,nan,0.000000,0.000154,0.013149,0.062413
0.047963,-0.047963,nan,0.000000,0.095926,0.013149,0.062413
0.043037,-0.043037,nan,0.000000,0.086074,0.013149,0.062413
-0.028052,0.028052,nan,0.000000,-0.056105,0.013149,0.062413
0.067342,-0.067342,nan,1.000000,0.134684,0.138842,0.062413
0.092096,-0.092096,nan,0.000000,0.184192,0.138842,0.062413
0.134434,-0.134434,nan,0.000000,0.268869,0.138842,0.062413
0.089330,-0.089330,nan,0.000000,0.178660,0.138842,0.062413
0.117973,-0.117973,nan,0.000000,0.235946,0.138842,0.062413
0.098253,-0.098253,nan,0.000000,0.196507,0.138842,0.062413
0.065982,-0.065982,nan,0.000000,0.131963,0.138842,0.062413
0.091363,-0.091363,nan,1.000000,0.182726,0.185803,0.062413
0.110957,-0.110957,nan,0.000000,0.221913,0.185803,0.062413
0.080859,-0.080859,nan,0.000000,0.161717,0.185803,0.062413
0.067270,-0.067270,nan,0.000000,0.134540,0.185803,0.062413
0.017649,-0.017649,nan,0.000000,0.035298,0.185803,0.062413
0.092621,-0.092621,nan,0.000000,0.185242,0.185803,0.062413
0.118010,-0.118010,nan,0.000000,0.236021,0.185803,0.062413
0.110849,-0.110849,nan,0.000000,0.221699,0.185803,0.062413
0.149073,-0.149073,nan,0.000000,0.298145,0.185803,0.062413
0.121817,-0.121817,nan,0.000000,0.243634,0.185803,0.062413
0.068070,-0.068070,nan,0.000000,0.136140,0.185803,0.062413
-0.003216,0.003216,nan,1.000000,-0.006433,0.053153,0.062413
0.010692,-0.010692,nan,0.000000,0.021384,0.053153,0.062413
0.021216,-0.021216,nan,0.000000,0.042431,0.053153,0.062413
0.018991,-0.018991,nan,0.000000,0.037981,0.053153,0.062413
-0.009403,0.009403,nan,0.000000,-0.018807,0.053153,0.062413
0.044683,-0.044683,nan,0.000000,0.089366,0.053153,0.062413
0.046192,-0.046192,nan,0.000000,0.092383,0.053153,0.062413
0.042386,-0.042386,nan,0.000000,0.084771,0.053153,0.062413
0.004328,-0.004328,nan,0.000000,0.008657,0.053153,0.062413
0.042996,-0.042996,nan,0.000000,0.085992,0.053153,0.062413
-0.029450,0.029450,nan,0.000000,-0.058900,0.053153,0.062413
0.022237,-0.022237,nan,0.000000,0.044474,0.053153,0.062413
0.074688,-0.074688,nan,0.000000,0.149376,0.053153,0.062413
-0.069716,0.069716,nan,1.000000,-0.139433,-0.029859,0.062413
-0.031222,0.031222,nan,0.000000,-0.062444,-0.029859,0.062413
