t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
-0.190579,0.190579,nan,0.000000,-0.381159,-0.437089,0.054716
-0.246095,0.246095,nan,0.000000,-0.492189,-0.437089,0.054716
-0.183964,0.183964,nan,0.000000,-0.367928,-0.437089,0.054716
-0.253861,0.253861,nan,0.000000,-0.507723,-0.437089,0.054716
-0.213573,0.213573,nan,0.000000,-0.427146,-0.437089,0.054716
-0.248299,0.248299,nan,0.000000,-0.496597,-0.437089,0.054716
-0.180264,0.180264,nan,0.000000,-0.360529,-0.437089,0.054716
-0.235373,0.235373,nan,0.000000,-0.470746,-0.437089,0.054716
-0.244622,0.244622,nan,0.000000,-0.489243,-0.437089,0.054716
0.297983,-0.297983,nan,1.000000,0.595966,0.537470,0.054716
0.273517,-0.273517,nan,0.000000,0.547034,0.537470,0.054716
0.250687,-0.250687,nan,0.000000,0.501374,0.537470,0.054716
0.271727,-0.271727,nan,0.000000,0.543454,0.537470,0.054716
0.234342,-0.234342,nan,0.000000,0.468683,0.537470,0.054716
0.264598,-0.264598,nan,0.000000,0.529196,0.537470,0.054716
0.269086,-0.269086,nan,0.000000,0.538172,0.537470,0.054716
0.305466,-0.305466,nan,0.000000,0.610932,0.537470,0.054716
0.297581,-0.297581,nan,0.000000,0.595162,0.537470,0.054716
0.297437,-0.297437,nan,0.000000,0.594874,0.537470,0.054716
0.192584,-0.192584,nan,1.000000,0.385167,0.458636,0.054716
0.270114,-0.270114,nan,0.000000,0.540227,0.458636,0.054716
0.218285,-0.218285,nan,0.000000,0.436571,0.458636,0.054716
0.192878,-0.192878,nan,0.000000,0.385756,0.458636,0.054716
0.229564,-0.229564,nan,0.000000,0.459128,0.458636,0.054716
0.189887,-0.189887,nan,0.000000,0.379775,0.458636,0.054716
0.234122,-0.234122,nan,0.000000,0.468244,0.458636,0.054716
0.187386,-0.187386,nan,0.000000,0.374772,0.458636,0.054716
0.197616,-0.197616,nan,0.000000,0.395231,0.458636,0.054716
0.216991,-0.216991,nan,0.000000,0.433982,0.458636,0.054716
0.194799,-0.194799,nan,0.000000,0.389597,0.458636,0.054716
0.293209,-0.293209,nan,0.000000,0.586419,0.458636,0.054716
0.265625,-0.265625,nan,1.000000,0.531250,0.575424,0.054716
0.284342,-0.284342,nan,0.000000,0.568683,0.575424,0.054716
0.334207,-0.334207,nan,0.000000,0.668413,0.575424,0.054716
0.337013,-0.337013,nan,0.000000,0.674026,0.575424,0.054716
0.305433,-0.305433,nan,0.000000,0.610866,0.575424,0.054716
0.317258,-0.317258,nan,0.000000,0.634515,0.575424,0.054716
0.256955,-0.256955,nan,0.000000,0.513909,0.575424,0.054716
0.276206,-0.276206,nan,0.000000,0.552413,0.575424,0.054716
0.290756,-0.290756,nan,0.000000,0.581513,0.575424,0.054716
0.312791,-0.312791,nan,0.000000,0.625581,0.575424,0.054716
0.243267,-0.243267,nan,0.000000,0.486534,0.575424,0.054716
0.270757,-0.270757,nan,1.000000,0.541514,0.556790,0.054716
0.264534,-0.264534,nan,0.000000,0.529067,0.556790,0.054716
0.306892,-0.306892,nan,0.000000,0.613783,0.556790,0.054716
0.288229,-0.288229,nan,0.000000,0.576459,0.556790,0.054716
0.294442,-0.294442,nan,0.000000,0.588883,0.556790,0.054716
0.279873,-0.279873,nan,0.000000,0.559746,0.556790,0.054716
0.260904,-0.260904,nan,0.000000,0.521808,0.556790,0.054716
0.247309,-0.247309,nan,0.000000,0.494618,0.556790,0.054716
0.296486,-0.296486,nan,0.000000,0.592972,0.556790,0.054716
-0.216825,0.216825,nan,1.000000,-0.433651,-0.418964,0.054716
-0.266230,0.266230,nan,0.000000,-0.532459,-0.418964,0.054716
-0.256209,0.256209,nan,0.000000,-0.512418,-0.418964,0.054716
-0.218035,0.218035,nan,0.000000,-0.436070,-0.418964,0.054716
-0.236551,0.236551,nan,0.000000,-0.473101,-0.418964,0.054716
-0.210608,0.210608,nan,0.000000,-0.421216,-0.418964,0.054716
-0.223109,0.223109,nan,0.000000,-0.446217,-0.418964,0.054716
-0.204914,0.204914,nan,0.000000,-0.409827,-0.418964,0.054716
-0.197578,0.197578,nan,0.000000,-0.395157,-0.418964,0.054716
-0.205665,0.205665,nan,0.000000,-0.411330,-0.418964,0.054716
-0.184686,0.184686,nan,0.000000,-0.369372,-0.418964,0.054716
-0.235397,0.235397,nan,0.000000,-0.470793,-0.418964,0.054716
-0.218420,0.218420,nan,1.000000,-0.436839,-0.502894,0.054716
-0.265393,0.265393,nan,0.000000,-0.530785,-0.502894,0.054716
-0.243053,0.243053,nan,0.000000,-0.486107,-0.502894,0.054716
-0.245028,0.245028,nan,0.000000,-0.490055,-0.502894,0.054716
-0.259308,0.259308,nan,0.000000,-0.518615,-0.502894,0.054716
-0.253520,0.253520,nan,0.000000,-0.507040,-0.502894,0.054716
-0.278052,0.278052,nan,0.000000,-0.556104,-0.502894,0.054716
0.279423,-0.279423,nan,1.000000,0.558845,0.476835,0.054716
0.182948,-0.182948,nan,0.000000,0.365896,0.476835,0.054716
0.243476,-0.243476,nan,0.000000,0.486952,0.476835,0.054716
0.230973,-0.230973,nan,0.000000,0.461947,0.476835,0.054716
0.210867,-0.210867,nan,0.000000,0.421734,0.476835,0.054716
0.237107,-0.237107,nan,0.000000,0.474213,0.476835,0.054716
0.214930,-0.214930,nan,0.000000,0.429860,0.476835,0.054716
0.296102,-0.296102,nan,0.000000,0.592205,0.476835,0.054716
0.229131,-0.229131,nan,0.000000,0.458262,0.476835,0.054716
0.194972,-0.194972,nan,1.000000,0.389945,0.402641,0.054716
0.207795,-0.207795,nan,0.000000,0.415590,0.402641,0.054716
0.184712,-0.184712,nan,0.000000,0.369425,0.402641,0.054716
0.228321,-0.228321,nan,0.000000,0.456643,0.402641,0.054716
0.214236,-0.214236,nan,0.000000,0.428472,0.402641,0.054716
0.211197,-0.211197,nan,0.000000,0.422394,0.402641,0.054716
0.237009,-0.237009,nan,0.000000,0.474018,0.402641,0.054716
0.187987,-0.187987,nan,0.000000,0.375975,0.402641,0.054716
0.253188,-0.253188,nan,1.000000,0.506375,0.418964,0.054716
0.192308,-0.192308,nan,0.000000,0.384617,0.418964,0.054716
0.225908,-0.225908,nan,0.000000,0.451816,0.418964,0.054716
0.237401,-0.237401,nan,0.000000,0.474803,0.418964,0.054716
0.194205,-0.194205,nan,0.000000,0.388410,0.418964,0.054716
-0.277194,0.277194,nan,1.000000,-0.554389,-0.584554,0.054716
-0.302800,0.302800,nan,0.000000,-0.605601,-0.584554,0.054716
-0.264173,0.264173,nan,0.000000,-0.528345,-0.584554,0.054716
-0.277208,0.277208,nan,0.000000,-0.554415,-0.584554,0.054716
-0.301800,0.301800,nan,0.000000,-0.603601,-0.584554,0.054716
-0.311076,0.311076,nan,0.000000,-0.622151,-0.584554,0.054716
-0.250746,0.250746,nan,0.000000,-0.501493,-0.584554,0.054716
-0.285896,0.285896,nan,0.000000,-0.571792,-0.584554,0.054716
-0.252310,0.252310,nan,0.000000,-0.504621,-0.584554,0.054716
-0.286922,0.286922,nan,0.000000,-0.573843,-0.584554,0.054716
-0.293306,0.293306,nan,0.000000,-0.586612,-0.584554,0.054716
-0.268125,0.268125,nan,0.000000,-0.536249,-0.584554,0.054716
0.280665,-0.280665,nan,1.000000,0.561329,0.539261,0.054716
0.304674,-0.304674,nan,0.000000,0.609348,0.539261,0.054716
0.252354,-0.252354,nan,0.000000,0.504707,0.539261,0.054716
0.288307,-0.288307,nan,0.000000,0.576614,0.539261,0.054716
0.283005,-0.283005,nan,0.000000,0.566010,0.539261,0.054716
0.289992,-0.289992,nan,0.000000,0.579984,0.539261,0.054716
0.279438,-0.279438,nan,0.000000,0.558877,0.539261,0.054716
0.312317,-0.312317,nan,0.000000,0.624633,0.539261,0.054716
0.245388,-0.245388,nan,1.000000,0.490776,0.478173,0.054716
0.265418,-0.265418,nan,0.000000,0.530836,0.478173,0.054716
0.256445,-0.256445,nan,0.000000,0.512890,0.478173,0.054716
0.216446,-0.216446,nan,0.000000,0.432893,0.478173,0.054716
0.213028,-0.213028,nan,0.000000,0.426056,0.478173,0.054716
0.208529,-0.208529,nan,0.000000,0.417059,0.478173,0.054716
0.223294,-0.223294,nan,0.000000,0.446589,0.478173,0.054716
0.245482,-0.245482,nan,0.000000,0.490964,0.478173,0.054716
0.234352,-0.234352,nan,0.000000,0.468704,0.478173,0.054716
0.266200,-0.266200,nan,0.000000,0.532400,0.478173,0.054716
0.258070,-0.258070,nan,0.000000,0.516140,0.478173,0.054716
0.275695,-0.275695,nan,0.000000,0.551390,0.478173,0.054716
0.206931,-0.206931,nan,0.000000,0.413861,0.478173,0.054716
-0.303259,0.303259,nan,1.000000,-0.606519,-0.579458,0.054716
-0.312746,0.312746,nan,0.000000,-0.625492,-0.579458,0.054716
-0.294328,0.294328,nan,0.000000,-0.588656,-0.579458,0.054716
-0.343345,0.343345,nan,0.000000,-0.686691,-0.579458,0.054716
