t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
0.145959,-0.145959,nan,0.000000,0.291918,0.290022,0.057564
0.165715,-0.165715,nan,0.000000,0.331431,0.290022,0.057564
0.174687,-0.174687,nan,0.000000,0.349374,0.290022,0.057564
0.121443,-0.121443,nan,0.000000,0.242887,0.290022,0.057564
0.141590,-0.141590,nan,0.000000,0.283181,0.290022,0.057564
0.122386,-0.122386,nan,0.000000,0.244773,0.290022,0.057564
0.142715,-0.142715,nan,0.000000,0.285431,0.290022,0.057564
0.135858,-0.135858,nan,0.000000,0.271716,0.290022,0.057564
0.161827,-0.161827,nan,0.000000,0.323654,0.290022,0.057564
0.152001,-0.152001,nan,0.000000,0.304001,0.290022,0.057564
0.133762,-0.133762,nan,0.000000,0.267523,0.290022,0.057564
0.164871,-0.164871,nan,0.000000,0.329743,0.290022,0.057564
0.155323,-0.155323,nan,0.000000,0.310647,0.290022,0.057564
0.163182,-0.163182,nan,0.000000,0.326363,0.290022,0.057564
0.177086,-0.177086,nan,0.000000,0.354172,0.290022,0.057564
-0.139140,0.139140,nan,1.000000,-0.278279,-0.333941,0.057564
-0.183488,0.183488,nan,0.000000,-0.366976,-0.333941,0.057564
-0.127056,0.127056,nan,0.000000,-0.254113,-0.333941,0.057564
-0.157001,0.157001,nan,0.000000,-0.314001,-0.333941,0.057564
-0.139231,0.139231,nan,0.000000,-0.278463,-0.333941,0.057564
-0.167786,0.167786,nan,0.000000,-0.335572,-0.333941,0.057564
-0.178293,0.178293,nan,0.000000,-0.356587,-0.333941,0.057564
-0.212565,0.212565,nan,0.000000,-0.425129,-0.333941,0.057564
-0.159391,0.159391,nan,0.000000,-0.318781,-0.333941,0.057564
-0.127414,0.127414,nan,0.000000,-0.254827,-0.333941,0.057564
-0.233703,0.233703,nan,0.000000,-0.467406,-0.333941,0.057564
-0.140196,0.140196,nan,1.000000,-0.280391,-0.301295,0.057564
-0.180907,0.180907,nan,0.000000,-0.361814,-0.301295,0.057564
-0.160041,0.160041,nan,0.000000,-0.320083,-0.301295,0.057564
-0.147600,0.147600,nan,0.000000,-0.295199,-0.301295,0.057564
-0.198606,0.198606,nan,0.000000,-0.397213,-0.301295,0.057564
-0.137577,0.137577,nan,0.000000,-0.275155,-0.301295,0.057564
-0.165029,0.165029,nan,0.000000,-0.330058,-0.301295,0.057564
0.139016,-0.139016,nan,1.000000,0.278032,0.292316,0.057564
0.111801,-0.111801,nan,0.000000,0.223601,0.292316,0.057564
0.170000,-0.170000,nan,0.000000,0.340000,0.292316,0.057564
0.113951,-0.113951,nan,0.000000,0.227902,0.292316,0.057564
0.195044,-0.195044,nan,0.000000,0.390088,0.292316,0.057564
0.129844,-0.129844,nan,0.000000,0.259688,0.292316,0.057564
0.129952,-0.129952,nan,0.000000,0.259904,0.292316,0.057564
-0.110183,0.110183,nan,1.000000,-0.220367,-0.244864,0.057564
-0.100929,0.100929,nan,0.000000,-0.201858,-0.244864,0.057564
-0.139896,0.139896,nan,0.000000,-0.279792,-0.244864,0.057564
-0.133401,0.133401,nan,0.000000,-0.266803,-0.244864,0.057564
-0.085202,0.085202,nan,0.000000,-0.170404,-0.244864,0.057564
-0.164527,0.164527,nan,0.000000,-0.329054,-0.244864,0.057564
-0.154923,0.154923,nan,0.000000,-0.309845,-0.244864,0.057564
-0.103323,0.103323,nan,0.000000,-0.206646,-0.244864,0.057564
-0.150523,0.150523,nan,0.000000,-0.301046,-0.244864,0.057564
-0.224603,0.224603,nan,0.000000,-0.449205,-0.244864,0.057564
-0.165571,0.165571,nan,0.000000,-0.331141,-0.244864,0.057564
-0.118253,0.118253,nan,0.000000,-0.236505,-0.244864,0.057564
