t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
0.514444,0.485556,nan,0.000000,-0.028888,-0.070710,0.061993
0.549171,0.450829,nan,0.000000,-0.098341,-0.070710,0.061993
0.570306,0.429694,nan,0.000000,-0.140611,-0.070710,0.061993
0.522494,0.477506,nan,0.000000,-0.044989,-0.070710,0.061993
0.549034,0.450966,nan,0.000000,-0.098068,-0.070710,0.061993
0.548534,0.451466,nan,0.000000,-0.097067,-0.070710,0.061993
0.525952,0.474048,nan,0.000000,-0.051905,-0.070710,0.061993
0.513870,0.486130,nan,0.000000,-0.027739,-0.070710,0.061993
0.503251,0.496749,nan,0.000000,-0.006501,-0.070710,0.061993
0.524724,0.475276,nan,0.000000,-0.049448,-0.070710,0.061993
0.531303,0.468697,nan,0.000000,-0.062606,-0.070710,0.061993
0.483039,0.516961,nan,0.000000,0.033921,-0.070710,0.061993
0.499422,0.500578,nan,0.000000,0.001155,-0.070710,0.061993
0.566400,0.433600,nan,0.000000,-0.132800,-0.070710,0.061993
0.513005,0.486995,nan,0.000000,-0.026010,-0.070710,0.061993
0.549683,0.450317,nan,0.000000,-0.099366,-0.070710,0.061993
0.554277,0.445723,nan,0.000000,-0.108553,-0.070710,0.061993
0.580079,0.419921,nan,0.000000,-0.160159,-0.070710,0.061993
0.512015,0.487985,nan,0.000000,-0.024030,-0.070710,0.061993
0.533370,0.466630,nan,0.000000,-0.066740,-0.070710,0.061993
0.500400,0.499600,nan,0.000000,-0.000800,-0.070710,0.061993
0.580409,0.419591,nan,0.000000,-0.160817,-0.070710,0.061993
0.485398,0.514602,nan,0.000000,0.029204,-0.070710,0.061993
0.593367,0.406633,nan,0.000000,-0.186734,-0.070710,0.061993
0.470471,0.529529,nan,1.000000,0.059058,0.126374,0.061993
0.481732,0.518268,nan,0.000000,0.036536,0.126374,0.061993
0.442818,0.557182,nan,0.000000,0.114365,0.126374,0.061993
0.448375,0.551625,nan,0.000000,0.103250,0.126374,0.061993
0.430669,0.569331,nan,0.000000,0.138663,0.126374,0.061993
0.475777,0.524223,nan,0.000000,0.048447,0.126374,0.061993
0.467684,0.532316,nan,0.000000,0.064632,0.126374,0.061993
0.457654,0.542346,nan,0.000000,0.084692,0.126374,0.061993
0.362164,0.637836,nan,0.000000,0.275671,0.126374,0.061993
0.404918,0.595082,nan,0.000000,0.190163,0.126374,0.061993
0.458886,0.541114,nan,0.000000,0.082228,0.126374,0.061993
0.430078,0.569922,nan,0.000000,0.139844,0.126374,0.061993
0.430904,0.569096,nan,0.000000,0.138191,0.126374,0.061993
0.497230,0.502770,nan,0.000000,0.005540,0.126374,0.061993
0.444532,0.555468,nan,0.000000,0.110935,0.126374,0.061993
0.497748,0.502252,nan,0.000000,0.004504,0.126374,0.061993
0.464946,0.535054,nan,0.000000,0.070109,0.126374,0.061993
0.435474,0.564526,nan,0.000000,0.129052,0.126374,0.061993
0.424494,0.575506,nan,0.000000,0.151012,0.126374,0.061993
0.473834,0.526166,nan,0.000000,0.052333,0.126374,0.061993
0.433494,0.566506,nan,0.000000,0.133012,0.126374,0.061993
0.468439,0.531561,nan,0.000000,0.063122,0.126374,0.061993
0.485322,0.514678,nan,0.000000,0.029355,0.126374,0.061993
0.456126,0.543874,nan,0.000000,0.087748,0.126374,0.061993
0.467726,0.532274,nan,0.000000,0.064548,0.126374,0.061993
0.434433,0.565567,nan,0.000000,0.131134,0.126374,0.061993
0.423954,0.576046,nan,0.000000,0.152092,0.126374,0.061993
0.407343,0.592657,nan,0.000000,0.185315,0.126374,0.061993
0.448687,0.551313,nan,1.000000,0.102627,0.174770,0.061993
0.303316,0.696684,nan,0.000000,0.393369,0.174770,0.061993
0.386227,0.613773,nan,0.000000,0.227546,0.174770,0.061993
0.371030,0.628970,nan,0.000000,0.257940,0.174770,0.061993
0.387600,0.612400,nan,0.000000,0.224800,0.174770,0.061993
0.398012,0.601988,nan,0.000000,0.203976,0.174770,0.061993
0.415434,0.584566,nan,0.000000,0.169131,0.174770,0.061993
0.379186,0.620814,nan,0.000000,0.241628,0.174770,0.061993
0.425732,0.574268,nan,0.000000,0.148535,0.174770,0.061993
0.430526,0.569474,nan,0.000000,0.138949,0.174770,0.061993
0.416155,0.583845,nan,0.000000,0.167690,0.174770,0.061993
0.420180,0.579820,nan,0.000000,0.159640,0.174770,0.061993
0.457043,0.542957,nan,0.000000,0.085915,0.174770,0.061993
0.422722,0.577278,nan,0.000000,0.154557,0.174770,0.061993
0.417456,0.582544,nan,0.000000,0.165088,0.174770,0.061993
0.441099,0.558901,nan,0.000000,0.117802,0.174770,0.061993
0.432817,0.567183,nan,0.000000,0.134366,0.174770,0.061993
0.410893,0.589107,nan,0.000000,0.178215,0.174770,0.061993
0.395324,0.604676,nan,0.000000,0.209351,0.174770,0.061993
0.415342,0.584658,nan,0.000000,0.169316,0.174770,0.061993
0.405553,0.594447,nan,0.000000,0.188893,0.174770,0.061993
0.380604,0.619396,nan,0.000000,0.238793,0.174770,0.061993
0.419153,0.580847,nan,0.000000,0.161693,0.174770,0.061993
0.362522,0.637478,nan,0.000000,0.274955,0.174770,0.061993
0.403766,0.596234,nan,0.000000,0.192469,0.174770,0.061993
0.521801,0.478199,nan,1.000000,-0.043603,0.016173,0.061993
0.490836,0.509164,nan,0.000000,0.018329,0.016173,0.061993
0.510443,0.489557,nan,0.000000,-0.020885,0.016173,0.061993
0.524985,0.475015,nan,0.000000,-0.049970,0.016173,0.061993
0.479233,0.520767,nan,0.000000,0.041533,0.016173,0.061993
0.503539,0.496461,nan,0.000000,-0.007077,0.016173,0.061993
0.452686,0.547314,nan,0.000000,0.094627,0.016173,0.061993
0.542242,0.457758,nan,0.000000,-0.084484,0.016173,0.061993
0.510360,0.489640,nan,0.000000,-0.020721,0.016173,0.061993
0.489037,0.510963,nan,0.000000,0.021926,0.016173,0.061993
0.459381,0.540619,nan,0.000000,0.081238,0.016173,0.061993
0.482191,0.517809,nan,0.000000,0.035618,0.016173,0.061993
0.485616,0.514384,nan,0.000000,0.028768,0.016173,0.061993
0.440350,0.559650,nan,0.000000,0.119301,0.016173,0.061993
0.518648,0.481352,nan,0.000000,-0.037296,0.016173,0.061993
0.479061,0.520939,nan,0.000000,0.041879,0.016173,0.061993
0.526839,0.473161,nan,0.000000,-0.053678,0.016173,0.061993
0.504439,0.495561,nan,0.000000,-0.008878,0.016173,0.061993
0.527009,0.472991,nan,0.000000,-0.054018,0.016173,0.061993
0.510112,0.489888,nan,0.000000,-0.020223,0.016173,0.061993
0.507943,0.492057,nan,0.000000,-0.015886,0.016173,0.061993
0.463891,0.536109,nan,0.000000,0.072217,0.016173,0.061993
0.450969,0.549031,nan,0.000000,0.098061,0.016173,0.061993
0.474413,0.525587,nan,0.000000,0.051175,0.016173,0.061993
0.483132,0.516868,nan,0.000000,0.033735,0.016173,0.061993
0.471405,0.528595,nan,0.000000,0.057191,0.016173,0.061993
0.454166,0.545834,nan,0.000000,0.091667,0.016173,0.061993
0.465754,0.534246,nan,0.000000,0.068493,0.016173,0.061993
0.506710,0.493290,nan,0.000000,-0.013420,0.016173,0.061993
0.451831,0.548169,nan,0.000000,0.096338,0.016173,0.061993
0.437421,0.562579,nan,0.000000,0.125157,0.016173,0.061993
0.459123,0.540877,nan,0.000000,0.081754,0.016173,0.061993
0.480531,0.519469,nan,0.000000,0.038938,0.016173,0.061993
0.547094,0.452906,nan,0.000000,-0.094188,0.016173,0.061993
0.456847,0.543153,nan,0.000000,0.086307,0.016173,0.061993
0.505615,0.494385,nan,0.000000,-0.011230,0.016173,0.061993
0.487322,0.512678,nan,0.000000,0.025357,0.016173,0.061993
0.478510,0.521490,nan,1.000000,0.042980,0.038237,0.061993
0.537756,0.462244,nan,0.000000,-0.075512,0.038237,0.061993
0.433924,0.566076,nan,0.000000,0.132153,0.038237,0.061993
0.483363,0.516637,nan,0.000000,0.033273,0.038237,0.061993
0.429615,0.570385,nan,0.000000,0.140769,0.038237,0.061993
0.456771,0.543229,nan,0.000000,0.086458,0.038237,0.061993
0.469082,0.530918,nan,0.000000,0.061836,0.038237,0.061993
0.473543,0.526457,nan,0.000000,0.052913,0.038237,0.061993
0.531449,0.468551,nan,0.000000,-0.062897,0.038237,0.061993
0.527921,0.472079,nan,0.000000,-0.055843,0.038237,0.061993
0.450664,0.549336,nan,0.000000,0.098672,0.038237,0.061993
0.465629,0.534371,nan,0.000000,0.068742,0.038237,0.061993
0.455389,0.544611,nan,0.000000,0.089221,0.038237,0.061993
0.526884,0.473116,nan,0.000000,-0.053769,0.038237,0.061993
0.454659,0.545341,nan,0.000000,0.090681,0.038237,0.061993
0.425188,0.574812,nan,0.000000,0.149623,0.038237,0.061993
0.525242,0.474758,nan,0.000000,-0.050484,0.038237,0.061993
0.455527,0.544473,nan,0.000000,0.088945,0.038237,0.061993
0.453336,0.546664,nan,0.000000,0.093328,0.038237,0.061993
0.456073,0.543927,nan,0.000000,0.087854,0.038237,0.061993
0.473605,0.526395,nan,0.000000,0.052789,0.038237,0.061993
0.451170,0.548830,nan,0.000000,0.097660,0.038237,0.061993
0.537446,0.462554,nan,0.000000,-0.074892,0.038237,0.061993
0.510490,0.489510,nan,0.000000,-0.020979,0.038237,0.061993
0.492335,0.507665,nan,0.000000,0.015329,0.038237,0.061993
0.518938,0.481062,nan,0.000000,-0.037876,0.038237,0.061993
