t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
-0.134769,0.134769,nan,0.000000,0.269539,0.183348,0.054609
-0.091560,0.091560,nan,0.000000,0.183121,0.183348,0.054609
-0.143620,0.143620,nan,0.000000,0.287240,0.183348,0.054609
0.002136,-0.002136,nan,0.000000,-0.004272,0.183348,0.054609
-0.068374,0.068374,nan,0.000000,0.136748,0.183348,0.054609
-0.112982,0.112982,nan,0.000000,0.225964,0.183348,0.054609
-0.075807,0.075807,nan,0.000000,0.151615,0.183348,0.054609
-0.108036,0.108036,nan,0.000000,0.216071,0.183348,0.054609
-0.097385,0.097385,nan,0.000000,0.194770,0.183348,0.054609
-0.128414,0.128414,nan,0.000000,0.256829,0.183348,0.054609
-0.074781,0.074781,nan,0.000000,0.149563,0.183348,0.054609
-0.077631,0.077631,nan,0.000000,0.155262,0.183348,0.054609
-0.139204,0.139204,nan,0.000000,0.278407,0.183348,0.054609
-0.133340,0.133340,nan,0.000000,0.266680,0.183348,0.054609
-0.089072,0.089072,nan,0.000000,0.178144,0.183348,0.054609
-0.098148,0.098148,nan,0.000000,0.196296,0.183348,0.054609
-0.088927,0.088927,nan,0.000000,0.177855,0.183348,0.054609
-0.036741,0.036741,nan,0.000000,0.073482,0.183348,0.054609
-0.060470,0.060470,nan,0.000000,0.120941,0.183348,0.054609
-0.110979,0.110979,nan,0.000000,0.221958,0.183348,0.054609
-0.021416,0.021416,nan,0.000000,0.042832,0.183348,0.054609
-0.047830,0.047830,nan,0.000000,0.095661,0.183348,0.054609
-0.091152,0.091152,nan,0.000000,0.182304,0.183348,0.054609
-0.057780,0.057780,nan,0.000000,0.115559,0.183348,0.054609
-0.103234,0.103234,nan,0.000000,0.206467,0.183348,0.054609
-0.135757,0.135757,nan,0.000000,0.271515,0.183348,0.054609
-0.080216,0.080216,nan,0.000000,0.160432,0.183348,0.054609
0.077558,-0.077558,nan,1.000000,-0.155116,-0.131084,0.054609
0.060872,-0.060872,nan,0.000000,-0.121744,-0.131084,0.054609
0.065694,-0.065694,nan,0.000000,-0.131388,-0.131084,0.054609
0.065000,-0.065000,nan,0.000000,-0.130000,-0.131084,0.054609
0.075938,-0.075938,nan,0.000000,-0.151876,-0.131084,0.054609
0.106105,-0.106105,nan,0.000000,-0.212210,-0.131084,0.054609
0.069942,-0.069942,nan,0.000000,-0.139883,-0.131084,0.054609
0.075016,-0.075016,nan,0.000000,-0.150031,-0.131084,0.054609
0.090122,-0.090122,nan,0.000000,-0.180244,-0.131084,0.054609
0.044527,-0.044527,nan,0.000000,-0.089054,-0.131084,0.054609
0.056185,-0.056185,nan,0.000000,-0.112370,-0.131084,0.054609
0.096142,-0.096142,nan,0.000000,-0.192284,-0.131084,0.054609
0.051654,-0.051654,nan,0.000000,-0.103308,-0.131084,0.054609
0.030128,-0.030128,nan,0.000000,-0.060257,-0.131084,0.054609
0.026837,-0.026837,nan,0.000000,-0.053675,-0.131084,0.054609
0.061202,-0.061202,nan,0.000000,-0.122404,-0.131084,0.054609
0.064033,-0.064033,nan,0.000000,-0.128065,-0.131084,0.054609
0.026330,-0.026330,nan,0.000000,-0.052660,-0.131084,0.054609
0.070912,-0.070912,nan,0.000000,-0.141824,-0.131084,0.054609
0.076854,-0.076854,nan,0.000000,-0.153709,-0.131084,0.054609
0.036587,-0.036587,nan,0.000000,-0.073174,-0.131084,0.054609
0.055804,-0.055804,nan,0.000000,-0.111608,-0.131084,0.054609
0.052104,-0.052104,nan,1.000000,-0.104208,-0.130800,0.054609
0.106708,-0.106708,nan,0.000000,-0.213417,-0.130800,0.054609
0.064184,-0.064184,nan,0.000000,-0.128368,-0.130800,0.054609
0.102131,-0.102131,nan,0.000000,-0.204262,-0.130800,0.054609
0.061174,-0.061174,nan,0.000000,-0.122348,-0.130800,0.054609
0.078507,-0.078507,nan,0.000000,-0.157015,-0.130800,0.054609
0.035894,-0.035894,nan,0.000000,-0.071789,-0.130800,0.054609
0.077149,-0.077149,nan,0.000000,-0.154298,-0.130800,0.054609
0.074459,-0.074459,nan,0.000000,-0.148917,-0.130800,0.054609
0.084005,-0.084005,nan,0.000000,-0.168010,-0.130800,0.054609
0.081857,-0.081857,nan,0.000000,-0.163713,-0.130800,0.054609
0.066903,-0.066903,nan,0.000000,-0.133806,-0.130800,0.054609
0.038543,-0.038543,nan,0.000000,-0.077086,-0.130800,0.054609
0.079501,-0.079501,nan,0.000000,-0.159003,-0.130800,0.054609
0.069244,-0.069244,nan,0.000000,-0.138488,-0.130800,0.054609
0.045940,-0.045940,nan,0.000000,-0.091880,-0.130800,0.054609
0.055038,-0.055038,nan,0.000000,-0.110075,-0.130800,0.054609
0.076199,-0.076199,nan,0.000000,-0.152398,-0.130800,0.054609
0.032447,-0.032447,nan,0.000000,-0.064893,-0.130800,0.054609
0.101498,-0.101498,nan,0.000000,-0.202995,-0.130800,0.054609
0.033039,-0.033039,nan,0.000000,-0.066078,-0.130800,0.054609
0.084123,-0.084123,nan,0.000000,-0.168246,-0.130800,0.054609
0.046528,-0.046528,nan,0.000000,-0.093056,-0.130800,0.054609
0.060162,-0.060162,nan,0.000000,-0.120324,-0.130800,0.054609
0.109238,-0.109238,nan,0.000000,-0.218477,-0.130800,0.054609
-0.038961,0.038961,nan,0.000000,0.077923,-0.130800,0.054609
0.037191,-0.037191,nan,0.000000,-0.074381,-0.130800,0.054609
0.112073,-0.112073,nan,0.000000,-0.224146,-0.130800,0.054609
0.094947,-0.094947,nan,0.000000,-0.189895,-0.130800,0.054609
0.031178,-0.031178,nan,0.000000,-0.062356,-0.130800,0.054609
0.051249,-0.051249,nan,0.000000,-0.102497,-0.130800,0.054609
0.039815,-0.039815,nan,0.000000,-0.079631,-0.130800,0.054609
0.114804,-0.114804,nan,0.000000,-0.229609,-0.130800,0.054609
0.063940,-0.063940,nan,1.000000,-0.127881,-0.194554,0.054609
0.104931,-0.104931,nan,0.000000,-0.209862,-0.194554,0.054609
0.071122,-0.071122,nan,0.000000,-0.142245,-0.194554,0.054609
0.101153,-0.101153,nan,0.000000,-0.202307,-0.194554,0.054609
0.074777,-0.074777,nan,0.000000,-0.149553,-0.194554,0.054609
0.078321,-0.078321,nan,0.000000,-0.156642,-0.194554,0.054609
0.112179,-0.112179,nan,0.000000,-0.224359,-0.194554,0.054609
0.138009,-0.138009,nan,0.000000,-0.276019,-0.194554,0.054609
0.064938,-0.064938,nan,0.000000,-0.129876,-0.194554,0.054609
0.078006,-0.078006,nan,0.000000,-0.156012,-0.194554,0.054609
0.106811,-0.106811,nan,0.000000,-0.213621,-0.194554,0.054609
0.096215,-0.096215,nan,0.000000,-0.192431,-0.194554,0.054609
0.029710,-0.029710,nan,0.000000,-0.059421,-0.194554,0.054609
0.086939,-0.086939,nan,0.000000,-0.173878,-0.194554,0.054609
0.132325,-0.132325,nan,0.000000,-0.264650,-0.194554,0.054609
0.113048,-0.113048,nan,0.000000,-0.226096,-0.194554,0.054609
0.121158,-0.121158,nan,0.000000,-0.242317,-0.194554,0.054609
0.108281,-0.108281,nan,0.000000,-0.216563,-0.194554,0.054609
0.108409,-0.108409,nan,0.000000,-0.216819,-0.194554,0.054609
0.080396,-0.080396,nan,0.000000,-0.160791,-0.194554,0.054609
0.100190,-0.100190,nan,0.000000,-0.200379,-0.194554,0.054609
0.103377,-0.103377,nan,0.000000,-0.206754,-0.194554,0.054609
0.126328,-0.126328,nan,0.000000,-0.252656,-0.194554,0.054609
0.116919,-0.116919,nan,0.000000,-0.233838,-0.194554,0.054609
0.097798,-0.097798,nan,0.000000,-0.195596,-0.194554,0.054609
0.094493,-0.094493,nan,0.000000,-0.188986,-0.194554,0.054609
0.098463,-0.098463,nan,0.000000,-0.196926,-0.194554,0.054609
0.110985,-0.110985,nan,0.000000,-0.221971,-0.194554,0.054609
0.088387,-0.088387,nan,0.000000,-0.176774,-0.194554,0.054609
0.077583,-0.077583,nan,1.000000,-0.155166,-0.178461,0.054609
0.101892,-0.101892,nan,0.000000,-0.203785,-0.178461,0.054609
0.113494,-0.113494,nan,0.000000,-0.226987,-0.178461,0.054609
0.112316,-0.112316,nan,0.000000,-0.224632,-0.178461,0.054609
0.063458,-0.063458,nan,0.000000,-0.126916,-0.178461,0.054609
0.124159,-0.124159,nan,0.000000,-0.248317,-0.178461,0.054609
0.063072,-0.063072,nan,0.000000,-0.126144,-0.178461,0.054609
0.090094,-0.090094,nan,0.000000,-0.180187,-0.178461,0.054609
0.066305,-0.066305,nan,0.000000,-0.132610,-0.178461,0.054609
0.089442,-0.089442,nan,0.000000,-0.178883,-0.178461,0.054609
0.093032,-0.093032,nan,0.000000,-0.186064,-0.178461,0.054609
0.123827,-0.123827,nan,0.000000,-0.247654,-0.178461,0.054609
