t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
0.354557,0.045443,nan,0.000000,-0.309115,-0.308013,0.055754
0.267489,0.132511,nan,0.000000,-0.134977,-0.308013,0.055754
0.313124,0.086876,nan,0.000000,-0.226249,-0.308013,0.055754
0.348817,0.051183,nan,0.000000,-0.297634,-0.308013,0.055754
0.322543,0.077457,nan,0.000000,-0.245086,-0.308013,0.055754
0.326104,0.073896,nan,0.000000,-0.252207,-0.308013,0.055754
0.350239,0.049761,nan,0.000000,-0.300477,-0.308013,0.055754
0.363868,0.036132,nan,0.000000,-0.327736,-0.308013,0.055754
0.332983,0.067017,nan,0.000000,-0.265966,-0.308013,0.055754
0.368985,0.031015,nan,0.000000,-0.337970,-0.308013,0.055754
0.336025,0.063975,nan,0.000000,-0.272049,-0.308013,0.055754
0.344455,0.055545,nan,0.000000,-0.288910,-0.308013,0.055754
0.363868,0.036132,nan,0.000000,-0.327736,-0.308013,0.055754
0.356109,0.043891,nan,0.000000,-0.312219,-0.308013,0.055754
0.366079,0.033921,nan,0.000000,-0.332159,-0.308013,0.055754
0.389846,0.010154,nan,0.000000,-0.379692,-0.308013,0.055754
0.299986,0.100014,nan,0.000000,-0.199971,-0.308013,0.055754
0.389057,0.010943,nan,0.000000,-0.378113,-0.308013,0.055754
0.396409,0.003591,nan,0.000000,-0.392817,-0.308013,0.055754
0.334026,0.065974,nan,0.000000,-0.268051,-0.308013,0.055754
0.408475,-0.008475,nan,0.000000,-0.416950,-0.308013,0.055754
0.051397,0.348603,nan,1.000000,0.297205,0.312082,0.055754
0.045810,0.354190,nan,0.000000,0.308381,0.312082,0.055754
-0.003902,0.403902,nan,0.000000,0.407804,0.312082,0.055754
0.073919,0.326081,nan,0.000000,0.252162,0.312082,0.055754
0.068318,0.331682,nan,0.000000,0.263364,0.312082,0.055754
0.028366,0.371634,nan,0.000000,0.343268,0.312082,0.055754
0.035147,0.364853,nan,0.000000,0.329706,0.312082,0.055754
0.040554,0.359446,nan,0.000000,0.318891,0.312082,0.055754
0.074334,0.325666,nan,0.000000,0.251333,0.312082,0.055754
0.055108,0.344892,nan,0.000000,0.289783,0.312082,0.055754
0.036385,0.363615,nan,0.000000,0.327230,0.312082,0.055754
0.079508,0.320492,nan,0.000000,0.240983,0.312082,0.055754
0.032910,0.367090,nan,0.000000,0.334180,0.312082,0.055754
0.056977,0.343023,nan,0.000000,0.286045,0.312082,0.055754
0.035778,0.364222,nan,0.000000,0.328445,0.312082,0.055754
0.036954,0.363046,nan,0.000000,0.326091,0.312082,0.055754
0.075802,0.324198,nan,0.000000,0.248396,0.312082,0.055754
-0.003400,0.403400,nan,0.000000,0.406800,0.312082,0.055754
0.058759,0.341241,nan,0.000000,0.282482,0.312082,0.055754
0.042112,0.357888,nan,0.000000,0.315775,0.312082,0.055754
0.010698,0.389302,nan,0.000000,0.378605,0.312082,0.055754
0.039323,0.360677,nan,0.000000,0.321354,0.312082,0.055754
0.055715,0.344285,nan,0.000000,0.288571,0.312082,0.055754
0.041739,0.358261,nan,0.000000,0.316521,0.312082,0.055754
0.287412,0.112588,nan,1.000000,-0.174824,-0.229207,0.055754
0.271886,0.128114,nan,0.000000,-0.143773,-0.229207,0.055754
0.296854,0.103146,nan,0.000000,-0.193709,-0.229207,0.055754
0.318911,0.081089,nan,0.000000,-0.237822,-0.229207,0.055754
0.308773,0.091227,nan,0.000000,-0.217545,-0.229207,0.055754
0.326685,0.073315,nan,0.000000,-0.253370,-0.229207,0.055754
0.341621,0.058379,nan,0.000000,-0.283242,-0.229207,0.055754
0.301503,0.098497,nan,0.000000,-0.203006,-0.229207,0.055754
0.336804,0.063196,nan,0.000000,-0.273608,-0.229207,0.055754
0.309942,0.090058,nan,0.000000,-0.219883,-0.229207,0.055754
0.298772,0.101228,nan,0.000000,-0.197545,-0.229207,0.055754
0.295591,0.104409,nan,0.000000,-0.191183,-0.229207,0.055754
0.308229,0.091771,nan,0.000000,-0.216459,-0.229207,0.055754
0.292303,0.107697,nan,0.000000,-0.184606,-0.229207,0.055754
0.284715,0.115285,nan,0.000000,-0.169429,-0.229207,0.055754
0.291114,0.108886,nan,0.000000,-0.182228,-0.229207,0.055754
0.302038,0.097962,nan,0.000000,-0.204077,-0.229207,0.055754
0.318576,0.081424,nan,0.000000,-0.237152,-0.229207,0.055754
0.260905,0.139095,nan,0.000000,-0.121809,-0.229207,0.055754
0.309392,0.090608,nan,0.000000,-0.218785,-0.229207,0.055754
0.352013,0.047987,nan,0.000000,-0.304026,-0.229207,0.055754
0.313902,0.086098,nan,0.000000,-0.227804,-0.229207,0.055754
0.250222,0.149778,nan,0.000000,-0.100443,-0.229207,0.055754
0.333661,0.066339,nan,0.000000,-0.267322,-0.229207,0.055754
0.298409,0.101591,nan,0.000000,-0.196819,-0.229207,0.055754
0.264981,0.135019,nan,0.000000,-0.129961,-0.229207,0.055754
0.284750,0.115250,nan,0.000000,-0.169499,-0.229207,0.055754
0.279498,0.120502,nan,0.000000,-0.158996,-0.229207,0.055754
0.072627,0.327373,nan,1.000000,0.254746,0.308013,0.055754
0.052595,0.347405,nan,0.000000,0.294811,0.308013,0.055754
0.060542,0.339458,nan,0.000000,0.278916,0.308013,0.055754
0.081068,0.318932,nan,0.000000,0.237863,0.308013,0.055754
0.030212,0.369788,nan,0.000000,0.339576,0.308013,0.055754
0.049536,0.350464,nan,0.000000,0.300928,0.308013,0.055754
0.066089,0.333911,nan,0.000000,0.267822,0.308013,0.055754
0.031851,0.368149,nan,0.000000,0.336298,0.308013,0.055754
0.053068,0.346932,nan,0.000000,0.293864,0.308013,0.055754
0.065594,0.334406,nan,0.000000,0.268811,0.308013,0.055754
0.030105,0.369895,nan,0.000000,0.339790,0.308013,0.055754
0.030716,0.369284,nan,0.000000,0.338568,0.308013,0.055754
0.062167,0.337833,nan,0.000000,0.275666,0.308013,0.055754
0.046978,0.353022,nan,0.000000,0.306044,0.308013,0.055754
0.048825,0.351175,nan,0.000000,0.302350,0.308013,0.055754
0.062839,0.337161,nan,0.000000,0.274321,0.308013,0.055754
0.065131,0.334869,nan,0.000000,0.269738,0.308013,0.055754
0.058981,0.341019,nan,0.000000,0.282038,0.308013,0.055754
0.080785,0.319215,nan,0.000000,0.238429,0.308013,0.055754
0.001379,0.398621,nan,0.000000,0.397242,0.308013,0.055754
0.052970,0.347030,nan,0.000000,0.294061,0.308013,0.055754
-0.002375,0.402375,nan,0.000000,0.404751,0.308013,0.055754
0.025174,0.374826,nan,0.000000,0.349652,0.308013,0.055754
0.054391,0.345609,nan,0.000000,0.291219,0.308013,0.055754
0.036239,0.363761,nan,1.000000,0.327522,0.259577,0.055754
0.027454,0.372546,nan,0.000000,0.345092,0.259577,0.055754
0.122421,0.277579,nan,0.000000,0.155158,0.259577,0.055754
0.031792,0.368208,nan,0.000000,0.336416,0.259577,0.055754
0.065921,0.334079,nan,0.000000,0.268158,0.259577,0.055754
0.058883,0.341117,nan,0.000000,0.282235,0.259577,0.055754
0.034383,0.365617,nan,0.000000,0.331233,0.259577,0.055754
0.082584,0.317416,nan,0.000000,0.234831,0.259577,0.055754
0.065801,0.334199,nan,0.000000,0.268399,0.259577,0.055754
0.088210,0.311790,nan,0.000000,0.223580,0.259577,0.055754
0.069132,0.330868,nan,0.000000,0.261737,0.259577,0.055754
0.104863,0.295137,nan,0.000000,0.190275,0.259577,0.055754
0.079734,0.320266,nan,0.000000,0.240533,0.259577,0.055754
0.052509,0.347491,nan,0.000000,0.294983,0.259577,0.055754
0.109884,0.290116,nan,0.000000,0.180232,0.259577,0.055754
0.073202,0.326798,nan,0.000000,0.253596,0.259577,0.055754
0.116302,0.283698,nan,0.000000,0.167396,0.259577,0.055754
0.087158,0.312842,nan,0.000000,0.225683,0.259577,0.055754
0.044628,0.355372,nan,0.000000,0.310744,0.259577,0.055754
0.033432,0.366568,nan,0.000000,0.333136,0.259577,0.055754
0.099931,0.300069,nan,0.000000,0.200137,0.259577,0.055754
0.099060,0.300940,nan,0.000000,0.201881,0.259577,0.055754
0.097396,0.302604,nan,0.000000,0.205207,0.259577,0.055754
0.104492,0.295508,nan,0.000000,0.191016,0.259577,0.055754
0.075211,0.324789,nan,0.000000,0.249577,0.259577,0.055754
0.066833,0.333167,nan,0.000000,0.266334,0.259577,0.055754
0.034787,0.365213,nan,0.000000,0.330427,0.259577,0.055754
0.053718,0.346282,nan,0.000000,0.292565,0.259577,0.055754
0.114298,0.285702,nan,0.000000,0.171404,0.259577,0.055754
0.065563,0.334437,nan,0.000000,0.268874,0.259577,0.055754
0.092241,0.307759,nan,0.000000,0.215518,0.259577,0.055754
0.088883,0.311117,nan,0.000000,0.222233,0.259577,0.055754
0.266336,0.133664,nan,1.000000,-0.132671,-0.258775,0.055754
0.334200,0.065800,nan,0.000000,-0.268400,-0.258775,0.055754
0.306356,0.093644,nan,0.000000,-0.212712,-0.258775,0.055754
0.347017,0.052983,nan,0.000000,-0.294034,-0.258775,0.055754
0.337209,0.062791,nan,0.000000,-0.274418,-0.258775,0.055754
0.316506,0.083494,nan,0.000000,-0.233012,-0.258775,0.055754
0.307677,0.092323,nan,0.000000,-0.215354,-0.258775,0.055754
0.348444,0.051556,nan,0.000000,-0.296889,-0.258775,0.055754
0.307665,0.092335,nan,0.000000,-0.215330,-0.258775,0.055754
0.293914,0.106086,nan,0.000000,-0.187828,-0.258775,0.055754
0.308072,0.091928,nan,0.000000,-0.216143,-0.258775,0.055754
