t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
0.281367,-0.281367,nan,0.000000,-0.562734,-0.579809,0.050300
0.300983,-0.300983,nan,0.000000,-0.601966,-0.579809,0.050300
0.290798,-0.290798,nan,0.000000,-0.581597,-0.579809,0.050300
0.308630,-0.308630,nan,0.000000,-0.617260,-0.579809,0.050300
0.316430,-0.316430,nan,0.000000,-0.632860,-0.579809,0.050300
0.300051,-0.300051,nan,0.000000,-0.600101,-0.579809,0.050300
0.295095,-0.295095,nan,0.000000,-0.590190,-0.579809,0.050300
0.270987,-0.270987,nan,0.000000,-0.541975,-0.579809,0.050300
0.281329,-0.281329,nan,0.000000,-0.562658,-0.579809,0.050300
0.274955,-0.274955,nan,0.000000,-0.549910,-0.579809,0.050300
0.255225,-0.255225,nan,0.000000,-0.510449,-0.579809,0.050300
0.272232,-0.272232,nan,0.000000,-0.544464,-0.579809,0.050300
0.329637,-0.329637,nan,0.000000,-0.659274,-0.579809,0.050300
0.289948,-0.289948,nan,0.000000,-0.579895,-0.579809,0.050300
0.275334,-0.275334,nan,0.000000,-0.550668,-0.579809,0.050300
0.289429,-0.289429,nan,0.000000,-0.578857,-0.579809,0.050300
0.326148,-0.326148,nan,0.000000,-0.652296,-0.579809,0.050300
0.239886,-0.239886,nan,0.000000,-0.479772,-0.579809,0.050300
0.300996,-0.300996,nan,0.000000,-0.601992,-0.579809,0.050300
0.291859,-0.291859,nan,0.000000,-0.583718,-0.579809,0.050300
0.292813,-0.292813,nan,0.000000,-0.585625,-0.579809,0.050300
0.305252,-0.305252,nan,0.000000,-0.610504,-0.579809,0.050300
0.292201,-0.292201,nan,0.000000,-0.584402,-0.579809,0.050300
0.285422,-0.285422,nan,0.000000,-0.570844,-0.579809,0.050300
0.242818,-0.242818,nan,0.000000,-0.485636,-0.579809,0.050300
0.274934,-0.274934,nan,0.000000,-0.549867,-0.579809,0.050300
0.285092,-0.285092,nan,0.000000,-0.570184,-0.579809,0.050300
0.278490,-0.278490,nan,0.000000,-0.556979,-0.579809,0.050300
0.233990,-0.233990,nan,0.000000,-0.467980,-0.579809,0.050300
0.276511,-0.276511,nan,0.000000,-0.553023,-0.579809,0.050300
0.270478,-0.270478,nan,0.000000,-0.540957,-0.579809,0.050300
0.277438,-0.277438,nan,0.000000,-0.554876,-0.579809,0.050300
0.306234,-0.306234,nan,0.000000,-0.612468,-0.579809,0.050300
-0.250241,0.250241,nan,1.000000,0.500482,0.460117,0.050300
-0.206923,0.206923,nan,0.000000,0.413846,0.460117,0.050300
-0.232704,0.232704,nan,0.000000,0.465408,0.460117,0.050300
-0.237116,0.237116,nan,0.000000,0.474232,0.460117,0.050300
-0.252013,0.252013,nan,0.000000,0.504026,0.460117,0.050300
-0.164077,0.164077,nan,0.000000,0.328154,0.460117,0.050300
-0.236824,0.236824,nan,0.000000,0.473648,0.460117,0.050300
-0.245006,0.245006,nan,0.000000,0.490011,0.460117,0.050300
-0.242868,0.242868,nan,0.000000,0.485736,0.460117,0.050300
-0.275077,0.275077,nan,0.000000,0.550154,0.460117,0.050300
-0.241045,0.241045,nan,0.000000,0.482089,0.460117,0.050300
-0.256563,0.256563,nan,0.000000,0.513127,0.460117,0.050300
-0.280503,0.280503,nan,0.000000,0.561005,0.460117,0.050300
-0.217296,0.217296,nan,0.000000,0.434592,0.460117,0.050300
-0.214603,0.214603,nan,0.000000,0.429206,0.460117,0.050300
-0.244336,0.244336,nan,0.000000,0.488673,0.460117,0.050300
-0.266781,0.266781,nan,0.000000,0.533561,0.460117,0.050300
-0.189173,0.189173,nan,0.000000,0.378346,0.460117,0.050300
-0.239635,0.239635,nan,0.000000,0.479270,0.460117,0.050300
-0.257703,0.257703,nan,0.000000,0.515406,0.460117,0.050300
-0.188889,0.188889,nan,0.000000,0.377778,0.460117,0.050300
-0.222945,0.222945,nan,0.000000,0.445890,0.460117,0.050300
-0.182606,0.182606,nan,0.000000,0.365212,0.460117,0.050300
-0.238207,0.238207,nan,0.000000,0.476414,0.460117,0.050300
-0.207110,0.207110,nan,0.000000,0.414221,0.460117,0.050300
-0.233536,0.233536,nan,0.000000,0.467072,0.460117,0.050300
0.264108,-0.264108,nan,1.000000,-0.528215,-0.492492,0.050300
0.242294,-0.242294,nan,0.000000,-0.484588,-0.492492,0.050300
0.227422,-0.227422,nan,0.000000,-0.454843,-0.492492,0.050300
0.243309,-0.243309,nan,0.000000,-0.486618,-0.492492,0.050300
0.232030,-0.232030,nan,0.000000,-0.464061,-0.492492,0.050300
0.244876,-0.244876,nan,0.000000,-0.489752,-0.492492,0.050300
0.256920,-0.256920,nan,0.000000,-0.513840,-0.492492,0.050300
0.213411,-0.213411,nan,0.000000,-0.426821,-0.492492,0.050300
0.239850,-0.239850,nan,0.000000,-0.479699,-0.492492,0.050300
0.300012,-0.300012,nan,0.000000,-0.600023,-0.492492,0.050300
0.210204,-0.210204,nan,0.000000,-0.420408,-0.492492,0.050300
0.268534,-0.268534,nan,0.000000,-0.537067,-0.492492,0.050300
0.251258,-0.251258,nan,0.000000,-0.502517,-0.492492,0.050300
0.223342,-0.223342,nan,0.000000,-0.446684,-0.492492,0.050300
0.228665,-0.228665,nan,0.000000,-0.457331,-0.492492,0.050300
0.288365,-0.288365,nan,0.000000,-0.576730,-0.492492,0.050300
0.216662,-0.216662,nan,0.000000,-0.433324,-0.492492,0.050300
0.222079,-0.222079,nan,0.000000,-0.444158,-0.492492,0.050300
0.255525,-0.255525,nan,0.000000,-0.511050,-0.492492,0.050300
0.265734,-0.265734,nan,0.000000,-0.531468,-0.492492,0.050300
0.237599,-0.237599,nan,0.000000,-0.475198,-0.492492,0.050300
0.261713,-0.261713,nan,0.000000,-0.523426,-0.492492,0.050300
0.229279,-0.229279,nan,0.000000,-0.458558,-0.492492,0.050300
0.217143,-0.217143,nan,0.000000,-0.434287,-0.492492,0.050300
-0.267272,0.267272,nan,1.000000,0.534544,0.511721,0.050300
-0.201150,0.201150,nan,0.000000,0.402300,0.511721,0.050300
-0.248467,0.248467,nan,0.000000,0.496934,0.511721,0.050300
-0.239464,0.239464,nan,0.000000,0.478929,0.511721,0.050300
-0.200516,0.200516,nan,0.000000,0.401031,0.511721,0.050300
-0.270111,0.270111,nan,0.000000,0.540223,0.511721,0.050300
-0.231389,0.231389,nan,0.000000,0.462778,0.511721,0.050300
