t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
0.541031,0.458969,nan,0.000000,-0.082063,-0.056796,0.064041
0.474216,0.525784,nan,0.000000,0.051569,-0.056796,0.064041
0.529321,0.470679,nan,0.000000,-0.058642,-0.056796,0.064041
0.539436,0.460564,nan,0.000000,-0.078872,-0.056796,0.064041
0.486930,0.513070,nan,0.000000,0.026141,-0.056796,0.064041
0.541171,0.458829,nan,0.000000,-0.082342,-0.056796,0.064041
0.524548,0.475452,nan,0.000000,-0.049095,-0.056796,0.064041
0.567885,0.432115,nan,0.000000,-0.135771,-0.056796,0.064041
0.538334,0.461666,nan,0.000000,-0.076667,-0.056796,0.064041
0.567570,0.432430,nan,0.000000,-0.135139,-0.056796,0.064041
0.475983,0.524017,nan,0.000000,0.048034,-0.056796,0.064041
0.504436,0.495564,nan,0.000000,-0.008872,-0.056796,0.064041
0.515734,0.484266,nan,0.000000,-0.031467,-0.056796,0.064041
0.512818,0.487182,nan,0.000000,-0.025637,-0.056796,0.064041
0.546250,0.453750,nan,0.000000,-0.092500,-0.056796,0.064041
0.545074,0.454926,nan,0.000000,-0.090148,-0.056796,0.064041
0.523058,0.476942,nan,0.000000,-0.046116,-0.056796,0.064041
0.557284,0.442716,nan,0.000000,-0.114569,-0.056796,0.064041
0.492060,0.507940,nan,0.000000,0.015879,-0.056796,0.064041
0.517218,0.482782,nan,0.000000,-0.034436,-0.056796,0.064041
0.537520,0.462480,nan,0.000000,-0.075039,-0.056796,0.064041
0.499818,0.500182,nan,0.000000,0.000364,-0.056796,0.064041
0.533569,0.466431,nan,0.000000,-0.067139,-0.056796,0.064041
0.576820,0.423180,nan,0.000000,-0.153641,-0.056796,0.064041
0.404642,0.595358,nan,1.000000,0.190716,0.014667,0.064041
0.506388,0.493612,nan,0.000000,-0.012777,0.014667,0.064041
0.527726,0.472274,nan,0.000000,-0.055451,0.014667,0.064041
0.460215,0.539785,nan,0.000000,0.079570,0.014667,0.064041
0.512646,0.487354,nan,0.000000,-0.025292,0.014667,0.064041
0.457870,0.542130,nan,0.000000,0.084260,0.014667,0.064041
0.514148,0.485852,nan,0.000000,-0.028296,0.014667,0.064041
0.486860,0.513140,nan,0.000000,0.026280,0.014667,0.064041
0.546973,0.453027,nan,0.000000,-0.093945,0.014667,0.064041
0.532351,0.467649,nan,0.000000,-0.064701,0.014667,0.064041
