t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
0.439070,0.560930,nan,0.000000,0.121859,0.225839,0.069697
0.362421,0.637579,nan,0.000000,0.275157,0.225839,0.069697
0.417424,0.582576,nan,0.000000,0.165151,0.225839,0.069697
0.345095,0.654905,nan,0.000000,0.309810,0.225839,0.069697
0.422115,0.577885,nan,0.000000,0.155770,0.225839,0.069697
0.403245,0.596755,nan,0.000000,0.193510,0.225839,0.069697
0.348342,0.651658,nan,0.000000,0.303315,0.225839,0.069697
0.356992,0.643008,nan,0.000000,0.286017,0.225839,0.069697
0.404088,0.595912,nan,0.000000,0.191824,0.225839,0.069697
0.382595,0.617405,nan,0.000000,0.234811,0.225839,0.069697
0.366236,0.633764,nan,0.000000,0.267529,0.225839,0.069697
0.337099,0.662901,nan,0.000000,0.325803,0.225839,0.069697
0.430378,0.569622,nan,0.000000,0.139243,0.225839,0.069697
0.380643,0.619357,nan,0.000000,0.238714,0.225839,0.069697
0.387052,0.612948,nan,0.000000,0.225896,0.225839,0.069697
0.386662,0.613338,nan,0.000000,0.226676,0.225839,0.069697
0.431608,0.568392,nan,0.000000,0.136785,0.225839,0.069697
0.450416,0.549584,nan,0.000000,0.099169,0.225839,0.069697
0.403667,0.596333,nan,0.000000,0.192667,0.225839,0.069697
0.353646,0.646354,nan,0.000000,0.292709,0.225839,0.069697
0.372914,0.627086,nan,0.000000,0.254171,0.225839,0.069697
0.373118,0.626882,nan,0.000000,0.253764,0.225839,0.069697
0.294593,0.705407,nan,0.000000,0.410814,0.225839,0.069697
0.424791,0.575209,nan,0.000000,0.150419,0.225839,0.069697
0.383915,0.616085,nan,0.000000,0.232170,0.225839,0.069697
0.377062,0.622938,nan,0.000000,0.245877,0.225839,0.069697
0.414183,0.585817,nan,0.000000,0.171634,0.225839,0.069697
0.355675,0.644325,nan,0.000000,0.288650,0.225839,0.069697
0.393702,0.606298,nan,0.000000,0.212597,0.225839,0.069697
0.373285,0.626715,nan,0.000000,0.253431,0.225839,0.069697
0.365828,0.634172,nan,0.000000,0.268345,0.225839,0.069697
0.362656,0.637344,nan,0.000000,0.274688,0.225839,0.069697
0.346934,0.653066,nan,0.000000,0.306133,0.225839,0.069697
0.407124,0.592876,nan,0.000000,0.185751,0.225839,0.069697
0.371771,0.628229,nan,0.000000,0.256459,0.225839,0.069697
