t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
0.241465,-0.241465,nan,0.000000,0.482931,0.522795,0.050661
0.260018,-0.260018,nan,0.000000,0.520037,0.522795,0.050661
0.260105,-0.260105,nan,0.000000,0.520209,0.522795,0.050661
0.235531,-0.235531,nan,0.000000,0.471063,0.522795,0.050661
0.246006,-0.246006,nan,0.000000,0.492012,0.522795,0.050661
0.249546,-0.249546,nan,0.000000,0.499092,0.522795,0.050661
0.280527,-0.280527,nan,0.000000,0.561054,0.522795,0.050661
0.286469,-0.286469,nan,0.000000,0.572938,0.522795,0.050661
0.272029,-0.272029,nan,0.000000,0.544058,0.522795,0.050661
0.257093,-0.257093,nan,0.000000,0.514185,0.522795,0.050661
0.254637,-0.254637,nan,0.000000,0.509274,0.522795,0.050661
0.254806,-0.254806,nan,0.000000,0.509613,0.522795,0.050661
0.292191,-0.292191,nan,0.000000,0.584382,0.522795,0.050661
0.275484,-0.275484,nan,0.000000,0.550969,0.522795,0.050661
0.253145,-0.253145,nan,0.000000,0.506290,0.522795,0.050661
0.241074,-0.241074,nan,0.000000,0.482147,0.522795,0.050661
0.281673,-0.281673,nan,0.000000,0.563346,0.522795,0.050661
0.279869,-0.279869,nan,0.000000,0.559738,0.522795,0.050661
0.246623,-0.246623,nan,0.000000,0.493247,0.522795,0.050661
0.238028,-0.238028,nan,0.000000,0.476056,0.522795,0.050661
0.244115,-0.244115,nan,0.000000,0.488230,0.522795,0.050661
0.277381,-0.277381,nan,0.000000,0.554762,0.522795,0.050661
0.276720,-0.276720,nan,0.000000,0.553439,0.522795,0.050661
0.233985,-0.233985,nan,0.000000,0.467971,0.522795,0.050661
0.231677,-0.231677,nan,0.000000,0.463353,0.522795,0.050661
0.304933,-0.304933,nan,0.000000,0.609867,0.522795,0.050661
0.275665,-0.275665,nan,0.000000,0.551330,0.522795,0.050661
0.238518,-0.238518,nan,0.000000,0.477037,0.522795,0.050661
0.259834,-0.259834,nan,0.000000,0.519668,0.522795,0.050661
0.244913,-0.244913,nan,0.000000,0.489826,0.522795,0.050661
0.246643,-0.246643,nan,0.000000,0.493286,0.522795,0.050661
0.281973,-0.281973,nan,0.000000,0.563945,0.522795,0.050661
0.283065,-0.283065,nan,0.000000,0.566131,0.522795,0.050661
0.282274,-0.282274,nan,0.000000,0.564548,0.522795,0.050661
0.267596,-0.267596,nan,0.000000,0.535192,0.522795,0.050661
0.234049,-0.234049,nan,0.000000,0.468098,0.522795,0.050661
0.273094,-0.273094,nan,0.000000,0.546189,0.522795,0.050661
0.273420,-0.273420,nan,0.000000,0.546839,0.522795,0.050661
0.265713,-0.265713,nan,0.000000,0.531425,0.522795,0.050661
0.261082,-0.261082,nan,0.000000,0.522163,0.522795,0.050661
0.282072,-0.282072,nan,0.000000,0.564144,0.522795,0.050661
0.268326,-0.268326,nan,0.000000,0.536652,0.522795,0.050661
0.258977,-0.258977,nan,0.000000,0.517954,0.522795,0.050661
0.247286,-0.247286,nan,0.000000,0.494573,0.522795,0.050661
0.283536,-0.283536,nan,0.000000,0.567073,0.522795,0.050661
0.224351,-0.224351,nan,0.000000,0.448702,0.522795,0.050661
0.269387,-0.269387,nan,0.000000,0.538774,0.522795,0.050661
0.308214,-0.308214,nan,0.000000,0.616427,0.522795,0.050661
0.261754,-0.261754,nan,0.000000,0.523508,0.522795,0.050661
0.303592,-0.303592,nan,0.000000,0.607185,0.522795,0.050661
0.264520,-0.264520,nan,0.000000,0.529039,0.522795,0.050661
0.244726,-0.244726,nan,0.000000,0.489452,0.522795,0.050661
0.255147,-0.255147,nan,0.000000,0.510294,0.522795,0.050661
0.249854,-0.249854,nan,0.000000,0.499707,0.522795,0.050661
0.263342,-0.263342,nan,0.000000,0.526685,0.522795,0.050661
0.240707,-0.240707,nan,0.000000,0.481414,0.522795,0.050661
0.266499,-0.266499,nan,0.000000,0.532999,0.522795,0.050661
0.280253,-0.280253,nan,0.000000,0.560506,0.522795,0.050661
0.290691,-0.290691,nan,0.000000,0.581381,0.522795,0.050661
0.237121,-0.237121,nan,0.000000,0.474243,0.522795,0.050661
0.249291,-0.249291,nan,0.000000,0.498582,0.522795,0.050661
0.210746,-0.210746,nan,0.000000,0.421492,0.522795,0.050661
0.268897,-0.268897,nan,0.000000,0.537793,0.522795,0.050661
0.291287,-0.291287,nan,0.000000,0.582573,0.522795,0.050661
0.256697,-0.256697,nan,0.000000,0.513393,0.522795,0.050661
0.253966,-0.253966,nan,0.000000,0.507932,0.522795,0.050661
0.228670,-0.228670,nan,0.000000,0.457340,0.522795,0.050661
0.264403,-0.264403,nan,0.000000,0.528806,0.522795,0.050661
0.269560,-0.269560,nan,0.000000,0.539120,0.522795,0.050661
0.254358,-0.254358,nan,0.000000,0.508716,0.522795,0.050661
0.297274,-0.297274,nan,0.000000,0.594547,0.522795,0.050661
0.234497,-0.234497,nan,0.000000,0.468994,0.522795,0.050661
0.270312,-0.270312,nan,0.000000,0.540625,0.522795,0.050661
0.240810,-0.240810,nan,0.000000,0.481619,0.522795,0.050661
0.267222,-0.267222,nan,0.000000,0.534444,0.522795,0.050661
0.329321,-0.329321,nan,0.000000,0.658642,0.522795,0.050661
0.230278,-0.230278,nan,0.000000,0.460555,0.522795,0.050661
0.234483,-0.234483,nan,0.000000,0.468967,0.522795,0.050661
0.286416,-0.286416,nan,0.000000,0.572832,0.522795,0.050661
0.272738,-0.272738,nan,0.000000,0.545476,0.522795,0.050661
0.238038,-0.238038,nan,0.000000,0.476076,0.522795,0.050661
0.237399,-0.237399,nan,0.000000,0.474798,0.522795,0.050661
0.278571,-0.278571,nan,0.000000,0.557143,0.522795,0.050661
0.295475,-0.295475,nan,0.000000,0.590949,0.522795,0.050661
0.277563,-0.277563,nan,0.000000,0.555126,0.522795,0.050661
0.258264,-0.258264,nan,0.000000,0.516527,0.522795,0.050661
0.266360,-0.266360,nan,0.000000,0.532720,0.522795,0.050661
0.277718,-0.277718,nan,0.000000,0.555436,0.522795,0.050661
0.253488,-0.253488,nan,0.000000,0.506977,0.522795,0.050661
0.280474,-0.280474,nan,0.000000,0.560948,0.522795,0.050661
0.274132,-0.274132,nan,0.000000,0.548264,0.522795,0.050661
0.248936,-0.248936,nan,0.000000,0.497872,0.522795,0.050661
0.238882,-0.238882,nan,0.000000,0.477764,0.522795,0.050661
0.262706,-0.262706,nan,0.000000,0.525412,0.522795,0.050661
0.274741,-0.274741,nan,0.000000,0.549482,0.522795,0.050661
0.289951,-0.289951,nan,0.000000,0.579902,0.522795,0.050661
0.291013,-0.291013,nan,0.000000,0.582027,0.522795,0.050661
