t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
0.239874,-0.239874,nan,0.000000,0.479748,0.546256,0.066822
0.319237,-0.319237,nan,0.000000,0.638475,0.546256,0.066822
0.294489,-0.294489,nan,0.000000,0.588978,0.546256,0.066822
0.237611,-0.237611,nan,0.000000,0.475222,0.546256,0.066822
0.260620,-0.260620,nan,0.000000,0.521240,0.546256,0.066822
0.304295,-0.304295,nan,0.000000,0.608590,0.546256,0.066822
0.293641,-0.293641,nan,0.000000,0.587283,0.546256,0.066822
0.201193,-0.201193,nan,0.000000,0.402386,0.546256,0.066822
0.250810,-0.250810,nan,0.000000,0.501619,0.546256,0.066822
0.232131,-0.232131,nan,0.000000,0.464262,0.546256,0.066822
0.342349,-0.342349,nan,0.000000,0.684698,0.546256,0.066822
0.331424,-0.331424,nan,0.000000,0.662848,0.546256,0.066822
0.246348,-0.246348,nan,0.000000,0.492695,0.546256,0.066822
0.270484,-0.270484,nan,0.000000,0.540967,0.546256,0.066822
0.251099,-0.251099,nan,0.000000,0.502198,0.546256,0.066822
0.320525,-0.320525,nan,0.000000,0.641050,0.546256,0.066822
0.267414,-0.267414,nan,0.000000,0.534829,0.546256,0.066822
0.303825,-0.303825,nan,0.000000,0.607651,0.546256,0.066822
0.291173,-0.291173,nan,0.000000,0.582345,0.546256,0.066822
0.256851,-0.256851,nan,0.000000,0.513702,0.546256,0.066822
0.269701,-0.269701,nan,0.000000,0.539403,0.546256,0.066822
0.275955,-0.275955,nan,0.000000,0.551910,0.546256,0.066822
0.342464,-0.342464,nan,0.000000,0.684927,0.546256,0.066822
0.237315,-0.237315,nan,0.000000,0.474630,0.546256,0.066822
0.309067,-0.309067,nan,0.000000,0.618135,0.546256,0.066822
0.237650,-0.237650,nan,0.000000,0.475300,0.546256,0.066822
0.269258,-0.269258,nan,0.000000,0.538517,0.546256,0.066822
0.265235,-0.265235,nan,0.000000,0.530470,0.546256,0.066822
0.208317,-0.208317,nan,0.000000,0.416633,0.546256,0.066822
0.286596,-0.286596,nan,0.000000,0.573191,0.546256,0.066822
0.238475,-0.238475,nan,0.000000,0.476950,0.546256,0.066822
0.224634,-0.224634,nan,0.000000,0.449269,0.546256,0.066822
0.259223,-0.259223,nan,0.000000,0.518447,0.546256,0.066822
0.271735,-0.271735,nan,0.000000,0.543471,0.546256,0.066822
0.299308,-0.299308,nan,0.000000,0.598617,0.546256,0.066822
0.240704,-0.240704,nan,0.000000,0.481408,0.546256,0.066822
0.257420,-0.257420,nan,0.000000,0.514841,0.546256,0.066822
0.268168,-0.268168,nan,0.000000,0.536336,0.546256,0.066822
0.231721,-0.231721,nan,0.000000,0.463442,0.546256,0.066822
0.268188,-0.268188,nan,0.000000,0.536377,0.546256,0.066822
0.299354,-0.299354,nan,0.000000,0.598709,0.546256,0.066822
0.266678,-0.266678,nan,0.000000,0.533356,0.546256,0.066822
0.258681,-0.258681,nan,0.000000,0.517362,0.546256,0.066822
0.244997,-0.244997,nan,0.000000,0.489994,0.546256,0.066822
0.260714,-0.260714,nan,0.000000,0.521427,0.546256,0.066822
0.247184,-0.247184,nan,0.000000,0.494369,0.546256,0.066822
0.217267,-0.217267,nan,0.000000,0.434534,0.546256,0.066822
0.270350,-0.270350,nan,0.000000,0.540701,0.546256,0.066822
0.238014,-0.238014,nan,0.000000,0.476028,0.546256,0.066822
0.249160,-0.249160,nan,0.000000,0.498319,0.546256,0.066822
0.269662,-0.269662,nan,0.000000,0.539323,0.546256,0.066822
0.307164,-0.307164,nan,0.000000,0.614329,0.546256,0.066822
0.229153,-0.229153,nan,0.000000,0.458306,0.546256,0.066822
0.265997,-0.265997,nan,0.000000,0.531993,0.546256,0.066822
0.312230,-0.312230,nan,0.000000,0.624460,0.546256,0.066822
0.287791,-0.287791,nan,0.000000,0.575581,0.546256,0.066822
0.322125,-0.322125,nan,0.000000,0.644251,0.546256,0.066822
0.197977,-0.197977,nan,0.000000,0.395954,0.546256,0.066822
0.270850,-0.270850,nan,0.000000,0.541701,0.546256,0.066822
0.306222,-0.306222,nan,0.000000,0.612443,0.546256,0.066822
0.320927,-0.320927,nan,0.000000,0.641855,0.546256,0.066822
0.265335,-0.265335,nan,0.000000,0.530670,0.546256,0.066822
0.240304,-0.240304,nan,0.000000,0.480609,0.546256,0.066822
0.292605,-0.292605,nan,0.000000,0.585211,0.546256,0.066822
0.266331,-0.266331,nan,0.000000,0.532662,0.546256,0.066822
0.262521,-0.262521,nan,0.000000,0.525041,0.546256,0.066822
0.269017,-0.269017,nan,0.000000,0.538033,0.546256,0.066822
0.289619,-0.289619,nan,0.000000,0.579238,0.546256,0.066822
0.249568,-0.249568,nan,0.000000,0.499136,0.546256,0.066822
0.263934,-0.263934,nan,0.000000,0.527867,0.546256,0.066822
0.258327,-0.258327,nan,0.000000,0.516654,0.546256,0.066822
0.311804,-0.311804,nan,0.000000,0.623607,0.546256,0.066822
0.340704,-0.340704,nan,0.000000,0.681407,0.546256,0.066822
0.248294,-0.248294,nan,0.000000,0.496588,0.546256,0.066822
0.298219,-0.298219,nan,0.000000,0.596438,0.546256,0.066822
0.231249,-0.231249,nan,0.000000,0.462498,0.546256,0.066822
0.330487,-0.330487,nan,0.000000,0.660973,0.546256,0.066822
0.251311,-0.251311,nan,0.000000,0.502623,0.546256,0.066822
0.269019,-0.269019,nan,0.000000,0.538039,0.546256,0.066822
0.197724,-0.197724,nan,0.000000,0.395448,0.546256,0.066822
0.279761,-0.279761,nan,0.000000,0.559522,0.546256,0.066822
0.237509,-0.237509,nan,0.000000,0.475017,0.546256,0.066822
0.267404,-0.267404,nan,0.000000,0.534808,0.546256,0.066822
0.298222,-0.298222,nan,0.000000,0.596445,0.546256,0.066822
0.251375,-0.251375,nan,0.000000,0.502751,0.546256,0.066822
-0.218366,0.218366,nan,1.000000,-0.436732,-0.495377,0.066822
-0.276124,0.276124,nan,0.000000,-0.552249,-0.495377,0.066822
-0.240341,0.240341,nan,0.000000,-0.480682,-0.495377,0.066822
-0.299090,0.299090,nan,0.000000,-0.598180,-0.495377,0.066822
-0.195350,0.195350,nan,0.000000,-0.390701,-0.495377,0.066822
-0.201743,0.201743,nan,0.000000,-0.403486,-0.495377,0.066822
-0.243114,0.243114,nan,0.000000,-0.486228,-0.495377,0.066822
-0.210607,0.210607,nan,0.000000,-0.421213,-0.495377,0.066822
-0.285425,0.285425,nan,0.000000,-0.570850,-0.495377,0.066822
-0.301009,0.301009,nan,0.000000,-0.602017,-0.495377,0.066822
-0.263812,0.263812,nan,0.000000,-0.527625,-0.495377,0.066822
-0.280917,0.280917,nan,0.000000,-0.561835,-0.495377,0.066822
-0.244090,0.244090,nan,0.000000,-0.488180,-0.495377,0.066822
