t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
0.584188,0.415812,nan,0.000000,-0.168376,-0.105560,0.050563
0.523714,0.476286,nan,0.000000,-0.047428,-0.105560,0.050563
0.579252,0.420748,nan,0.000000,-0.158505,-0.105560,0.050563
0.522890,0.477110,nan,0.000000,-0.045780,-0.105560,0.050563
0.562756,0.437244,nan,0.000000,-0.125513,-0.105560,0.050563
0.577234,0.422766,nan,0.000000,-0.154469,-0.105560,0.050563
0.548621,0.451379,nan,0.000000,-0.097242,-0.105560,0.050563
0.540179,0.459821,nan,0.000000,-0.080357,-0.105560,0.050563
0.516174,0.483826,nan,0.000000,-0.032348,-0.105560,0.050563
0.547685,0.452315,nan,0.000000,-0.095371,-0.105560,0.050563
0.604232,0.395768,nan,0.000000,-0.208464,-0.105560,0.050563
0.569530,0.430470,nan,0.000000,-0.139059,-0.105560,0.050563
0.558880,0.441120,nan,0.000000,-0.117760,-0.105560,0.050563
0.547730,0.452270,nan,0.000000,-0.095460,-0.105560,0.050563
0.523645,0.476355,nan,0.000000,-0.047289,-0.105560,0.050563
0.579096,0.420904,nan,0.000000,-0.158192,-0.105560,0.050563
0.578690,0.421310,nan,0.000000,-0.157380,-0.105560,0.050563
0.564869,0.435131,nan,0.000000,-0.129739,-0.105560,0.050563
0.598683,0.401317,nan,0.000000,-0.197365,-0.105560,0.050563
0.542593,0.457407,nan,0.000000,-0.085185,-0.105560,0.050563
0.561955,0.438045,nan,0.000000,-0.123910,-0.105560,0.050563
0.507891,0.492109,nan,0.000000,-0.015782,-0.105560,0.050563
0.569212,0.430788,nan,0.000000,-0.138423,-0.105560,0.050563
0.566808,0.433192,nan,0.000000,-0.133617,-0.105560,0.050563
0.549317,0.450683,nan,0.000000,-0.098635,-0.105560,0.050563
0.556002,0.443998,nan,0.000000,-0.112004,-0.105560,0.050563
0.541844,0.458156,nan,0.000000,-0.083688,-0.105560,0.050563
0.581294,0.418706,nan,0.000000,-0.162587,-0.105560,0.050563
0.569915,0.430085,nan,0.000000,-0.139830,-0.105560,0.050563
0.605339,0.394661,nan,0.000000,-0.210678,-0.105560,0.050563
0.535159,0.464841,nan,0.000000,-0.070317,-0.105560,0.050563
0.537445,0.462555,nan,0.000000,-0.074889,-0.105560,0.050563
0.568348,0.431652,nan,0.000000,-0.136696,-0.105560,0.050563
0.517067,0.482933,nan,0.000000,-0.034135,-0.105560,0.050563
0.580433,0.419567,nan,0.000000,-0.160866,-0.105560,0.050563
0.542469,0.457531,nan,0.000000,-0.084937,-0.105560,0.050563
0.563698,0.436302,nan,0.000000,-0.127395,-0.105560,0.050563
0.503148,0.496852,nan,0.000000,-0.006297,-0.105560,0.050563
0.589804,0.410196,nan,0.000000,-0.179608,-0.105560,0.050563
0.589420,0.410580,nan,0.000000,-0.178840,-0.105560,0.050563
0.551919,0.448081,nan,0.000000,-0.103838,-0.105560,0.050563
0.520882,0.479118,nan,0.000000,-0.041764,-0.105560,0.050563
0.532540,0.467460,nan,0.000000,-0.065080,-0.105560,0.050563
0.589394,0.410606,nan,0.000000,-0.178789,-0.105560,0.050563
0.563151,0.436849,nan,0.000000,-0.126303,-0.105560,0.050563
0.535604,0.464396,nan,0.000000,-0.071208,-0.105560,0.050563
0.558844,0.441156,nan,0.000000,-0.117689,-0.105560,0.050563
0.569474,0.430526,nan,0.000000,-0.138948,-0.105560,0.050563
0.546583,0.453417,nan,0.000000,-0.093166,-0.105560,0.050563
0.580743,0.419257,nan,0.000000,-0.161486,-0.105560,0.050563
0.588162,0.411838,nan,0.000000,-0.176323,-0.105560,0.050563
0.582824,0.417176,nan,0.000000,-0.165647,-0.105560,0.050563
0.585324,0.414676,nan,0.000000,-0.170648,-0.105560,0.050563
0.530932,0.469068,nan,0.000000,-0.061864,-0.105560,0.050563
0.533519,0.466481,nan,0.000000,-0.067038,-0.105560,0.050563
0.566669,0.433331,nan,0.000000,-0.133339,-0.105560,0.050563
0.568353,0.431647,nan,0.000000,-0.136706,-0.105560,0.050563
0.571249,0.428751,nan,0.000000,-0.142497,-0.105560,0.050563
0.541903,0.458097,nan,0.000000,-0.083806,-0.105560,0.050563
0.504872,0.495128,nan,0.000000,-0.009744,-0.105560,0.050563
0.559410,0.440590,nan,0.000000,-0.118820,-0.105560,0.050563
0.571517,0.428483,nan,0.000000,-0.143035,-0.105560,0.050563
0.528434,0.471566,nan,0.000000,-0.056868,-0.105560,0.050563
0.543137,0.456863,nan,0.000000,-0.086275,-0.105560,0.050563
0.587943,0.412057,nan,0.000000,-0.175886,-0.105560,0.050563
0.537460,0.462540,nan,0.000000,-0.074920,-0.105560,0.050563
0.517143,0.482857,nan,0.000000,-0.034286,-0.105560,0.050563
0.605322,0.394678,nan,0.000000,-0.210643,-0.105560,0.050563
0.567494,0.432506,nan,0.000000,-0.134989,-0.105560,0.050563
0.559595,0.440405,nan,0.000000,-0.119189,-0.105560,0.050563
0.503042,0.496958,nan,0.000000,-0.006085,-0.105560,0.050563
0.556299,0.443701,nan,0.000000,-0.112598,-0.105560,0.050563
0.552530,0.447470,nan,0.000000,-0.105060,-0.105560,0.050563
0.572346,0.427654,nan,0.000000,-0.144691,-0.105560,0.050563
0.603653,0.396347,nan,0.000000,-0.207306,-0.105560,0.050563
0.556081,0.443919,nan,0.000000,-0.112162,-0.105560,0.050563
0.549201,0.450799,nan,0.000000,-0.098402,-0.105560,0.050563
0.567731,0.432269,nan,0.000000,-0.135463,-0.105560,0.050563
0.538137,0.461863,nan,0.000000,-0.076275,-0.105560,0.050563
0.520687,0.479313,nan,0.000000,-0.041375,-0.105560,0.050563
0.526444,0.473556,nan,0.000000,-0.052888,-0.105560,0.050563
0.572449,0.427551,nan,0.000000,-0.144897,-0.105560,0.050563
0.545358,0.454642,nan,0.000000,-0.090716,-0.105560,0.050563
0.566398,0.433602,nan,0.000000,-0.132796,-0.105560,0.050563
0.547953,0.452047,nan,0.000000,-0.095905,-0.105560,0.050563
0.515430,0.484570,nan,0.000000,-0.030860,-0.105560,0.050563
0.531120,0.468880,nan,0.000000,-0.062240,-0.105560,0.050563
0.540301,0.459699,nan,0.000000,-0.080601,-0.105560,0.050563
0.566173,0.433827,nan,0.000000,-0.132345,-0.105560,0.050563
0.579550,0.420450,nan,0.000000,-0.159100,-0.105560,0.050563
0.554050,0.445950,nan,0.000000,-0.108100,-0.105560,0.050563
0.526191,0.473809,nan,0.000000,-0.052383,-0.105560,0.050563
0.583966,0.416034,nan,0.000000,-0.167932,-0.105560,0.050563
0.537101,0.462899,nan,0.000000,-0.074201,-0.105560,0.050563
0.562059,0.437941,nan,0.000000,-0.124118,-0.105560,0.050563
0.605475,0.394525,nan,0.000000,-0.210949,-0.105560,0.050563
0.459626,0.540374,nan,1.000000,0.080748,0.105560,0.050563
0.450909,0.549091,nan,0.000000,0.098183,0.105560,0.050563
0.416289,0.583711,nan,0.000000,0.167422,0.105560,0.050563
0.420866,0.579134,nan,0.000000,0.158269,0.105560,0.050563
0.446412,0.553588,nan,0.000000,0.107176,0.105560,0.050563
0.431340,0.568660,nan,0.000000,0.137319,0.105560,0.050563
0.448115,0.551885,nan,0.000000,0.103771,0.105560,0.050563
0.441133,0.558867,nan,0.000000,0.117733,0.105560,0.050563
0.496526,0.503474,nan,0.000000,0.006948,0.105560,0.050563
0.423928,0.576072,nan,0.000000,0.152144,0.105560,0.050563
0.443482,0.556518,nan,0.000000,0.113035,0.105560,0.050563
0.445104,0.554896,nan,0.000000,0.109792,0.105560,0.050563
0.477637,0.522363,nan,0.000000,0.044726,0.105560,0.050563
0.451703,0.548297,nan,0.000000,0.096593,0.105560,0.050563
0.425953,0.574047,nan,0.000000,0.148095,0.105560,0.050563
0.442481,0.557519,nan,0.000000,0.115039,0.105560,0.050563
0.455900,0.544100,nan,0.000000,0.088200,0.105560,0.050563
0.448259,0.551741,nan,0.000000,0.103481,0.105560,0.050563
0.421586,0.578414,nan,0.000000,0.156828,0.105560,0.050563
0.461293,0.538707,nan,0.000000,0.077414,0.105560,0.050563
0.461250,0.538750,nan,0.000000,0.077500,0.105560,0.050563
0.411075,0.588925,nan,0.000000,0.177850,0.105560,0.050563
0.462026,0.537974,nan,0.000000,0.075948,0.105560,0.050563
0.448480,0.551520,nan,0.000000,0.103039,0.105560,0.050563
0.425158,0.574842,nan,0.000000,0.149684,0.105560,0.050563
0.478044,0.521956,nan,0.000000,0.043912,0.105560,0.050563
0.395796,0.604204,nan,0.000000,0.208408,0.105560,0.050563
0.423048,0.576952,nan,0.000000,0.153905,0.105560,0.050563
0.514371,0.485629,nan,0.000000,-0.028742,0.105560,0.050563
0.486359,0.513641,nan,0.000000,0.027282,0.105560,0.050563
0.440907,0.559093,nan,0.000000,0.118185,0.105560,0.050563
0.418933,0.581067,nan,0.000000,0.162133,0.105560,0.050563
