t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
-0.084923,0.084923,nan,0.000000,0.169846,0.164747,0.068355
-0.076320,0.076320,nan,0.000000,0.152640,0.164747,0.068355
-0.029831,0.029831,nan,0.000000,0.059662,0.164747,0.068355
-0.089379,0.089379,nan,0.000000,0.178757,0.164747,0.068355
-0.117560,0.117560,nan,0.000000,0.235120,0.164747,0.068355
-0.071879,0.071879,nan,0.000000,0.143757,0.164747,0.068355
-0.101584,0.101584,nan,0.000000,0.203168,0.164747,0.068355
-0.062651,0.062651,nan,0.000000,0.125301,0.164747,0.068355
-0.083370,0.083370,nan,0.000000,0.166741,0.164747,0.068355
-0.069022,0.069022,nan,0.000000,0.138044,0.164747,0.068355
-0.008278,0.008278,nan,0.000000,0.016555,0.164747,0.068355
-0.100422,0.100422,nan,0.000000,0.200843,0.164747,0.068355
-0.075463,0.075463,nan,0.000000,0.150927,0.164747,0.068355
-0.054438,0.054438,nan,0.000000,0.108877,0.164747,0.068355
-0.084501,0.084501,nan,0.000000,0.169001,0.164747,0.068355
-0.064488,0.064488,nan,0.000000,0.128977,0.164747,0.068355
-0.128036,0.128036,nan,0.000000,0.256072,0.164747,0.068355
-0.122617,0.122617,nan,0.000000,0.245233,0.164747,0.068355
-0.071318,0.071318,nan,0.000000,0.142636,0.164747,0.068355
-0.093486,0.093486,nan,0.000000,0.186971,0.164747,0.068355
-0.090065,0.090065,nan,0.000000,0.180130,0.164747,0.068355
-0.092823,0.092823,nan,0.000000,0.185647,0.164747,0.068355
-0.110410,0.110410,nan,0.000000,0.220819,0.164747,0.068355
-0.053071,0.053071,nan,0.000000,0.106142,0.164747,0.068355
-0.106895,0.106895,nan,0.000000,0.213790,0.164747,0.068355
-0.102786,0.102786,nan,0.000000,0.205572,0.164747,0.068355
-0.052572,0.052572,nan,0.000000,0.105145,0.164747,0.068355
-0.075177,0.075177,nan,0.000000,0.150355,0.164747,0.068355
-0.105367,0.105367,nan,0.000000,0.210734,0.164747,0.068355
-0.099404,0.099404,nan,0.000000,0.198808,0.164747,0.068355
-0.013505,0.013505,nan,0.000000,0.027010,0.164747,0.068355
-0.034975,0.034975,nan,0.000000,0.069949,0.164747,0.068355
-0.110643,0.110643,nan,0.000000,0.221286,0.164747,0.068355
-0.085359,0.085359,nan,0.000000,0.170718,0.164747,0.068355
-0.053117,0.053117,nan,0.000000,0.106233,0.164747,0.068355
-0.035057,0.035057,nan,0.000000,0.070114,0.164747,0.068355
-0.081275,0.081275,nan,0.000000,0.162550,0.164747,0.068355
-0.093679,0.093679,nan,0.000000,0.187357,0.164747,0.068355
-0.066866,0.066866,nan,0.000000,0.133731,0.164747,0.068355
-0.072393,0.072393,nan,0.000000,0.144786,0.164747,0.068355
-0.132004,0.132004,nan,0.000000,0.264009,0.164747,0.068355
0.001790,-0.001790,nan,0.000000,-0.003580,0.164747,0.068355
-0.075525,0.075525,nan,0.000000,0.151050,0.164747,0.068355
-0.053813,0.053813,nan,0.000000,0.107627,0.164747,0.068355
-0.042667,0.042667,nan,0.000000,0.085333,0.164747,0.068355
-0.120852,0.120852,nan,0.000000,0.241705,0.164747,0.068355
-0.025325,0.025325,nan,0.000000,0.050651,0.164747,0.068355
-0.092111,0.092111,nan,0.000000,0.184221,0.164747,0.068355
-0.049753,0.049753,nan,0.000000,0.099507,0.164747,0.068355
-0.090735,0.090735,nan,0.000000,0.181470,0.164747,0.068355
-0.146085,0.146085,nan,0.000000,0.292169,0.164747,0.068355
-0.018636,0.018636,nan,0.000000,0.037273,0.164747,0.068355
-0.093501,0.093501,nan,0.000000,0.187002,0.164747,0.068355
-0.111716,0.111716,nan,0.000000,0.223432,0.164747,0.068355
-0.028452,0.028452,nan,0.000000,0.056903,0.164747,0.068355
-0.086092,0.086092,nan,0.000000,0.172184,0.164747,0.068355
-0.067085,0.067085,nan,0.000000,0.134170,0.164747,0.068355
-0.116433,0.116433,nan,0.000000,0.232866,0.164747,0.068355
-0.104235,0.104235,nan,0.000000,0.208469,0.164747,0.068355
-0.040409,0.040409,nan,0.000000,0.080818,0.164747,0.068355
-0.155383,0.155383,nan,0.000000,0.310767,0.164747,0.068355
-0.143798,0.143798,nan,0.000000,0.287597,0.164747,0.068355
-0.106818,0.106818,nan,0.000000,0.213636,0.164747,0.068355
-0.077211,0.077211,nan,0.000000,0.154423,0.164747,0.068355
-0.139005,0.139005,nan,0.000000,0.278011,0.164747,0.068355
0.023545,-0.023545,nan,0.000000,-0.047090,0.164747,0.068355
-0.116717,0.116717,nan,0.000000,0.233433,0.164747,0.068355
-0.105417,0.105417,nan,0.000000,0.210833,0.164747,0.068355
-0.114027,0.114027,nan,0.000000,0.228054,0.164747,0.068355
-0.054815,0.054815,nan,0.000000,0.109631,0.164747,0.068355
-0.141695,0.141695,nan,0.000000,0.283390,0.164747,0.068355
-0.073203,0.073203,nan,0.000000,0.146407,0.164747,0.068355
-0.101966,0.101966,nan,0.000000,0.203931,0.164747,0.068355
-0.131839,0.131839,nan,0.000000,0.263679,0.164747,0.068355
-0.095321,0.095321,nan,0.000000,0.190643,0.164747,0.068355
-0.106015,0.106015,nan,0.000000,0.212030,0.164747,0.068355
-0.077232,0.077232,nan,0.000000,0.154465,0.164747,0.068355
-0.089223,0.089223,nan,0.000000,0.178445,0.164747,0.068355
-0.084561,0.084561,nan,0.000000,0.169122,0.164747,0.068355
-0.079634,0.079634,nan,0.000000,0.159268,0.164747,0.068355
-0.055625,0.055625,nan,0.000000,0.111251,0.164747,0.068355
-0.145241,0.145241,nan,0.000000,0.290482,0.164747,0.068355
-0.103323,0.103323,nan,0.000000,0.206646,0.164747,0.068355
-0.105301,0.105301,nan,0.000000,0.210602,0.164747,0.068355
-0.168563,0.168563,nan,0.000000,0.337127,0.164747,0.068355
-0.091810,0.091810,nan,0.000000,0.183621,0.164747,0.068355
-0.096962,0.096962,nan,0.000000,0.193924,0.164747,0.068355
-0.100821,0.100821,nan,0.000000,0.201641,0.164747,0.068355
-0.055529,0.055529,nan,0.000000,0.111057,0.164747,0.068355
-0.140414,0.140414,nan,0.000000,0.280828,0.164747,0.068355
-0.069099,0.069099,nan,0.000000,0.138197,0.164747,0.068355
-0.094441,0.094441,nan,0.000000,0.188883,0.164747,0.068355
-0.113717,0.113717,nan,1.000000,0.227435,0.187877,0.068355
-0.102184,0.102184,nan,0.000000,0.204367,0.187877,0.068355
-0.164325,0.164325,nan,0.000000,0.328651,0.187877,0.068355
-0.040850,0.040850,nan,0.000000,0.081700,0.187877,0.068355
-0.084717,0.084717,nan,0.000000,0.169434,0.187877,0.068355
-0.134255,0.134255,nan,0.000000,0.268510,0.187877,0.068355
-0.077939,0.077939,nan,0.000000,0.155877,0.187877,0.068355
-0.048259,0.048259,nan,0.000000,0.096519,0.187877,0.068355
-0.064464,0.064464,nan,0.000000,0.128929,0.187877,0.068355
-0.086182,0.086182,nan,0.000000,0.172363,0.187877,0.068355
-0.073689,0.073689,nan,0.000000,0.147377,0.187877,0.068355
-0.114874,0.114874,nan,0.000000,0.229747,0.187877,0.068355
-0.076536,0.076536,nan,0.000000,0.153072,0.187877,0.068355
-0.058466,0.058466,nan,0.000000,0.116931,0.187877,0.068355
-0.038579,0.038579,nan,0.000000,0.077159,0.187877,0.068355
-0.085571,0.085571,nan,0.000000,0.171143,0.187877,0.068355
-0.101996,0.101996,nan,0.000000,0.203992,0.187877,0.068355
-0.081914,0.081914,nan,0.000000,0.163829,0.187877,0.068355
-0.059301,0.059301,nan,0.000000,0.118602,0.187877,0.068355
-0.113466,0.113466,nan,0.000000,0.226932,0.187877,0.068355
-0.111445,0.111445,nan,0.000000,0.222890,0.187877,0.068355
-0.077250,0.077250,nan,0.000000,0.154500,0.187877,0.068355
-0.100406,0.100406,nan,0.000000,0.200812,0.187877,0.068355
-0.096007,0.096007,nan,0.000000,0.192015,0.187877,0.068355
-0.108348,0.108348,nan,0.000000,0.216696,0.187877,0.068355
-0.090579,0.090579,nan,0.000000,0.181157,0.187877,0.068355
-0.061652,0.061652,nan,0.000000,0.123303,0.187877,0.068355
-0.011277,0.011277,nan,0.000000,0.022555,0.187877,0.068355
-0.092036,0.092036,nan,0.000000,0.184071,0.187877,0.068355
-0.100124,0.100124,nan,0.000000,0.200249,0.187877,0.068355
-0.095024,0.095024,nan,0.000000,0.190048,0.187877,0.068355
-0.032992,0.032992,nan,0.000000,0.065983,0.187877,0.068355
-0.169486,0.169486,nan,0.000000,0.338971,0.187877,0.068355
-0.110595,0.110595,nan,0.000000,0.221191,0.187877,0.068355
-0.133298,0.133298,nan,0.000000,0.266596,0.187877,0.068355
-0.093904,0.093904,nan,0.000000,0.187807,0.187877,0.068355
-0.077994,0.077994,nan,0.000000,0.155988,0.187877,0.068355
-0.216300,0.216300,nan,0.000000,0.432599,0.187877,0.068355
-0.108617,0.108617,nan,0.000000,0.217234,0.187877,0.068355
-0.139508,0.139508,nan,0.000000,0.279015,0.187877,0.068355
-0.105475,0.105475,nan,0.000000,0.210951,0.187877,0.068355
-0.097873,0.097873,nan,0.000000,0.195746,0.187877,0.068355
-0.125167,0.125167,nan,0.000000,0.250334,0.187877,0.068355
-0.121971,0.121971,nan,0.000000,0.243942,0.187877,0.068355
-0.115368,0.115368,nan,0.000000,0.230736,0.187877,0.068355
-0.064839,0.064839,nan,0.000000,0.129677,0.187877,0.068355
-0.017263,0.017263,nan,0.000000,0.034526,0.187877,0.068355
-0.135997,0.135997,nan,0.000000,0.271993,0.187877,0.068355
-0.122588,0.122588,nan,0.000000,0.245175,0.187877,0.068355
-0.068400,0.068400,nan,0.000000,0.136800,0.187877,0.068355
-0.071701,0.071701,nan,0.000000,0.143401,0.187877,0.068355
-0.088557,0.088557,nan,0.000000,0.177114,0.187877,0.068355
-0.100380,0.100380,nan,0.000000,0.200760,0.187877,0.068355
-0.073474,0.073474,nan,0.000000,0.146948,0.187877,0.068355
-0.065825,0.065825,nan,0.000000,0.131649,0.187877,0.068355
-0.110999,0.110999,nan,0.000000,0.221998,0.187877,0.068355
-0.092175,0.092175,nan,0.000000,0.184350,0.187877,0.068355
-0.112935,0.112935,nan,0.000000,0.225869,0.187877,0.068355
-0.123740,0.123740,nan,0.000000,0.247480,0.187877,0.068355
-0.107828,0.107828,nan,0.000000,0.215655,0.187877,0.068355
-0.107201,0.107201,nan,0.000000,0.214402,0.187877,0.068355
-0.075376,0.075376,nan,0.000000,0.150751,0.187877,0.068355
-0.161837,0.161837,nan,0.000000,0.323674,0.187877,0.068355
-0.097359,0.097359,nan,0.000000,0.194718,0.187877,0.068355
-0.099999,0.099999,nan,0.000000,0.199998,0.187877,0.068355
-0.061816,0.061816,nan,0.000000,0.123632,0.187877,0.068355
-0.101819,0.101819,nan,0.000000,0.203638,0.187877,0.068355
-0.119490,0.119490,nan,0.000000,0.238981,0.187877,0.068355
-0.069954,0.069954,nan,0.000000,0.139908,0.187877,0.068355
-0.103985,0.103985,nan,0.000000,0.207969,0.187877,0.068355
-0.070634,0.070634,nan,0.000000,0.141267,0.187877,0.068355
-0.076963,0.076963,nan,0.000000,0.153926,0.187877,0.068355
-0.044215,0.044215,nan,0.000000,0.088430,0.187877,0.068355
-0.103699,0.103699,nan,0.000000,0.207398,0.187877,0.068355
-0.003017,0.003017,nan,0.000000,0.006034,0.187877,0.068355
-0.100371,0.100371,nan,0.000000,0.200743,0.187877,0.068355
-0.138914,0.138914,nan,0.000000,0.277828,0.187877,0.068355
-0.084072,0.084072,nan,0.000000,0.168144,0.187877,0.068355
-0.079772,0.079772,nan,0.000000,0.159544,0.187877,0.068355
