t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
0.587293,0.412707,nan,0.000000,-0.174587,-0.250146,0.055755
0.623087,0.376913,nan,0.000000,-0.246174,-0.250146,0.055755
0.666142,0.333858,nan,0.000000,-0.332285,-0.250146,0.055755
0.644374,0.355626,nan,0.000000,-0.288748,-0.250146,0.055755
0.621355,0.378645,nan,0.000000,-0.242710,-0.250146,0.055755
0.595603,0.404397,nan,0.000000,-0.191206,-0.250146,0.055755
0.678847,0.321153,nan,0.000000,-0.357694,-0.250146,0.055755
0.633415,0.366585,nan,0.000000,-0.266829,-0.250146,0.055755
0.629899,0.370101,nan,0.000000,-0.259799,-0.250146,0.055755
0.638885,0.361115,nan,0.000000,-0.277770,-0.250146,0.055755
0.622467,0.377533,nan,0.000000,-0.244933,-0.250146,0.055755
0.640900,0.359100,nan,0.000000,-0.281799,-0.250146,0.055755
0.588449,0.411551,nan,0.000000,-0.176899,-0.250146,0.055755
0.585274,0.414726,nan,0.000000,-0.170548,-0.250146,0.055755
0.639206,0.360794,nan,0.000000,-0.278412,-0.250146,0.055755
0.639076,0.360924,nan,0.000000,-0.278151,-0.250146,0.055755
0.629696,0.370304,nan,0.000000,-0.259392,-0.250146,0.055755
0.605900,0.394100,nan,0.000000,-0.211800,-0.250146,0.055755
0.636068,0.363932,nan,0.000000,-0.272136,-0.250146,0.055755
0.664969,0.335031,nan,0.000000,-0.329938,-0.250146,0.055755
0.616741,0.383259,nan,0.000000,-0.233482,-0.250146,0.055755
0.618197,0.381803,nan,0.000000,-0.236394,-0.250146,0.055755
0.607094,0.392906,nan,0.000000,-0.214187,-0.250146,0.055755
0.627978,0.372022,nan,0.000000,-0.255956,-0.250146,0.055755
0.619782,0.380218,nan,0.000000,-0.239564,-0.250146,0.055755
0.636229,0.363771,nan,0.000000,-0.272459,-0.250146,0.055755
0.639689,0.360311,nan,0.000000,-0.279378,-0.250146,0.055755
0.583116,0.416884,nan,0.000000,-0.166232,-0.250146,0.055755
0.644997,0.355003,nan,0.000000,-0.289994,-0.250146,0.055755
0.637123,0.362877,nan,0.000000,-0.274247,-0.250146,0.055755
0.604927,0.395073,nan,0.000000,-0.209854,-0.250146,0.055755
0.663860,0.336140,nan,0.000000,-0.327720,-0.250146,0.055755
0.615093,0.384907,nan,0.000000,-0.230187,-0.250146,0.055755
0.615501,0.384499,nan,0.000000,-0.231001,-0.250146,0.055755
0.613020,0.386980,nan,0.000000,-0.226041,-0.250146,0.055755
0.692863,0.307137,nan,0.000000,-0.385725,-0.250146,0.055755
0.680844,0.319156,nan,0.000000,-0.361689,-0.250146,0.055755
0.632461,0.367539,nan,0.000000,-0.264921,-0.250146,0.055755
0.603085,0.396915,nan,0.000000,-0.206169,-0.250146,0.055755
0.618598,0.381402,nan,0.000000,-0.237195,-0.250146,0.055755
0.633942,0.366058,nan,0.000000,-0.267884,-0.250146,0.055755
0.612563,0.387437,nan,0.000000,-0.225126,-0.250146,0.055755
0.643175,0.356825,nan,0.000000,-0.286350,-0.250146,0.055755
0.660019,0.339981,nan,0.000000,-0.320038,-0.250146,0.055755
0.581494,0.418506,nan,0.000000,-0.162987,-0.250146,0.055755
0.612308,0.387692,nan,0.000000,-0.224617,-0.250146,0.055755
0.658271,0.341729,nan,0.000000,-0.316542,-0.250146,0.055755
0.657824,0.342176,nan,0.000000,-0.315648,-0.250146,0.055755
0.573879,0.426121,nan,0.000000,-0.147758,-0.250146,0.055755
0.600595,0.399405,nan,0.000000,-0.201189,-0.250146,0.055755
0.619951,0.380049,nan,0.000000,-0.239901,-0.250146,0.055755
0.641866,0.358134,nan,0.000000,-0.283732,-0.250146,0.055755
0.623523,0.376477,nan,0.000000,-0.247046,-0.250146,0.055755
0.629048,0.370952,nan,0.000000,-0.258096,-0.250146,0.055755
0.643307,0.356693,nan,0.000000,-0.286614,-0.250146,0.055755
0.643778,0.356222,nan,0.000000,-0.287556,-0.250146,0.055755
0.626264,0.373736,nan,0.000000,-0.252527,-0.250146,0.055755
0.675165,0.324835,nan,0.000000,-0.350330,-0.250146,0.055755
0.607047,0.392953,nan,0.000000,-0.214094,-0.250146,0.055755
0.637677,0.362323,nan,0.000000,-0.275354,-0.250146,0.055755
0.584153,0.415847,nan,0.000000,-0.168305,-0.250146,0.055755
0.625522,0.374478,nan,0.000000,-0.251043,-0.250146,0.055755
0.621255,0.378745,nan,0.000000,-0.242509,-0.250146,0.055755
0.655504,0.344496,nan,0.000000,-0.311009,-0.250146,0.055755
0.605527,0.394473,nan,0.000000,-0.211054,-0.250146,0.055755
0.612271,0.387729,nan,0.000000,-0.224542,-0.250146,0.055755
0.632891,0.367109,nan,0.000000,-0.265783,-0.250146,0.055755
0.632255,0.367745,nan,0.000000,-0.264510,-0.250146,0.055755
0.637819,0.362181,nan,0.000000,-0.275639,-0.250146,0.055755
0.616763,0.383237,nan,0.000000,-0.233526,-0.250146,0.055755
0.616364,0.383636,nan,0.000000,-0.232728,-0.250146,0.055755
0.616107,0.383893,nan,0.000000,-0.232213,-0.250146,0.055755
0.638953,0.361047,nan,0.000000,-0.277905,-0.250146,0.055755
0.620426,0.379574,nan,0.000000,-0.240852,-0.250146,0.055755
0.625932,0.374068,nan,0.000000,-0.251863,-0.250146,0.055755
0.619835,0.380165,nan,0.000000,-0.239671,-0.250146,0.055755
0.590848,0.409152,nan,0.000000,-0.181696,-0.250146,0.055755
0.613587,0.386413,nan,0.000000,-0.227173,-0.250146,0.055755
0.613013,0.386987,nan,0.000000,-0.226026,-0.250146,0.055755
0.624503,0.375497,nan,0.000000,-0.249005,-0.250146,0.055755
0.644117,0.355883,nan,0.000000,-0.288233,-0.250146,0.055755
0.629514,0.370486,nan,0.000000,-0.259029,-0.250146,0.055755
0.629262,0.370738,nan,0.000000,-0.258524,-0.250146,0.055755
0.629223,0.370777,nan,0.000000,-0.258447,-0.250146,0.055755
0.672431,0.327569,nan,0.000000,-0.344862,-0.250146,0.055755
0.577516,0.422484,nan,0.000000,-0.155031,-0.250146,0.055755
0.627783,0.372217,nan,0.000000,-0.255565,-0.250146,0.055755
0.647804,0.352196,nan,0.000000,-0.295607,-0.250146,0.055755
0.625562,0.374438,nan,0.000000,-0.251123,-0.250146,0.055755
0.659222,0.340778,nan,0.000000,-0.318444,-0.250146,0.055755
0.639455,0.360545,nan,0.000000,-0.278910,-0.250146,0.055755
0.590614,0.409386,nan,0.000000,-0.181227,-0.250146,0.055755
0.638011,0.361989,nan,0.000000,-0.276021,-0.250146,0.055755
0.630109,0.369891,nan,0.000000,-0.260218,-0.250146,0.055755
0.617309,0.382691,nan,0.000000,-0.234618,-0.250146,0.055755
0.636834,0.363166,nan,0.000000,-0.273667,-0.250146,0.055755
0.660002,0.339998,nan,0.000000,-0.320005,-0.250146,0.055755
0.592085,0.407915,nan,0.000000,-0.184171,-0.250146,0.055755
0.619287,0.380713,nan,0.000000,-0.238574,-0.250146,0.055755
0.683898,0.316102,nan,0.000000,-0.367797,-0.250146,0.055755
0.655230,0.344770,nan,0.000000,-0.310459,-0.250146,0.055755
0.612048,0.387952,nan,0.000000,-0.224095,-0.250146,0.055755
0.596108,0.403892,nan,0.000000,-0.192217,-0.250146,0.055755
0.585246,0.414754,nan,0.000000,-0.170491,-0.250146,0.055755
0.584872,0.415128,nan,0.000000,-0.169744,-0.250146,0.055755
0.637049,0.362951,nan,0.000000,-0.274098,-0.250146,0.055755
0.670620,0.329380,nan,0.000000,-0.341239,-0.250146,0.055755
0.655997,0.344003,nan,0.000000,-0.311995,-0.250146,0.055755
0.626092,0.373908,nan,0.000000,-0.252183,-0.250146,0.055755
0.609472,0.390528,nan,0.000000,-0.218944,-0.250146,0.055755
0.647848,0.352152,nan,0.000000,-0.295696,-0.250146,0.055755
0.668226,0.331774,nan,0.000000,-0.336452,-0.250146,0.055755
