t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
-0.286343,0.286343,nan,0.000000,0.572685,0.549997,0.050668
-0.309337,0.309337,nan,0.000000,0.618674,0.549997,0.050668
-0.268089,0.268089,nan,0.000000,0.536179,0.549997,0.050668
-0.273536,0.273536,nan,0.000000,0.547072,0.549997,0.050668
-0.217161,0.217161,nan,0.000000,0.434321,0.549997,0.050668
-0.309083,0.309083,nan,0.000000,0.618166,0.549997,0.050668
-0.291663,0.291663,nan,0.000000,0.583326,0.549997,0.050668
-0.287843,0.287843,nan,0.000000,0.575686,0.549997,0.050668
-0.274401,0.274401,nan,0.000000,0.548802,0.549997,0.050668
-0.254890,0.254890,nan,0.000000,0.509781,0.549997,0.050668
-0.210435,0.210435,nan,0.000000,0.420870,0.549997,0.050668
-0.266522,0.266522,nan,0.000000,0.533044,0.549997,0.050668
-0.295706,0.295706,nan,0.000000,0.591412,0.549997,0.050668
-0.276435,0.276435,nan,0.000000,0.552869,0.549997,0.050668
-0.281464,0.281464,nan,0.000000,0.562928,0.549997,0.050668
-0.259171,0.259171,nan,0.000000,0.518342,0.549997,0.050668
-0.259613,0.259613,nan,0.000000,0.519226,0.549997,0.050668
-0.309322,0.309322,nan,0.000000,0.618644,0.549997,0.050668
-0.292915,0.292915,nan,0.000000,0.585829,0.549997,0.050668
-0.318811,0.318811,nan,0.000000,0.637623,0.549997,0.050668
-0.260948,0.260948,nan,0.000000,0.521896,0.549997,0.050668
-0.288737,0.288737,nan,0.000000,0.577473,0.549997,0.050668
-0.275603,0.275603,nan,0.000000,0.551207,0.549997,0.050668
-0.269826,0.269826,nan,0.000000,0.539652,0.549997,0.050668
-0.258809,0.258809,nan,0.000000,0.517618,0.549997,0.050668
-0.271110,0.271110,nan,0.000000,0.542221,0.549997,0.050668
-0.296212,0.296212,nan,0.000000,0.592424,0.549997,0.050668
-0.273566,0.273566,nan,0.000000,0.547131,0.549997,0.050668
-0.277017,0.277017,nan,0.000000,0.554034,0.549997,0.050668
-0.264287,0.264287,nan,0.000000,0.528573,0.549997,0.050668
-0.328407,0.328407,nan,0.000000,0.656815,0.549997,0.050668
-0.246740,0.246740,nan,0.000000,0.493481,0.549997,0.050668
-0.274076,0.274076,nan,0.000000,0.548152,0.549997,0.050668
-0.278349,0.278349,nan,0.000000,0.556698,0.549997,0.050668
-0.282954,0.282954,nan,0.000000,0.565908,0.549997,0.050668
-0.275169,0.275169,nan,0.000000,0.550338,0.549997,0.050668
-0.223788,0.223788,nan,0.000000,0.447576,0.549997,0.050668
-0.251424,0.251424,nan,0.000000,0.502848,0.549997,0.050668
-0.258603,0.258603,nan,0.000000,0.517207,0.549997,0.050668
-0.257847,0.257847,nan,0.000000,0.515695,0.549997,0.050668
-0.283102,0.283102,nan,0.000000,0.566205,0.549997,0.050668
-0.235432,0.235432,nan,0.000000,0.470865,0.549997,0.050668
-0.275549,0.275549,nan,0.000000,0.551098,0.549997,0.050668
-0.251330,0.251330,nan,0.000000,0.502660,0.549997,0.050668
-0.292216,0.292216,nan,0.000000,0.584432,0.549997,0.050668
-0.280402,0.280402,nan,0.000000,0.560803,0.549997,0.050668
-0.280347,0.280347,nan,0.000000,0.560694,0.549997,0.050668
-0.276625,0.276625,nan,0.000000,0.553249,0.549997,0.050668
-0.320074,0.320074,nan,0.000000,0.640148,0.549997,0.050668
-0.243689,0.243689,nan,0.000000,0.487377,0.549997,0.050668
-0.298808,0.298808,nan,0.000000,0.597617,0.549997,0.050668
-0.287897,0.287897,nan,0.000000,0.575794,0.549997,0.050668
-0.315941,0.315941,nan,0.000000,0.631882,0.549997,0.050668
-0.292932,0.292932,nan,0.000000,0.585863,0.549997,0.050668
-0.295566,0.295566,nan,0.000000,0.591131,0.549997,0.050668
-0.279543,0.279543,nan,0.000000,0.559087,0.549997,0.050668
-0.282390,0.282390,nan,0.000000,0.564781,0.549997,0.050668
-0.264488,0.264488,nan,0.000000,0.528977,0.549997,0.050668
-0.308040,0.308040,nan,0.000000,0.616079,0.549997,0.050668
-0.246021,0.246021,nan,0.000000,0.492042,0.549997,0.050668
-0.265908,0.265908,nan,0.000000,0.531817,0.549997,0.050668
-0.266199,0.266199,nan,0.000000,0.532398,0.549997,0.050668
-0.299229,0.299229,nan,0.000000,0.598457,0.549997,0.050668
-0.299941,0.299941,nan,0.000000,0.599882,0.549997,0.050668
-0.293172,0.293172,nan,0.000000,0.586344,0.549997,0.050668
-0.259721,0.259721,nan,0.000000,0.519442,0.549997,0.050668
-0.282895,0.282895,nan,0.000000,0.565790,0.549997,0.050668
-0.285870,0.285870,nan,0.000000,0.571741,0.549997,0.050668
-0.262131,0.262131,nan,0.000000,0.524261,0.549997,0.050668
-0.259781,0.259781,nan,0.000000,0.519563,0.549997,0.050668
-0.276092,0.276092,nan,0.000000,0.552184,0.549997,0.050668
-0.259176,0.259176,nan,0.000000,0.518352,0.549997,0.050668
-0.251052,0.251052,nan,0.000000,0.502104,0.549997,0.050668
-0.256142,0.256142,nan,0.000000,0.512284,0.549997,0.050668
-0.266169,0.266169,nan,0.000000,0.532337,0.549997,0.050668
-0.278952,0.278952,nan,0.000000,0.557904,0.549997,0.050668
-0.264599,0.264599,nan,0.000000,0.529199,0.549997,0.050668
-0.318641,0.318641,nan,0.000000,0.637282,0.549997,0.050668
-0.286212,0.286212,nan,0.000000,0.572424,0.549997,0.050668
-0.236042,0.236042,nan,0.000000,0.472085,0.549997,0.050668
-0.311080,0.311080,nan,0.000000,0.622161,0.549997,0.050668
-0.268927,0.268927,nan,0.000000,0.537853,0.549997,0.050668
-0.324470,0.324470,nan,0.000000,0.648940,0.549997,0.050668
-0.230435,0.230435,nan,0.000000,0.460870,0.549997,0.050668
-0.280000,0.280000,nan,0.000000,0.560000,0.549997,0.050668
-0.313311,0.313311,nan,0.000000,0.626622,0.549997,0.050668
-0.270451,0.270451,nan,0.000000,0.540902,0.549997,0.050668
-0.280231,0.280231,nan,0.000000,0.560461,0.549997,0.050668
-0.239284,0.239284,nan,0.000000,0.478567,0.549997,0.050668
-0.282323,0.282323,nan,0.000000,0.564645,0.549997,0.050668
-0.240083,0.240083,nan,0.000000,0.480165,0.549997,0.050668
-0.269670,0.269670,nan,0.000000,0.539339,0.549997,0.050668
-0.253062,0.253062,nan,0.000000,0.506124,0.549997,0.050668
-0.261504,0.261504,nan,0.000000,0.523007,0.549997,0.050668
-0.285603,0.285603,nan,0.000000,0.571207,0.549997,0.050668
-0.287662,0.287662,nan,0.000000,0.575324,0.549997,0.050668
-0.270008,0.270008,nan,0.000000,0.540016,0.549997,0.050668
-0.259265,0.259265,nan,0.000000,0.518530,0.549997,0.050668
-0.261882,0.261882,nan,0.000000,0.523765,0.549997,0.050668
-0.202153,0.202153,nan,1.000000,0.404306,0.465117,0.050668
-0.242906,0.242906,nan,0.000000,0.485813,0.465117,0.050668
-0.291802,0.291802,nan,0.000000,0.583603,0.465117,0.050668
-0.205798,0.205798,nan,0.000000,0.411597,0.465117,0.050668
-0.210627,0.210627,nan,0.000000,0.421253,0.465117,0.050668
-0.259142,0.259142,nan,0.000000,0.518284,0.465117,0.050668
-0.216004,0.216004,nan,0.000000,0.432007,0.465117,0.050668
-0.243536,0.243536,nan,0.000000,0.487073,0.465117,0.050668
-0.227500,0.227500,nan,0.000000,0.454999,0.465117,0.050668
-0.202587,0.202587,nan,0.000000,0.405175,0.465117,0.050668
-0.228052,0.228052,nan,0.000000,0.456103,0.465117,0.050668
-0.272342,0.272342,nan,0.000000,0.544685,0.465117,0.050668
-0.242653,0.242653,nan,0.000000,0.485306,0.465117,0.050668
-0.225899,0.225899,nan,0.000000,0.451798,0.465117,0.050668
-0.220654,0.220654,nan,0.000000,0.441308,0.465117,0.050668
-0.221210,0.221210,nan,0.000000,0.442420,0.465117,0.050668
-0.212730,0.212730,nan,0.000000,0.425461,0.465117,0.050668
-0.244064,0.244064,nan,0.000000,0.488128,0.465117,0.050668
-0.231384,0.231384,nan,0.000000,0.462767,0.465117,0.050668
-0.241884,0.241884,nan,0.000000,0.483769,0.465117,0.050668
-0.289219,0.289219,nan,0.000000,0.578438,0.465117,0.050668
-0.249442,0.249442,nan,0.000000,0.498883,0.465117,0.050668
-0.276588,0.276588,nan,0.000000,0.553176,0.465117,0.050668
-0.191390,0.191390,nan,0.000000,0.382780,0.465117,0.050668
-0.248413,0.248413,nan,0.000000,0.496827,0.465117,0.050668
-0.173077,0.173077,nan,0.000000,0.346154,0.465117,0.050668
-0.231736,0.231736,nan,0.000000,0.463473,0.465117,0.050668
-0.239646,0.239646,nan,0.000000,0.479292,0.465117,0.050668
-0.201291,0.201291,nan,0.000000,0.402582,0.465117,0.050668
-0.230069,0.230069,nan,0.000000,0.460138,0.465117,0.050668
-0.256121,0.256121,nan,0.000000,0.512241,0.465117,0.050668
-0.236671,0.236671,nan,0.000000,0.473341,0.465117,0.050668
-0.220756,0.220756,nan,0.000000,0.441511,0.465117,0.050668
-0.248835,0.248835,nan,0.000000,0.497669,0.465117,0.050668
-0.228078,0.228078,nan,0.000000,0.456156,0.465117,0.050668
-0.224063,0.224063,nan,0.000000,0.448125,0.465117,0.050668
-0.208945,0.208945,nan,0.000000,0.417889,0.465117,0.050668
-0.274633,0.274633,nan,0.000000,0.549266,0.465117,0.050668
-0.206097,0.206097,nan,0.000000,0.412194,0.465117,0.050668
-0.204857,0.204857,nan,0.000000,0.409713,0.465117,0.050668
-0.214601,0.214601,nan,0.000000,0.429202,0.465117,0.050668
-0.217981,0.217981,nan,0.000000,0.435962,0.465117,0.050668
-0.237424,0.237424,nan,0.000000,0.474849,0.465117,0.050668
-0.270579,0.270579,nan,0.000000,0.541158,0.465117,0.050668
-0.247031,0.247031,nan,0.000000,0.494061,0.465117,0.050668
-0.209187,0.209187,nan,0.000000,0.418374,0.465117,0.050668
-0.248831,0.248831,nan,0.000000,0.497661,0.465117,0.050668
-0.180622,0.180622,nan,0.000000,0.361244,0.465117,0.050668
-0.249927,0.249927,nan,0.000000,0.499854,0.465117,0.050668
-0.219449,0.219449,nan,0.000000,0.438898,0.465117,0.050668
-0.267514,0.267514,nan,0.000000,0.535028,0.465117,0.050668
-0.229701,0.229701,nan,0.000000,0.459402,0.465117,0.050668
-0.240679,0.240679,nan,0.000000,0.481358,0.465117,0.050668
-0.253474,0.253474,nan,0.000000,0.506947,0.465117,0.050668
-0.226004,0.226004,nan,0.000000,0.452008,0.465117,0.050668
-0.232535,0.232535,nan,0.000000,0.465070,0.465117,0.050668
-0.246481,0.246481,nan,0.000000,0.492961,0.465117,0.050668
-0.213819,0.213819,nan,0.000000,0.427638,0.465117,0.050668
-0.232205,0.232205,nan,0.000000,0.464410,0.465117,0.050668
-0.214946,0.214946,nan,0.000000,0.429891,0.465117,0.050668
-0.208220,0.208220,nan,0.000000,0.416439,0.465117,0.050668
-0.257495,0.257495,nan,0.000000,0.514989,0.465117,0.050668
-0.215624,0.215624,nan,0.000000,0.431248,0.465117,0.050668
-0.222179,0.222179,nan,0.000000,0.444358,0.465117,0.050668
-0.225934,0.225934,nan,0.000000,0.451869,0.465117,0.050668
-0.218337,0.218337,nan,0.000000,0.436674,0.465117,0.050668
-0.225778,0.225778,nan,0.000000,0.451556,0.465117,0.050668
-0.271875,0.271875,nan,0.000000,0.543749,0.465117,0.050668
-0.292185,0.292185,nan,0.000000,0.584370,0.465117,0.050668
-0.214614,0.214614,nan,0.000000,0.429228,0.465117,0.050668
-0.237258,0.237258,nan,0.000000,0.474515,0.465117,0.050668
-0.250162,0.250162,nan,0.000000,0.500324,0.465117,0.050668
-0.219721,0.219721,nan,0.000000,0.439442,0.465117,0.050668
-0.224959,0.224959,nan,0.000000,0.449918,0.465117,0.050668
-0.191130,0.191130,nan,0.000000,0.382259,0.465117,0.050668
-0.242531,0.242531,nan,0.000000,0.485062,0.465117,0.050668
-0.218915,0.218915,nan,0.000000,0.437831,0.465117,0.050668
-0.222077,0.222077,nan,0.000000,0.444154,0.465117,0.050668
-0.239513,0.239513,nan,1.000000,0.479025,0.464116,0.050668
-0.223140,0.223140,nan,0.000000,0.446280,0.464116,0.050668
-0.180978,0.180978,nan,0.000000,0.361956,0.464116,0.050668
-0.220486,0.220486,nan,0.000000,0.440973,0.464116,0.050668
-0.233042,0.233042,nan,0.000000,0.466084,0.464116,0.050668
-0.275395,0.275395,nan,0.000000,0.550791,0.464116,0.050668
-0.173818,0.173818,nan,0.000000,0.347636,0.464116,0.050668
-0.235487,0.235487,nan,0.000000,0.470974,0.464116,0.050668
-0.253365,0.253365,nan,0.000000,0.506730,0.464116,0.050668
-0.222123,0.222123,nan,0.000000,0.444246,0.464116,0.050668
-0.219447,0.219447,nan,0.000000,0.438894,0.464116,0.050668
-0.246773,0.246773,nan,0.000000,0.493547,0.464116,0.050668
-0.268224,0.268224,nan,0.000000,0.536448,0.464116,0.050668
-0.249813,0.249813,nan,0.000000,0.499626,0.464116,0.050668
-0.198306,0.198306,nan,0.000000,0.396612,0.464116,0.050668
-0.254129,0.254129,nan,0.000000,0.508258,0.464116,0.050668
-0.225851,0.225851,nan,0.000000,0.451702,0.464116,0.050668
-0.211038,0.211038,nan,0.000000,0.422075,0.464116,0.050668
-0.218169,0.218169,nan,0.000000,0.436339,0.464116,0.050668
-0.188172,0.188172,nan,0.000000,0.376344,0.464116,0.050668
-0.213937,0.213937,nan,0.000000,0.427874,0.464116,0.050668
-0.243188,0.243188,nan,0.000000,0.486376,0.464116,0.050668
-0.248059,0.248059,nan,0.000000,0.496119,0.464116,0.050668
-0.179782,0.179782,nan,0.000000,0.359565,0.464116,0.050668
-0.240680,0.240680,nan,0.000000,0.481359,0.464116,0.050668
-0.234083,0.234083,nan,0.000000,0.468165,0.464116,0.050668
-0.212669,0.212669,nan,0.000000,0.425339,0.464116,0.050668
-0.211004,0.211004,nan,0.000000,0.422007,0.464116,0.050668
-0.196793,0.196793,nan,0.000000,0.393585,0.464116,0.050668
-0.274128,0.274128,nan,0.000000,0.548256,0.464116,0.050668
-0.280145,0.280145,nan,0.000000,0.560290,0.464116,0.050668
-0.208440,0.208440,nan,0.000000,0.416880,0.464116,0.050668
-0.204930,0.204930,nan,0.000000,0.409860,0.464116,0.050668
-0.223155,0.223155,nan,0.000000,0.446310,0.464116,0.050668
-0.247380,0.247380,nan,0.000000,0.494761,0.464116,0.050668
-0.257119,0.257119,nan,0.000000,0.514239,0.464116,0.050668
-0.228381,0.228381,nan,0.000000,0.456763,0.464116,0.050668
-0.231120,0.231120,nan,0.000000,0.462240,0.464116,0.050668
-0.251431,0.251431,nan,0.000000,0.502862,0.464116,0.050668
-0.217806,0.217806,nan,0.000000,0.435612,0.464116,0.050668
-0.183218,0.183218,nan,0.000000,0.366435,0.464116,0.050668
-0.289104,0.289104,nan,0.000000,0.578208,0.464116,0.050668
-0.238607,0.238607,nan,0.000000,0.477214,0.464116,0.050668
-0.224451,0.224451,nan,0.000000,0.448902,0.464116,0.050668
-0.242894,0.242894,nan,0.000000,0.485788,0.464116,0.050668
-0.267190,0.267190,nan,0.000000,0.534381,0.464116,0.050668
-0.192629,0.192629,nan,0.000000,0.385258,0.464116,0.050668
-0.269083,0.269083,nan,0.000000,0.538166,0.464116,0.050668
-0.261836,0.261836,nan,0.000000,0.523672,0.464116,0.050668
-0.194542,0.194542,nan,0.000000,0.389083,0.464116,0.050668
-0.218677,0.218677,nan,0.000000,0.437354,0.464116,0.050668
-0.256729,0.256729,nan,0.000000,0.513457,0.464116,0.050668
-0.227977,0.227977,nan,0.000000,0.455954,0.464116,0.050668
-0.232041,0.232041,nan,0.000000,0.464082,0.464116,0.050668
-0.201913,0.201913,nan,0.000000,0.403825,0.464116,0.050668
-0.210639,0.210639,nan,0.000000,0.421279,0.464116,0.050668
-0.209287,0.209287,nan,0.000000,0.418575,0.464116,0.050668
-0.230036,0.230036,nan,0.000000,0.460071,0.464116,0.050668
-0.202554,0.202554,nan,0.000000,0.405108,0.464116,0.050668
-0.258500,0.258500,nan,0.000000,0.517000,0.464116,0.050668
-0.268680,0.268680,nan,0.000000,0.537360,0.464116,0.050668
-0.230433,0.230433,nan,0.000000,0.460865,0.464116,0.050668
-0.259634,0.259634,nan,0.000000,0.519268,0.464116,0.050668
-0.205580,0.205580,nan,0.000000,0.411161,0.464116,0.050668
-0.186089,0.186089,nan,0.000000,0.372178,0.464116,0.050668
-0.207586,0.207586,nan,0.000000,0.415172,0.464116,0.050668
-0.265424,0.265424,nan,0.000000,0.530847,0.464116,0.050668
-0.215899,0.215899,nan,0.000000,0.431798,0.464116,0.050668
-0.212152,0.212152,nan,0.000000,0.424305,0.464116,0.050668
-0.247598,0.247598,nan,0.000000,0.495197,0.464116,0.050668
-0.213981,0.213981,nan,0.000000,0.427962,0.464116,0.050668
-0.277419,0.277419,nan,0.000000,0.554838,0.464116,0.050668
-0.271614,0.271614,nan,0.000000,0.543228,0.464116,0.050668
-0.264452,0.264452,nan,0.000000,0.528904,0.464116,0.050668
-0.216306,0.216306,nan,0.000000,0.432612,0.464116,0.050668
-0.230270,0.230270,nan,0.000000,0.460539,0.464116,0.050668
-0.154322,0.154322,nan,0.000000,0.308644,0.464116,0.050668
-0.259558,0.259558,nan,0.000000,0.519116,0.464116,0.050668
-0.233480,0.233480,nan,0.000000,0.466960,0.464116,0.050668
-0.207720,0.207720,nan,0.000000,0.415440,0.464116,0.050668
-0.254308,0.254308,nan,0.000000,0.508616,0.464116,0.050668
