t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
0.523184,0.476816,nan,0.000000,-0.046367,0.017326,0.067567
0.502370,0.497630,nan,0.000000,-0.004741,0.017326,0.067567
0.500769,0.499231,nan,0.000000,-0.001537,0.017326,0.067567
0.506070,0.493930,nan,0.000000,-0.012141,0.017326,0.067567
0.506201,0.493799,nan,0.000000,-0.012402,0.017326,0.067567
0.479456,0.520544,nan,0.000000,0.041088,0.017326,0.067567
0.557774,0.442226,nan,0.000000,-0.115548,0.017326,0.067567
0.469371,0.530629,nan,0.000000,0.061257,0.017326,0.067567
0.464427,0.535573,nan,0.000000,0.071145,0.017326,0.067567
0.413358,0.586642,nan,0.000000,0.173284,0.017326,0.067567
0.528211,0.471789,nan,0.000000,-0.056422,0.017326,0.067567
0.539925,0.460075,nan,0.000000,-0.079850,0.017326,0.067567
0.471890,0.528110,nan,0.000000,0.056221,0.017326,0.067567
0.521605,0.478395,nan,0.000000,-0.043211,0.017326,0.067567
0.488211,0.511789,nan,0.000000,0.023578,0.017326,0.067567
0.470165,0.529835,nan,0.000000,0.059671,0.017326,0.067567
0.531407,0.468593,nan,0.000000,-0.062814,0.017326,0.067567
0.500635,0.499365,nan,0.000000,-0.001271,0.017326,0.067567
0.482440,0.517560,nan,0.000000,0.035120,0.017326,0.067567
0.498040,0.501960,nan,0.000000,0.003919,0.017326,0.067567
0.548923,0.451077,nan,0.000000,-0.097845,0.017326,0.067567
0.509073,0.490927,nan,0.000000,-0.018145,0.017326,0.067567
0.492625,0.507375,nan,0.000000,0.014750,0.017326,0.067567
0.461315,0.538685,nan,0.000000,0.077371,0.017326,0.067567
0.421653,0.578347,nan,0.000000,0.156695,0.017326,0.067567
0.454816,0.545184,nan,0.000000,0.090369,0.017326,0.067567
0.470005,0.529995,nan,0.000000,0.059990,0.017326,0.067567
0.502498,0.497502,nan,0.000000,-0.004997,0.017326,0.067567
0.491308,0.508692,nan,0.000000,0.017383,0.017326,0.067567
0.482381,0.517619,nan,0.000000,0.035238,0.017326,0.067567
0.474737,0.525263,nan,0.000000,0.050525,0.017326,0.067567
0.485692,0.514308,nan,0.000000,0.028617,0.017326,0.067567
0.433298,0.566702,nan,0.000000,0.133404,0.017326,0.067567
0.470026,0.529974,nan,0.000000,0.059948,0.017326,0.067567
0.458408,0.541592,nan,0.000000,0.083183,0.017326,0.067567
0.423454,0.576546,nan,0.000000,0.153093,0.017326,0.067567
0.493560,0.506440,nan,0.000000,0.012880,0.017326,0.067567
0.474096,0.525904,nan,0.000000,0.051808,0.017326,0.067567
0.498535,0.501465,nan,0.000000,0.002930,0.017326,0.067567
0.525275,0.474725,nan,0.000000,-0.050551,0.017326,0.067567
0.510076,0.489924,nan,0.000000,-0.020152,0.017326,0.067567
0.462925,0.537075,nan,0.000000,0.074150,0.017326,0.067567
0.535524,0.464476,nan,0.000000,-0.071048,0.017326,0.067567
0.446527,0.553473,nan,0.000000,0.106946,0.017326,0.067567
0.533647,0.466353,nan,0.000000,-0.067295,0.017326,0.067567
0.514237,0.485763,nan,0.000000,-0.028474,0.017326,0.067567
0.428682,0.571318,nan,0.000000,0.142636,0.017326,0.067567
0.501828,0.498172,nan,0.000000,-0.003655,0.017326,0.067567
0.430556,0.569444,nan,0.000000,0.138888,0.017326,0.067567
0.465354,0.534646,nan,0.000000,0.069291,0.017326,0.067567
0.565664,0.434336,nan,0.000000,-0.131328,0.017326,0.067567
0.452287,0.547713,nan,0.000000,0.095427,0.017326,0.067567
0.422265,0.577735,nan,0.000000,0.155471,0.017326,0.067567
0.496535,0.503465,nan,0.000000,0.006929,0.017326,0.067567
0.441880,0.558120,nan,0.000000,0.116239,0.017326,0.067567
0.517720,0.482280,nan,0.000000,-0.035440,0.017326,0.067567
0.517969,0.482031,nan,0.000000,-0.035938,0.017326,0.067567
0.525940,0.474060,nan,0.000000,-0.051880,0.017326,0.067567
0.528224,0.471776,nan,0.000000,-0.056448,0.017326,0.067567
0.451123,0.548877,nan,0.000000,0.097754,0.017326,0.067567
0.511718,0.488282,nan,0.000000,-0.023436,0.017326,0.067567
0.524926,0.475074,nan,0.000000,-0.049852,0.017326,0.067567
0.489659,0.510341,nan,0.000000,0.020683,0.017326,0.067567
0.500148,0.499852,nan,0.000000,-0.000296,0.017326,0.067567
0.473870,0.526130,nan,0.000000,0.052261,0.017326,0.067567
0.495807,0.504193,nan,0.000000,0.008386,0.017326,0.067567
0.475057,0.524943,nan,0.000000,0.049886,0.017326,0.067567
0.527156,0.472844,nan,0.000000,-0.054311,0.017326,0.067567
0.517499,0.482501,nan,0.000000,-0.034998,0.017326,0.067567
0.492755,0.507245,nan,0.000000,0.014491,0.017326,0.067567
0.481493,0.518507,nan,0.000000,0.037015,0.017326,0.067567
0.524245,0.475755,nan,0.000000,-0.048489,0.017326,0.067567
0.466696,0.533304,nan,0.000000,0.066609,0.017326,0.067567
0.527494,0.472506,nan,0.000000,-0.054989,0.017326,0.067567
0.475748,0.524252,nan,0.000000,0.048505,0.017326,0.067567
0.432540,0.567460,nan,0.000000,0.134919,0.017326,0.067567
0.503462,0.496538,nan,0.000000,-0.006924,0.017326,0.067567
0.476937,0.523063,nan,0.000000,0.046126,0.017326,0.067567
0.486288,0.513712,nan,0.000000,0.027424,0.017326,0.067567
0.526128,0.473872,nan,0.000000,-0.052257,0.017326,0.067567
0.496343,0.503657,nan,0.000000,0.007313,0.017326,0.067567
0.523377,0.476623,nan,0.000000,-0.046755,0.017326,0.067567
0.479972,0.520028,nan,0.000000,0.040056,0.017326,0.067567
0.533346,0.466654,nan,0.000000,-0.066691,0.017326,0.067567
0.442297,0.557703,nan,0.000000,0.115406,0.017326,0.067567
0.552581,0.447419,nan,0.000000,-0.105162,0.017326,0.067567
0.497683,0.502317,nan,0.000000,0.004634,0.017326,0.067567
0.466079,0.533921,nan,0.000000,0.067842,0.017326,0.067567
0.493584,0.506416,nan,0.000000,0.012832,0.017326,0.067567
0.454988,0.545012,nan,0.000000,0.090023,0.017326,0.067567
0.485121,0.514879,nan,0.000000,0.029759,0.017326,0.067567
0.474607,0.525393,nan,0.000000,0.050786,0.017326,0.067567
0.505539,0.494461,nan,0.000000,-0.011078,0.017326,0.067567
0.484605,0.515395,nan,0.000000,0.030789,0.017326,0.067567
0.543281,0.456719,nan,0.000000,-0.086563,0.017326,0.067567
0.513540,0.486460,nan,0.000000,-0.027081,0.017326,0.067567
0.391572,0.608428,nan,1.000000,0.216856,0.120902,0.067567
0.434699,0.565301,nan,0.000000,0.130602,0.120902,0.067567
0.406114,0.593886,nan,0.000000,0.187773,0.120902,0.067567
0.423365,0.576635,nan,0.000000,0.153270,0.120902,0.067567
0.464373,0.535627,nan,0.000000,0.071253,0.120902,0.067567
0.355864,0.644136,nan,0.000000,0.288273,0.120902,0.067567
0.424971,0.575029,nan,0.000000,0.150059,0.120902,0.067567
0.427290,0.572710,nan,0.000000,0.145420,0.120902,0.067567
0.416587,0.583413,nan,0.000000,0.166825,0.120902,0.067567
0.470487,0.529513,nan,0.000000,0.059025,0.120902,0.067567
0.443024,0.556976,nan,0.000000,0.113952,0.120902,0.067567
0.398217,0.601783,nan,0.000000,0.203566,0.120902,0.067567
0.451266,0.548734,nan,0.000000,0.097468,0.120902,0.067567
0.456875,0.543125,nan,0.000000,0.086249,0.120902,0.067567
0.412235,0.587765,nan,0.000000,0.175530,0.120902,0.067567
0.431468,0.568532,nan,0.000000,0.137064,0.120902,0.067567
0.475555,0.524445,nan,0.000000,0.048890,0.120902,0.067567
0.427120,0.572880,nan,0.000000,0.145760,0.120902,0.067567
0.456498,0.543502,nan,0.000000,0.087004,0.120902,0.067567
0.419000,0.581000,nan,0.000000,0.162001,0.120902,0.067567
0.419330,0.580670,nan,0.000000,0.161339,0.120902,0.067567
0.489900,0.510100,nan,0.000000,0.020201,0.120902,0.067567
0.389946,0.610054,nan,0.000000,0.220107,0.120902,0.067567
0.476077,0.523923,nan,0.000000,0.047845,0.120902,0.067567
0.420703,0.579297,nan,0.000000,0.158594,0.120902,0.067567
0.402703,0.597297,nan,0.000000,0.194595,0.120902,0.067567
0.403695,0.596305,nan,0.000000,0.192609,0.120902,0.067567
0.454551,0.545449,nan,0.000000,0.090898,0.120902,0.067567
0.459679,0.540321,nan,0.000000,0.080642,0.120902,0.067567
0.404412,0.595588,nan,0.000000,0.191177,0.120902,0.067567
0.481396,0.518604,nan,0.000000,0.037208,0.120902,0.067567
0.398321,0.601679,nan,0.000000,0.203358,0.120902,0.067567
0.402775,0.597225,nan,0.000000,0.194449,0.120902,0.067567
0.450335,0.549665,nan,0.000000,0.099331,0.120902,0.067567
0.432124,0.567876,nan,0.000000,0.135753,0.120902,0.067567
0.476688,0.523312,nan,0.000000,0.046624,0.120902,0.067567
0.425440,0.574560,nan,0.000000,0.149120,0.120902,0.067567
0.435144,0.564856,nan,0.000000,0.129711,0.120902,0.067567
0.403907,0.596093,nan,0.000000,0.192186,0.120902,0.067567
0.528207,0.471793,nan,0.000000,-0.056414,0.120902,0.067567
0.404515,0.595485,nan,0.000000,0.190970,0.120902,0.067567
0.402184,0.597816,nan,0.000000,0.195632,0.120902,0.067567
0.449408,0.550592,nan,0.000000,0.101184,0.120902,0.067567
0.461607,0.538393,nan,0.000000,0.076785,0.120902,0.067567
0.425544,0.574456,nan,0.000000,0.148912,0.120902,0.067567
0.466044,0.533956,nan,0.000000,0.067913,0.120902,0.067567
0.447350,0.552650,nan,0.000000,0.105301,0.120902,0.067567
0.393795,0.606205,nan,0.000000,0.212411,0.120902,0.067567
0.416606,0.583394,nan,0.000000,0.166789,0.120902,0.067567
0.466436,0.533564,nan,0.000000,0.067128,0.120902,0.067567
0.418206,0.581794,nan,0.000000,0.163588,0.120902,0.067567
0.440818,0.559182,nan,0.000000,0.118364,0.120902,0.067567
0.446281,0.553719,nan,0.000000,0.107438,0.120902,0.067567
0.420101,0.579899,nan,0.000000,0.159798,0.120902,0.067567
0.436677,0.563323,nan,0.000000,0.126646,0.120902,0.067567
0.461740,0.538260,nan,0.000000,0.076519,0.120902,0.067567
0.476612,0.523388,nan,0.000000,0.046777,0.120902,0.067567
0.441239,0.558761,nan,0.000000,0.117522,0.120902,0.067567
0.418722,0.581278,nan,0.000000,0.162556,0.120902,0.067567
0.421861,0.578139,nan,0.000000,0.156278,0.120902,0.067567
0.446667,0.553333,nan,0.000000,0.106666,0.120902,0.067567
0.388632,0.611368,nan,0.000000,0.222736,0.120902,0.067567
0.411823,0.588177,nan,0.000000,0.176354,0.120902,0.067567
0.450752,0.549248,nan,0.000000,0.098496,0.120902,0.067567
0.460652,0.539348,nan,0.000000,0.078696,0.120902,0.067567
0.409796,0.590204,nan,0.000000,0.180409,0.120902,0.067567
0.464604,0.535396,nan,0.000000,0.070793,0.120902,0.067567
0.376780,0.623220,nan,0.000000,0.246441,0.120902,0.067567
0.455418,0.544582,nan,0.000000,0.089163,0.120902,0.067567
0.462563,0.537437,nan,0.000000,0.074875,0.120902,0.067567
0.407724,0.592276,nan,0.000000,0.184552,0.120902,0.067567
0.460500,0.539500,nan,0.000000,0.078999,0.120902,0.067567
0.414579,0.585421,nan,0.000000,0.170842,0.120902,0.067567
0.431236,0.568764,nan,0.000000,0.137527,0.120902,0.067567
0.423826,0.576174,nan,0.000000,0.152347,0.120902,0.067567
0.424837,0.575163,nan,0.000000,0.150326,0.120902,0.067567
0.435403,0.564597,nan,0.000000,0.129194,0.120902,0.067567
0.418248,0.581752,nan,0.000000,0.163503,0.120902,0.067567
0.437244,0.562756,nan,0.000000,0.125513,0.120902,0.067567
0.447188,0.552812,nan,0.000000,0.105624,0.120902,0.067567
0.422672,0.577328,nan,0.000000,0.154656,0.120902,0.067567
0.424568,0.575432,nan,0.000000,0.150865,0.120902,0.067567
0.459459,0.540541,nan,0.000000,0.081083,0.120902,0.067567
0.387059,0.612941,nan,0.000000,0.225883,0.120902,0.067567
