t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
0.603466,0.396534,nan,0.000000,-0.206932,-0.195829,0.059239
0.618676,0.381324,nan,0.000000,-0.237352,-0.195829,0.059239
0.577474,0.422526,nan,0.000000,-0.154948,-0.195829,0.059239
0.593176,0.406824,nan,0.000000,-0.186351,-0.195829,0.059239
0.584179,0.415821,nan,0.000000,-0.168359,-0.195829,0.059239
0.620103,0.379897,nan,0.000000,-0.240206,-0.195829,0.059239
0.588983,0.411017,nan,0.000000,-0.177967,-0.195829,0.059239
0.605474,0.394526,nan,0.000000,-0.210947,-0.195829,0.059239
0.567131,0.432869,nan,0.000000,-0.134261,-0.195829,0.059239
0.628692,0.371308,nan,0.000000,-0.257384,-0.195829,0.059239
0.611503,0.388497,nan,0.000000,-0.223007,-0.195829,0.059239
0.634939,0.365061,nan,0.000000,-0.269878,-0.195829,0.059239
0.625334,0.374666,nan,0.000000,-0.250668,-0.195829,0.059239
0.580891,0.419109,nan,0.000000,-0.161783,-0.195829,0.059239
0.569328,0.430672,nan,0.000000,-0.138656,-0.195829,0.059239
0.628487,0.371513,nan,0.000000,-0.256975,-0.195829,0.059239
0.603945,0.396055,nan,0.000000,-0.207891,-0.195829,0.059239
0.589868,0.410132,nan,0.000000,-0.179736,-0.195829,0.059239
0.583778,0.416222,nan,0.000000,-0.167556,-0.195829,0.059239
0.637210,0.362790,nan,0.000000,-0.274420,-0.195829,0.059239
0.612040,0.387960,nan,0.000000,-0.224081,-0.195829,0.059239
0.626132,0.373868,nan,0.000000,-0.252264,-0.195829,0.059239
0.563324,0.436676,nan,0.000000,-0.126647,-0.195829,0.059239
0.650959,0.349041,nan,0.000000,-0.301918,-0.195829,0.059239
0.643863,0.356137,nan,0.000000,-0.287727,-0.195829,0.059239
0.590851,0.409149,nan,0.000000,-0.181703,-0.195829,0.059239
0.566967,0.433033,nan,0.000000,-0.133935,-0.195829,0.059239
0.555600,0.444400,nan,0.000000,-0.111200,-0.195829,0.059239
0.569691,0.430309,nan,0.000000,-0.139383,-0.195829,0.059239
0.581028,0.418972,nan,0.000000,-0.162057,-0.195829,0.059239
0.528504,0.471496,nan,0.000000,-0.057007,-0.195829,0.059239
0.593150,0.406850,nan,0.000000,-0.186299,-0.195829,0.059239
0.590749,0.409251,nan,0.000000,-0.181498,-0.195829,0.059239
0.621601,0.378399,nan,0.000000,-0.243201,-0.195829,0.059239
0.600540,0.399460,nan,0.000000,-0.201080,-0.195829,0.059239
0.597593,0.402407,nan,0.000000,-0.195187,-0.195829,0.059239
0.623794,0.376206,nan,0.000000,-0.247588,-0.195829,0.059239
0.645514,0.354486,nan,0.000000,-0.291028,-0.195829,0.059239
0.567752,0.432248,nan,0.000000,-0.135504,-0.195829,0.059239
0.589466,0.410534,nan,0.000000,-0.178933,-0.195829,0.059239
0.634159,0.365841,nan,0.000000,-0.268318,-0.195829,0.059239
0.564540,0.435460,nan,0.000000,-0.129079,-0.195829,0.059239
