t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
0.102816,-0.102816,nan,0.000000,0.205632,0.270009,0.050196
0.144547,-0.144547,nan,0.000000,0.289093,0.270009,0.050196
0.141769,-0.141769,nan,0.000000,0.283539,0.270009,0.050196
0.123428,-0.123428,nan,0.000000,0.246856,0.270009,0.050196
0.159362,-0.159362,nan,0.000000,0.318724,0.270009,0.050196
0.158232,-0.158232,nan,0.000000,0.316464,0.270009,0.050196
0.153257,-0.153257,nan,0.000000,0.306513,0.270009,0.050196
0.141161,-0.141161,nan,0.000000,0.282323,0.270009,0.050196
0.128236,-0.128236,nan,0.000000,0.256473,0.270009,0.050196
0.137926,-0.137926,nan,0.000000,0.275853,0.270009,0.050196
0.121240,-0.121240,nan,0.000000,0.242480,0.270009,0.050196
0.179852,-0.179852,nan,0.000000,0.359704,0.270009,0.050196
0.160552,-0.160552,nan,0.000000,0.321103,0.270009,0.050196
0.140201,-0.140201,nan,0.000000,0.280402,0.270009,0.050196
0.123255,-0.123255,nan,0.000000,0.246510,0.270009,0.050196
0.129977,-0.129977,nan,0.000000,0.259953,0.270009,0.050196
0.131237,-0.131237,nan,0.000000,0.262474,0.270009,0.050196
0.092574,-0.092574,nan,0.000000,0.185148,0.270009,0.050196
0.189498,-0.189498,nan,0.000000,0.378997,0.270009,0.050196
0.094601,-0.094601,nan,0.000000,0.189202,0.270009,0.050196
0.118303,-0.118303,nan,0.000000,0.236607,0.270009,0.050196
0.149630,-0.149630,nan,0.000000,0.299260,0.270009,0.050196
0.077256,-0.077256,nan,0.000000,0.154513,0.270009,0.050196
0.151716,-0.151716,nan,0.000000,0.303433,0.270009,0.050196
0.137485,-0.137485,nan,0.000000,0.274971,0.270009,0.050196
0.157601,-0.157601,nan,0.000000,0.315202,0.270009,0.050196
0.112243,-0.112243,nan,0.000000,0.224486,0.270009,0.050196
0.127969,-0.127969,nan,0.000000,0.255939,0.270009,0.050196
0.123399,-0.123399,nan,0.000000,0.246797,0.270009,0.050196
0.119306,-0.119306,nan,0.000000,0.238613,0.270009,0.050196
0.139006,-0.139006,nan,0.000000,0.278011,0.270009,0.050196
0.150186,-0.150186,nan,0.000000,0.300371,0.270009,0.050196
0.123601,-0.123601,nan,0.000000,0.247201,0.270009,0.050196
0.154628,-0.154628,nan,0.000000,0.309256,0.270009,0.050196
0.165915,-0.165915,nan,0.000000,0.331830,0.270009,0.050196
0.172285,-0.172285,nan,0.000000,0.344569,0.270009,0.050196
0.147982,-0.147982,nan,0.000000,0.295964,0.270009,0.050196
0.133754,-0.133754,nan,0.000000,0.267509,0.270009,0.050196
0.112777,-0.112777,nan,0.000000,0.225554,0.270009,0.050196
0.170027,-0.170027,nan,0.000000,0.340054,0.270009,0.050196
0.096841,-0.096841,nan,0.000000,0.193681,0.270009,0.050196
0.129185,-0.129185,nan,0.000000,0.258370,0.270009,0.050196
0.103716,-0.103716,nan,0.000000,0.207432,0.270009,0.050196
