t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
0.247400,-0.247400,nan,0.000000,0.494800,0.408604,0.068423
0.261626,-0.261626,nan,0.000000,0.523252,0.408604,0.068423
0.218215,-0.218215,nan,0.000000,0.436430,0.408604,0.068423
0.129375,-0.129375,nan,0.000000,0.258749,0.408604,0.068423
0.242336,-0.242336,nan,0.000000,0.484673,0.408604,0.068423
0.195369,-0.195369,nan,0.000000,0.390739,0.408604,0.068423
0.215826,-0.215826,nan,0.000000,0.431652,0.408604,0.068423
0.238556,-0.238556,nan,0.000000,0.477112,0.408604,0.068423
0.207139,-0.207139,nan,0.000000,0.414279,0.408604,0.068423
0.225231,-0.225231,nan,0.000000,0.450461,0.408604,0.068423
0.231237,-0.231237,nan,0.000000,0.462474,0.408604,0.068423
0.204082,-0.204082,nan,0.000000,0.408164,0.408604,0.068423
0.198879,-0.198879,nan,0.000000,0.397757,0.408604,0.068423
0.160990,-0.160990,nan,0.000000,0.321979,0.408604,0.068423
0.225245,-0.225245,nan,0.000000,0.450490,0.408604,0.068423
0.110748,-0.110748,nan,0.000000,0.221496,0.408604,0.068423
0.202325,-0.202325,nan,0.000000,0.404649,0.408604,0.068423
0.187319,-0.187319,nan,0.000000,0.374638,0.408604,0.068423
0.254116,-0.254116,nan,0.000000,0.508233,0.408604,0.068423
0.245200,-0.245200,nan,0.000000,0.490401,0.408604,0.068423
0.220813,-0.220813,nan,0.000000,0.441625,0.408604,0.068423
0.236686,-0.236686,nan,0.000000,0.473372,0.408604,0.068423
0.149509,-0.149509,nan,0.000000,0.299018,0.408604,0.068423
0.147658,-0.147658,nan,0.000000,0.295316,0.408604,0.068423
0.162009,-0.162009,nan,0.000000,0.324018,0.408604,0.068423
0.198381,-0.198381,nan,0.000000,0.396762,0.408604,0.068423
0.187093,-0.187093,nan,0.000000,0.374186,0.408604,0.068423
0.241074,-0.241074,nan,0.000000,0.482148,0.408604,0.068423
0.188644,-0.188644,nan,0.000000,0.377288,0.408604,0.068423
0.225435,-0.225435,nan,0.000000,0.450871,0.408604,0.068423
0.158705,-0.158705,nan,0.000000,0.317409,0.408604,0.068423
0.182617,-0.182617,nan,0.000000,0.365233,0.408604,0.068423
0.167513,-0.167513,nan,0.000000,0.335026,0.408604,0.068423
0.184166,-0.184166,nan,0.000000,0.368332,0.408604,0.068423
0.178252,-0.178252,nan,0.000000,0.356505,0.408604,0.068423
0.187293,-0.187293,nan,0.000000,0.374587,0.408604,0.068423
0.214402,-0.214402,nan,0.000000,0.428805,0.408604,0.068423
0.250428,-0.250428,nan,0.000000,0.500855,0.408604,0.068423
0.217287,-0.217287,nan,0.000000,0.434574,0.408604,0.068423
0.236347,-0.236347,nan,0.000000,0.472694,0.408604,0.068423
0.192366,-0.192366,nan,0.000000,0.384732,0.408604,0.068423
0.199590,-0.199590,nan,0.000000,0.399179,0.408604,0.068423
0.214543,-0.214543,nan,0.000000,0.429085,0.408604,0.068423
0.196192,-0.196192,nan,0.000000,0.392384,0.408604,0.068423
0.239639,-0.239639,nan,0.000000,0.479279,0.408604,0.068423
0.181799,-0.181799,nan,0.000000,0.363598,0.408604,0.068423
0.240370,-0.240370,nan,0.000000,0.480741,0.408604,0.068423
0.151996,-0.151996,nan,0.000000,0.303991,0.408604,0.068423
0.188494,-0.188494,nan,0.000000,0.376989,0.408604,0.068423
0.239678,-0.239678,nan,1.000000,0.479356,0.433908,0.068423
0.230294,-0.230294,nan,0.000000,0.460588,0.433908,0.068423
0.179040,-0.179040,nan,0.000000,0.358081,0.433908,0.068423
0.182634,-0.182634,nan,0.000000,0.365268,0.433908,0.068423
0.208166,-0.208166,nan,0.000000,0.416331,0.433908,0.068423
0.219410,-0.219410,nan,0.000000,0.438820,0.433908,0.068423
0.243893,-0.243893,nan,0.000000,0.487785,0.433908,0.068423
0.179783,-0.179783,nan,0.000000,0.359565,0.433908,0.068423
0.199263,-0.199263,nan,0.000000,0.398526,0.433908,0.068423
0.267429,-0.267429,nan,0.000000,0.534858,0.433908,0.068423
0.181564,-0.181564,nan,0.000000,0.363127,0.433908,0.068423
0.285242,-0.285242,nan,0.000000,0.570484,0.433908,0.068423
0.188920,-0.188920,nan,0.000000,0.377839,0.433908,0.068423
0.147144,-0.147144,nan,0.000000,0.294289,0.433908,0.068423
0.232694,-0.232694,nan,0.000000,0.465389,0.433908,0.068423
0.200741,-0.200741,nan,0.000000,0.401482,0.433908,0.068423
0.160980,-0.160980,nan,0.000000,0.321960,0.433908,0.068423
0.217596,-0.217596,nan,0.000000,0.435192,0.433908,0.068423
0.196131,-0.196131,nan,0.000000,0.392261,0.433908,0.068423
0.251715,-0.251715,nan,0.000000,0.503429,0.433908,0.068423
0.326157,-0.326157,nan,0.000000,0.652314,0.433908,0.068423
0.249543,-0.249543,nan,0.000000,0.499085,0.433908,0.068423
0.243594,-0.243594,nan,0.000000,0.487189,0.433908,0.068423
0.249176,-0.249176,nan,0.000000,0.498351,0.433908,0.068423
0.247852,-0.247852,nan,0.000000,0.495705,0.433908,0.068423
0.176368,-0.176368,nan,0.000000,0.352737,0.433908,0.068423
0.210097,-0.210097,nan,0.000000,0.420193,0.433908,0.068423
0.266270,-0.266270,nan,0.000000,0.532540,0.433908,0.068423
0.275732,-0.275732,nan,0.000000,0.551464,0.433908,0.068423
0.191964,-0.191964,nan,0.000000,0.383928,0.433908,0.068423
0.211077,-0.211077,nan,0.000000,0.422153,0.433908,0.068423
0.209314,-0.209314,nan,0.000000,0.418627,0.433908,0.068423
0.175824,-0.175824,nan,0.000000,0.351647,0.433908,0.068423
0.214744,-0.214744,nan,0.000000,0.429489,0.433908,0.068423
0.244905,-0.244905,nan,0.000000,0.489810,0.433908,0.068423
0.192084,-0.192084,nan,0.000000,0.384169,0.433908,0.068423
0.227227,-0.227227,nan,0.000000,0.454454,0.433908,0.068423
0.257122,-0.257122,nan,0.000000,0.514244,0.433908,0.068423
0.240473,-0.240473,nan,0.000000,0.480946,0.433908,0.068423
0.233018,-0.233018,nan,0.000000,0.466035,0.433908,0.068423
0.210890,-0.210890,nan,0.000000,0.421780,0.433908,0.068423
0.172863,-0.172863,nan,0.000000,0.345726,0.433908,0.068423
0.152285,-0.152285,nan,0.000000,0.304570,0.433908,0.068423
0.232244,-0.232244,nan,0.000000,0.464488,0.433908,0.068423
0.129901,-0.129901,nan,0.000000,0.259803,0.433908,0.068423
0.236018,-0.236018,nan,0.000000,0.472035,0.433908,0.068423
0.212852,-0.212852,nan,0.000000,0.425704,0.433908,0.068423
0.148660,-0.148660,nan,0.000000,0.297321,0.433908,0.068423
0.231644,-0.231644,nan,0.000000,0.463289,0.433908,0.068423
0.191633,-0.191633,nan,0.000000,0.383266,0.433908,0.068423
0.242779,-0.242779,nan,0.000000,0.485557,0.433908,0.068423
0.160739,-0.160739,nan,0.000000,0.321477,0.433908,0.068423
0.248475,-0.248475,nan,0.000000,0.496951,0.433908,0.068423
-0.231696,0.231696,nan,1.000000,-0.463392,-0.536746,0.068423
-0.265884,0.265884,nan,0.000000,-0.531769,-0.536746,0.068423
-0.300884,0.300884,nan,0.000000,-0.601768,-0.536746,0.068423
-0.336371,0.336371,nan,0.000000,-0.672742,-0.536746,0.068423
-0.249802,0.249802,nan,0.000000,-0.499604,-0.536746,0.068423
-0.241634,0.241634,nan,0.000000,-0.483269,-0.536746,0.068423
-0.274341,0.274341,nan,0.000000,-0.548681,-0.536746,0.068423
-0.257298,0.257298,nan,0.000000,-0.514597,-0.536746,0.068423
-0.292319,0.292319,nan,0.000000,-0.584638,-0.536746,0.068423
-0.280794,0.280794,nan,0.000000,-0.561588,-0.536746,0.068423
-0.247289,0.247289,nan,0.000000,-0.494579,-0.536746,0.068423
-0.261678,0.261678,nan,0.000000,-0.523356,-0.536746,0.068423
-0.245201,0.245201,nan,0.000000,-0.490403,-0.536746,0.068423
-0.236403,0.236403,nan,0.000000,-0.472807,-0.536746,0.068423
-0.250065,0.250065,nan,0.000000,-0.500129,-0.536746,0.068423
-0.264072,0.264072,nan,0.000000,-0.528144,-0.536746,0.068423
-0.293954,0.293954,nan,0.000000,-0.587908,-0.536746,0.068423
-0.250764,0.250764,nan,0.000000,-0.501527,-0.536746,0.068423
-0.240933,0.240933,nan,0.000000,-0.481866,-0.536746,0.068423
-0.209746,0.209746,nan,0.000000,-0.419493,-0.536746,0.068423
-0.283801,0.283801,nan,0.000000,-0.567603,-0.536746,0.068423
-0.266774,0.266774,nan,0.000000,-0.533549,-0.536746,0.068423
-0.234868,0.234868,nan,0.000000,-0.469736,-0.536746,0.068423
-0.314601,0.314601,nan,0.000000,-0.629203,-0.536746,0.068423
-0.321990,0.321990,nan,0.000000,-0.643981,-0.536746,0.068423
-0.314894,0.314894,nan,0.000000,-0.629788,-0.536746,0.068423
-0.241346,0.241346,nan,0.000000,-0.482692,-0.536746,0.068423
-0.240933,0.240933,nan,0.000000,-0.481867,-0.536746,0.068423
-0.286734,0.286734,nan,0.000000,-0.573467,-0.536746,0.068423
-0.288071,0.288071,nan,0.000000,-0.576143,-0.536746,0.068423
-0.247543,0.247543,nan,0.000000,-0.495086,-0.536746,0.068423
-0.313631,0.313631,nan,0.000000,-0.627262,-0.536746,0.068423
-0.248351,0.248351,nan,0.000000,-0.496702,-0.536746,0.068423
-0.304048,0.304048,nan,0.000000,-0.608095,-0.536746,0.068423
-0.233215,0.233215,nan,0.000000,-0.466430,-0.536746,0.068423
-0.313989,0.313989,nan,0.000000,-0.627979,-0.536746,0.068423
-0.259147,0.259147,nan,0.000000,-0.518294,-0.536746,0.068423
-0.289382,0.289382,nan,0.000000,-0.578763,-0.536746,0.068423
-0.306473,0.306473,nan,0.000000,-0.612946,-0.536746,0.068423
-0.256265,0.256265,nan,0.000000,-0.512529,-0.536746,0.068423
-0.298900,0.298900,nan,0.000000,-0.597799,-0.536746,0.068423
-0.262960,0.262960,nan,0.000000,-0.525920,-0.536746,0.068423
-0.192164,0.192164,nan,0.000000,-0.384327,-0.536746,0.068423
-0.270161,0.270161,nan,0.000000,-0.540322,-0.536746,0.068423
-0.305745,0.305745,nan,0.000000,-0.611491,-0.536746,0.068423
-0.254930,0.254930,nan,0.000000,-0.509859,-0.536746,0.068423
-0.205683,0.205683,nan,0.000000,-0.411366,-0.536746,0.068423
-0.323185,0.323185,nan,0.000000,-0.646371,-0.536746,0.068423
-0.291224,0.291224,nan,0.000000,-0.582447,-0.536746,0.068423
