                 mean          std        2.5q        25q        50q        75q      97.5q       mc err
a             1.02986    0.0178134    0.996168    1.01804    1.02928    1.04139    1.06581  0.000383666
a_std       0.0840571    0.0141569    0.061665  0.0740603  0.0824965  0.0921833   0.117429   0.00036977
a_subj.761   0.925035   0.00874807     0.90771   0.919049   0.925137   0.930768   0.942722  0.000191634
a_subj.762    1.00739   0.00940886    0.989024    1.00076    1.00746    1.01399    1.02583  0.000199501
a_subj.763    1.05083   0.00963604     1.03247    1.04412    1.05074    1.05744    1.07027  0.000213955
a_subj.764    1.00878   0.00944944    0.990224    1.00265    1.00876    1.01517    1.02763  0.000208986
a_subj.765      1.187    0.0118484     1.16321    1.17914    1.18738    1.19484     1.2097   0.00030639
a_subj.766    1.02434   0.00976667     1.00567     1.0178    1.02423    1.03098    1.04361  0.000259687
a_subj.767    1.17699     0.011538     1.15427    1.16898    1.17693    1.18486    1.19948  0.000286908
a_subj.768     1.0718   0.00967442     1.05302    1.06511    1.07182    1.07851    1.09035  0.000233023
a_subj.769    1.05441   0.00991139     1.03413    1.04796    1.05453    1.06088    1.07465  0.000227875
a_subj.770   0.973675   0.00932179    0.955729   0.967532   0.973726   0.979773   0.991949  0.000229648
a_subj.771    1.01903   0.00936806     1.00046    1.01275    1.01894    1.02538    1.03757  0.000191766
a_subj.772    1.00395   0.00898149    0.986735   0.997585    1.00406    1.01008    1.02146  0.000205391
a_subj.773   0.990689    0.0100077    0.970384   0.984202   0.990825   0.997313     1.0101  0.000270174
a_subj.774   0.991172   0.00951909    0.973302   0.984508   0.991205   0.997654    1.00986  0.000203049
a_subj.775     1.0177   0.00924268     1.00012    1.01119    1.01761     1.0241    1.03663  0.000215002
a_subj.776    1.08933    0.0104672     1.06861    1.08223    1.08911    1.09619    1.11047  0.000234681
a_subj.777    1.04884    0.0107754     1.02766    1.04147    1.04899    1.05628    1.07018  0.000284881
a_subj.778    1.12182    0.0104786     1.10138     1.1148    1.12191    1.12891    1.14234    0.0002044
a_subj.779    1.05692   0.00968865     1.03769    1.05054    1.05665    1.06303    1.07618  0.000229315
a_subj.780   0.930857   0.00896223    0.913084   0.924997   0.930725   0.936629   0.949274  0.000194386
a_subj.781   0.854456   0.00853762    0.838621   0.848692   0.854213   0.860284   0.871516  0.000202235
a_subj.782    1.03518   0.00964577     1.01616    1.02868    1.03523    1.04164    1.05375  0.000214876
a_subj.783   0.930736   0.00921593    0.913686   0.924465   0.930622   0.937039   0.949206  0.000207265
a_subj.784    1.11328    0.0104797      1.0933    1.10595    1.11331    1.12063    1.13397  0.000260648
v             1.13915     0.161576    0.819726    1.03246    1.14191    1.24277    1.45696   0.00339572
v_std        0.778461     0.124729    0.586746   0.691182   0.758654   0.847987    1.05755   0.00316769
v_subj.761    2.47609    0.0741866     2.33204     2.4281    2.47447    2.52502    2.62496   0.00243454
v_subj.762    1.36373     0.060864     1.24469    1.32305    1.36494    1.40385    1.48078   0.00194754
v_subj.763   0.375928    0.0521439    0.276576   0.339993   0.374902   0.411113   0.481146   0.00153625
v_subj.764   0.638181    0.0538597    0.532382   0.601569   0.637546   0.675831   0.743146   0.00162803
v_subj.765    1.58546    0.0558374     1.47139    1.54776    1.58561     1.6227    1.69455   0.00202423
v_subj.766    1.63167    0.0619892     1.51274    1.58856    1.63084    1.67221    1.75747   0.00209537
v_subj.767    1.22657    0.0536201     1.12348    1.18931    1.22497    1.26283     1.3361   0.00175328
v_subj.768   0.104076    0.0508067 -0.00094728  0.0705815   0.105412   0.137202   0.200021   0.00136477
v_subj.769    1.20397      0.05852      1.0903    1.16456    1.20367    1.24319    1.31647   0.00190432
v_subj.770    1.41498    0.0650392     1.28627    1.37183    1.41681    1.45836    1.54202   0.00192302
v_subj.771  0.0221995    0.0570389   -0.088647 -0.0153868  0.0219101  0.0612302   0.135487   0.00186045
v_subj.772 -0.0584123    0.0554412   -0.168639 -0.0945294 -0.0571836  -0.020419  0.0500782   0.00186503
v_subj.773    2.19902    0.0722939     2.05676    2.15179    2.19975    2.24722    2.34217   0.00277208
v_subj.774    1.18988    0.0636033      1.0649    1.14613    1.19137    1.23258    1.31403   0.00228975
v_subj.775 -0.0141007    0.0534414   -0.116325 -0.0507832  -0.014824  0.0187945    0.09423   0.00148897
v_subj.776    1.26929    0.0577597      1.1583     1.2303    1.27048     1.3076    1.38175   0.00185709
v_subj.777    1.98751    0.0674658     1.85695    1.94161    1.98744    2.03184    2.12259   0.00237519
v_subj.778   0.875381    0.0519771     0.77108   0.839885   0.876896   0.911902   0.977093   0.00151831
v_subj.779    1.25091    0.0590017     1.13458    1.21071    1.25076    1.29016    1.36732   0.00227685
v_subj.780    1.63829    0.0649798     1.51252    1.59247    1.63875    1.68288      1.764   0.00198188
v_subj.781    1.79836    0.0771291     1.65214    1.74563    1.79744    1.85167    1.95068   0.00252177
v_subj.782   0.997446    0.0557807    0.886247   0.959978   0.997264    1.03346     1.1103   0.00206383
v_subj.783    1.99315     0.067279     1.86076      1.947    1.99184    2.03839    2.12714   0.00195235
v_subj.784   0.258222    0.0511207     0.15837   0.223435   0.260122   0.295132   0.352195   0.00167016
t            0.115623   0.00544996    0.105334   0.111957   0.115372   0.118967   0.126866  0.000125758
t_std       0.0256782   0.00444169   0.0189409  0.0226679  0.0250425  0.0279078  0.0365746  0.000118934
t_subj.761   0.152185  0.000347884    0.151457   0.151962   0.152205   0.152442   0.152788    8.225e-06
t_subj.762   0.138438   0.00042676    0.137527   0.138149   0.138478   0.138739   0.139215  9.28534e-06
t_subj.763  0.0957717  0.000695546   0.0943296  0.0953298  0.0957965  0.0962654  0.0970582  1.46976e-05
t_subj.764  0.0960915  0.000687736   0.0946796  0.0956259  0.0961125  0.0965793  0.0973398  1.47282e-05
t_subj.765   0.118198  0.000561487    0.116998   0.117836   0.118239   0.118591   0.119198  1.23571e-05
t_subj.766  0.0981293  0.000357378   0.0973376   0.097907  0.0981556  0.0983826  0.0987464  8.31087e-06
t_subj.767  0.0950321   0.00062407   0.0936749  0.0946334  0.0950695  0.0954579  0.0961497  1.38601e-05
t_subj.768  0.0872603   0.00104952   0.0851059  0.0865797  0.0872789  0.0879874  0.0892716  2.48409e-05
t_subj.769  0.0984279  0.000527719   0.0973627  0.0980809  0.0984365   0.098795  0.0993904  1.13038e-05
t_subj.770   0.122726  0.000412975    0.121846   0.122468   0.122751   0.123008   0.123488  8.60056e-06
t_subj.771  0.0959539  0.000491386   0.0949295  0.0956366  0.0959761  0.0963045  0.0968643  1.08404e-05
t_subj.772  0.0942244  0.000690784    0.092841  0.0937674  0.0942544  0.0946876  0.0955089  1.54644e-05
t_subj.773   0.126635  0.000304301    0.125984   0.126438   0.126652   0.126852   0.127159  6.46985e-06
t_subj.774   0.107676  0.000439761    0.106747   0.107395   0.107707   0.107989   0.108457  1.08009e-05
t_subj.775  0.0950456  0.000696787   0.0935757  0.0946022  0.0950895   0.095526  0.0963025  1.54314e-05
t_subj.776  0.0971486  0.000576803   0.0959242  0.0967711  0.0972054  0.0975551    0.09819  1.27109e-05
t_subj.777   0.114145   0.00045234    0.113208   0.113856    0.11416   0.114474   0.114955  1.08397e-05
t_subj.778    0.10396  0.000709971    0.102413   0.103502   0.103998   0.104451   0.105224  1.75178e-05
t_subj.779   0.113219  0.000480127    0.112218   0.112904   0.113254   0.113558   0.114086   1.0884e-05
t_subj.780   0.207283  0.000415933    0.206365   0.207028   0.207313   0.207582   0.208028  9.08532e-06
t_subj.781   0.139024  0.000375272    0.138187   0.138796    0.13905   0.139292   0.139666  8.38509e-06
