                     mean          std       2.5q        25q        50q        75q      97.5q       mc err
a(hc)             1.01492    0.0197307   0.974801    1.00219    1.01519    1.02815     1.0538  0.000475805
a(hv)             1.04353    0.0197203    1.00485    1.03025    1.04329    1.05709    1.08213  0.000414149
a(lc)             1.03321    0.0193608   0.994323    1.01966    1.03334    1.04621    1.07068  0.000442204
a(lv)             1.02758    0.0191845   0.990251    1.01432    1.02754    1.04085    1.06407  0.000411708
a_std           0.0936752   0.00729743  0.0805537    0.08865  0.0932465  0.0984324    0.10913  0.000172058
a_subj(hc).761    1.02598    0.0187125   0.989029    1.01374    1.02582    1.03927    1.06198  0.000349168
a_subj(hc).762    1.10343    0.0190906    1.06638    1.09023    1.10326    1.11609    1.14185  0.000401545
a_subj(hc).763    1.04224    0.0188408    1.00627    1.02919    1.04178    1.05465    1.07922  0.000371944
a_subj(hc).764   0.929671    0.0161451   0.897989   0.919105   0.929718   0.940377   0.961454  0.000296005
a_subj(hc).765    1.11762    0.0214246    1.07537    1.10248    1.11829    1.13217    1.15992   0.00040269
a_subj(hc).766    1.00504    0.0182236   0.969554   0.993117     1.0049     1.0174    1.04101  0.000406705
a_subj(hc).767    1.13236    0.0192025     1.0954    1.11924    1.13214    1.14456    1.17007  0.000378787
a_subj(hc).768    1.05137    0.0177509    1.01819    1.03887    1.05113    1.06322    1.08698  0.000415701
a_subj(hc).769    1.00536    0.0185493   0.969147   0.992794    1.00503    1.01753    1.04205  0.000415806
a_subj(hc).770   0.958405    0.0179944   0.924119   0.945976   0.957956   0.970476    0.99328  0.000322153
a_subj(hc).771    1.08275    0.0208608    1.04332    1.06838    1.08264    1.09704    1.12344  0.000379444
a_subj(hc).772   0.982574    0.0179908   0.947923   0.970014   0.982926   0.994626    1.01832  0.000361212
a_subj(hc).773   0.983175    0.0181675   0.947226   0.971027   0.982772   0.995394    1.01865  0.000363183
a_subj(hc).774   0.983683    0.0182243   0.948346   0.971434   0.983452   0.996102    1.02096  0.000361327
a_subj(hc).775    1.04062    0.0175384    1.00716    1.02887    1.04022     1.0525    1.07595  0.000371704
a_subj(hc).776    1.06835    0.0189556    1.03219    1.05538    1.06789    1.08105    1.10577  0.000361982
a_subj(hc).777   0.965234    0.0170377   0.931908   0.954024    0.96499   0.976466    1.00004  0.000383541
a_subj(hc).778    1.04932     0.019364    1.01192    1.03551    1.04916    1.06257    1.08592  0.000429003
a_subj(hc).779    1.13386    0.0204613    1.09325    1.12036    1.13336    1.14666    1.17564  0.000386169
a_subj(hc).780     0.9295    0.0164885    0.89735   0.918333   0.929321   0.940541   0.963507   0.00038305
a_subj(hc).781   0.797511    0.0145372   0.769038   0.787656   0.797695   0.807532   0.824726  0.000355381
