                      mean          std        2.5q        25q         50q         75q      97.5q       mc err
a(hc)             0.986495    0.0244376    0.938381   0.969817    0.986703     1.00276    1.03513   0.00047713
a(hv)             0.982883    0.0239675    0.934912   0.966016    0.982563    0.999822    1.03007  0.000493015
a(lc)             0.938799    0.0235319    0.892846   0.922473    0.938792    0.955162   0.983837  0.000442279
a(lv)             0.952019    0.0238407    0.904852   0.936419    0.951934    0.968803   0.998576  0.000507442
a_std             0.114125   0.00869521   0.0980628   0.108128     0.11357    0.119609   0.133271  0.000192742
a_subj(hc).761    0.916423    0.0166309    0.885235   0.905046     0.91558     0.92755   0.950752  0.000374972
a_subj(hc).762    0.982116    0.0182172    0.948135   0.969692    0.981529    0.994328    1.01893  0.000418382
a_subj(hc).763    0.984184    0.0178493    0.950432   0.971985    0.983633    0.996096    1.01868  0.000430929
a_subj(hc).764    0.942154    0.0184261    0.906299   0.929603    0.941474    0.953916   0.979188  0.000519618
a_subj(hc).765      1.0866    0.0208264     1.04633    1.07193     1.08651     1.10092    1.12681  0.000455714
a_subj(hc).766    0.926252    0.0178354    0.892668   0.914144    0.925964    0.937874   0.962338  0.000394333
a_subj(hc).767     1.06735    0.0200763     1.02831    1.05366      1.0673     1.08056    1.10728  0.000476706
a_subj(hc).768     1.08259    0.0194549     1.04575    1.07018     1.08176     1.09497    1.12167  0.000531264
a_subj(hc).769     1.03425    0.0200842    0.995345    1.02077     1.03407     1.04762    1.07336  0.000419744
a_subj(hc).770    0.945123     0.017768    0.910292   0.932634    0.945011    0.957359   0.980467  0.000340455
a_subj(hc).771    0.826725     0.015516    0.796969   0.816025    0.826708    0.836979   0.857641  0.000347029
a_subj(hc).772    0.987929    0.0184924    0.952674   0.975139    0.987779     1.00091    1.02363  0.000372776
a_subj(hc).773    0.991907    0.0190749    0.955473   0.979156    0.992009     1.00476    1.03005  0.000403869
a_subj(hc).774     0.88913    0.0167094    0.856685   0.877824     0.88876    0.900235    0.92296  0.000450973
a_subj(hc).775     1.06402    0.0187347      1.0279    1.05137     1.06385     1.07671    1.10237  0.000411332
a_subj(hc).776     1.08802    0.0204429     1.04938    1.07443     1.08777     1.10152    1.12817  0.000479469
a_subj(hc).777    0.990482    0.0193869     0.95384   0.977615    0.990027     1.00317    1.02964  0.000434901
a_subj(hc).778     0.99648    0.0183685    0.960836   0.983665     0.99663       1.009    1.03241  0.000435188
a_subj(hc).779     1.06203    0.0201417     1.02355    1.04774     1.06105     1.07572    1.10252  0.000512271
a_subj(hc).780    0.946903    0.0177072    0.912313   0.935011    0.946823    0.958155   0.982749  0.000372411
a_subj(hc).781    0.817201       0.0156    0.787701   0.806081    0.817265    0.827751    0.84845  0.000398044
a_subj(hc).782    0.926236    0.0163567     0.89473   0.915022    0.926203    0.937238   0.959472  0.000334147
a_subj(hc).783    0.923535    0.0182942    0.887259   0.911251    0.923512    0.935952   0.960252  0.000443833
a_subj(hc).784     1.04885    0.0192489     1.00967    1.03628     1.04854     1.06151    1.08659  0.000450443
a_subj(hv).761    0.806778    0.0157788    0.776634   0.796233    0.806141    0.817409   0.838512  0.000380012
a_subj(hv).762     1.03573    0.0193894    0.997771    1.02264     1.03534     1.04884    1.07342  0.000449338
a_subj(hv).763     1.16483    0.0210066     1.12403    1.15076     1.16483     1.17894    1.20579  0.000459185
a_subj(hv).764     1.07823    0.0196696     1.03933    1.06433     1.07775     1.09153    1.11742  0.000360851
a_subj(hv).765     1.07802    0.0207871     1.03789    1.06298     1.07822     1.09159    1.11985  0.000524721
a_subj(hv).766     0.95811    0.0180532     0.92318   0.945177    0.958115    0.970443   0.994996  0.000400758
a_subj(hv).767    0.992005    0.0186693    0.956676   0.979147     0.99122     1.00491    1.02918  0.000389913
a_subj(hv).768     1.06081    0.0191612     1.02417    1.04766     1.06022     1.07387    1.10002  0.000428917
a_subj(hv).769    0.988027    0.0185903    0.953251   0.975126    0.987508     1.00082    1.02617  0.000421984
a_subj(hv).770     1.02139    0.0197726    0.984376    1.00732     1.02146     1.03533    1.05981  0.000437532
a_subj(hv).771     1.00255    0.0186649    0.966964   0.989949      1.0021     1.01545    1.03977  0.000365587
a_subj(hv).772     1.02985    0.0189067    0.993357    1.01689     1.03006     1.04237    1.06657  0.000439021
a_subj(hv).773    0.820962    0.0153174    0.790833   0.810327    0.820706    0.831728   0.849797  0.000344425
a_subj(hv).774    0.938017    0.0180147    0.902254   0.925775    0.937948    0.949626   0.973827  0.000423433
a_subj(hv).775    0.966656    0.0171369    0.932882   0.954835    0.965965    0.978577   0.999911  0.000358406
a_subj(hv).776     1.10817    0.0209655     1.06688    1.09405     1.10775     1.12236    1.14962   0.00044985
a_subj(hv).777    0.876977    0.0165244    0.845091   0.865937    0.876777    0.888063   0.909898  0.000340305
a_subj(hv).778     1.24252    0.0224814     1.20075    1.22679     1.24176     1.25789    1.28934  0.000547114
a_subj(hv).779     0.95859    0.0181872    0.923604   0.946384     0.95792    0.970763   0.996372  0.000410388
a_subj(hv).780    0.814576    0.0153628    0.785844   0.804129     0.81435    0.824606   0.846319  0.000409929
a_subj(hv).781    0.703749    0.0127146    0.679931   0.695323    0.703708    0.711955    0.72935  0.000311369
a_subj(hv).782     1.05995    0.0194898     1.02212    1.04686     1.05946     1.07326    1.09679  0.000413872
a_subj(hv).783    0.848803    0.0161534    0.817605     0.8377    0.848752    0.859486    0.88081  0.000424238
a_subj(hv).784     1.13442    0.0209092     1.09484     1.1203     1.13454     1.14835    1.17641  0.000412727
a_subj(lc).761    0.762375    0.0153086    0.733926   0.751804    0.762295    0.772591   0.792512  0.000396856
a_subj(lc).762    0.863126    0.0161987    0.832443   0.852537    0.862628    0.874112   0.895865  0.000371354
a_subj(lc).763      1.0048    0.0180435    0.970639   0.992088     1.00474      1.0173    1.04012  0.000383645
a_subj(lc).764    0.981765      0.01821    0.946487   0.969355    0.981535    0.993768    1.01891  0.000355961
a_subj(lc).765     1.14476    0.0206875     1.10505    1.13074     1.14425     1.15878    1.18544  0.000473565
