                      mean          std        2.5q         25q         50q        75q      97.5q       mc err
a(hc)             0.976887    0.0232784    0.930282    0.961231    0.977175   0.992652    1.02144  0.000541923
a(hv)             0.978807    0.0231127    0.932881    0.963485    0.979027   0.994052    1.02385  0.000585404
a(lc)              0.97242    0.0233408    0.926534    0.956883    0.971884   0.987878    1.01911  0.000444201
a(lv)             0.964109    0.0226378    0.921431    0.948127     0.96503    0.97976    1.00776  0.000471068
a_std             0.112241   0.00879245   0.0967184    0.106135    0.111702   0.117901   0.131318  0.000209536
a_subj(hc).761    0.880482    0.0159658    0.848635    0.870002    0.880344   0.891432   0.912298  0.000402818
a_subj(hc).762    0.967949    0.0173062    0.935723    0.956111    0.967487   0.979617    1.00213  0.000381388
a_subj(hc).763    0.992446    0.0183931    0.956613    0.979925    0.992517    1.00505    1.02818  0.000369399
a_subj(hc).764    0.941179    0.0181827    0.906121    0.929169     0.94067   0.953257   0.977436  0.000472763
a_subj(hc).765     1.06568    0.0211709     1.02357     1.05172     1.06511    1.07946    1.10747  0.000476782
a_subj(hc).766    0.910369    0.0171177    0.877784    0.898836    0.909618   0.922008   0.945198  0.000410634
a_subj(hc).767     1.05574    0.0194302     1.01644     1.04267     1.05603    1.06886    1.09487  0.000458556
a_subj(hc).768     1.08169    0.0201853     1.04176     1.06844     1.08172    1.09418    1.12288  0.000496991
a_subj(hc).769     1.02485    0.0202921    0.985954     1.01121     1.02484    1.03834    1.06487  0.000470465
a_subj(hc).770    0.932609    0.0175289    0.899373    0.920845    0.932271   0.943977   0.967846  0.000383397
a_subj(hc).771    0.827933    0.0156933    0.798475    0.817477    0.827612   0.838455   0.858973  0.000365463
a_subj(hc).772    0.987726    0.0183658    0.950912    0.975763    0.987463    0.99996    1.02584  0.000429905
a_subj(hc).773    0.963869    0.0185467    0.927702    0.951041    0.963362   0.976605    1.00014   0.00037655
a_subj(hc).774    0.882117     0.016456    0.849873    0.870882    0.881561   0.893041   0.915998  0.000380887
a_subj(hc).775     1.06344    0.0192617     1.02677     1.05071     1.06263    1.07708    1.10168  0.000373702
a_subj(hc).776     1.07287    0.0198676     1.03564     1.05914     1.07248    1.08615    1.11179  0.000389574
a_subj(hc).777    0.974457     0.019547    0.935648      0.9615    0.974537   0.987495    1.01295  0.000467496
a_subj(hc).778     1.00969    0.0205148    0.970992     0.99592     1.00937    1.02343    1.05152  0.000486127
a_subj(hc).779     1.04637     0.019405     1.01077     1.03247     1.04584    1.05992    1.08503  0.000458644
a_subj(hc).780    0.928436    0.0167374    0.896627    0.916837    0.928242   0.939649    0.96138  0.000334363
a_subj(hc).781    0.810087    0.0161954    0.779947    0.799201    0.809462   0.820702   0.843365  0.000421146
a_subj(hc).782    0.919847    0.0164836    0.888762    0.908368    0.919521   0.930758    0.95215    0.0003559
a_subj(hc).783    0.904343    0.0176573    0.871235    0.892165    0.903784   0.915962   0.940055  0.000426393
a_subj(hc).784      1.0488    0.0193428     1.01025     1.03614      1.0483    1.06253    1.08582  0.000451944
a_subj(hv).761    0.802916    0.0164181    0.771531    0.791606    0.802268   0.813909   0.836143  0.000430962
a_subj(hv).762     1.03163    0.0195335    0.994555     1.01821     1.03182    1.04526    1.06871  0.000428826
a_subj(hv).763     1.16273    0.0205011     1.12402     1.14888      1.1621    1.17645    1.20504  0.000522335
a_subj(hv).764     1.07353    0.0190934     1.03601     1.06071     1.07361    1.08608    1.11217  0.000387377
a_subj(hv).765     1.08058    0.0212834     1.03726     1.06663     1.08074    1.09453    1.12288  0.000549256
a_subj(hv).766    0.939624     0.017406    0.904111    0.927924    0.939387   0.951329   0.974152  0.000425577
a_subj(hv).767    0.999648    0.0200662    0.961902    0.985664    0.999071    1.01384    1.03942  0.000435178
a_subj(hv).768     1.06099    0.0185326     1.02371     1.04883     1.06078    1.07289      1.098  0.000359764
a_subj(hv).769     0.98112    0.0184413    0.947312    0.967845     0.98069     0.9938    1.01682  0.000393683
a_subj(hv).770     1.00375    0.0189854    0.966669    0.990662     1.00371    1.01675     1.0408  0.000423369
a_subj(hv).771     1.00273    0.0193612     0.96452    0.989875     1.00295    1.01546    1.04148  0.000440921
a_subj(hv).772     1.03081    0.0191129    0.993985     1.01747     1.03127    1.04406     1.0686  0.000426006
a_subj(hv).773    0.809288    0.0163214    0.778231    0.798135    0.808831   0.820101   0.841824  0.000376712
a_subj(hv).774    0.929313    0.0173804    0.894937    0.917816       0.929   0.941059   0.965197  0.000392478
a_subj(hv).775    0.966538    0.0179817    0.932958    0.954237    0.965957   0.978158    1.00406  0.000381477
a_subj(hv).776     1.09854    0.0210405     1.05837     1.08437     1.09795    1.11291    1.13953  0.000498631
a_subj(hv).777    0.862096    0.0167304    0.830779    0.850358    0.862519   0.873614   0.894698  0.000415639
a_subj(hv).778     1.24094    0.0222414     1.19794     1.22588      1.2405      1.256    1.28609  0.000511906
a_subj(hv).779    0.965507    0.0186665     0.92991    0.952909    0.965499   0.978083    1.00326  0.000406215
a_subj(hv).780    0.823647    0.0166013     0.79132    0.812551    0.823432   0.834784   0.854972   0.00042514
a_subj(hv).781     0.70141    0.0133635    0.676001    0.692162    0.701173   0.710404   0.728163  0.000291609
a_subj(hv).782     1.05244    0.0198261     1.01489     1.03916     1.05225    1.06512     1.0932  0.000477474
a_subj(hv).783    0.845371    0.0163931    0.813492    0.834106    0.845662   0.856573    0.87791   0.00042836
a_subj(hv).784     1.13378    0.0207225     1.09486     1.12005     1.13344    1.14679     1.1767  0.000516852
a_subj(lc).761    0.799279    0.0174307    0.765548    0.787513    0.799421   0.810427   0.834301  0.000537068
a_subj(lc).762    0.912163    0.0185329     0.87773    0.898719    0.911645   0.924974   0.948932  0.000482825
