                      mean          std       2.5q        25q         50q        75q      97.5q       mc err
a                 0.966825    0.0198588   0.929675   0.953289    0.966068   0.979417    1.00781  0.000389606
a_std            0.0985663     0.016358  0.0721349  0.0871196   0.0963051   0.108067   0.137127  0.000438768
a_subj.761        0.841638   0.00877985   0.825126    0.83562    0.841657   0.847628   0.859095  0.000232303
a_subj.762         0.94539   0.00927626    0.92728   0.939113    0.945316   0.951543   0.964767  0.000230267
a_subj.763          1.0316    0.0100566    1.01242    1.02489     1.03115    1.03833    1.05221  0.000208888
a_subj.764         1.00523   0.00973262    0.98705   0.998451      1.0052    1.01174     1.0248  0.000225547
a_subj.765         1.11329    0.0112663    1.09086    1.10588     1.11344    1.12092    1.13543  0.000297609
a_subj.766        0.961658    0.0092698    0.94275   0.955676    0.961786   0.968034   0.979784  0.000226464
a_subj.767         1.03849   0.00987533    1.01966    1.03162     1.03835    1.04476    1.05845  0.000233589
a_subj.768         1.06891   0.00967996    1.04933    1.06234     1.06888    1.07535    1.08829  0.000198095
a_subj.769        0.999985   0.00992294   0.980681    0.99325     1.00012    1.00669    1.01907   0.00025399
a_subj.770        0.866336   0.00832031    0.85037   0.860457    0.866267   0.871753   0.882881  0.000200102
a_subj.771        0.919274   0.00864034   0.902329    0.91357    0.919394   0.925295   0.935913  0.000189088
a_subj.772          1.0026   0.00915722   0.985224   0.996199     1.00245    1.00874    1.02109   0.00021764
a_subj.773        0.827492    0.0085663   0.811112   0.821594     0.82714    0.83323   0.844714  0.000204865
a_subj.774        0.899907   0.00879005   0.883029   0.893562    0.899969   0.906044   0.917065  0.000211376
a_subj.775         1.00824   0.00932016   0.989929    1.00189     1.00829    1.01449    1.02671  0.000200567
a_subj.776         1.04596    0.0098654    1.02685    1.03949     1.04582    1.05253      1.066  0.000247051
a_subj.777        0.882072   0.00912675   0.864195   0.876057     0.88195   0.888043   0.900671  0.000259503
a_subj.778         1.10019    0.0103941    1.08025    1.09315     1.09991    1.10716     1.1209  0.000229079
a_subj.779            1.01   0.00965484   0.990535    1.00365     1.01019    1.01622    1.02914  0.000212025
a_subj.780        0.871694   0.00848947   0.855412   0.865823    0.871566   0.877396   0.888389  0.000178208
a_subj.781        0.785795   0.00776355   0.771364   0.780325    0.785555   0.791058   0.801488  0.000178638
a_subj.782        0.988263   0.00917186   0.969627   0.982355    0.988395   0.994315    1.00579  0.000242785
a_subj.783        0.876849   0.00848604   0.860265   0.871112    0.876698   0.882648   0.893424   0.00019529
a_subj.784         1.07405   0.00995744     1.0544     1.0674     1.07392    1.08046    1.09411  0.000208755
v                  1.11195     0.154062    0.80484    1.01325     1.10941    1.21216    1.42643   0.00324256
v_std             0.741704     0.117192   0.547253    0.65897    0.728689   0.810069    1.00432   0.00257718
v_subj.761         2.43116    0.0737559    2.28967    2.38108     2.43144     2.4807    2.57605    0.0023114
v_subj.762         1.31456    0.0608041    1.19809    1.27446     1.31447    1.35633    1.43264   0.00196193
v_subj.763        0.354341    0.0521003   0.251479   0.319147    0.354446   0.388082   0.457117   0.00143414
v_subj.764        0.635773    0.0571959   0.523048   0.597615    0.636551   0.673738    0.74907   0.00169062
v_subj.765         1.55354    0.0574952    1.43807    1.51441     1.55483    1.59258    1.66405    0.0019356
v_subj.766         1.57907    0.0649462    1.45283    1.53565     1.57977    1.62375    1.70616    0.0021676
v_subj.767         1.10724    0.0545749    0.99804    1.07019     1.10628    1.14452    1.21176   0.00151088
v_subj.768        0.108696    0.0489525  0.0181612  0.0745557    0.108024   0.140877    0.20605   0.00135291
v_subj.769         1.23499    0.0592944    1.12348    1.19504     1.23415    1.27504    1.35382   0.00184956
v_subj.770         1.29272    0.0652384    1.16354    1.25034     1.29364     1.3363    1.42098   0.00219509
v_subj.771     -0.00995025    0.0610551  -0.131941 -0.0500274 -0.00887705  0.0311319   0.108751   0.00179957
v_subj.772      -0.0477103     0.054164  -0.152801 -0.0856328  -0.0479878 -0.0103636  0.0585053   0.00144556
v_subj.773         1.92472    0.0737816    1.78392    1.87473     1.92406    1.97654    2.07185    0.0024217
v_subj.774          1.1695    0.0652148    1.04405    1.12446     1.16939    1.21558    1.29139   0.00213117
v_subj.775     -0.00826599    0.0528816  -0.113199 -0.0441848 -0.00823137  0.0286057  0.0933567   0.00152271
v_subj.776         1.23919    0.0600642    1.12358    1.19918     1.23939    1.27805    1.35656   0.00196297
v_subj.777         1.90317    0.0726338    1.75997    1.85572     1.90275    1.95235    2.05169   0.00222135
v_subj.778         0.88186    0.0520376     0.7776   0.848207    0.882987   0.916284     0.9818    0.0015381
v_subj.779         1.22619    0.0610611    1.10446    1.18385     1.22676     1.2678    1.34316   0.00199159
v_subj.780         1.55411    0.0693092    1.41274    1.50759     1.55456    1.60103    1.69108   0.00211751
v_subj.781         1.77268     0.075996    1.62249    1.72002     1.77426    1.82458    1.92153   0.00224953
v_subj.782        0.984145    0.0598352   0.863143   0.944851    0.984229     1.0263    1.09852   0.00180786
v_subj.783         2.01328    0.0715068    1.86871    1.96654     2.01436    2.06349    2.15106   0.00227951
v_subj.784        0.313536    0.0515865   0.215045   0.278607    0.312791   0.348008   0.417371   0.00138636
t(hc)             0.128004   0.00662782   0.115128   0.123387    0.128019   0.132535   0.141317   0.00014589
t(hv)             0.132371   0.00688855   0.119123   0.127863    0.132488   0.136907   0.146067  0.000154482
t(lc)              0.13895   0.00677782    0.12548   0.134445    0.138946     0.1436   0.152134  0.000139661
t(lv)             0.136089   0.00714143   0.122097   0.131429    0.136098   0.140987   0.149991  0.000157766
t_std            0.0355221   0.00288748  0.0304949  0.0334955   0.0353178  0.0373506  0.0417819  8.48552e-05
t_subj(hc).761    0.179442   0.00063971   0.178017   0.179055    0.179505   0.179898    0.18057  1.26357e-05
t_subj(hc).762    0.175697   0.00134723   0.172727   0.174868    0.175795   0.176673   0.178004  2.85965e-05
t_subj(hc).763     0.11262   0.00150186   0.109349   0.111727    0.112732   0.113656   0.115285  3.57429e-05
t_subj(hc).764   0.0911163   0.00173358  0.0874892  0.0900168   0.0911521  0.0923295  0.0942834  3.25635e-05
t_subj(hc).765    0.125662   0.00159579   0.122272   0.124663    0.125736   0.126791   0.128506  3.21281e-05
t_subj(hc).766    0.116857   0.00129699   0.113994   0.116046    0.116924   0.117762   0.119232  2.72817e-05
t_subj(hc).767    0.115392   0.00151056   0.112225   0.114487    0.115507   0.116455   0.117996  3.49237e-05
t_subj(hc).768   0.0808994   0.00215728  0.0765145  0.0795331   0.0810078  0.0824198  0.0848779  4.24012e-05
t_subj(hc).769   0.0947377   0.00123009  0.0920451  0.0939513   0.0948366  0.0956006  0.0969244  2.10876e-05
t_subj(hc).770    0.125144  0.000803216    0.12335   0.124639    0.125218   0.125721   0.126504  1.89674e-05
t_subj(hc).771    0.189143   0.00119695   0.186628   0.188398    0.189219   0.189995   0.191207  2.58388e-05
t_subj(hc).772   0.0924854   0.00133976  0.0894995  0.0916328   0.0925982   0.093429  0.0948155  2.73722e-05
t_subj(hc).773    0.125403  0.000607232   0.124069   0.125026    0.125455   0.125829   0.126409   1.2113e-05
t_subj(hc).774    0.134272   0.00101201   0.131947     0.1337    0.134346   0.134964   0.136083  2.25496e-05
t_subj(hc).775   0.0914702   0.00149488  0.0883509  0.0905262   0.0915686  0.0925459  0.0940657   3.1763e-05
t_subj(hc).776    0.094297   0.00121128  0.0916737  0.0935749   0.0944062  0.0951564  0.0963473  2.33352e-05
t_subj(hc).777    0.113079  0.000799316   0.111402   0.112558     0.11312   0.113654   0.114452  1.63185e-05
t_subj(hc).778    0.117128   0.00155457   0.113778    0.11621    0.117229   0.118239   0.119742  3.33809e-05
t_subj(hc).779    0.137138   0.00121239   0.134588   0.136341    0.137204   0.137964   0.139307  2.50451e-05
t_subj(hc).780    0.205428  0.000857308   0.203545   0.204916    0.205497   0.206021    0.20689  1.73006e-05
t_subj(hc).781    0.137201  0.000741701   0.135623   0.136723    0.137251   0.137734   0.138496   1.4364e-05
t_subj(hc).782    0.141503   0.00140484   0.138556   0.140615    0.141581   0.142491   0.143979  2.91947e-05
t_subj(hc).783    0.127175  0.000806302   0.125481   0.126685    0.127228   0.127743   0.128589  1.89723e-05
t_subj(hc).784    0.090379   0.00176003  0.0867474  0.0892507   0.0905123  0.0916164  0.0935306  3.52577e-05
t_subj(hv).761    0.178042   0.00127078    0.17546   0.177215    0.178097   0.178934   0.180377  3.01577e-05
t_subj(hv).762    0.136128  0.000948875   0.134127   0.135535    0.136213   0.136815   0.137785  1.86702e-05
t_subj(hv).763   0.0927163   0.00147892  0.0895463  0.0918361   0.0928066  0.0937462  0.0954061  3.11683e-05
t_subj(hv).764   0.0953303   0.00119172  0.0926927  0.0945971   0.0954291  0.0961627   0.097432  2.52769e-05
t_subj(hv).765    0.168891   0.00177146   0.164852   0.167784    0.169009   0.170156   0.171921    4.167e-05
t_subj(hv).766    0.116112   0.00114905   0.113564   0.115396      0.1162   0.116936   0.118097  2.71007e-05
t_subj(hv).767    0.157753   0.00120626   0.155039   0.157021    0.157865   0.158611   0.159799  2.77872e-05
t_subj(hv).768   0.0941584   0.00162718  0.0906106  0.0931342    0.094223  0.0952935  0.0969558    3.954e-05
t_subj(hv).769    0.114927   0.00101346   0.112743   0.114274    0.115012   0.115654   0.116738  2.25804e-05
t_subj(hv).770    0.121478  0.000790907    0.11983   0.120972    0.121529   0.122058   0.122842  1.53864e-05
t_subj(hv).771    0.139809  0.000941529    0.13773   0.139218     0.13987   0.140489   0.141441  1.97328e-05
t_subj(hv).772   0.0947948   0.00131373  0.0919061  0.0939867   0.0948926  0.0957352  0.0970615  3.06698e-05
t_subj(hv).773    0.160278  0.000838506   0.158403   0.159786     0.16036   0.160874   0.161687  1.73406e-05
t_subj(hv).774    0.105376  0.000972944   0.103138   0.104779    0.105456   0.106069   0.106993  2.11364e-05
t_subj(hv).775   0.0955148   0.00129864  0.0927781  0.0946608   0.0956067  0.0964406   0.097794  2.73261e-05
t_subj(hv).776   0.0979601   0.00131702  0.0949987   0.097151   0.0980436  0.0988838   0.100276  3.22893e-05
t_subj(hv).777    0.175668   0.00101103    0.17351   0.175017    0.175735   0.176387   0.177449  2.53531e-05
t_subj(hv).778   0.0992825   0.00159743  0.0959073  0.0982343   0.0993803   0.100453   0.102143  3.56493e-05
t_subj(hv).779    0.126371   0.00127561   0.123506   0.125568    0.126462   0.127315   0.128505  2.80705e-05
t_subj(hv).780    0.229842   0.00124496   0.227213   0.229028    0.229932   0.230734   0.232088  2.56925e-05
t_subj(hv).781    0.179953   0.00110933   0.177662   0.179231    0.179988   0.180767   0.181944  2.31736e-05
t_subj(hv).782    0.119873    0.0010522   0.117595   0.119208    0.119928   0.120619   0.121775  2.41336e-05
t_subj(hv).783    0.138482   0.00100016   0.136383   0.137825    0.138567   0.139196   0.140247  2.15631e-05
t_subj(hv).784    0.107374   0.00142028    0.10422   0.106503    0.107471   0.108394    0.10979   3.4487e-05
t_subj(lc).761    0.180446   0.00149768   0.177313   0.179477    0.180502   0.181484   0.183228  3.49314e-05
t_subj(lc).762    0.165054   0.00164062   0.161442   0.164027    0.165132   0.166209   0.167955  3.81201e-05
