                      mean          std       2.5q        25q         50q        75q      97.5q       mc err
a                  1.03675    0.0171362    1.00367     1.0251     1.03695    1.04819    1.07023  0.000341487
a_std            0.0845042    0.0133956  0.0633065  0.0750953   0.0830627  0.0916595   0.116402   0.00031856
a_subj.761        0.941236   0.00946398   0.923232   0.934611    0.941147   0.947815   0.959207  0.000222517
a_subj.762          1.0181   0.00959272   0.999405    1.01133     1.01829    1.02471    1.03608  0.000219167
a_subj.763         1.05342   0.00995852    1.03397    1.04651     1.05335    1.06031    1.07283  0.000210441
a_subj.764         1.01397   0.00983555   0.995408    1.00714     1.01405    1.02068    1.03348  0.000210133
a_subj.765         1.19314    0.0111625    1.17191    1.18535     1.19301    1.20057    1.21561  0.000220239
a_subj.766         1.03717    0.0104488    1.01721    1.03033     1.03728     1.0441    1.05809  0.000238747
a_subj.767          1.1982    0.0121019    1.17516    1.18982     1.19804    1.20655    1.22188  0.000281665
a_subj.768         1.07254   0.00992154    1.05252    1.06609     1.07249    1.07923     1.0919   0.00020341
a_subj.769         1.05567    0.0104317    1.03546    1.04878     1.05551    1.06271    1.07605  0.000274877
a_subj.770         0.99174    0.0100623   0.972585   0.984701    0.991864   0.998694    1.01122  0.000235986
a_subj.771         1.01943   0.00969253    1.00048    1.01287     1.01952    1.02593    1.03887  0.000227748
a_subj.772         1.00413   0.00886207   0.987376    0.99806     1.00412     1.0103    1.02136  0.000197596
a_subj.773        0.994093    0.0100613   0.975215   0.986966    0.993894    1.00083    1.01496  0.000296951
a_subj.774        0.995395   0.00944276   0.977142    0.98892    0.995286    1.00182    1.01456  0.000220156
a_subj.775         1.01838   0.00902611    1.00052    1.01247     1.01849     1.0244    1.03683  0.000180541
a_subj.776         1.09316    0.0109624    1.07184    1.08574     1.09305     1.1004    1.11533  0.000231717
a_subj.777         1.05318    0.0107795    1.03204    1.04597     1.05333    1.06025    1.07423  0.000258487
a_subj.778         1.14943    0.0111815    1.12813    1.14137     1.14953    1.15719    1.17041  0.000255319
a_subj.779         1.06254    0.0103647    1.04233    1.05535     1.06251    1.06963    1.08282  0.000234516
a_subj.780        0.945774   0.00930901    0.92786    0.93944    0.945616   0.951778   0.964293  0.000233039
