                      mean          std       2.5q        25q         50q        75q      97.5q       mc err
a                  0.97472    0.0203737   0.936113   0.960827    0.974408   0.987743    1.01652  0.000386668
a_std            0.0998113    0.0164419   0.074691  0.0883534   0.0976168   0.108885    0.13772   0.00041874
a_subj.761        0.850111   0.00894224   0.832955    0.84429     0.85004   0.855685   0.868513  0.000250918
a_subj.762        0.954226   0.00909763   0.936152   0.948029    0.954323   0.960364   0.972158   0.00022069
a_subj.763         1.03412   0.00970706    1.01524    1.02759     1.03418    1.04069    1.05348  0.000209986
a_subj.764         1.01107   0.00967796   0.992164    1.00448      1.0109    1.01766     1.0301  0.000206174
a_subj.765         1.11751    0.0114282    1.09516    1.10968     1.11748    1.12522     1.1401  0.000302441
a_subj.766        0.973309    0.0097182   0.953724   0.966639    0.973428    0.97989   0.992538  0.000246993
a_subj.767         1.06589    0.0106615    1.04547    1.05864     1.06567    1.07322    1.08721  0.000236156
a_subj.768         1.06939   0.00984786    1.05041    1.06279     1.06948     1.0759     1.0892   0.00025484
a_subj.769         1.00311   0.00974821   0.984499   0.996566     1.00291    1.00949    1.02317  0.000233033
a_subj.770        0.888449   0.00871579   0.871013   0.882525    0.888578   0.894431   0.905672  0.000194535
a_subj.771        0.919357   0.00864011     0.9028   0.913627     0.91911    0.92501   0.936618  0.000195868
a_subj.772         1.00289   0.00918912   0.984745   0.996651     1.00271    1.00902    1.02148  0.000194973
a_subj.773        0.836319   0.00883669   0.819108   0.830673     0.83622   0.841991   0.853754   0.00026154
a_subj.774        0.907534   0.00844264   0.891147   0.901985    0.907565    0.91308   0.924262  0.000200107
a_subj.775         1.00895   0.00925013   0.990481    1.00283     1.00902    1.01498    1.02755  0.000180116
a_subj.776         1.05139    0.0103593    1.03065    1.04446     1.05153    1.05851    1.07114  0.000227307
a_subj.777        0.886295   0.00919985   0.869337   0.880062    0.886076   0.892051   0.905579   0.00022473
a_subj.778         1.12805    0.0111052    1.10718    1.12045      1.1278    1.13545     1.1507  0.000242071
a_subj.779         1.01489    0.0101804   0.995511    1.00798     1.01458    1.02174    1.03574   0.00025597
a_subj.780        0.884675   0.00903013   0.867074   0.878625    0.884402   0.890972   0.901994  0.000209917
a_subj.781        0.786589   0.00768957   0.771524   0.781442    0.786547   0.791641   0.802014  0.000199278
a_subj.782        0.994712    0.0095133   0.975959   0.988268    0.994752    1.00118    1.01365  0.000216402
a_subj.783        0.879027   0.00857793   0.862393   0.873134    0.878977   0.884845   0.896232  0.000213935
a_subj.784         1.07638   0.00979355    1.05765    1.06979     1.07614    1.08263    1.09628  0.000209787
v(hc)             0.835531     0.179314   0.478831   0.721176    0.837072   0.954451    1.18331   0.00323226
v(hv)             0.983217     0.179139   0.635952   0.863368    0.978037    1.10053    1.34836   0.00369902
v(lc)              1.63045     0.172624     1.2841    1.51713     1.62889    1.74653    1.97879    0.0034942
v(lv)              1.33758     0.173012    1.00183    1.21878     1.33753    1.45443    1.66727   0.00365062
v_std              0.84801    0.0642416   0.733184   0.803181    0.845039    0.89003    0.98395   0.00128903
v_subj(hc).761     1.50817     0.112215    1.28519    1.43141     1.50712     1.5843    1.73276   0.00268041
v_subj(hc).762    0.793132    0.0927386   0.607555   0.730497    0.793002   0.856663   0.969772   0.00205255
v_subj(hc).763    0.712684    0.0917964   0.533894   0.651203    0.713654   0.776175   0.892345   0.00223914
v_subj(hc).764    0.568044     0.095043   0.379965   0.502781    0.569982   0.632157   0.754906   0.00222913
v_subj(hc).765     1.25323    0.0920517    1.07677    1.19276     1.25304    1.31326    1.43384     0.002233
v_subj(hc).766     1.10367     0.104207   0.890386     1.0345      1.1059    1.17466    1.30158   0.00285371
v_subj(hc).767    0.379272    0.0844203   0.214041   0.321904    0.380282   0.436597   0.549188   0.00192401
v_subj(hc).768   0.0361494    0.0834423  -0.128608 -0.0206501   0.0356885  0.0925349   0.204119    0.0016695
v_subj(hc).769     1.02607    0.0941354    0.83786   0.963842     1.02674    1.09115    1.20818   0.00207755
v_subj(hc).770    0.847819     0.100294   0.653535   0.779066    0.847368   0.916961    1.04172   0.00238909
v_subj(hc).771    0.164959     0.119163 -0.0597288  0.0820002    0.165306   0.244692   0.408396   0.00331594
v_subj(hc).772  -0.0300171    0.0950627  -0.213513 -0.0959155  -0.0324111   0.033297   0.160284   0.00268533
v_subj(hc).773       1.256     0.103951    1.04724    1.18902     1.25426    1.32434    1.46384   0.00250239
v_subj(hc).774    0.961219     0.106984   0.750451   0.886112    0.964588    1.03247    1.16812   0.00270801
v_subj(hc).775  -0.0385917     0.086134  -0.201229   -0.09866  -0.0385579  0.0207744   0.131086   0.00210898
v_subj(hc).776    0.912321    0.0890003   0.731104   0.853844    0.912902   0.971299    1.08355   0.00214861
v_subj(hc).777     1.50129     0.105455    1.29313    1.43128       1.501    1.57209    1.70655   0.00270662
v_subj(hc).778     1.32231    0.0976614    1.12938    1.25618      1.3223    1.39179    1.50604   0.00238719
v_subj(hc).779    0.777108    0.0880735    0.60972   0.716627    0.776564   0.834633   0.953495   0.00202634
v_subj(hc).780    0.767088    0.0997249   0.570631   0.700141    0.766476    0.83177   0.965378   0.00265735
v_subj(hc).781      1.5531     0.123451    1.30928    1.47307     1.55486    1.63533    1.78336   0.00295865
v_subj(hc).782    0.766186     0.101682   0.569257   0.698687    0.763762   0.834759   0.970084   0.00274831
v_subj(hc).783     1.55901     0.110753    1.34713    1.48348     1.55641    1.63235    1.78271   0.00295968
v_subj(hc).784    0.266088    0.0859022  0.0988741   0.206186    0.268184   0.323017   0.435778   0.00209843
v_subj(hv).761     2.46963     0.127637    2.21109    2.38444     2.46829    2.55429    2.72261   0.00323921
v_subj(hv).762     1.17404    0.0948745   0.984581    1.11204     1.17632    1.23698    1.36163   0.00225776
v_subj(hv).763    0.110479    0.0753849 -0.0407029  0.0606017    0.112794   0.162591   0.258007   0.00173355
v_subj(hv).764    0.248485    0.0860903  0.0787775   0.193898    0.250922   0.302956   0.416573    0.0019159
v_subj(hv).765     1.65399    0.0939521    1.46025    1.59383     1.65257     1.7173    1.84377   0.00240524
v_subj(hv).766     1.07622     0.104318   0.866105    1.00766     1.07527      1.146    1.27514   0.00267434
v_subj(hv).767     1.36735    0.0984878    1.17997    1.29842     1.36865    1.43524    1.56459   0.00233348
v_subj(hv).768    0.222928    0.0863364   0.051008   0.164345    0.222296    0.28267   0.393143   0.00220159
v_subj(hv).769     1.09742    0.0990355   0.903605    1.03082     1.09784    1.16004    1.28952    0.0025995
v_subj(hv).770    0.643982    0.0957804   0.456867   0.576401    0.645664   0.708766   0.833172   0.00226719
v_subj(hv).771  -0.0379321    0.0918698  -0.217309 -0.0998558  -0.0392042  0.0245227   0.138378   0.00223681
v_subj(hv).772   -0.119481    0.0926637  -0.301354  -0.183111   -0.117674 -0.0572784   0.061227   0.00212172
v_subj(hv).773     1.68608     0.122031    1.43766    1.60352     1.69171    1.77065    1.91753   0.00327919
v_subj(hv).774    0.837647     0.101027   0.639737    0.76996    0.835372   0.908606    1.03589   0.00253136
