                     mean          std       2.5q        25q        50q        75q      97.5q       mc err
a                 1.03126    0.0169786   0.998863    1.02021    1.03111    1.04264    1.06514  0.000329094
a_std           0.0830117    0.0136579  0.0612403  0.0732091  0.0811184  0.0909682    0.11487  0.000351413
a_subj.761       0.934779   0.00927667   0.916978   0.928341   0.934728   0.940719   0.954453  0.000223562
a_subj.762        1.01351    0.0097152   0.995244    1.00696    1.01339    1.01976    1.03303  0.000223927
a_subj.763        1.05141   0.00935428    1.03256    1.04515    1.05124    1.05784    1.06971  0.000189906
a_subj.764        1.00996   0.00973625   0.991183    1.00329    1.00968    1.01645    1.03027  0.000224494
a_subj.765        1.18861    0.0112731    1.16604    1.18115    1.18881    1.19633    1.20983   0.00028487
a_subj.766        1.02569    0.0102114    1.00602    1.01879    1.02555    1.03287    1.04566  0.000231063
a_subj.767        1.17924    0.0116378    1.15636    1.17168    1.17926    1.18703    1.20189  0.000273003
a_subj.768        1.07198   0.00996346    1.05241    1.06518    1.07204    1.07888    1.09118  0.000251883
a_subj.769        1.05445    0.0103632    1.03457    1.04751    1.05421    1.06098    1.07518  0.000232196
a_subj.770        0.97778   0.00969863   0.958517   0.971275   0.977692   0.984241    0.99672  0.000217767
a_subj.771        1.01927   0.00976782    1.00044    1.01264    1.01929     1.0258    1.03876  0.000192569
a_subj.772        1.00373   0.00923214   0.985627   0.997504    1.00387    1.00995    1.02151  0.000202616
a_subj.773       0.991117   0.00996492    0.97167   0.984497   0.990781   0.997965    1.01187  0.000223351
a_subj.774       0.991106   0.00946796   0.972559   0.984643   0.991225   0.997517    1.00948  0.000213937
a_subj.775        1.01798   0.00886993    1.00029    1.01195    1.01781    1.02406    1.03534  0.000204265
a_subj.776        1.08981    0.0108141      1.069     1.0826    1.08974    1.09724    1.11127  0.000277903
a_subj.777         1.0501     0.011039    1.02864    1.04286    1.04988    1.05726    1.07275  0.000309051
a_subj.778        1.12588    0.0107831    1.10465     1.1187     1.1256    1.13298    1.14669  0.000249207
a_subj.779        1.05837    0.0101007    1.03898    1.05118    1.05837    1.06545    1.07821  0.000211607
a_subj.780       0.936665   0.00913984   0.918843    0.93024   0.936534   0.942801   0.954996  0.000217874
a_subj.781       0.854752   0.00838119   0.839275   0.848905   0.854484   0.860226    0.87231  0.000184156
a_subj.782        1.03586   0.00973516    1.01644    1.02945    1.03578    1.04227    1.05562  0.000209611
a_subj.783       0.932378   0.00918497   0.915081   0.925966   0.932276   0.938652   0.950578  0.000205561
a_subj.784        1.11374    0.0101907      1.095    1.10691    1.11331    1.12046    1.13436  0.000224009
v                 1.15071     0.158623   0.844544    1.04719    1.15175    1.25205    1.47603   0.00311645
v_std            0.763873     0.121322   0.568074   0.679422   0.750437   0.832883    1.04024   0.00325795
v_subj.761         2.4692    0.0730351    2.32411    2.41969    2.46746    2.51924    2.60952   0.00231859
v_subj.762        1.36812    0.0602417    1.24874    1.32613    1.36969     1.4109    1.48303   0.00175989
v_subj.763       0.391606    0.0519214   0.290721   0.355402    0.39252   0.427024    0.49216   0.00146324
v_subj.764       0.649811    0.0550059    0.54087   0.612039   0.652413   0.686331   0.758627   0.00156883
v_subj.765        1.56727    0.0551922    1.45892    1.52936    1.56665    1.60473    1.67363   0.00181309
v_subj.766        1.61097    0.0619322    1.48309    1.56986    1.61187    1.65242     1.7298   0.00207315
v_subj.767        1.21904    0.0540905    1.11279    1.18437    1.22014    1.25506    1.32677   0.00161457
v_subj.768       0.122823    0.0480159  0.0299179  0.0913339   0.123208   0.154869   0.219256   0.00126691
v_subj.769        1.19825    0.0578442    1.08159    1.15889    1.19912    1.23787    1.31371   0.00177437
v_subj.770        1.40612    0.0647417    1.28323    1.36209    1.40512    1.44854     1.5431   0.00215586
v_subj.771      0.0534139    0.0558696 -0.0541826  0.0145532  0.0536486  0.0914777   0.162008   0.00174639
v_subj.772      -0.027849     0.056382  -0.135698 -0.0656926 -0.0289706  0.0102511  0.0841433       0.0018
v_subj.773        2.15445    0.0710542    2.01038    2.10792    2.15456    2.20063     2.2962   0.00231213
v_subj.774         1.1877    0.0624931    1.06315    1.14594    1.18837    1.22921    1.30825   0.00206147
v_subj.775      0.0142254    0.0539082 -0.0880843 -0.0219533  0.0135174  0.0508352   0.119636   0.00176323
v_subj.776        1.26203    0.0533831    1.15821    1.22539    1.26274    1.29823    1.36811   0.00165353
v_subj.777         1.9645    0.0666137    1.83628    1.91853    1.96352    2.01068    2.09203   0.00210084
v_subj.778        0.88826    0.0492674   0.790569   0.855411   0.888399   0.922701   0.982405   0.00156274
v_subj.779        1.25043    0.0568014    1.13864    1.21157    1.25106     1.2894    1.35676   0.00159972
v_subj.780        1.64769    0.0630436    1.52776    1.60326    1.64845    1.69176    1.77094   0.00196879
v_subj.781        1.79051    0.0733086    1.64789    1.73957    1.79291    1.84089    1.93044   0.00215631
v_subj.782        1.00127    0.0560882   0.892176   0.963475    1.00094    1.03899    1.11344   0.00170192
v_subj.783        1.98217    0.0671558     1.8479    1.93811      1.982    2.02633    2.11858   0.00205984
v_subj.784       0.281678    0.0500665   0.183539   0.246827   0.280952   0.316352    0.38171   0.00156369
t                0.115677   0.00544191   0.105606   0.112015   0.115523    0.11901   0.126912  0.000117876
t_std           0.0254371   0.00415502  0.0190221  0.0225572  0.0248825  0.0276686  0.0349822  0.000104437
t_subj.761       0.151936  0.000359818   0.151172    0.15171   0.151957   0.152189   0.152593   7.6801e-06
t_subj.762       0.138613  0.000423345   0.137732   0.138345   0.138634   0.138911   0.139348  9.74849e-06
t_subj.763      0.0960123  0.000690075  0.0945597  0.0955736  0.0960491  0.0964929  0.0972456  1.62065e-05
t_subj.764      0.0962213  0.000693991  0.0947969  0.0957851  0.0962436   0.096703  0.0974946  1.67142e-05
t_subj.765       0.118024  0.000550271   0.116861   0.117664   0.118053   0.118416   0.118988  1.19616e-05
t_subj.766       0.098044   0.00037839  0.0972518  0.0978034  0.0980674   0.098316  0.0987197  9.11692e-06
t_subj.767      0.0951092   0.00062256  0.0938006  0.0946985  0.0951405  0.0955677  0.0962405  1.54609e-05
t_subj.768      0.0871481   0.00108426  0.0849973  0.0864485  0.0871763  0.0878881  0.0892512  2.55558e-05
t_subj.769      0.0985819  0.000549301   0.097416  0.0982333  0.0986047  0.0989744  0.0995575  1.26507e-05
t_subj.770       0.122743  0.000413406   0.121855   0.122485   0.122772   0.123038   0.123477  8.22224e-06
t_subj.771      0.0959435  0.000486947   0.094868   0.095646  0.0959748  0.0962849  0.0968143   1.2287e-05
t_subj.772      0.0944223  0.000658092  0.0930922  0.0939758  0.0944364  0.0948851  0.0956723  1.55165e-05
t_subj.773       0.126743  0.000301262    0.12608   0.126554   0.126762   0.126949   0.127288  5.84058e-06
t_subj.774       0.107759  0.000417557   0.106868   0.107492   0.107778   0.108056   0.108504  8.80724e-06
t_subj.775      0.0950355   0.00069694  0.0935448  0.0945907  0.0950654  0.0955406  0.0962732  1.55688e-05
t_subj.776      0.0972072  0.000571469  0.0960241  0.0968271  0.0972315  0.0976287   0.098247  1.27215e-05
t_subj.777       0.114385  0.000442573   0.113499   0.114084   0.114393   0.114704   0.115181  9.96191e-06
t_subj.778        0.10378  0.000719414   0.102241   0.103312   0.103825   0.104281   0.105032   1.6697e-05
t_subj.779       0.113309  0.000504052   0.112254   0.112989   0.113329   0.113657   0.114235  1.17768e-05
t_subj.780       0.207163  0.000437903   0.206235   0.206884   0.207204   0.207464   0.207913  1.10632e-05
t_subj.781       0.139113  0.000348122   0.138395   0.138898   0.139133   0.139348   0.139755  7.18508e-06
t_subj.782       0.122474  0.000516226   0.121346   0.122146   0.122508   0.122831   0.123394  1.19029e-05
t_subj.783       0.129279  0.000398757   0.128465    0.12902   0.129302   0.129564   0.129978  8.34578e-06
t_subj.784      0.0968072  0.000703323  0.0953456  0.0963492  0.0968449   0.097305  0.0980971  1.72299e-05
z(hc)            0.424302   0.00894373   0.406778   0.418559   0.424357   0.430266   0.442005  0.000197799
z(hv)            0.422615   0.00909664   0.404777   0.416348   0.422763   0.428839   0.440026  0.000191644
z(lc)            0.439703   0.00911568    0.42208   0.433592    0.43963   0.445641   0.458379  0.000210126
z(lv)            0.433464   0.00904277    0.41549   0.427201   0.433549   0.439537   0.451399  0.000184015
z_std            0.173154    0.0128855   0.149987    0.16428   0.172668   0.181651   0.199896  0.000366367
z_subj(hc).761   0.336636    0.0118842   0.314259   0.328611   0.336609   0.344646   0.359799  0.000308763
z_subj(hc).762   0.391603    0.0125746   0.366793   0.382934   0.391652   0.400316   0.415265  0.000339328
z_subj(hc).763   0.475192    0.0122774   0.451556   0.467071    0.47505   0.483768   0.499076  0.000296122
z_subj(hc).764   0.462739    0.0124786   0.437748   0.454385   0.462912   0.471059     0.4868  0.000258226
z_subj(hc).765   0.383749     0.012216   0.360232   0.375446   0.383617   0.392017   0.407489  0.000309285
z_subj(hc).766   0.380149    0.0116584   0.357439   0.372415   0.380044   0.388085   0.402659  0.000303266
z_subj(hc).767   0.397497    0.0121988   0.373134   0.389597   0.397665   0.405632   0.420135  0.000309368
z_subj(hc).768   0.492868    0.0121119   0.468471   0.484685   0.493038   0.501158   0.517091  0.000271982
z_subj(hc).769   0.430006    0.0129979   0.405239   0.421489   0.429904   0.438657    0.45639  0.000327433
z_subj(hc).770   0.380317     0.011794   0.357016   0.372766    0.37995   0.388312   0.404154  0.000307707
z_subj(hc).771   0.496551    0.0133572   0.470969   0.487407   0.496392   0.505407   0.523334  0.000323756
z_subj(hc).772   0.515578    0.0127135   0.490188   0.507061   0.515445   0.524293   0.540383  0.000331634
z_subj(hc).773   0.339771    0.0117376   0.316541   0.331623   0.339951   0.347761    0.36327  0.000305813
z_subj(hc).774   0.412784    0.0127965   0.387962   0.403913   0.412958   0.421396   0.437449  0.000325678
z_subj(hc).775   0.486853    0.0119891    0.46346   0.479129    0.48699   0.495042   0.510115  0.000318582
z_subj(hc).776   0.399163    0.0119567   0.374858   0.391329   0.399131   0.407535   0.423207  0.000271558
z_subj(hc).777   0.405589    0.0124565   0.381509   0.397171   0.405563   0.413881   0.430256  0.000293517
z_subj(hc).778   0.438484     0.012205   0.415024   0.430162   0.438406   0.446702   0.463036  0.000279156
z_subj(hc).779   0.396726    0.0123492   0.372683   0.388172   0.396993   0.405306   0.421265  0.000281555
z_subj(hc).780   0.410485    0.0122633   0.386154   0.402108   0.410417   0.418972   0.434128   0.00031936
z_subj(hc).781   0.424133    0.0125145   0.399605   0.415611   0.424158   0.431975   0.449082  0.000281323
z_subj(hc).782    0.42678    0.0123955   0.402921   0.418377   0.426922   0.434888   0.451247  0.000308979
z_subj(hc).783   0.400034    0.0125765   0.376352   0.391753   0.399759   0.408137   0.425203   0.00030836
z_subj(hc).784   0.500811    0.0122035   0.476806   0.492513   0.500764   0.509536   0.523568  0.000340101
z_subj(hv).761   0.372544    0.0122658   0.347755    0.36432   0.372449   0.380733   0.397017  0.000290387
z_subj(hv).762    0.39926    0.0125364   0.374192   0.390801   0.399175   0.407569   0.423622  0.000264466
z_subj(hv).763   0.439947     0.012397   0.415822   0.431541   0.439863   0.448416   0.464466  0.000282381
z_subj(hv).764   0.434099    0.0118724   0.410851   0.426064   0.433976   0.442392   0.457542  0.000264706
z_subj(hv).765   0.371702     0.013063   0.345937   0.362631   0.371823   0.380479   0.397546  0.000305944
z_subj(hv).766   0.375848    0.0124783   0.351915   0.367476   0.375814   0.383967   0.400407  0.000340571
z_subj(hv).767   0.407257    0.0130361   0.382227   0.398552    0.40685   0.416286   0.433227  0.000305457
z_subj(hv).768   0.498873    0.0120563   0.475868   0.490694   0.499062    0.50673   0.523712  0.000267532
z_subj(hv).769     0.4061    0.0126376   0.381541   0.397225   0.405912   0.414594   0.430855  0.000273873
z_subj(hv).770   0.400116    0.0129767   0.374479   0.391596   0.400081    0.40873   0.426246  0.000328356
z_subj(hv).771    0.48804    0.0134013   0.462222    0.47876   0.488044   0.497442    0.51416   0.00034644
z_subj(hv).772   0.477889    0.0128428   0.453559   0.468984   0.477644   0.486416    0.50363  0.000347614
z_subj(hv).773   0.367087      0.01209   0.343856   0.358811   0.366842   0.375372   0.391373  0.000282486
z_subj(hv).774   0.431331    0.0126813   0.406556   0.422445    0.43139   0.439548    0.45667  0.000348489
z_subj(hv).775   0.504921    0.0123387   0.480562   0.496518   0.504888   0.513338   0.528781  0.000304751
z_subj(hv).776   0.412714    0.0123652   0.387959   0.404623   0.413076   0.420703     0.4368  0.000303199
z_subj(hv).777   0.354037    0.0117648   0.330621   0.346134   0.354082   0.362068    0.37667  0.000287944
z_subj(hv).778    0.43517    0.0123529   0.411512   0.426784   0.435045   0.443377   0.459918  0.000306662
z_subj(hv).779   0.436559    0.0126697   0.411992   0.428244   0.436588   0.445157   0.461314  0.000276611
z_subj(hv).780   0.427099    0.0124181   0.402691   0.419053   0.427016   0.435721    0.45109  0.000311778
z_subj(hv).781   0.396357    0.0131356    0.36998   0.387482   0.396446   0.405544   0.421489  0.000325357
z_subj(hv).782   0.445365    0.0129106   0.419488   0.436884   0.445505   0.454352   0.470743  0.000325707
z_subj(hv).783   0.394521    0.0121719   0.370967   0.386446   0.394632   0.402256   0.419287  0.000288307
z_subj(hv).784    0.46454    0.0121498   0.440535   0.455925   0.464593   0.472984   0.487917  0.000292106
z_subj(lc).761   0.398285    0.0128836   0.372678   0.389535     0.3984   0.407105   0.423577  0.000328254
z_subj(lc).762   0.466823    0.0126883   0.441674   0.458076    0.46695    0.47545   0.491588  0.000312813
z_subj(lc).763   0.477633    0.0127462   0.453121   0.468766   0.477679   0.486286   0.502109  0.000323363
z_subj(lc).764   0.475807     0.012973   0.449421   0.467224   0.476067    0.48426   0.500529  0.000322007
z_subj(lc).765   0.400522    0.0123649   0.376491   0.391899   0.400618    0.40881   0.425145   0.00029374
z_subj(lc).766   0.394576    0.0123487   0.370601   0.386372   0.394267   0.402671   0.419383  0.000314043
z_subj(lc).767   0.429893    0.0132093   0.403801   0.421111   0.429678   0.438895    0.45592  0.000331482
z_subj(lc).768   0.493305    0.0123357   0.468792   0.485082   0.493205    0.50133   0.516965  0.000300648
z_subj(lc).769   0.415059    0.0125886   0.391831   0.406494   0.414947   0.423403   0.439595  0.000299169
z_subj(lc).770   0.432086    0.0129115   0.406898   0.422864   0.432064   0.441009   0.456987  0.000293815
z_subj(lc).771   0.496253    0.0122486   0.472329   0.488138   0.495944   0.504286   0.520699   0.00030148
z_subj(lc).772   0.507364     0.012781   0.481944   0.498594   0.507664   0.516041   0.532296  0.000311969
z_subj(lc).773   0.384721    0.0130812    0.35938   0.375806   0.384762   0.393763   0.409797  0.000324418
z_subj(lc).774   0.428355    0.0129141   0.402505   0.419759   0.428008   0.437137   0.454416  0.000317181
z_subj(lc).775   0.490802    0.0127726   0.465565   0.481967   0.490809   0.499469   0.515267   0.00032042
z_subj(lc).776   0.415463     0.012714   0.390747   0.406439   0.415616   0.424104   0.439612  0.000282011
z_subj(lc).777   0.381318    0.0126135   0.356677   0.372638   0.381686   0.389826    0.40581  0.000301853
z_subj(lc).778   0.439905     0.012786   0.414602   0.431383   0.439597   0.448819   0.464778    0.0003466
z_subj(lc).779   0.433519    0.0131157   0.407421    0.42478   0.433759   0.442093   0.458508  0.000348946
z_subj(lc).780   0.471654    0.0121055   0.448254   0.463324    0.47141   0.480025   0.494883  0.000291911
z_subj(lc).781   0.402256    0.0127653    0.37799   0.393722   0.402092   0.410975    0.42743  0.000283706
z_subj(lc).782   0.449783    0.0127869   0.424919   0.441105   0.450175   0.458316   0.473904  0.000304659
z_subj(lc).783   0.383064    0.0122909   0.358855   0.374576   0.383461   0.391503    0.40692  0.000271505
z_subj(lc).784   0.478319     0.013493   0.451649    0.46916   0.478666   0.487544   0.504871  0.000317115
z_subj(lv).761   0.412871     0.012425   0.389472   0.403749   0.412977   0.421244   0.437528  0.000305043
z_subj(lv).762   0.424036    0.0117426   0.400298   0.416246   0.423995   0.431889   0.446883  0.000227908
z_subj(lv).763   0.473496    0.0122443   0.449652   0.465607   0.473237   0.481315   0.498412  0.000263544
z_subj(lv).764   0.458622    0.0125058   0.434149   0.450461   0.458386   0.467169    0.48297  0.000283917
z_subj(lv).765    0.38019    0.0122957   0.355882   0.372028   0.380377   0.388437   0.403431  0.000292513
z_subj(lv).766   0.400099    0.0129714   0.375551    0.39125   0.399905     0.4087   0.426025  0.000320169
z_subj(lv).767   0.424077    0.0126537   0.398716   0.415687   0.423867   0.432469   0.448254  0.000349036
z_subj(lv).768   0.497364    0.0121439    0.47344   0.489265   0.497045   0.505531   0.520633  0.000280485
z_subj(lv).769    0.40618    0.0119418   0.383251   0.397867   0.406544   0.414347   0.429726  0.000289803
z_subj(lv).770   0.421397    0.0130076   0.396028   0.412673    0.42152   0.430104   0.446721  0.000320227
z_subj(lv).771   0.494394    0.0129601   0.469322   0.485629   0.494376     0.5035   0.519617  0.000335544
z_subj(lv).772   0.497683    0.0129759   0.472199   0.488964    0.49738   0.506519   0.523615  0.000310011
z_subj(lv).773   0.372213    0.0127702   0.346093   0.363666   0.372276   0.381082   0.396207  0.000294357
z_subj(lv).774     0.4123     0.012509   0.388254   0.403892    0.41246   0.420724   0.437567  0.000320304
z_subj(lv).775   0.485682     0.012764     0.4614   0.477126   0.485609   0.494268   0.510873  0.000319125
z_subj(lv).776   0.424258    0.0122875   0.399692   0.416118   0.424427   0.432569   0.448879  0.000281121
z_subj(lv).777   0.383974    0.0129392   0.359578   0.375261   0.384222   0.392495   0.409654  0.000324869
z_subj(lv).778   0.475884    0.0125894   0.451612   0.467517   0.475889    0.48433   0.500954   0.00032341
z_subj(lv).779   0.426775     0.013111   0.401749   0.417611   0.426922    0.43548   0.453603  0.000310913
z_subj(lv).780    0.40452    0.0123925   0.381663   0.396287   0.403972   0.412643   0.430342  0.000333387
z_subj(lv).781   0.425062     0.012641   0.400886   0.416438   0.425147   0.433821   0.449169  0.000322234
z_subj(lv).782    0.42752    0.0130098   0.401639   0.418988   0.427763   0.436399   0.452662  0.000291368
z_subj(lv).783   0.415874    0.0125637   0.392235   0.407276   0.415881   0.424145   0.441493   0.00030079
z_subj(lv).784   0.460722    0.0128065   0.435378   0.452029   0.460673   0.469954    0.48544  0.000315301
DIC: -18228.155716
deviance: -18387.316053
pD: 159.160337
