                     mean          std       2.5q        25q        50q        75q      97.5q       mc err
a                0.969354    0.0201505   0.931117   0.955745   0.968784   0.982387    1.00914  0.000404073
a_std           0.0974457    0.0154973  0.0720623  0.0863871  0.0958802   0.106865   0.132584  0.000331194
a_subj.761       0.845871   0.00881759   0.828717   0.840058   0.845998   0.851541   0.863497  0.000233809
a_subj.762       0.952324   0.00909221   0.934832   0.946299   0.952132   0.958206   0.970464  0.000221029
a_subj.763        1.03195   0.00977755    1.01283    1.02524    1.03169     1.0384     1.0519  0.000225229
a_subj.764        1.00728    0.0100499   0.987473    1.00082    1.00725    1.01414    1.02717  0.000204261
a_subj.765        1.11203    0.0111446    1.09096    1.10419    1.11194    1.11965    1.13404  0.000294177
a_subj.766       0.963368   0.00977119   0.944682   0.956542    0.96329     0.9701   0.982444  0.000259801
a_subj.767        1.05168    0.0102522    1.03233    1.04445    1.05151    1.05883    1.07181  0.000247521
a_subj.768        1.06866   0.00976854    1.05026    1.06186    1.06833    1.07525    1.08865  0.000233597
a_subj.769        1.00121   0.00966425   0.982288   0.994543    1.00111    1.00782    1.02046  0.000228903
a_subj.770       0.878217    0.0087723   0.861626   0.872151    0.87809   0.884396   0.895461  0.000212952
a_subj.771       0.919079   0.00882423    0.90153   0.912859    0.91913   0.924865   0.936529  0.000199598
a_subj.772        1.00232   0.00956312   0.983251   0.996066     1.0024    1.00863    1.02065  0.000216981
a_subj.773       0.836366   0.00842186   0.819397   0.830681   0.836468   0.842033   0.852829  0.000220599
a_subj.774       0.904534   0.00885953   0.886928   0.898863   0.904366   0.910302   0.922328  0.000195824
a_subj.775        1.00871   0.00942964   0.990999    1.00225     1.0088    1.01487    1.02762  0.000226217
a_subj.776        1.04774    0.0102772    1.02749    1.04074    1.04782    1.05448    1.06804  0.000220219
a_subj.777       0.885333   0.00944638   0.866673   0.879176    0.88556   0.891748   0.903704  0.000256958
a_subj.778         1.1051    0.0107047    1.08427    1.09787    1.10505    1.11222    1.12653  0.000270836
a_subj.779        1.01217   0.00988839   0.993103    1.00563    1.01225    1.01878    1.03143  0.000224146
a_subj.780       0.877041   0.00884822    0.86043   0.871056   0.876937   0.883063   0.894554  0.000236724
a_subj.781       0.786452   0.00775456   0.771052   0.781504    0.78626   0.791611   0.802178  0.000168617
a_subj.782       0.988767   0.00919694   0.970259   0.982515   0.988578   0.995186    1.00623  0.000196128
a_subj.783       0.879765   0.00877831    0.86272   0.873876   0.879662   0.885728   0.897108  0.000209067
a_subj.784        1.07499   0.00967303    1.05651    1.06824     1.0747    1.08147    1.09413  0.000215085
v                 1.10958     0.150654   0.821044    1.00633    1.10839    1.21078    1.40479   0.00287802
v_std            0.732681     0.112807    0.55021   0.648668   0.721917   0.803591   0.984159   0.00245739
v_subj.761        2.40885    0.0753143    2.25985    2.35899    2.40674    2.46112     2.5578   0.00228971
v_subj.762        1.31327    0.0596266    1.19998    1.27251      1.313    1.35241    1.43305   0.00168526
v_subj.763       0.373579    0.0503568   0.273363   0.339727   0.373752   0.408617   0.474533   0.00150089
v_subj.764       0.641425    0.0569571   0.532068   0.602055    0.63972    0.68089   0.756393   0.00183881
v_subj.765        1.52829    0.0577711    1.41524    1.49123    1.52796     1.5678    1.64051   0.00188908
v_subj.766        1.55903    0.0639205    1.43265    1.51496    1.55874     1.6041    1.68293   0.00195547
v_subj.767        1.12103    0.0564947    1.01549    1.08197    1.12027    1.15816    1.23515    0.0015328
v_subj.768       0.127507    0.0471072  0.0379543  0.0955672   0.127147   0.158538   0.223731   0.00154571
v_subj.769        1.22472    0.0597498    1.10946     1.1854    1.22295    1.26614     1.3425   0.00211191
v_subj.770        1.32635    0.0649075    1.19742    1.28228    1.32665    1.37123    1.45021   0.00171613
v_subj.771        0.02816    0.0614119 -0.0910937 -0.0124924  0.0280035  0.0695413   0.149841   0.00188873
v_subj.772     -0.0162922    0.0542776  -0.126098 -0.0524464 -0.0150849  0.0206257  0.0928685   0.00163458
v_subj.773        1.94718    0.0764511    1.79452    1.89637     1.9487    1.99878    2.10015   0.00244604
v_subj.774        1.17446    0.0628064    1.05502     1.1302     1.1744     1.2143    1.30142   0.00190091
v_subj.775      0.0128974    0.0519507 -0.0874152 -0.0222823  0.0131148  0.0477025   0.114113   0.00159783
v_subj.776        1.23317    0.0555763    1.12257     1.1955     1.2324    1.26979     1.3435   0.00168032
v_subj.777        1.89707    0.0688284     1.7627    1.85223    1.89626    1.94286    2.03893   0.00228532
v_subj.778       0.890452    0.0508829   0.789502   0.856448   0.891149   0.924539   0.989379   0.00149763
v_subj.779        1.22253    0.0601749    1.10103    1.18414    1.22188    1.26511    1.33501   0.00177581
v_subj.780        1.56893    0.0635504    1.44645    1.52506      1.569     1.6127    1.69396   0.00184796
v_subj.781        1.76811    0.0752988    1.62417    1.71589    1.76547    1.82105     1.9178   0.00224662
v_subj.782       0.985206    0.0556905   0.872969   0.947853   0.986118    1.02334    1.09093   0.00163546
v_subj.783        1.99782    0.0678018    1.86376    1.95437    1.99596    2.04237    2.13159   0.00216394
v_subj.784       0.323676    0.0512957   0.226118   0.289342   0.323305   0.358938   0.424114   0.00138423
t(hc)            0.127915   0.00672797   0.114286   0.123504   0.127991    0.13234   0.141023  0.000132003
t(hv)            0.132474   0.00686313   0.119122   0.127886   0.132376   0.136946   0.146138  0.000142491
t(lc)            0.139113   0.00684775   0.125693     0.1345   0.139209   0.143664   0.152726  0.000150887
t(lv)            0.135987   0.00684306   0.122467   0.131328   0.136054   0.140559   0.149503  0.000161512
t_std           0.0356904   0.00280324  0.0308196  0.0336706  0.0354731  0.0374595  0.0418878   7.2792e-05
t_subj(hc).761   0.179635  0.000655772   0.178145   0.179236   0.179679   0.180096   0.180771  1.58345e-05
t_subj(hc).762   0.175443   0.00138466   0.172614   0.174532   0.175493   0.176461   0.177884  3.23006e-05
t_subj(hc).763     0.1126   0.00153812   0.109229   0.111624    0.11269    0.11371   0.115252  3.27335e-05
t_subj(hc).764  0.0910521   0.00178292  0.0872361  0.0899632  0.0911601  0.0922734   0.094211  3.41009e-05
t_subj(hc).765   0.125477   0.00159235   0.121904   0.124515   0.125627   0.126547   0.128242  3.60032e-05
t_subj(hc).766   0.116752     0.001347   0.113883   0.115906   0.116802   0.117691   0.119199  2.89562e-05
t_subj(hc).767   0.114204   0.00173198   0.110485   0.113172    0.11436    0.11543   0.117102  3.94602e-05
t_subj(hc).768  0.0807163   0.00211191  0.0764298  0.0793324  0.0808028  0.0822162  0.0846081  4.47607e-05
t_subj(hc).769  0.0947462   0.00124644  0.0921382  0.0939253  0.0948099  0.0956484  0.0970252   2.9012e-05
t_subj(hc).770    0.12565  0.000766942   0.123938    0.12519   0.125722   0.126187   0.126964  1.87924e-05
t_subj(hc).771   0.189343   0.00116114   0.186809   0.188595   0.189448   0.190186   0.191344  2.50669e-05
t_subj(hc).772  0.0925764   0.00133937  0.0896462  0.0917432  0.0926533  0.0935226  0.0949828  2.99596e-05
t_subj(hc).773   0.125824  0.000580967   0.124544   0.125454   0.125874   0.126249   0.126772  1.21906e-05
t_subj(hc).774   0.134215   0.00108589   0.131737   0.133579   0.134305   0.134962   0.136135  2.17617e-05
t_subj(hc).775  0.0915135    0.0014166  0.0885008  0.0905937  0.0916134  0.0924767  0.0940751   2.6996e-05
t_subj(hc).776  0.0942908   0.00122348  0.0916365   0.093517  0.0943554   0.095157  0.0964142  2.47083e-05
t_subj(hc).777   0.112642  0.000847763   0.110823   0.112103   0.112697   0.113257   0.114101  1.80354e-05
t_subj(hc).778     0.1172   0.00159647   0.113718   0.116218   0.117315   0.118358   0.119956  3.07308e-05
t_subj(hc).779   0.136717   0.00125706   0.133869   0.135935   0.136839   0.137611   0.138873  2.59506e-05
t_subj(hc).780   0.204861  0.000913094    0.20289   0.204306   0.204924   0.205491   0.206488   1.9817e-05
t_subj(hc).781   0.137009   0.00079782   0.135308   0.136523   0.137057    0.13756   0.138413  1.67557e-05
t_subj(hc).782   0.141375   0.00142497    0.13825   0.140526    0.14149   0.142405   0.143845  3.16598e-05
t_subj(hc).783   0.126865  0.000866237   0.125005    0.12629   0.126928   0.127467   0.128428  2.00355e-05
t_subj(hc).784  0.0907089    0.0017838  0.0869027  0.0895815   0.090834  0.0919243  0.0939161  3.86444e-05
t_subj(hv).761    0.17822   0.00125477   0.175631   0.177432   0.178267   0.179098   0.180589  3.16126e-05
t_subj(hv).762   0.136324  0.000993542   0.134077   0.135726   0.136408   0.137046   0.137982  2.19898e-05
t_subj(hv).763   0.093253   0.00146471  0.0900764  0.0923278  0.0933427   0.094284  0.0958648  3.19534e-05
t_subj(hv).764  0.0954699   0.00118788   0.093043  0.0946986  0.0955232  0.0963232  0.0976033  2.72858e-05
t_subj(hv).765   0.169017    0.0017694   0.165368   0.167862   0.169134   0.170267   0.172057  4.35527e-05
t_subj(hv).766    0.11595   0.00113296   0.113534   0.115236   0.116033   0.116768   0.117893  2.51455e-05
t_subj(hv).767   0.157595   0.00123863   0.154919   0.156819   0.157694    0.15851   0.159637  2.77165e-05
t_subj(hv).768  0.0941333   0.00162576  0.0906038  0.0931061  0.0942586  0.0952686  0.0969669   3.6736e-05
t_subj(hv).769   0.114979   0.00105115   0.112625   0.114317   0.115048   0.115722   0.116836  2.33123e-05
t_subj(hv).770   0.121034  0.000812521   0.119222   0.120541   0.121095   0.121596    0.12249  1.76302e-05
t_subj(hv).771   0.140119  0.000899679   0.138241   0.139551   0.140183   0.140766   0.141713  2.02967e-05
t_subj(hv).772  0.0953352   0.00126336  0.0926975  0.0945202  0.0953832  0.0962211  0.0975857  2.95772e-05
t_subj(hv).773   0.159894  0.000908734   0.157887   0.159334   0.159965   0.160525   0.161472  2.12724e-05
t_subj(hv).774   0.105099   0.00100416   0.102999   0.104477   0.105172   0.105822   0.106861   2.3949e-05
t_subj(hv).775  0.0956832   0.00130676  0.0927813  0.0948624  0.0957618  0.0966263  0.0979455  2.66274e-05
t_subj(hv).776  0.0978486   0.00134889   0.094927  0.0969757  0.0979494  0.0988049   0.100216  3.13969e-05
t_subj(hv).777   0.175285   0.00113018   0.172856   0.174548   0.175358   0.176078   0.177283  2.49945e-05
t_subj(hv).778  0.0986153   0.00159298  0.0951589  0.0976164  0.0987036  0.0997574    0.10145  3.68097e-05
t_subj(hv).779   0.126756   0.00121593   0.124195   0.125971   0.126857   0.127606   0.128896  2.89365e-05
t_subj(hv).780   0.230052   0.00119841   0.227435   0.229273   0.230145   0.230888   0.232197  2.71228e-05
t_subj(hv).781   0.180047   0.00110247   0.177694   0.179305   0.180118   0.180839   0.181999   2.4554e-05
t_subj(hv).782   0.119753    0.0010957   0.117335   0.119102   0.119834   0.120511   0.121668  2.31628e-05
t_subj(hv).783   0.138346   0.00109617    0.13601   0.137634   0.138418   0.139121   0.140285  2.70019e-05
t_subj(hv).784   0.107634   0.00134664    0.10466   0.106807   0.107744   0.108571   0.109959  2.90671e-05
t_subj(lc).761   0.183551   0.00127768   0.180818   0.182721   0.183632   0.184424   0.185891  3.03977e-05
t_subj(lc).762    0.16824   0.00118644   0.165668   0.167495   0.168322   0.169061   0.170296  2.68349e-05
t_subj(lc).763   0.109811   0.00146766   0.106699   0.108879   0.109915   0.110853   0.112419  3.33174e-05
t_subj(lc).764   0.102441   0.00122065  0.0996461    0.10169   0.102526   0.103318   0.104559  2.92321e-05
t_subj(lc).765   0.115302   0.00127487   0.112491   0.114544   0.115399   0.116206   0.117416  2.93049e-05
t_subj(lc).766   0.096034  0.000877638  0.0940592   0.095494  0.0961193   0.096656  0.0975132  2.03807e-05
t_subj(lc).767    0.20355   0.00173385   0.199771   0.202455   0.203674   0.204724   0.206641  4.07896e-05
t_subj(lc).768  0.0894425   0.00229632  0.0845906  0.0880138  0.0895571  0.0909866  0.0937199  5.24588e-05
t_subj(lc).769   0.149254    0.0013415    0.14639    0.14842   0.149331   0.150186   0.151587  2.65413e-05
t_subj(lc).770   0.164685  0.000975579   0.162616   0.164097   0.164786   0.165356   0.166381  2.14526e-05
t_subj(lc).771  0.0928239   0.00115281  0.0903589  0.0921028  0.0929112   0.093633  0.0948345  2.17722e-05
t_subj(lc).772   0.094029   0.00147821  0.0908848   0.093107  0.0941396  0.0950563  0.0966621  3.51911e-05
t_subj(lc).773   0.191522   0.00137709   0.188577   0.190652   0.191588   0.192479   0.193989  3.17207e-05
t_subj(lc).774   0.173701   0.00115611   0.171206   0.172991   0.173789   0.174516   0.175765  2.53335e-05
t_subj(lc).775   0.100192   0.00134108   0.097326  0.0993674   0.100273   0.101123   0.102552  2.90255e-05
t_subj(lc).776   0.141613   0.00172831   0.137838   0.140478   0.141731   0.142824   0.144681  3.74241e-05
t_subj(lc).777   0.168257   0.00136696   0.165417   0.167351    0.16834    0.16924   0.170681  3.08278e-05
t_subj(lc).778   0.111804   0.00145513   0.108641   0.110895    0.11196   0.112813   0.114306  3.07823e-05
t_subj(lc).779   0.110002   0.00116515   0.107513   0.109267   0.110109   0.110814   0.112114  2.24943e-05
t_subj(lc).780   0.219253   0.00121655   0.216631   0.218452   0.219369    0.22011   0.221372  2.72708e-05
t_subj(lc).781   0.160101  0.000909751   0.158166   0.159536   0.160149   0.160752   0.161713  1.67856e-05
t_subj(lc).782   0.124577  0.000986731   0.122421   0.123955   0.124652   0.125273   0.126285  2.19503e-05
t_subj(lc).783   0.158973  0.000888055   0.157041   0.158428   0.159039   0.159612   0.160518  2.04428e-05
t_subj(lc).784   0.128727   0.00136085   0.125833   0.127859   0.128811   0.129678   0.131107  2.94051e-05
t_subj(lv).761   0.149954  0.000866409    0.14809   0.149423   0.150025   0.150572   0.151475  2.05133e-05
t_subj(lv).762   0.147386   0.00115022   0.144794   0.146673   0.147503   0.148202   0.149274  2.56769e-05
t_subj(lv).763  0.0939643    0.0014959  0.0908803  0.0929459  0.0940769   0.095008  0.0966476  3.29078e-05
t_subj(lv).764   0.102356   0.00133174  0.0995108   0.101501   0.102405   0.103302   0.104731  2.65048e-05
t_subj(lv).765   0.157814   0.00183577   0.153969   0.156648   0.157887    0.15912    0.16106  4.31948e-05
t_subj(lv).766   0.130874   0.00117817   0.128413   0.130141   0.130922   0.131714   0.132918  2.49866e-05
t_subj(lv).767  0.0924549   0.00122024  0.0898157  0.0916958  0.0925673   0.093331  0.0945567  2.65564e-05
t_subj(lv).768  0.0896413   0.00183904  0.0856807  0.0884798  0.0897371  0.0909393  0.0929872    3.887e-05
t_subj(lv).769   0.107185   0.00121227   0.104497   0.106454   0.107256   0.108045   0.109279  2.83781e-05
t_subj(lv).770   0.188082   0.00128266   0.185435   0.187239   0.188188   0.189016   0.190244  3.09059e-05
t_subj(lv).771   0.119672  0.000900587   0.117663   0.119147   0.119749   0.120291   0.121244  2.11766e-05
t_subj(lv).772  0.0964203   0.00138946  0.0935053  0.0955368  0.0965191   0.097441  0.0988508  2.82041e-05
t_subj(lv).773   0.183743  0.000981254   0.181498    0.18315   0.183797   0.184435   0.185475  2.08424e-05
