                     mean          std       2.5q         25q        50q        75q      97.5q       mc err
a                0.975271    0.0208348   0.935224    0.961293   0.974823   0.988927    1.01827  0.000458969
a_std            0.100212    0.0167057    0.07373   0.0884445  0.0979595   0.109751   0.139326  0.000421881
a_subj.761       0.850719   0.00844118   0.834065    0.845033   0.850943   0.856311   0.867751  0.000229112
a_subj.762       0.954515   0.00903825   0.936975    0.948217   0.954349   0.960474   0.972676  0.000225188
a_subj.763        1.03345    0.0093851    1.01564       1.027    1.03313    1.03959    1.05207   0.00023618
a_subj.764        1.01159   0.00993579   0.992432      1.0046    1.01137    1.01839    1.03174  0.000236277
a_subj.765        1.11868    0.0109854    1.09675     1.11121    1.11878    1.12597     1.1406  0.000276743
a_subj.766        0.97656    0.0100652   0.957423     0.96947   0.976513   0.983447   0.996207  0.000259369
a_subj.767        1.06555    0.0109493    1.04427      1.0581    1.06528    1.07303    1.08634  0.000292769
a_subj.768        1.06897   0.00960196     1.0501     1.06235    1.06905    1.07545    1.08774   0.00023617
a_subj.769        1.00279    0.0100014   0.983208    0.995929    1.00252    1.00936    1.02269  0.000215415
a_subj.770       0.886039   0.00875794   0.868766    0.880256   0.885954   0.891753    0.90366  0.000216033
a_subj.771       0.919939   0.00876732   0.902928    0.914098   0.919981   0.925758   0.936394  0.000186871
a_subj.772        1.00282   0.00908768   0.984499    0.996882    1.00283    1.00876    1.02045  0.000190513
a_subj.773       0.835942   0.00841508   0.819766    0.830289   0.835921   0.841549    0.85274  0.000227339
a_subj.774        0.90717   0.00874943   0.890008    0.901117   0.907166   0.913195   0.924206  0.000206885
a_subj.775        1.00905    0.0090465   0.991896      1.0025    1.00892    1.01551    1.02645  0.000189977
a_subj.776        1.05193    0.0104057     1.0316     1.04497    1.05174    1.05908    1.07259   0.00026315
a_subj.777       0.887025    0.0093058   0.868726    0.880824   0.886741   0.893089   0.905884  0.000226039
a_subj.778         1.1302    0.0107813    1.11017     1.12269    1.13002    1.13723    1.15308  0.000239289
a_subj.779        1.01616    0.0098308    0.99753     1.00955      1.016    1.02241    1.03624  0.000221864
a_subj.780       0.885562   0.00897948   0.868537    0.879367    0.88556   0.891667   0.903561  0.000237973
a_subj.781       0.787229   0.00789547   0.771918    0.781936   0.787179   0.792487   0.803011  0.000195808
a_subj.782       0.996664   0.00952445   0.977864    0.990088    0.99674    1.00341    1.01589  0.000218868
a_subj.783       0.879289   0.00839698   0.862631    0.873583   0.879243   0.885159   0.895665  0.000195502
a_subj.784        1.07693   0.00982121    1.05844     1.07024    1.07678    1.08363     1.0972  0.000224943
v(hc)            0.746074     0.184843   0.385037    0.624728   0.745606   0.868776    1.10016    0.0040095
v(hv)            0.918351     0.185388   0.546722    0.796798   0.919404    1.03794    1.28756   0.00401642
v(lc)             1.76654     0.179233      1.412     1.64446    1.76999    1.88307      2.118   0.00365923
v(lv)             1.40788     0.184727    1.05351     1.28363     1.4091    1.53926    1.76184   0.00350093
v_std             0.89509    0.0660033   0.773747    0.850897   0.890301   0.936735    1.03534   0.00145347
v_subj(hc).761    1.35938      0.12537    1.10904     1.27348    1.35881    1.44445    1.60936   0.00361682
v_subj(hc).762   0.645359     0.108742   0.442975    0.571653   0.643005   0.717328   0.857761   0.00316827
v_subj(hc).763    0.84222     0.114457   0.615276    0.765681     0.8456   0.922127     1.0595   0.00339509
v_subj(hc).764   0.479928     0.111994   0.266259    0.401238   0.478219   0.556789   0.698568    0.0031547
