                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
a(hc)             0.754444    0.0354496      0.68627     0.730307     0.755245     0.778302     0.824431  0.000730847
a(hv)              0.76878    0.0382024     0.691364     0.743761      0.76848     0.793891     0.846136  0.000707394
a(lc)              0.72032    0.0374539     0.648539     0.695236     0.719567     0.744938     0.795752  0.000851594
a(lv)             0.709912    0.0381351     0.633329     0.685149      0.70958     0.735434     0.784352  0.000703334
a_std             0.194473    0.0153667     0.167538     0.183821     0.193533     0.203848     0.228276  0.000399187
a_subj(hc).0      0.750561    0.0133321     0.724139     0.741849     0.750334     0.759639     0.776851   0.00040077
a_subj(hc).1      0.626292    0.0114153     0.603601     0.618197     0.626552     0.633981     0.649059   0.00024826
a_subj(hc).2      0.919799    0.0167696     0.887452     0.908181     0.919617     0.931166     0.953576  0.000388748
a_subj(hc).3       1.15491    0.0212728      1.11344      1.14067      1.15514      1.16863      1.19836  0.000405295
a_subj(hc).4      0.608889     0.010983     0.587493     0.601474     0.608812     0.616231     0.630282  0.000216486
a_subj(hc).5      0.702373    0.0128303     0.678073     0.693974     0.702298     0.710715     0.728051  0.000277166
a_subj(hc).6      0.586977     0.010857     0.565836     0.579715     0.586573     0.593931     0.608336  0.000264199
a_subj(hc).7       0.49695   0.00891197     0.479687     0.490962     0.496824     0.502773     0.515432  0.000225296
a_subj(hc).8      0.883831    0.0177605     0.849971     0.871699     0.883536     0.895615      0.91911  0.000334972
a_subj(hc).9      0.659302    0.0114906     0.636799     0.651854     0.659215     0.666978     0.681925   0.00033117
a_subj(hc).10     0.787117    0.0138957     0.760713     0.777669     0.786995     0.796457     0.815293  0.000394536
a_subj(hc).11     0.535205   0.00959265     0.516077     0.528719     0.535163     0.541666     0.554155  0.000255578
a_subj(hc).12     0.504318   0.00877815     0.487984     0.497928     0.503985     0.510319     0.521767  0.000242765
a_subj(hc).13     0.886189    0.0155978     0.856541     0.875456     0.885713     0.896456     0.918446  0.000394405
a_subj(hc).14     0.555549   0.00979505     0.535926     0.548979      0.55578     0.561885     0.575182  0.000203247
a_subj(hc).15     0.628934    0.0112284     0.607591     0.621015     0.629011     0.636709     0.650872  0.000307173
a_subj(hc).16     0.756772    0.0134581     0.732142     0.747118     0.756444      0.76625     0.782357   0.00037293
a_subj(hc).17      1.20603    0.0239875      1.16001      1.19016      1.20577      1.22223       1.2527   0.00049591
a_subj(hc).18     0.918174    0.0173395     0.884394     0.906549     0.917782     0.929394     0.953612  0.000519784
a_subj(hc).19     0.637105    0.0111786     0.616167     0.629512     0.636803     0.644465     0.659256  0.000321224
a_subj(hc).20     0.859637    0.0155059     0.829347     0.849093     0.859548     0.870031     0.891176  0.000406815
a_subj(hc).21     0.606536     0.010583     0.586893     0.599277     0.606304     0.613318     0.628176  0.000253935
a_subj(hc).22     0.724819    0.0130505     0.700137     0.715796     0.724608     0.733613     0.750538  0.000343225
a_subj(hc).23     0.949685    0.0192297     0.912451     0.936719     0.949568     0.962877     0.987393  0.000382171
a_subj(hv).0      0.783369     0.013988      0.75666     0.773797      0.78322     0.792964     0.810407  0.000409039
a_subj(hv).1      0.693934    0.0138764      0.66683     0.684699     0.693863       0.7031     0.721933  0.000286097
a_subj(hv).2      0.941436    0.0178149      0.90804     0.929083     0.941577     0.953331     0.977486  0.000423337
a_subj(hv).3       1.16911    0.0232076      1.12399      1.15292      1.16888      1.18431      1.21426  0.000548219
a_subj(hv).4      0.644728    0.0130841     0.619994     0.635872     0.644297     0.653658      0.67052  0.000263795
