                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
a(hc)             0.753727     0.038551     0.676594     0.728082     0.753916     0.778834     0.829041  0.000843367
a(hv)             0.766046    0.0393264     0.689453     0.739978      0.76535     0.792462     0.843767  0.000881848
a(lc)             0.729488     0.037651     0.654732     0.704387      0.72967     0.754434     0.803677  0.000690152
a(lv)             0.719175    0.0381065     0.646648     0.692884     0.718213     0.744881      0.79688   0.00079738
a_std             0.195661    0.0152623     0.167639     0.185301     0.195267     0.205373     0.227181   0.00037479
a_subj(hc).0      0.751815    0.0130177      0.72707      0.74262     0.751388      0.76042     0.778477  0.000347442
a_subj(hc).1      0.623993    0.0115333     0.601754      0.61591     0.624152     0.632005     0.646506  0.000290206
a_subj(hc).2      0.919914    0.0173859     0.886758      0.90804     0.919428     0.931414     0.954815  0.000407401
a_subj(hc).3       1.15125    0.0222243      1.10902      1.13574      1.15079      1.16611      1.19546  0.000466435
a_subj(hc).4      0.609914    0.0110224     0.587551     0.602626     0.609992     0.617089     0.632151  0.000243204
a_subj(hc).5      0.701521    0.0127751     0.677082     0.692653     0.701251     0.710275     0.726754  0.000269098
a_subj(hc).6      0.583937    0.0105272      0.56374     0.576884     0.583545      0.59099     0.605097  0.000278786
a_subj(hc).7      0.495878   0.00882375     0.479348     0.489625     0.495733     0.501863     0.513478  0.000240931
a_subj(hc).8      0.883455    0.0179912     0.849286      0.87124     0.883478     0.895321     0.918943  0.000366697
a_subj(hc).9      0.658303    0.0119425     0.635081     0.650235     0.657928      0.66614     0.682103  0.000293983
a_subj(hc).10     0.788261    0.0139863     0.762668     0.778564     0.787747     0.797707     0.816056  0.000391824
a_subj(hc).11     0.537833   0.00939626     0.520278     0.531447     0.537421     0.543735     0.557103  0.000237438
a_subj(hc).12     0.504829   0.00878727     0.487858     0.499169     0.504661     0.510369      0.52334  0.000231383
a_subj(hc).13     0.886566    0.0164376     0.855592     0.875632     0.886497     0.897704     0.920076  0.000435035
a_subj(hc).14     0.555414   0.00973757     0.535557     0.549005     0.555253     0.561699     0.574419  0.000224948
a_subj(hc).15      0.62712     0.011391     0.604382     0.619524     0.627294     0.634213     0.650602  0.000317617
a_subj(hc).16     0.759774    0.0138729     0.733134     0.750633     0.759868     0.769082     0.787886   0.00037468
a_subj(hc).17       1.2059    0.0249409      1.15699      1.18868      1.20541      1.22189       1.2568  0.000559598
a_subj(hc).18      0.91891    0.0171304     0.886119      0.90734     0.918433     0.930398     0.953733  0.000439894
a_subj(hc).19     0.636824    0.0112894      0.61464     0.628978     0.636994     0.644222     0.658518  0.000300485
a_subj(hc).20     0.858814     0.015987     0.828569     0.847798     0.858454     0.869313     0.891068  0.000445144
a_subj(hc).21     0.606985    0.0106742     0.586155     0.599845     0.606892      0.61432     0.628288  0.000269534
a_subj(hc).22      0.72421    0.0130735     0.698133     0.715226      0.72422      0.73308     0.750216  0.000382109
a_subj(hc).23     0.939457    0.0194694     0.902617     0.926451     0.938352     0.951987     0.978579  0.000451283
a_subj(hv).0      0.783885    0.0133384     0.758164     0.774776     0.783458     0.793077     0.811047  0.000379391
a_subj(hv).1      0.689203    0.0131223     0.663954     0.680123      0.68925     0.697686     0.715027  0.000310787
a_subj(hv).2      0.940755    0.0179585     0.906766     0.928173     0.940425     0.952638     0.976248  0.000491972
