                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
a(hc)             0.758572    0.0391191     0.679959     0.732864     0.759838     0.783921      0.83743  0.000820384
a(hv)             0.758946    0.0386805     0.682754     0.733165     0.758361     0.785341     0.836483  0.000785134
a(lc)              0.71893    0.0396931     0.642008     0.692103     0.719116      0.74498     0.798933   0.00085201
a(lv)             0.720955    0.0392721     0.644649     0.694914     0.720341     0.747026     0.799302  0.000732644
a_std             0.201867    0.0164247     0.172389     0.190758      0.20101     0.212471     0.235455  0.000453965
a_subj(hc).0      0.755914     0.017274     0.723503     0.743968     0.755824     0.767326     0.789654  0.000576311
a_subj(hc).1      0.616155    0.0130921     0.590703      0.60723     0.615833     0.625047     0.642956  0.000357331
a_subj(hc).2      0.912228    0.0201691     0.874605     0.897808     0.911858     0.925263     0.954213  0.000622477
a_subj(hc).3       1.15154    0.0221253      1.10807      1.13647      1.15091      1.16682      1.19571  0.000469989
a_subj(hc).4      0.597362    0.0127245     0.572408      0.58873      0.59724     0.605853     0.623133  0.000337451
a_subj(hc).5      0.696941    0.0149702     0.668661     0.686789     0.696733       0.7071     0.726526  0.000459298
a_subj(hc).6      0.548839    0.0121149     0.526312     0.540628     0.548197     0.556851     0.573391  0.000378647
a_subj(hc).7      0.513328    0.0120325     0.489513     0.505504     0.513412     0.520854     0.537362  0.000420606
a_subj(hc).8      0.884512      0.01911     0.848985     0.871302     0.884091     0.896877       0.9243   0.00044764
a_subj(hc).9      0.664924    0.0153158     0.636481     0.654569     0.664517     0.675096     0.696829  0.000558227
a_subj(hc).10      0.80123    0.0176863     0.765682     0.788714      0.80146     0.813205       0.8357  0.000579696
a_subj(hc).11     0.556234    0.0125453     0.532211     0.547598     0.556016     0.564936     0.580479  0.000488809
a_subj(hc).12     0.517733    0.0111116     0.496004     0.510204      0.51754     0.524904     0.540241  0.000353184
a_subj(hc).13     0.886018    0.0205572     0.847175     0.871283     0.885927     0.900331     0.925982  0.000761613
a_subj(hc).14     0.512501     0.011142     0.491332     0.504835     0.512329     0.520077     0.534041    0.0003748
a_subj(hc).15     0.650283    0.0151016     0.621614     0.640171     0.650047     0.660033     0.680497  0.000575172
a_subj(hc).16     0.758691    0.0168014     0.727379      0.74686     0.758478     0.769704     0.792103  0.000553478
a_subj(hc).17      1.20549      0.02487      1.15804      1.18888      1.20589       1.2224      1.25284  0.000560398
a_subj(hc).18     0.923725     0.021062     0.882724     0.909446       0.9226      0.93762     0.966695  0.000655274
a_subj(hc).19     0.657075    0.0143897     0.628412     0.647842     0.656944      0.66635      0.68623  0.000380508
a_subj(hc).20     0.862119    0.0199485     0.824248     0.848634     0.862001     0.874989     0.903785  0.000664126
a_subj(hc).21     0.616172    0.0135322     0.590112     0.606933     0.616238     0.624882     0.643709  0.000403143
a_subj(hc).22     0.733304     0.016712      0.70231     0.721529     0.732769     0.744398     0.767592  0.000545735
a_subj(hc).23     0.941137    0.0203315     0.901211     0.927353     0.940979     0.954367     0.980951  0.000403202
a_subj(hv).0      0.799824     0.018835     0.764655     0.786939     0.799297     0.812334     0.838352  0.000660255
a_subj(hv).1      0.596799    0.0126344     0.572917      0.58788      0.59665     0.604656     0.622878  0.000366633
a_subj(hv).2      0.897782    0.0201345     0.859787     0.883767     0.897769     0.910931     0.937442  0.000608868
a_subj(hv).3       1.15481    0.0230079      1.11004      1.13902      1.15482      1.17012      1.20172   0.00046023
a_subj(hv).4      0.555279    0.0125497     0.531286     0.546581     0.554931     0.563772     0.580666  0.000345408
a_subj(hv).5      0.697749    0.0151778     0.668101     0.687433     0.697886     0.707305     0.728466   0.00038576
a_subj(hv).6      0.522063    0.0108732     0.501045     0.514393     0.522053     0.529297     0.544004  0.000324971
a_subj(hv).7      0.517998    0.0117694     0.495402     0.509919     0.517639       0.5258     0.541384  0.000408325
a_subj(hv).8      0.889411    0.0187649     0.853142     0.876903     0.889349     0.901433     0.927603  0.000422621
a_subj(hv).9      0.701111    0.0161194     0.670525     0.689827     0.700732     0.711754     0.733086  0.000599932
a_subj(hv).10     0.827961    0.0184323     0.792714     0.815349     0.827118     0.840487     0.864842  0.000587844
a_subj(hv).11     0.594495    0.0137753     0.567825     0.585217     0.594208     0.603749      0.62143  0.000487528
a_subj(hv).12     0.544839    0.0124099     0.520984     0.536389     0.544771     0.553121     0.569766  0.000414779
a_subj(hv).13     0.879048    0.0201218     0.841643     0.865899     0.878126     0.892057     0.920109  0.000694997
a_subj(hv).14      0.48375    0.0112095     0.461735     0.476192     0.483929     0.490865     0.507544  0.000407804
a_subj(hv).15     0.660429    0.0154688     0.630474     0.649832     0.660343     0.670943     0.690276  0.000507984
a_subj(hv).16     0.784059    0.0178366     0.750298     0.771976     0.783567     0.795496     0.820199  0.000571405
a_subj(hv).17      1.12325    0.0215737      1.08173       1.1084      1.12331      1.13793      1.16665   0.00046596
a_subj(hv).18     0.991156    0.0225931     0.947384     0.976446     0.990566      1.00632      1.03684   0.00081409
a_subj(hv).19     0.627602    0.0139951     0.601994     0.617965      0.62695      0.63692     0.656463  0.000441211
a_subj(hv).20     0.839993     0.019384     0.803882     0.826233     0.839269     0.852719     0.880567  0.000630042
a_subj(hv).21      0.63103    0.0136583     0.604826     0.621411     0.630731     0.640593      0.65695   0.00039431
a_subj(hv).22     0.716751    0.0162372     0.685728     0.705504     0.716661     0.728113     0.748062  0.000496147
a_subj(hv).23     0.951844    0.0204058     0.914057     0.937938      0.95098     0.965347     0.992057  0.000474076
a_subj(lc).0      0.788324    0.0183498     0.752372     0.775662     0.788096     0.800496     0.823718  0.000676716
a_subj(lc).1      0.599904    0.0133813     0.574599     0.590988     0.599361     0.608981     0.626896  0.000398127
a_subj(lc).2      0.851359    0.0192822     0.815373      0.83803     0.850814     0.864996     0.888947  0.000616889
a_subj(lc).3       1.17113    0.0225585      1.12869      1.15558        1.171      1.18599      1.21541  0.000454003
a_subj(lc).4      0.547193    0.0129721     0.521878     0.538436     0.546901     0.555828     0.572244  0.000405827
a_subj(lc).5      0.696361    0.0159208     0.665608     0.685388     0.696312     0.707634     0.727252  0.000528921
a_subj(lc).6       0.48044     0.010849     0.459746     0.473254     0.480014     0.487339     0.502312  0.000348516
a_subj(lc).7      0.431053    0.0100354     0.412066     0.424309     0.430672     0.437286      0.45211  0.000379689
a_subj(lc).8      0.876033    0.0184481     0.841534     0.863475     0.875778     0.888151     0.915068  0.000447977
a_subj(lc).9      0.648225    0.0152138     0.620182     0.637759     0.647673     0.657603     0.679816  0.000547732
a_subj(lc).10     0.793176     0.018117     0.759866      0.78093     0.792668      0.80487     0.829901  0.000684375
a_subj(lc).11     0.503132    0.0116587     0.480926     0.494857     0.502928     0.510889     0.526916  0.000388077
a_subj(lc).12     0.435832    0.0101704     0.416412       0.4288     0.435663     0.442791     0.455796   0.00035847
a_subj(lc).13       0.9156    0.0217399      0.87463     0.900804     0.914703     0.931033     0.958348  0.000845419
a_subj(lc).14     0.476942     0.010156     0.457539     0.469901     0.476631     0.483858     0.497224  0.000304861
a_subj(lc).15     0.558412    0.0126541     0.533328     0.549958      0.55837      0.56661       0.5835  0.000436207
a_subj(lc).16     0.761473    0.0179083     0.729146     0.749621     0.760901     0.773423     0.797874  0.000604131
a_subj(lc).17      1.21089    0.0241793      1.16267      1.19499      1.21042      1.22653      1.25943  0.000501318
a_subj(lc).18     0.889349    0.0209403     0.850679     0.874451     0.888901     0.903951     0.931479  0.000728023
a_subj(lc).19     0.605235    0.0140741     0.578964     0.595581     0.604881     0.614444     0.634073  0.000447479
