                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
a(hc)             0.757985    0.0397413     0.677352     0.732732     0.757383     0.784963     0.834612  0.000867981
a(hv)             0.759076    0.0390149     0.681743     0.733264     0.758558     0.784963     0.835442  0.000907525
a(lc)             0.717562    0.0392987     0.643085     0.690672     0.717442     0.743653     0.798274  0.000879065
a(lv)             0.722487    0.0377217     0.647638     0.697693     0.722527     0.746468     0.798945  0.000827421
a_std             0.201903    0.0157465     0.173714     0.191108     0.200834     0.212042     0.235713  0.000426407
a_subj(hc).0      0.756358    0.0174869     0.721689     0.744388     0.756344     0.768161     0.791008  0.000639762
a_subj(hc).1      0.616815    0.0135587     0.590274     0.607794     0.617096     0.625726     0.643667  0.000347422
a_subj(hc).2      0.912108     0.020505     0.873206     0.898283     0.911282     0.925749      0.95441  0.000532704
a_subj(hc).3       1.15183    0.0224364      1.11029      1.13636      1.15112      1.16656      1.19861  0.000478682
a_subj(hc).4      0.597785    0.0127864     0.572887     0.589285      0.59776     0.606157     0.624072  0.000393468
a_subj(hc).5      0.697754    0.0157494     0.667506     0.686963     0.697215     0.708334     0.729365  0.000409956
a_subj(hc).6      0.549294    0.0125608     0.525833     0.540905     0.549214     0.557641     0.575237  0.000365377
a_subj(hc).7      0.513362    0.0118292     0.491142     0.505085     0.512963     0.520979     0.537622  0.000387449
a_subj(hc).8      0.885053      0.01844     0.848965     0.872869     0.885089     0.897545     0.920755  0.000407864
a_subj(hc).9      0.664207    0.0153038     0.634566     0.653778     0.663661     0.674478     0.694814   0.00051429
a_subj(hc).10      0.80206    0.0173997      0.76869     0.790367     0.801522     0.813374     0.838073  0.000525525
a_subj(hc).11     0.556305    0.0130617     0.530866     0.547759     0.555982     0.564681      0.58202  0.000442815
a_subj(hc).12     0.517377    0.0112626     0.496093     0.509762     0.517305     0.525112     0.539708  0.000361058
a_subj(hc).13     0.885045    0.0190072     0.848334     0.872348     0.885177     0.897634     0.923853  0.000636259
a_subj(hc).14     0.512709    0.0110726     0.491771     0.504784     0.512626     0.520011     0.534768  0.000352878
a_subj(hc).15     0.650278    0.0153812     0.621202     0.639606     0.650236     0.660337     0.681278  0.000478235
a_subj(hc).16     0.758794    0.0169092     0.726588     0.747073     0.758796     0.770459     0.791416  0.000578904
a_subj(hc).17      1.20481    0.0255138      1.15452      1.18752      1.20432      1.22243      1.25536  0.000578395
a_subj(hc).18     0.923677    0.0205784     0.885786     0.909409      0.92192     0.937119     0.967225  0.000678642
a_subj(hc).19     0.656006    0.0154121     0.626312     0.645286     0.655695     0.665608     0.687947  0.000532301
a_subj(hc).20     0.862109    0.0203555     0.823249     0.848492     0.862121     0.875106     0.905796  0.000692405
a_subj(hc).21     0.616844    0.0137126     0.590008     0.607657     0.616627     0.625884      0.64469  0.000451311
a_subj(hc).22     0.734509    0.0169081      0.70153      0.72322     0.734468     0.745719     0.767755  0.000577724
a_subj(hc).23     0.941365    0.0204945     0.901003     0.927421     0.941266      0.95532     0.981494  0.000474369
a_subj(hv).0      0.798219    0.0180604      0.76352     0.786294     0.797677     0.811014     0.834066  0.000569855
a_subj(hv).1      0.596293    0.0125662     0.572682     0.587674     0.596124     0.604285     0.622632  0.000340248
a_subj(hv).2      0.897282    0.0199164     0.859709      0.88376     0.896348     0.910796     0.936847  0.000608253
a_subj(hv).3       1.15435    0.0222135      1.11151      1.13933      1.15444      1.16954      1.19859   0.00049512
a_subj(hv).4      0.554619    0.0122635     0.530926     0.546279     0.554519     0.562991     0.578749   0.00038549
a_subj(hv).5      0.698052    0.0150265     0.669227     0.687587     0.697765     0.708545     0.728094  0.000394085
a_subj(hv).6      0.521906    0.0111971      0.50052     0.514392     0.521988     0.529375     0.544855  0.000302346
a_subj(hv).7      0.517833    0.0121322     0.494951     0.509287     0.517788     0.525843     0.543567  0.000387847
a_subj(hv).8      0.888853    0.0178733     0.853902      0.87646     0.888909     0.901074      0.92467  0.000366959
a_subj(hv).9      0.702456    0.0161884     0.672509     0.690826     0.702278     0.713173     0.734899  0.000573702
a_subj(hv).10     0.826572    0.0188196     0.789692     0.813876     0.826623     0.839017     0.864872  0.000619583
a_subj(hv).11     0.595714    0.0132891     0.571204     0.586493     0.595334     0.604471     0.623227  0.000458027
a_subj(hv).12     0.545921    0.0116762     0.523887     0.538233     0.545731      0.55367     0.569804  0.000370003
a_subj(hv).13     0.878636    0.0201352     0.840626     0.864542     0.878286     0.891541      0.92058  0.000673544
a_subj(hv).14     0.483688    0.0108341     0.463084     0.476571      0.48348     0.490638     0.506704  0.000375107
a_subj(hv).15     0.659719    0.0146959     0.631385     0.649721     0.659379     0.669785     0.688504  0.000453745
a_subj(hv).16     0.783383    0.0175013     0.750225     0.771543     0.783117     0.794863     0.818604  0.000601422
a_subj(hv).17      1.12334    0.0210884        1.082      1.10965       1.1231      1.13711      1.16608  0.000371005
a_subj(hv).18     0.991525    0.0230561     0.948218     0.975285     0.990534      1.00721       1.0386  0.000757547
a_subj(hv).19     0.628184    0.0145499     0.600355     0.618155      0.62813     0.637823      0.65702  0.000473039
a_subj(hv).20     0.839616    0.0190509      0.80266     0.826942     0.839312     0.852634     0.877482    0.0007156
a_subj(hv).21     0.631698    0.0146172     0.603395     0.621826     0.631238     0.641585     0.660574  0.000547004
a_subj(hv).22     0.717127    0.0159963     0.686293     0.706211     0.716703     0.728197     0.749098  0.000490544
a_subj(hv).23     0.951603    0.0204267     0.913133      0.93768     0.950971     0.965273     0.992504  0.000409243
a_subj(lc).0      0.788747    0.0193948     0.752117      0.77567     0.788284     0.802042     0.827983  0.000710889
a_subj(lc).1      0.599158    0.0130122     0.575279     0.589946     0.598919     0.607799     0.626718  0.000383115
a_subj(lc).2      0.849742     0.019793     0.812189     0.836495     0.849127     0.862795      0.89048  0.000732653
a_subj(lc).3        1.1709    0.0218787      1.12903      1.15579      1.17056      1.18531      1.21584  0.000454596
a_subj(lc).4      0.547481    0.0136456      0.52106     0.538146     0.547309      0.55671     0.574703  0.000473516
a_subj(lc).5      0.696981    0.0164224     0.664978      0.68582     0.696779     0.707666     0.729707  0.000531955
