                  mean          std         2.5q          25q          50q          75q        97.5q       mc err
a             0.743399     0.041317     0.670747     0.715223     0.740891     0.768776     0.832481  0.000950001
a_std         0.202468    0.0334439      0.15049     0.178652      0.19838     0.221414     0.277307  0.000869794
a_subj.0       0.76174   0.00847181     0.745683     0.755834     0.761772     0.767648     0.778304  0.000317641
a_subj.1       0.62348   0.00706831     0.609059     0.618879     0.623651     0.628204     0.637557  0.000217595
a_subj.2      0.885268    0.0100187     0.865646     0.878115     0.885284     0.892023     0.905877  0.000349783
a_subj.3         1.156    0.0111987      1.13448      1.14883      1.15588      1.16342      1.17904  0.000221399
a_subj.4      0.594888   0.00652549     0.582161     0.590612     0.594877     0.599091     0.607646  0.000196796
a_subj.5      0.711674   0.00760505     0.697159     0.706367     0.711775     0.716931     0.726465  0.000195212
a_subj.6      0.559084   0.00613232     0.547491     0.554904     0.558911     0.563107     0.571696  0.000176897
a_subj.7      0.479932    0.0053909     0.469229     0.476354     0.479898      0.48345     0.490645  0.000182366
a_subj.8      0.865316   0.00902287     0.847717     0.859382     0.865294      0.87104      0.88319  0.000208244
a_subj.9      0.654677   0.00762323     0.640114     0.649681     0.654511     0.659645     0.669835  0.000281409
a_subj.10     0.781242   0.00884175     0.764513     0.774926     0.781209     0.787233     0.798989  0.000294511
a_subj.11     0.526001   0.00624478     0.513864     0.521567     0.525992     0.530256     0.537987  0.000249225
a_subj.12     0.478313   0.00541424     0.468265     0.474616     0.478233     0.482001     0.489361  0.000185758
a_subj.13     0.888136    0.0103745     0.868336     0.881066     0.887725      0.89531     0.909151  0.000413815
a_subj.14     0.517881   0.00543877     0.507185     0.514186     0.517819     0.521514     0.528315  0.000154217
a_subj.15     0.604764   0.00703357     0.591409     0.599964     0.604879     0.609526     0.618738  0.000269722
a_subj.16     0.760006   0.00867472     0.743805     0.754086     0.759773     0.765777     0.777803  0.000303936
a_subj.17      1.17742    0.0116423      1.15428      1.16963      1.17723        1.185      1.20133  0.000234018
a_subj.18     0.918373    0.0110744     0.896466     0.910819     0.918274     0.925934     0.940174  0.000358082
a_subj.19     0.616453   0.00711133     0.602493     0.611502     0.616406     0.621306     0.630635  0.000258829
a_subj.20     0.846436     0.010143     0.827563     0.839374     0.846434     0.853261     0.866321  0.000384807
a_subj.21      0.60011   0.00680441     0.587225     0.595313     0.600048     0.604836     0.613318  0.000257496
a_subj.22      0.70149   0.00796598     0.687202     0.696153     0.701165      0.70694     0.717982  0.000286248
a_subj.23     0.944388    0.0102889      0.92477     0.937273     0.944526     0.951497     0.964397  0.000256135
v             0.977866    0.0530757     0.872304      0.94251     0.978071      1.01449      1.08522    0.0012194
v_std         0.250675    0.0432919     0.179212     0.219892     0.245832     0.276642     0.353362   0.00119639
v_subj.0      0.835763    0.0680776     0.695725     0.789495     0.838561     0.882772      0.96275    0.0018937
v_subj.1        1.2488    0.0848664      1.08268      1.19069      1.24816       1.3066      1.41539   0.00239263
v_subj.2      0.682323    0.0598007     0.565745     0.642579     0.681742     0.722318     0.801184   0.00168782
v_subj.3      0.954902     0.050946     0.855087     0.921156      0.95399     0.990048      1.05469   0.00147035
v_subj.4       1.05401    0.0912099     0.868546     0.993535       1.0586      1.11606        1.226   0.00286372
v_subj.5      0.940369    0.0755604     0.795489     0.889532     0.942191     0.991516      1.08733   0.00224686
v_subj.6        1.4738     0.098542      1.28981      1.40707       1.4727      1.53993      1.67333   0.00315319
v_subj.7       1.22947     0.100143      1.03601      1.16463      1.22786      1.30108      1.42242   0.00262775
v_subj.8        1.2897    0.0734206      1.14511      1.23801      1.28867      1.34204      1.42773   0.00218586
v_subj.9      0.986053    0.0744727      0.83978     0.936841     0.986631      1.03634      1.12804   0.00212132
v_subj.10     0.608678    0.0619322     0.490534     0.564405     0.608774      0.65079     0.728259   0.00189614
v_subj.11      1.16234    0.0946529     0.965485      1.10166      1.16324      1.22677      1.33951   0.00258141
v_subj.12      1.06897     0.101839     0.864744      1.00063      1.07061      1.14094      1.26273   0.00287853
v_subj.13     0.716178    0.0555167     0.607466     0.679881      0.71616     0.753949     0.823306    0.0013925
v_subj.14      1.03507    0.0978632     0.842845     0.969228      1.03493      1.10029      1.22819   0.00261774
v_subj.15      1.00992    0.0829135     0.858223     0.952954      1.00768      1.06532      1.17712   0.00235167
v_subj.16     0.745643    0.0676362     0.614239     0.699382     0.745113     0.792337     0.880464   0.00171196
v_subj.17      1.15602     0.051831      1.05746      1.11934      1.15767      1.19189      1.25844   0.00161767
v_subj.18     0.706422     0.056679     0.593394     0.667289     0.706507     0.745464     0.818749   0.00160736
v_subj.19     0.917283    0.0792203     0.764228     0.861419     0.913822     0.972721       1.0724   0.00209965
v_subj.20     0.840248    0.0595009     0.723371      0.79988     0.840279     0.881109     0.956462   0.00144979
