                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
a                 0.741514    0.0429572     0.663233     0.712891     0.739192     0.767629     0.833655   0.00107565
a_std             0.208731    0.0355411       0.1521     0.183546     0.203733     0.228678     0.289378  0.000921898
a_subj.0          0.762015   0.00892472     0.744687     0.755947     0.761971     0.768085     0.779726  0.000307145
a_subj.1          0.606395   0.00653451     0.593816     0.601841     0.606335     0.610851     0.619451  0.000200605
a_subj.2           0.88151    0.0105143     0.861264     0.874158     0.881285     0.888532     0.903108  0.000356248
a_subj.3           1.15598    0.0115224      1.13362      1.14827      1.15561      1.16369      1.17988  0.000205539
a_subj.4          0.571691    0.0064013     0.559113     0.567358     0.571576      0.57603     0.584116  0.000216401
a_subj.5          0.697393   0.00782267     0.682588     0.692186     0.697328     0.702613     0.713462  0.000235686
a_subj.6          0.519726   0.00597691     0.508013     0.515678     0.519723      0.52375      0.53178  0.000166181
a_subj.7          0.480399   0.00540505     0.469796     0.476622     0.480607     0.484119     0.491063   0.00017468
a_subj.8          0.866085   0.00912561     0.847932     0.859754      0.86617     0.872281     0.883711  0.000183318
a_subj.9           0.65568   0.00744081      0.64105     0.650728     0.655671     0.660682     0.670207  0.000281365
a_subj.10         0.781974   0.00876925     0.764935     0.776193     0.781755     0.787885     0.799702  0.000302594
a_subj.11         0.526251   0.00613898      0.51462     0.522129     0.526145     0.530399     0.538601  0.000217959
a_subj.12          0.47801    0.0055633     0.467202     0.474183     0.477966     0.481824     0.489169  0.000190682
a_subj.13          0.88804    0.0101812     0.868159     0.881212     0.887709     0.895036     0.908416   0.00037666
a_subj.14         0.489796   0.00540603     0.478888     0.486193     0.489782     0.493276     0.500477  0.000184401
a_subj.15         0.605791   0.00702997     0.591974     0.600982     0.605779     0.610548     0.619387  0.000224334
a_subj.16         0.760882   0.00885795      0.74376     0.755037     0.760581     0.766647     0.778627  0.000295859
a_subj.17          1.17634    0.0118479      1.15385      1.16806      1.17617      1.18423      1.20035  0.000269023
a_subj.18         0.920274    0.0107594     0.899998     0.912662      0.91997     0.927254     0.942425  0.000383336
a_subj.19         0.616993    0.0071013     0.603167     0.612204     0.616886     0.621749     0.631249  0.000212462
a_subj.20         0.846927    0.0100592     0.827043     0.839872     0.846917     0.853777     0.866709  0.000367258
a_subj.21         0.600836    0.0066151     0.587961     0.596482     0.600794     0.605092     0.614142  0.000241063
a_subj.22         0.702909   0.00794632     0.687625     0.697596     0.702861     0.708294     0.718601  0.000246007
a_subj.23         0.944715    0.0103576     0.925473     0.937724     0.944335      0.95147     0.965193  0.000247881
v                  0.98793    0.0564159     0.878995     0.952575     0.986543      1.02344      1.10712    0.0014247
v_std               0.2587    0.0450273     0.185339     0.225741     0.254095       0.2857     0.361689   0.00134185
v_subj.0           0.83059    0.0679228     0.701167     0.784283     0.827698     0.877197      0.96551   0.00187009
v_subj.1           1.34724    0.0892508       1.1657      1.28762      1.34901       1.4077      1.52065   0.00263429
v_subj.2          0.732011    0.0613343     0.610039     0.692227     0.734022     0.774175     0.850112   0.00170719
v_subj.3          0.955538    0.0500773     0.859191     0.920479      0.95586     0.990851       1.0537   0.00137555
v_subj.4           1.08621     0.091034     0.910712      1.02606      1.08421      1.14754       1.2645   0.00264119
v_subj.5          0.963653    0.0765381      0.81694     0.910046      0.96277      1.01591       1.1171   0.00198166
v_subj.6           1.50018     0.104716       1.2917      1.42984      1.50165      1.56906      1.70393   0.00304252
v_subj.7           1.23173    0.0980239      1.03354      1.16549      1.23355      1.29896       1.4222   0.00248444
v_subj.8           1.29156     0.072107      1.15074      1.24192      1.29114       1.3397      1.43432   0.00197397
v_subj.9          0.990614    0.0766374      0.84193     0.938106     0.991456      1.04022       1.1444   0.00225618
v_subj.10          0.61045    0.0649594      0.48559     0.565643     0.609586     0.655425     0.734537   0.00167282
v_subj.11          1.15572    0.0946635     0.975133      1.09379      1.15386      1.21965      1.33918   0.00263022
v_subj.12          1.07156    0.0986561     0.876739      1.00436      1.07289      1.13779      1.26217   0.00243373
v_subj.13         0.710787    0.0579943     0.596795     0.669897     0.711087     0.751141     0.824434   0.00153588
v_subj.14          1.05191     0.101302     0.850729     0.984447      1.04929      1.12006       1.2508   0.00261188
v_subj.15          1.01359    0.0814707     0.859366     0.957213      1.01428      1.07067      1.16473   0.00214661
v_subj.16         0.732119    0.0646073     0.606841     0.688221     0.732284     0.777041     0.858899   0.00179236
v_subj.17          1.16005    0.0513029      1.05915      1.12573      1.16047      1.19437      1.26064   0.00160003
v_subj.18         0.713327    0.0559101     0.600487     0.676388     0.712513     0.751021       0.8204   0.00128667
v_subj.19         0.915089    0.0798358      0.75763     0.863042     0.917528     0.969696      1.07335   0.00190494
v_subj.20         0.841404     0.061391     0.722055     0.800144      0.84228     0.883058     0.962704   0.00159257
v_subj.21         0.759809    0.0821521     0.587999     0.707429     0.760262     0.815239     0.911839   0.00224239
v_subj.22         0.810657    0.0718902     0.666641     0.760968     0.811145     0.861762     0.943967   0.00179223
v_subj.23           1.2438    0.0684659      1.10409      1.19685      1.24684      1.28997       1.3733   0.00219522
t(hc)             0.183702    0.0293911     0.132993      0.16296     0.180808     0.202548      0.24657   0.00138629
t(hv)             0.183779    0.0304668     0.132415     0.162467     0.180819     0.201588     0.250744   0.00147332
t(lc)             0.182933     0.029874     0.130108      0.16241     0.180508      0.20172      0.24827   0.00154502
t(lv)             0.181623    0.0304064     0.128214     0.160371     0.179013     0.200516     0.247557   0.00149413
t_std             0.217907    0.0357144     0.159146     0.193419     0.213092     0.238818     0.299448   0.00211814
t_subj(hc).0      0.145883   0.00191059     0.142106     0.144586     0.145905     0.147194      0.14943   5.1818e-05
t_subj(hc).1      0.210423  0.000911997     0.208534     0.209823     0.210479      0.21107      0.21207  2.32051e-05
t_subj(hc).2      0.112938   0.00224743     0.108057     0.111511     0.112984     0.114437     0.117249  6.15889e-05
t_subj(hc).3   1.65054e-05  1.87684e-05  1.10844e-07  3.42974e-06  9.81777e-06  2.33044e-05  6.81181e-05  7.29731e-07
t_subj(hc).4      0.217879   0.00091178     0.216029     0.217271     0.217916     0.218475     0.219647  2.23863e-05
t_subj(hc).5      0.180572   0.00138269     0.177634     0.179681     0.180635     0.181525     0.183178  3.38745e-05
t_subj(hc).6      0.230788  0.000715377      0.22926     0.230321     0.230835     0.231299       0.2321  1.70586e-05
t_subj(hc).7      0.238954  0.000678847     0.237553      0.23851     0.238973     0.239426     0.240213  1.83555e-05
t_subj(hc).8      0.146327  0.000927665     0.144209     0.145732     0.146406     0.146991     0.147959  2.15121e-05
t_subj(hc).9      0.176196   0.00129728     0.173567     0.175323     0.176223     0.177074     0.178669   3.8385e-05
t_subj(hc).10     0.123242   0.00196276     0.119328     0.121944     0.123266     0.124631     0.126908  5.23823e-05
t_subj(hc).11     0.225198  0.000892417     0.223239     0.224639      0.22524     0.225822     0.226798   2.3355e-05
t_subj(hc).12     0.239927  0.000667207     0.238562      0.23949     0.239938     0.240386     0.241181  1.78796e-05
t_subj(hc).13    0.0745838   0.00240908    0.0697187    0.0729511    0.0746926    0.0762825    0.0791625  6.93364e-05
t_subj(hc).14     0.241894  0.000686969      0.24054     0.241457     0.241919     0.242355     0.243206  1.73853e-05
t_subj(hc).15     0.201037   0.00112411     0.198667     0.200274     0.201076     0.201799      0.20312  3.00981e-05
t_subj(hc).16     0.136095   0.00187381     0.132134     0.134874     0.136167     0.137445     0.139558   4.4841e-05
t_subj(hc).17  2.15061e-05  2.52122e-05  5.68116e-09  3.79322e-06  1.30247e-05  2.96848e-05  9.00078e-05  8.90613e-07
t_subj(hc).18    0.0825598   0.00270809    0.0769507     0.080796    0.0826988    0.0844456     0.087427  7.44286e-05
t_subj(hc).19     0.199411    0.0011805     0.197019     0.198626     0.199453     0.200241     0.201603  2.96932e-05
t_subj(hc).20     0.102047   0.00214524    0.0976478     0.100623     0.102082     0.103491     0.106011  5.79253e-05
t_subj(hc).21     0.200137   0.00112457     0.197837     0.199411     0.200169     0.200911     0.202269  2.96174e-05
t_subj(hc).22     0.173035   0.00159612     0.169804     0.171976     0.173023     0.174206     0.175953  4.09358e-05
t_subj(hc).23     0.115099   0.00113005     0.112596     0.114398     0.115183      0.11592     0.117005  2.32467e-05
t_subj(hv).0        0.1477    0.0018097     0.143913     0.146472     0.147735     0.148953     0.151012  5.16002e-05
t_subj(hv).1      0.225473  0.000917772     0.223623     0.224896     0.225499      0.22612     0.227182  2.04254e-05
t_subj(hv).2      0.120423   0.00234197     0.115655     0.118881     0.120512     0.122016     0.124858  5.76863e-05
t_subj(hv).3   1.96766e-05  2.34593e-05  3.95957e-08  3.27272e-06  1.13177e-05  2.79519e-05  8.54778e-05  9.08728e-07
t_subj(hv).4      0.228604  0.000895097     0.226779     0.228014     0.228627     0.229222     0.230232   2.3097e-05
t_subj(hv).5      0.196436   0.00126662     0.193747     0.195611     0.196504     0.197309     0.198787   2.8171e-05
t_subj(hv).6       0.24151  0.000750513     0.239917     0.241021     0.241544     0.242038      0.24285  1.99852e-05
t_subj(hv).7      0.238621  0.000678664     0.237306     0.238157     0.238626     0.239106     0.239879  1.92028e-05
t_subj(hv).8      0.146418  0.000894066     0.144495     0.145839     0.146496     0.147063      0.14794  2.08478e-05
t_subj(hv).9      0.176245   0.00134341     0.173374     0.175404     0.176294     0.177165     0.178835  3.79453e-05
t_subj(hv).10     0.124495   0.00196074     0.120578     0.123251     0.124484     0.125842     0.128254  5.05843e-05
t_subj(hv).11     0.225543   0.00087302      0.22374     0.224989     0.225601     0.226151     0.227165  2.52788e-05
t_subj(hv).12     0.238678  0.000721839     0.237229     0.238205     0.238684     0.239186     0.240076  1.77396e-05
t_subj(hv).13    0.0729663   0.00257024    0.0677165    0.0712274    0.0730491    0.0747753    0.0778854  8.01198e-05
t_subj(hv).14     0.245881  0.000817453     0.244163     0.245348     0.245907     0.246443     0.247348  2.06716e-05
t_subj(hv).15     0.200405   0.00111008       0.1981     0.199682     0.200447     0.201123     0.202569  3.20244e-05
t_subj(hv).16      0.13541   0.00190451     0.131407      0.13414     0.135474     0.136712     0.138951  5.04203e-05
t_subj(hv).17  1.39472e-05  1.63756e-05   5.4385e-08  2.70859e-06  8.64774e-06  1.92985e-05  5.67069e-05  5.63769e-07
t_subj(hv).18      0.08487   0.00260491    0.0794703    0.0832046    0.0849362    0.0867329    0.0897292  7.31294e-05
t_subj(hv).19     0.198712   0.00120589     0.196211     0.197941     0.198764     0.199558     0.200862  2.92635e-05
t_subj(hv).20    0.0999188   0.00221918    0.0955551    0.0983671     0.100046     0.101496     0.104045  6.79786e-05
t_subj(hv).21     0.199566   0.00115547     0.197196     0.198788     0.199587     0.200341     0.201766  3.08581e-05
t_subj(hv).22     0.171062   0.00158746     0.167867     0.170043     0.171089     0.172123     0.174128  4.07071e-05
t_subj(hv).23     0.115151   0.00109907     0.112786     0.114479     0.115233     0.115934     0.117093  2.18518e-05
t_subj(lc).0      0.148271   0.00179231     0.144504     0.147123     0.148304     0.149501     0.151647  4.83216e-05
t_subj(lc).1      0.208563   0.00095866     0.206603     0.207937     0.208575     0.209235     0.210346  2.33284e-05
t_subj(lc).2      0.102925   0.00231904    0.0983332     0.101404     0.102923     0.104552      0.10732   6.3877e-05
t_subj(lc).3   1.55707e-05    1.726e-05  1.02815e-07  3.30137e-06  9.68642e-06  2.18836e-05  6.20349e-05  6.62597e-07
t_subj(lc).4      0.216952  0.000907395     0.215026     0.216368     0.216979     0.217561     0.218654  2.66798e-05
t_subj(lc).5       0.17944   0.00141103     0.176475     0.178525     0.179498     0.180415     0.182003  3.43107e-05
t_subj(lc).6      0.228753  0.000746657     0.227264     0.228235      0.22876     0.229258     0.230168   1.9768e-05
t_subj(lc).7      0.239403  0.000631787     0.238124     0.238998     0.239401     0.239846     0.240614  1.89595e-05
t_subj(lc).8      0.146293  0.000937221     0.144252     0.145726     0.146369     0.146961     0.147899  2.10172e-05
t_subj(lc).9      0.176468    0.0012697     0.173863      0.17563     0.176499     0.177345     0.178929  3.33559e-05
t_subj(lc).10     0.124415   0.00188314     0.120513     0.123219     0.124485     0.125773     0.127909  5.13668e-05
