                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
a                 0.744252    0.0421303     0.667749     0.715626      0.74278     0.770398     0.833382   0.00106692
a_std             0.207597    0.0342965     0.154125     0.182923     0.203059     0.228478     0.284202  0.000955447
a_subj.0          0.767362    0.0091841     0.749893     0.761186     0.767225     0.773487     0.785435  0.000327563
a_subj.1          0.608885   0.00668861     0.596059     0.604307     0.608949      0.61333     0.622349  0.000206164
a_subj.2          0.887171    0.0100862     0.868211     0.880257     0.886889     0.894028     0.907482   0.00035332
a_subj.3           1.16109    0.0111261      1.13906      1.15335      1.16085      1.16875      1.18288  0.000237038
a_subj.4           0.57853   0.00667182     0.565381     0.574053     0.578594     0.582882      0.59183  0.000195498
a_subj.5          0.701763   0.00774206     0.687543     0.696305     0.701487     0.706907     0.717769  0.000221268
a_subj.6          0.521225    0.0060238     0.510111     0.516986     0.521114     0.525177     0.533262  0.000192944
a_subj.7          0.482065   0.00536754     0.471444     0.478415      0.48195     0.485801     0.492379  0.000179034
a_subj.8          0.874219   0.00897371     0.856601     0.868219     0.874153     0.880027     0.891695  0.000215015
a_subj.9          0.657718   0.00761288     0.642336     0.652693     0.657624     0.662786     0.672467  0.000269213
a_subj.10         0.785953   0.00928359     0.768662     0.779501     0.785683     0.792102     0.804833  0.000332706
a_subj.11         0.532665   0.00614695     0.520557     0.528489     0.532626     0.537043     0.544174  0.000213363
a_subj.12         0.481944   0.00537474     0.471364     0.478325     0.481887     0.485531     0.492561  0.000169153
a_subj.13         0.891731   0.00988428     0.872772     0.884954     0.891717     0.898576     0.911246  0.000306965
a_subj.14         0.492703   0.00531436     0.482395     0.489085     0.492581     0.496168     0.503424  0.000174253
a_subj.15         0.608273    0.0072483     0.594619     0.603369     0.608212     0.613185      0.62273  0.000251137
a_subj.16         0.771286   0.00886296     0.753628      0.76569     0.771176     0.777386     0.788543  0.000303373
a_subj.17          1.18878    0.0117244       1.1659      1.18083      1.18901      1.19686      1.21194  0.000279261
a_subj.18         0.927326    0.0110594     0.905699     0.920079      0.92695     0.934744     0.949936  0.000349998
a_subj.19         0.619685   0.00727175      0.60547     0.614676     0.619659     0.624647     0.634038   0.00026023
a_subj.20         0.848347    0.0100817     0.828479     0.841747      0.84827     0.854929      0.86835  0.000374385
a_subj.21         0.605331   0.00670045     0.592128     0.600819     0.605312     0.609858     0.618429  0.000242681
a_subj.22          0.70554   0.00810525     0.689934      0.70004     0.705592     0.711202     0.721473   0.00025092
a_subj.23         0.953624    0.0101705     0.932982     0.946776     0.953784      0.96025      0.97398  0.000266442
v(hc)             0.627068    0.0762076     0.477016     0.576226     0.625661     0.678053     0.778794   0.00157996
v(hv)             0.462169    0.0792847     0.308288     0.406106     0.462989     0.517327     0.615045   0.00176674
v(lc)              1.55932    0.0803416      1.40588      1.50451       1.5575      1.61191      1.72394   0.00186868
v(lv)              1.44576    0.0807958       1.2871      1.39183      1.44744      1.50099      1.60212   0.00196989
v_std             0.361843    0.0316959     0.305742     0.339649     0.360023      0.38221     0.426699  0.000935703
v_subj(hc).0      0.199869      0.11784   -0.0290176     0.119669     0.201389     0.276438     0.431458    0.0030354
v_subj(hc).1       0.84292      0.14271     0.562211     0.750657     0.840045     0.938282      1.12369   0.00335213
v_subj(hc).2      0.374628     0.100311     0.170093     0.306827     0.375775        0.441     0.571615   0.00248019
v_subj(hc).3      0.927151    0.0846854     0.762455     0.868762     0.927603     0.984667      1.09381   0.00197254
v_subj(hc).4      0.113718     0.141576    -0.157917    0.0200449     0.113878     0.209832      0.38739   0.00334551
v_subj(hc).5      0.549469     0.127267     0.295946     0.466143     0.550826     0.635989      0.79746   0.00268222
v_subj(hc).6      0.858912     0.162695     0.552524     0.748146     0.858382     0.969698      1.17774   0.00360126
v_subj(hc).7      0.926086     0.163056     0.600868     0.819633     0.926036      1.03183      1.25286   0.00319651
v_subj(hc).8       1.24918       0.1149      1.02106      1.17202       1.2487      1.32881      1.47632   0.00255211
v_subj(hc).9      0.614985     0.132204     0.353438     0.526758     0.617659     0.702205     0.875111   0.00304508
v_subj(hc).10     0.227349     0.110342    0.0117801     0.152911     0.227857     0.298131     0.444315   0.00270452
v_subj(hc).11    0.0821451     0.151026    -0.215374   -0.0174857    0.0864468     0.181332     0.374691   0.00353247
v_subj(hc).12     0.937864       0.1599     0.622849     0.830162     0.937454      1.04595      1.24829   0.00342482
