                      mean          std         2.5q         25q          50q          75q        97.5q       mc err
a                 0.750635    0.0419138     0.673511    0.722445     0.749246     0.776201     0.837277   0.00093761
a_std             0.203971    0.0349612      0.15058    0.179955      0.19899     0.222485     0.290398  0.000955794
a_subj.0          0.767246   0.00917777     0.749812    0.761274     0.767443     0.772961     0.785452   0.00031288
a_subj.1          0.627982   0.00708231     0.614334    0.622932     0.627822     0.632986      0.64198   0.00021804
a_subj.2          0.891911   0.00997365     0.871315      0.8852     0.892007     0.898514     0.911388  0.000308743
a_subj.3           1.16245    0.0113152      1.14081      1.1546      1.16236       1.1702      1.18467  0.000225505
a_subj.4          0.602313   0.00660466     0.589166    0.597882     0.602221     0.606658     0.615209   0.00018116
a_subj.5          0.716649   0.00770163     0.702246    0.711352     0.716407      0.72177     0.732285   0.00021419
a_subj.6           0.56172   0.00598192     0.549796    0.557662      0.56175     0.565649     0.573784  0.000162995
a_subj.7          0.481119   0.00571752     0.469659    0.477459     0.481156     0.484863     0.492275  0.000196412
a_subj.8          0.873706   0.00937658     0.855826    0.867243     0.873771     0.880054     0.892215  0.000198214
a_subj.9           0.65667   0.00778184     0.641543    0.651174     0.656576     0.662086     0.671942    0.0002812
a_subj.10         0.785164   0.00910024     0.767687    0.779353     0.785039     0.791085     0.803444  0.000297915
a_subj.11         0.532606   0.00598958     0.521391    0.528503     0.532624     0.536647     0.544546  0.000217619
a_subj.12         0.481957   0.00546327     0.471471    0.478276     0.481762     0.485503     0.493104  0.000201724
a_subj.13          0.89109    0.0102252     0.871219    0.884099     0.891003     0.897958     0.910287  0.000350641
a_subj.14         0.520484   0.00541607     0.510064    0.516869     0.520352     0.524093     0.531517  0.000163989
a_subj.15         0.608591   0.00702403     0.595221    0.603745      0.60842     0.613126      0.62311  0.000253865
a_subj.16         0.770411   0.00905315     0.753753     0.76439     0.770317     0.776291     0.788637  0.000292759
a_subj.17          1.18908    0.0119577      1.16547     1.18113      1.18904      1.19722      1.21265  0.000252734
a_subj.18         0.925838    0.0106665     0.905207    0.918668     0.925747     0.932579     0.947549  0.000390229
a_subj.19          0.61894   0.00694645     0.605257    0.614019     0.619088     0.623651     0.632238  0.000272571
a_subj.20         0.846972    0.0101249     0.826945    0.840037     0.846982     0.853678      0.86718  0.000370886
a_subj.21         0.604571   0.00705363     0.590542    0.599897     0.604481     0.609251     0.618496  0.000255638
a_subj.22          0.70503   0.00835686     0.689129     0.69922     0.704929     0.710566     0.722509  0.000310269
a_subj.23         0.952998   0.00994207     0.933854     0.94623     0.952801     0.959867     0.972155  0.000211279
v(hc)             0.628348    0.0808027     0.471992    0.573423     0.626036     0.683526     0.784676   0.00170283
v(hv)             0.449481    0.0808385      0.28571    0.397445     0.449987     0.499886     0.614668   0.00160525
v(lc)              1.56207    0.0821887      1.40027     1.50996      1.56153      1.61217      1.72629   0.00147379
v(lv)              1.48037    0.0809413      1.31849     1.42558      1.47909      1.53755      1.63899   0.00152718
v_std             0.373921    0.0325884     0.317694    0.351086      0.37184     0.394615     0.446706  0.000866853
