                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
a                 0.748869    0.0441371     0.669026     0.718379     0.746265     0.776136     0.843585  0.000939055
a_std             0.206591    0.0368491      0.14785     0.179933     0.201673     0.227781     0.289317  0.000883162
a_subj.0          0.762054     0.008637     0.745869     0.756075     0.761739     0.767923       0.7791  0.000303517
a_subj.1          0.623423   0.00713348     0.609047     0.618554     0.623535     0.628244     0.637461  0.000217072
a_subj.2          0.885628   0.00998805     0.865754     0.879088     0.885685     0.892438     0.905367  0.000336042
a_subj.3           1.17874    0.0121256      1.15516       1.1706      1.17869      1.18714      1.20348  0.000277244
a_subj.4          0.596041   0.00627642     0.583946     0.591537     0.596134     0.600423     0.608669  0.000157936
a_subj.5          0.712029   0.00808993     0.696627     0.706457     0.711844     0.717353     0.728466  0.000219963
a_subj.6          0.558934   0.00599041     0.547689     0.554703     0.558799     0.562943     0.570856   0.00014882
a_subj.7          0.480798   0.00547637     0.470365     0.477064     0.480622     0.484333     0.491861  0.000161699
a_subj.8          0.869968   0.00917152     0.852076     0.863515     0.869844     0.876212     0.887746  0.000174574
a_subj.9          0.654825   0.00739906     0.640892     0.649693     0.654522     0.659811      0.66965  0.000259837
a_subj.10         0.781007   0.00879535     0.764536     0.774928     0.780611     0.787019     0.798329  0.000301265
a_subj.11         0.527743    0.0059902     0.516557     0.523675     0.527538     0.531737     0.540162  0.000225669
a_subj.12         0.479354   0.00516352     0.469421     0.475895     0.479267     0.482849     0.489804   0.00016065
a_subj.13         0.887755    0.0106888     0.867144     0.880525     0.887429     0.894609      0.90918     0.000371
a_subj.14         0.518498   0.00536743     0.507825     0.514996     0.518613     0.521951     0.529158   0.00014646
a_subj.15         0.605944   0.00699138     0.592892     0.601128     0.605858     0.610618     0.620288   0.00025287
a_subj.16         0.761911   0.00880485      0.74409     0.755995     0.761767     0.767929     0.778804  0.000315091
a_subj.17          1.19156    0.0120812      1.16775      1.18337      1.19184      1.19956      1.21426  0.000264393
a_subj.18         0.919824    0.0107158     0.899337     0.912326      0.91962     0.926945     0.941561   0.00041442
a_subj.19         0.617071   0.00733033     0.602568     0.612171     0.616985     0.621638     0.632333  0.000258284
a_subj.20          0.84647   0.00969299      0.82823     0.839683      0.84629      0.85283     0.866167  0.000348432
a_subj.21         0.600799   0.00679914     0.587506     0.596223     0.600852     0.605379     0.614146  0.000242388
a_subj.22         0.702136   0.00836228     0.685815     0.696451     0.702119     0.707845     0.718627   0.00027713
a_subj.23         0.946544    0.0101317     0.926749     0.939775     0.946297     0.953243     0.966302  0.000237044
v                 0.987712    0.0543539     0.886239     0.950195     0.988102      1.02273       1.0979   0.00117792
v_std             0.255814    0.0438872     0.184136     0.223686     0.252236     0.282307     0.357323   0.00111717
v_subj.0          0.838114    0.0642037     0.712862     0.795449       0.8378     0.882257     0.963115    0.0016027
v_subj.1           1.28571    0.0842876      1.11592      1.22764      1.28657      1.34407      1.44943   0.00226978
v_subj.2          0.698941     0.062342     0.580348     0.656419     0.699448     0.741569     0.819941   0.00183675
v_subj.3          0.945218    0.0501692     0.850065     0.910494     0.946399     0.978045      1.04781   0.00153393
v_subj.4           1.08762     0.087091     0.918103      1.02877      1.08875      1.14655      1.25446   0.00221427
v_subj.5          0.956453    0.0722096     0.816975     0.907348      0.95677      1.00623      1.09534   0.00186483
v_subj.6           1.53409    0.0988684      1.33792      1.46813      1.53487      1.59889      1.72761    0.0029058
v_subj.7           1.26536    0.0999529      1.06473      1.19971      1.26669      1.32984      1.46416   0.00250611
v_subj.8           1.25838     0.072755      1.12085      1.20829      1.25637      1.30844      1.40678   0.00231355
v_subj.9          0.996764    0.0728074     0.857035     0.947455     0.995975      1.04779      1.13922   0.00206653
v_subj.10         0.611191    0.0628273        0.486     0.569576     0.611584      0.65385     0.734905   0.00179605
v_subj.11          1.17605    0.0910766      0.99678       1.1149      1.17899      1.23524      1.35296   0.00220439
v_subj.12          1.11096    0.0994422     0.922872      1.04594      1.11047       1.1741      1.31874   0.00283582
v_subj.13         0.720942    0.0589909     0.606602     0.681512     0.721951     0.760397     0.832901     0.001586
v_subj.14          1.08401    0.0956796     0.891115       1.0193      1.08519      1.14881      1.27242   0.00271168
v_subj.15          1.03207    0.0813916     0.867182     0.978618      1.03199      1.08849       1.1918   0.00195675
v_subj.16         0.749306    0.0643441     0.621936     0.707585     0.751777     0.791662     0.874461   0.00167267
v_subj.17          1.12978    0.0520792      1.02721      1.09453      1.12895      1.16517      1.23765   0.00161148
v_subj.18         0.718628    0.0558997     0.605454     0.680941     0.720204     0.757925     0.825469   0.00156297
v_subj.19         0.924305    0.0791375     0.768271     0.869558     0.924124     0.977857      1.07959   0.00218498
v_subj.20         0.855804    0.0592677     0.740811     0.814687      0.85592     0.896744     0.970736   0.00154508
v_subj.21         0.774896    0.0779311     0.614657     0.723533     0.773677     0.828269     0.928942   0.00217921
v_subj.22         0.805697    0.0714821      0.67504     0.757527     0.804438     0.853261     0.948604   0.00168507
v_subj.23           1.1952    0.0669914      1.05517      1.15204      1.19567      1.24071      1.32793   0.00210961
t                 0.209206    0.0585107     0.122081     0.166511     0.199232     0.243285     0.348229   0.00383046
t_std             0.278705    0.0946801     0.147587     0.209511     0.259193     0.329331     0.509639   0.00622601
t_subj.0          0.147815   0.00114781     0.145439     0.147074      0.14785      0.14862     0.149919  4.35038e-05
t_subj.1          0.209058  0.000592408     0.207817     0.208665     0.209074     0.209471     0.210186  1.92559e-05
t_subj.2          0.109494   0.00138153     0.106692     0.108587     0.109502     0.110439     0.112048  4.92653e-05
t_subj.3       3.98615e-06  5.52442e-06   3.7251e-09  3.86756e-07  1.83102e-06  5.32565e-06  2.00536e-05  2.39898e-07
t_subj.4          0.215139  0.000460826     0.214247     0.214822     0.215147     0.215457     0.216017  1.36178e-05
t_subj.5          0.179812  0.000811214     0.178209     0.179253      0.17983     0.180378     0.181366  2.35268e-05
t_subj.6          0.223386  0.000417014     0.222567     0.223104     0.223389     0.223662     0.224182  1.12425e-05
t_subj.7          0.238924  0.000433506     0.238048     0.238645     0.238931     0.239214     0.239786  1.34131e-05
t_subj.8           0.14654  0.000464691     0.145549     0.146236     0.146573     0.146862     0.147386   1.1032e-05
t_subj.9           0.17644   0.00081965     0.174705     0.175901     0.176496     0.176985     0.177959  2.86859e-05
