                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
a                 0.749345    0.0422561     0.670553     0.720866     0.748295     0.776627      0.83375   0.00102283
a_std              0.20607    0.0343108     0.153655     0.182503     0.201313     0.224122     0.289239  0.000982314
a_subj.0          0.765947   0.00860246     0.749678     0.759996      0.76569     0.771703     0.782799  0.000302006
a_subj.1          0.625315   0.00723986     0.611558     0.620244      0.62523     0.630297      0.63969  0.000240824
a_subj.2          0.888974    0.0103051     0.869742     0.881874     0.888688     0.895803     0.910367   0.00032476
a_subj.3           1.17711     0.011735      1.15386       1.1693      1.17696      1.18491      1.20003  0.000234008
a_subj.4          0.599298   0.00640637     0.586771     0.594772     0.599262     0.603825     0.611803  0.000183748
a_subj.5          0.715036   0.00800426     0.699738     0.709716      0.71473     0.720587     0.730953  0.000218661
a_subj.6          0.559006   0.00595432      0.54791     0.554863     0.558944     0.563054     0.570844   0.00016756
a_subj.7          0.481149   0.00535852     0.470546     0.477562     0.481221     0.484775     0.491408  0.000174964
a_subj.8          0.873358   0.00924448     0.855859     0.866935     0.873472     0.879193     0.892068  0.000200525
a_subj.9          0.656555   0.00758954     0.641816     0.651509     0.656537     0.661639     0.671526  0.000248514
a_subj.10         0.783727   0.00879277     0.767399     0.777703     0.783495     0.789539     0.801257  0.000300853
a_subj.11         0.530808   0.00600567     0.519032     0.526629     0.530916     0.535034     0.542198  0.000192799
a_subj.12          0.48143   0.00559547     0.470785     0.477611      0.48127     0.485341     0.492967  0.000192104
a_subj.13         0.890825    0.0102994     0.870459     0.883955     0.890654     0.897657     0.910896  0.000401479
a_subj.14         0.519726   0.00536776      0.50944     0.516098     0.519697     0.523305     0.530584  0.000146803
a_subj.15         0.608442   0.00703457     0.594703     0.603842     0.608297       0.6133     0.622386  0.000252342
a_subj.16         0.768543   0.00926946     0.750547     0.762334     0.768701      0.77464     0.787006   0.00031124
a_subj.17          1.21658    0.0130061      1.19059      1.20775      1.21654      1.22552      1.24261  0.000315479
a_subj.18         0.924388    0.0108704     0.903715     0.916976     0.924102     0.931549     0.946309  0.000384142
a_subj.19          0.61863   0.00720827     0.604557      0.61385     0.618553     0.623168     0.633738  0.000258511
a_subj.20         0.848344    0.0100792     0.829097     0.841747     0.847995     0.855046     0.868319  0.000337795
a_subj.21         0.604123   0.00669748     0.590829     0.599664     0.604039     0.608557     0.617217  0.000232019
a_subj.22         0.703812   0.00794983     0.688854      0.69843     0.703422     0.708928     0.720335  0.000264075
a_subj.23         0.953406    0.0102602     0.933774     0.946399     0.953223     0.960348     0.973301  0.000238775
v(hc)             0.707072    0.0820706     0.545796     0.652052     0.707325     0.762754     0.862395   0.00182466
v(hv)              0.50604    0.0824603     0.347621     0.451847     0.505131     0.560412     0.670398    0.0020122
v(lc)              1.51667    0.0834061      1.35711      1.45893      1.51829      1.57318      1.67356   0.00193282
v(lv)                1.364    0.0850433      1.20264      1.30719      1.36299      1.42111       1.5319   0.00216078
v_std              0.37511    0.0334716     0.313801     0.352488      0.37284     0.396408      0.44448  0.000950067
v_subj(hc).0      0.333189     0.122365     0.089785     0.253078     0.335022     0.416476     0.572469    0.0027996
v_subj(hc).1      0.876763     0.155892      0.56853     0.773587     0.873149     0.982568      1.18902   0.00404827
v_subj(hc).2      0.390194     0.114223     0.156591     0.312487      0.39255     0.468404     0.604342    0.0026103
v_subj(hc).3      0.738476    0.0984244     0.543123       0.6724     0.738169     0.804916     0.923747   0.00289811
v_subj(hc).4       0.22781     0.160719   -0.0873691     0.121142     0.222548     0.336931      0.54345   0.00405441
v_subj(hc).5      0.621073     0.140361     0.345027     0.523634     0.619175     0.715543     0.899974   0.00349623
v_subj(hc).6       1.08733     0.165416     0.746925     0.976889      1.09127      1.19939      1.41212   0.00414438
v_subj(hc).7       1.00906     0.172311     0.678371     0.892978      1.00574       1.1253      1.35258   0.00398223
v_subj(hc).8       1.24999     0.134598     0.983729      1.16084      1.25156      1.33651      1.50872   0.00385462
v_subj(hc).9      0.623158     0.138631     0.342033     0.533651     0.621836     0.715555     0.894603   0.00335798
v_subj(hc).10     0.356614     0.121952     0.110027     0.275985     0.358207     0.438448     0.597722   0.00289877
v_subj(hc).11     0.339439     0.167758    0.0104989     0.226398     0.344312     0.452621     0.663412   0.00364894
v_subj(hc).12      1.03147     0.172097     0.699244     0.914902      1.02708      1.14679      1.36796   0.00412555
v_subj(hc).13     0.640823     0.110927     0.421775     0.568884     0.645193     0.713463     0.856164    0.0028943
v_subj(hc).14      1.06099     0.175096     0.724746     0.940609      1.05504      1.17986      1.41253   0.00449771
v_subj(hc).15     0.648426     0.150262     0.364695     0.543928     0.650755      0.74977     0.942326   0.00381012
