                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
a                 0.747369    0.0448044     0.667543     0.716287     0.746074     0.775663     0.842913   0.00112126
a_std             0.213664    0.0383254     0.156082     0.186217     0.207299     0.235486     0.303355   0.00108604
a_subj.0          0.766551   0.00886807     0.750313     0.760146     0.766458     0.772628     0.784799  0.000308948
a_subj.1           0.60822   0.00705077     0.595008     0.603421     0.607981     0.613121     0.622311  0.000205804
a_subj.2          0.885149    0.0102564     0.864693     0.878295     0.884921     0.891943     0.905263  0.000349837
a_subj.3            1.1764    0.0116222      1.15366      1.16853      1.17651      1.18448       1.1987  0.000255613
a_subj.4          0.577773    0.0062916     0.565314     0.573738     0.577843     0.581961      0.58994  0.000165905
a_subj.5          0.701808   0.00776252     0.686921     0.696614     0.701655     0.707248     0.717115  0.000220961
a_subj.6          0.521001     0.005821     0.510012     0.516955     0.520908     0.524921     0.532648  0.000157355
a_subj.7          0.481596   0.00547134     0.471118     0.477925     0.481449     0.485236     0.492559  0.000186731
a_subj.8           0.87457   0.00927139     0.856588     0.868372     0.874387      0.88075     0.893079  0.000227094
a_subj.9          0.657804   0.00749521     0.643566     0.652786     0.657648      0.66263     0.673062   0.00025921
a_subj.10         0.784566   0.00907474     0.766623     0.778649     0.784313     0.790283     0.803363  0.000316873
a_subj.11         0.531755   0.00613819     0.520023     0.527507     0.531609      0.53604     0.544059   0.00020636
a_subj.12         0.481606    0.0054745     0.471209     0.477903     0.481452     0.485262     0.492409  0.000201293
a_subj.13          0.89104    0.0107664     0.869769     0.883703     0.891001     0.898324     0.912501  0.000422637
a_subj.14         0.492613   0.00552702     0.481599     0.488988     0.492724     0.496394      0.50313  0.000170743
a_subj.15          0.60822   0.00750377     0.593252     0.603078     0.608274      0.61334     0.622716  0.000283807
a_subj.16         0.768469    0.0089047     0.751779     0.762367     0.768535     0.774431     0.785756  0.000302428
a_subj.17          1.21655    0.0130556      1.19112      1.20799      1.21648      1.22524      1.24223  0.000323431
a_subj.18         0.925451    0.0108021       0.9043     0.918201     0.925499     0.932563     0.945783  0.000393525
a_subj.19         0.618206   0.00718243     0.604338     0.613396     0.618235     0.623081     0.632112  0.000225719
a_subj.20         0.848485   0.00985714     0.830064     0.841844      0.84844     0.855123     0.868091  0.000331582
a_subj.21         0.604237   0.00684442     0.590821     0.599491     0.604212     0.608954     0.617599  0.000257254
a_subj.22          0.70443   0.00817988     0.688472     0.699006     0.704423     0.709921     0.720449   0.00027605
a_subj.23         0.953782    0.0104936     0.933489     0.946687     0.953734     0.960979     0.974637  0.000269301
v(hc)             0.692422    0.0831605     0.532344     0.636252     0.690888      0.74749     0.857711   0.00175075
v(hv)             0.489834    0.0839625     0.328154     0.434581     0.491649     0.545138     0.659223   0.00189492
v(lc)              1.48094    0.0838095      1.31784      1.42479      1.48066      1.53412      1.64323   0.00224825
v(lv)              1.39653    0.0832029      1.24322      1.33857      1.39662       1.4523      1.56458   0.00240152
v_std             0.368053    0.0331932     0.310487     0.345252     0.366147     0.389017     0.438515   0.00101667
v_subj(hc).0       0.34468     0.127456     0.103638     0.257094     0.343352     0.431434     0.598492   0.00297362
v_subj(hc).1      0.835823     0.158295      0.51762     0.730723     0.836344      0.94581      1.14415   0.00386372
v_subj(hc).2      0.384899     0.114834     0.152344     0.308574     0.385074     0.460226     0.610261   0.00315192
v_subj(hc).3      0.732961     0.100503     0.546608     0.663514     0.731093     0.801947     0.933057   0.00279036
v_subj(hc).4      0.221934     0.158723   -0.0836865     0.113128     0.216774      0.33223     0.537659   0.00436163
v_subj(hc).5      0.609813     0.140206     0.339141      0.51546     0.604768     0.702757     0.884546   0.00354004
v_subj(hc).6        1.0122       0.1734     0.682868     0.892052      1.01368      1.12966      1.35667    0.0046446
v_subj(hc).7       1.01124      0.17783     0.666426     0.892633      1.01071      1.12858      1.36782   0.00398047
v_subj(hc).8       1.24562     0.135001     0.984322      1.15892      1.24401      1.33395      1.50525   0.00422273
v_subj(hc).9      0.633998     0.141279     0.345786      0.54055     0.634419     0.729372     0.913254    0.0038336
v_subj(hc).10     0.358482     0.119081     0.121366      0.27846     0.356621     0.439638     0.595156   0.00279347
v_subj(hc).11     0.345351     0.161865    0.0276757     0.238887      0.34964     0.458062     0.653046   0.00388895
v_subj(hc).12      1.01275     0.173693     0.664355     0.896631      1.00924      1.13157      1.35094    0.0039214
v_subj(hc).13     0.639443     0.106188     0.425892     0.569543     0.636962     0.709835     0.856263    0.0029278
v_subj(hc).14     0.902319     0.179956     0.545042     0.775726     0.900684      1.02522      1.25899   0.00434687
v_subj(hc).15     0.645063     0.143953     0.357752      0.55043     0.647097     0.744429     0.915896   0.00379697
v_subj(hc).16      0.52686     0.127579     0.273849     0.442328     0.527503     0.609056     0.779333   0.00325113
v_subj(hc).17      1.58576     0.100026      1.38272      1.51948      1.58609      1.65113      1.78362   0.00305005
