coax_id, trial_file_set_number, 'condition0', 'condition1', 'condition2', 'condition3',notes
761,0,1,2,3,0,
762,1,1,3,0,2,
763,2,2,0,1,3,
764,3,3,1,0,2,
765,4,3,2,1,0,
766,5,0,1,2,3,
767,6,1,3,2,0,
768,7,3,0,2,1,
769,8,2,3,1,0,
770,9,2,1,3,0,
771,10,2,1,0,3,
772,11,0,3,2,1,
773,12,3,0,1,2,
774,13,2,3,0,1,
775,14,1,2,0,3,
776,15,0,3,1,2,
777,16,0,1,3,2,
778,17,2,0,3,1,
779,18,1,0,3,2,
780,19,3,1,2,0,
781,20,0,2,3,1,
782,21,3,2,0,1,
783,22,0,2,1,3,
784,23,1,0,2,3,fire alarm went off during first session. Resumed afterward. 
