r_t1, r_t2, c_prob, c_prob_epoch_t0, c_prob_epoch_t1, cp, obs_cp, mu_rewards, std_rewards
0.000000,3.306912,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,1.612776,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
3.184174,0.000000,0.666667,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
0.000000,3.666336,0.750000,0.250000,0.750000,0.000000,1.000000,3.000000,1.000000
0.000000,1.686733,0.800000,0.200000,0.800000,0.000000,0.000000,3.000000,1.000000
0.000000,3.057309,0.833333,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
2.815808,0.000000,0.714286,0.285714,0.714286,0.000000,1.000000,3.000000,1.000000
3.634478,0.000000,0.625000,0.375000,0.625000,0.000000,0.000000,3.000000,1.000000
0.000000,2.113699,0.666667,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
0.000000,1.335848,0.700000,0.300000,0.700000,0.000000,0.000000,3.000000,1.000000
3.011084,0.000000,0.636364,0.363636,0.636364,0.000000,1.000000,3.000000,1.000000
3.480049,0.000000,0.583333,0.416667,0.583333,0.000000,0.000000,3.000000,1.000000
0.000000,3.442109,0.615385,0.384615,0.615385,0.000000,1.000000,3.000000,1.000000
3.885078,0.000000,0.571429,0.428571,0.571429,0.000000,1.000000,3.000000,1.000000
0.000000,1.444384,0.600000,0.400000,0.600000,0.000000,1.000000,3.000000,1.000000
0.000000,4.700826,0.625000,0.375000,0.625000,0.000000,0.000000,3.000000,1.000000
0.000000,1.401708,0.647059,0.352941,0.647059,0.000000,0.000000,3.000000,1.000000
0.000000,3.807168,0.666667,0.333333,0.666667,0.000000,0.000000,3.000000,1.000000
0.000000,3.023226,0.631579,0.000000,1.000000,1.000000,0.000000,3.000000,1.000000
0.000000,2.140121,0.600000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
3.935514,0.000000,0.619048,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
2.636784,0.000000,0.636364,0.500000,0.500000,0.000000,0.000000,3.000000,1.000000
1.856198,0.000000,0.652174,0.600000,0.400000,0.000000,0.000000,3.000000,1.000000
2.715513,0.000000,0.666667,0.666667,0.333333,0.000000,0.000000,3.000000,1.000000
3.310500,0.000000,0.680000,0.714286,0.285714,0.000000,0.000000,3.000000,1.000000
0.000000,1.331555,0.653846,0.625000,0.375000,0.000000,1.000000,3.000000,1.000000
4.212101,0.000000,0.666667,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
2.165250,0.000000,0.678571,0.700000,0.300000,0.000000,0.000000,3.000000,1.000000
2.489625,0.000000,0.689655,0.727273,0.272727,0.000000,0.000000,3.000000,1.000000
0.000000,4.144950,0.666667,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
2.601474,0.000000,0.677419,0.692308,0.307692,0.000000,1.000000,3.000000,1.000000
4.601634,0.000000,0.687500,0.714286,0.285714,0.000000,0.000000,3.000000,1.000000
3.480515,0.000000,0.696970,0.733333,0.266667,0.000000,0.000000,3.000000,1.000000
1.624887,0.000000,0.705882,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
3.471798,0.000000,0.714286,0.764706,0.235294,0.000000,0.000000,3.000000,1.000000
1.775502,0.000000,0.722222,0.777778,0.222222,0.000000,0.000000,3.000000,1.000000
3.231989,0.000000,0.729730,0.789474,0.210526,0.000000,0.000000,3.000000,1.000000
0.000000,0.953981,0.736842,0.000000,1.000000,1.000000,1.000000,3.000000,1.000000
0.000000,4.005989,0.743590,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.823169,0.750000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
3.154830,0.000000,0.731707,0.250000,0.750000,0.000000,1.000000,3.000000,1.000000
2.039641,0.000000,0.714286,0.400000,0.600000,0.000000,0.000000,3.000000,1.000000
3.228758,0.000000,0.697674,0.500000,0.500000,0.000000,0.000000,3.000000,1.000000
3.152198,0.000000,0.681818,0.571429,0.428571,0.000000,0.000000,3.000000,1.000000
0.000000,3.370499,0.688889,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
3.441236,0.000000,0.673913,0.555556,0.444444,0.000000,1.000000,3.000000,1.000000
4.566463,0.000000,0.659574,0.600000,0.400000,0.000000,0.000000,3.000000,1.000000
3.952091,0.000000,0.645833,0.636364,0.363636,0.000000,0.000000,3.000000,1.000000
3.041587,0.000000,0.632653,0.666667,0.333333,0.000000,0.000000,3.000000,1.000000
5.550890,0.000000,0.620000,0.692308,0.307692,0.000000,0.000000,3.000000,1.000000
0.000000,2.247044,0.627451,0.642857,0.357143,0.000000,1.000000,3.000000,1.000000
3.719519,0.000000,0.615385,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
3.820187,0.000000,0.603774,0.687500,0.312500,0.000000,0.000000,3.000000,1.000000
0.000000,3.260266,0.611111,0.647059,0.352941,0.000000,1.000000,3.000000,1.000000
