r_t1, r_t2, c_prob, c_prob_epoch_t0, c_prob_epoch_t1, cp, obs_cp, mu_rewards, std_rewards
0.000000,3.014787,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.475308,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,2.030695,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,4.040061,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.884392,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
4.135928,0.000000,0.833333,0.166667,0.833333,0.000000,1.000000,3.000000,1.000000
2.872512,0.000000,0.714286,0.285714,0.714286,0.000000,0.000000,3.000000,1.000000
0.000000,2.217858,0.750000,0.250000,0.750000,0.000000,1.000000,3.000000,1.000000
0.000000,2.447382,0.777778,0.222222,0.777778,0.000000,0.000000,3.000000,1.000000
0.000000,4.479905,0.800000,0.200000,0.800000,0.000000,0.000000,3.000000,1.000000
0.000000,3.200378,0.818182,0.181818,0.818182,0.000000,0.000000,3.000000,1.000000
2.884868,0.000000,0.833333,1.000000,0.000000,1.000000,1.000000,3.000000,1.000000
0.000000,2.719207,0.769231,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
2.424641,0.000000,0.785714,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
1.781172,0.000000,0.800000,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
2.955002,0.000000,0.812500,0.800000,0.200000,0.000000,0.000000,3.000000,1.000000
0.000000,2.130324,0.764706,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
2.235738,0.000000,0.777778,0.714286,0.285714,0.000000,1.000000,3.000000,1.000000
0.000000,1.245522,0.736842,0.625000,0.375000,0.000000,1.000000,3.000000,1.000000
0.000000,2.519771,0.700000,0.555556,0.444444,0.000000,0.000000,3.000000,1.000000
3.742472,0.000000,0.714286,0.600000,0.400000,0.000000,1.000000,3.000000,1.000000
3.026760,0.000000,0.727273,0.636364,0.363636,0.000000,0.000000,3.000000,1.000000
0.000000,2.422962,0.739130,0.000000,1.000000,1.000000,1.000000,3.000000,1.000000
1.546411,0.000000,0.708333,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
0.000000,3.942287,0.720000,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
0.000000,2.458454,0.730769,0.250000,0.750000,0.000000,0.000000,3.000000,1.000000
0.000000,3.303885,0.740741,0.200000,0.800000,0.000000,0.000000,3.000000,1.000000
0.000000,1.936064,0.750000,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
3.248752,0.000000,0.724138,0.285714,0.714286,0.000000,1.000000,3.000000,1.000000
0.000000,1.285595,0.733333,0.250000,0.750000,0.000000,1.000000,3.000000,1.000000
0.000000,4.573351,0.741935,0.222222,0.777778,0.000000,0.000000,3.000000,1.000000
3.828080,0.000000,0.718750,0.300000,0.700000,0.000000,1.000000,3.000000,1.000000
0.000000,3.249774,0.727273,0.272727,0.727273,0.000000,1.000000,3.000000,1.000000
0.000000,3.911938,0.735294,0.250000,0.750000,0.000000,0.000000,3.000000,1.000000
0.000000,3.661857,0.742857,0.230769,0.769231,0.000000,0.000000,3.000000,1.000000
2.684943,0.000000,0.750000,1.000000,0.000000,1.000000,1.000000,3.000000,1.000000
0.000000,2.939777,0.729730,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
2.865375,0.000000,0.736842,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
1.978535,0.000000,0.743590,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
1.415822,0.000000,0.750000,0.800000,0.200000,0.000000,0.000000,3.000000,1.000000
2.174887,0.000000,0.756098,0.833333,0.166667,0.000000,0.000000,3.000000,1.000000
2.366516,0.000000,0.761905,0.857143,0.142857,0.000000,0.000000,3.000000,1.000000
2.188794,0.000000,0.767442,0.875000,0.125000,0.000000,0.000000,3.000000,1.000000
3.512581,0.000000,0.772727,0.888889,0.111111,0.000000,0.000000,3.000000,1.000000
2.619021,0.000000,0.777778,0.900000,0.100000,0.000000,0.000000,3.000000,1.000000
0.000000,3.842594,0.760870,0.818182,0.181818,0.000000,1.000000,3.000000,1.000000
3.059266,0.000000,0.765957,0.833333,0.166667,0.000000,1.000000,3.000000,1.000000
0.000000,0.884701,0.750000,0.769231,0.230769,0.000000,1.000000,3.000000,1.000000
4.418306,0.000000,0.755102,0.785714,0.214286,0.000000,1.000000,3.000000,1.000000
0.000000,2.138083,0.740000,0.733333,0.266667,0.000000,1.000000,3.000000,1.000000
3.289978,0.000000,0.745098,0.750000,0.250000,0.000000,1.000000,3.000000,1.000000
2.926387,0.000000,0.750000,0.764706,0.235294,0.000000,0.000000,3.000000,1.000000
2.543727,0.000000,0.754717,0.777778,0.222222,0.000000,0.000000,3.000000,1.000000
0.000000,1.923638,0.759259,0.000000,1.000000,1.000000,1.000000,3.000000,1.000000
3.033085,0.000000,0.745455,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
0.000000,4.150489,0.750000,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
0.000000,2.325539,0.754386,0.250000,0.750000,0.000000,0.000000,3.000000,1.000000
0.000000,3.041962,0.758621,0.200000,0.800000,0.000000,0.000000,3.000000,1.000000
0.000000,3.465357,0.762712,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
3.419431,0.000000,0.750000,0.285714,0.714286,0.000000,1.000000,3.000000,1.000000
0.000000,2.149446,0.754098,0.250000,0.750000,0.000000,1.000000,3.000000,1.000000
0.000000,2.759699,0.758065,0.222222,0.777778,0.000000,0.000000,3.000000,1.000000
0.000000,0.795828,0.761905,0.200000,0.800000,0.000000,0.000000,3.000000,1.000000
0.000000,4.403534,0.765625,0.181818,0.818182,0.000000,0.000000,3.000000,1.000000
0.000000,3.646564,0.769231,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
0.000000,2.898730,0.772727,0.153846,0.846154,0.000000,0.000000,3.000000,1.000000
2.183402,0.000000,0.776119,1.000000,0.000000,1.000000,1.000000,3.000000,1.000000
4.359253,0.000000,0.779412,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.473578,0.768116,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
0.000000,3.475148,0.757143,0.500000,0.500000,0.000000,0.000000,3.000000,1.000000
0.000000,3.550768,0.746479,0.400000,0.600000,0.000000,0.000000,3.000000,1.000000
2.296220,0.000000,0.750000,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
1.852220,0.000000,0.753425,0.571429,0.428571,0.000000,0.000000,3.000000,1.000000
5.452275,0.000000,0.756757,0.625000,0.375000,0.000000,0.000000,3.000000,1.000000
4.328066,0.000000,0.760000,0.666667,0.333333,0.000000,0.000000,3.000000,1.000000
3.288514,0.000000,0.763158,0.700000,0.300000,0.000000,0.000000,3.000000,1.000000
3.349243,0.000000,0.766234,0.727273,0.272727,0.000000,0.000000,3.000000,1.000000
2.003929,0.000000,0.769231,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
3.863535,0.000000,0.772152,0.769231,0.230769,0.000000,0.000000,3.000000,1.000000
2.109753,0.000000,0.775000,0.785714,0.214286,0.000000,0.000000,3.000000,1.000000
3.135172,0.000000,0.777778,0.800000,0.200000,0.000000,0.000000,3.000000,1.000000
0.000000,3.333200,0.768293,0.750000,0.250000,0.000000,1.000000,3.000000,1.000000
4.034579,0.000000,0.771084,0.764706,0.235294,0.000000,1.000000,3.000000,1.000000
0.000000,3.397331,0.773810,0.000000,1.000000,1.000000,1.000000,3.000000,1.000000
2.289498,0.000000,0.764706,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
0.000000,2.565862,0.767442,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
0.000000,3.037568,0.770115,0.250000,0.750000,0.000000,0.000000,3.000000,1.000000
0.000000,1.646996,0.772727,0.200000,0.800000,0.000000,0.000000,3.000000,1.000000
0.000000,2.605590,0.775281,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
0.000000,2.854384,0.777778,0.142857,0.857143,0.000000,0.000000,3.000000,1.000000
0.000000,4.275112,0.780220,0.125000,0.875000,0.000000,0.000000,3.000000,1.000000
1.767312,0.000000,0.771739,0.222222,0.777778,0.000000,1.000000,3.000000,1.000000
3.016048,0.000000,0.763441,0.300000,0.700000,0.000000,0.000000,3.000000,1.000000
2.542001,0.000000,0.755319,0.363636,0.636364,0.000000,0.000000,3.000000,1.000000
0.000000,2.693942,0.757895,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
0.000000,1.832960,0.760417,0.307692,0.692308,0.000000,0.000000,3.000000,1.000000
4.095311,0.000000,0.762887,1.000000,0.000000,1.000000,1.000000,3.000000,1.000000
0.000000,4.258169,0.755102,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
2.656713,0.000000,0.757576,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
3.671884,0.000000,0.760000,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
4.163109,0.000000,0.762376,0.800000,0.200000,0.000000,0.000000,3.000000,1.000000
0.538006,0.000000,0.764706,0.833333,0.166667,0.000000,0.000000,3.000000,1.000000
3.410231,0.000000,0.766990,0.857143,0.142857,0.000000,0.000000,3.000000,1.000000
2.787221,0.000000,0.769231,0.875000,0.125000,0.000000,0.000000,3.000000,1.000000
4.052788,0.000000,0.771429,0.888889,0.111111,0.000000,0.000000,3.000000,1.000000
0.000000,1.477175,0.764151,0.800000,0.200000,0.000000,1.000000,3.000000,1.000000
4.020154,0.000000,0.766355,0.818182,0.181818,0.000000,1.000000,3.000000,1.000000
0.000000,4.119227,0.759259,0.750000,0.250000,0.000000,1.000000,3.000000,1.000000
3.207751,0.000000,0.761468,0.769231,0.230769,0.000000,1.000000,3.000000,1.000000
3.056314,0.000000,0.763636,0.785714,0.214286,0.000000,0.000000,3.000000,1.000000
2.391253,0.000000,0.765766,0.800000,0.200000,0.000000,0.000000,3.000000,1.000000
1.251783,0.000000,0.767857,0.812500,0.187500,0.000000,0.000000,3.000000,1.000000
2.809775,0.000000,0.769912,0.823529,0.176471,0.000000,0.000000,3.000000,1.000000
1.605295,0.000000,0.771930,0.833333,0.166667,0.000000,0.000000,3.000000,1.000000
2.643830,0.000000,0.773913,0.842105,0.157895,0.000000,0.000000,3.000000,1.000000
2.952527,0.000000,0.775862,0.850000,0.150000,0.000000,0.000000,3.000000,1.000000
2.508450,0.000000,0.777778,0.857143,0.142857,0.000000,0.000000,3.000000,1.000000
0.000000,3.765924,0.779661,0.000000,1.000000,1.000000,1.000000,3.000000,1.000000
1.522524,0.000000,0.773109,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
3.303951,0.000000,0.766667,0.666667,0.333333,0.000000,0.000000,3.000000,1.000000
1.473895,0.000000,0.760331,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
0.000000,0.795920,0.762295,0.600000,0.400000,0.000000,1.000000,3.000000,1.000000
0.000000,3.843739,0.764228,0.500000,0.500000,0.000000,0.000000,3.000000,1.000000
0.000000,2.833944,0.766129,0.428571,0.571429,0.000000,0.000000,3.000000,1.000000
0.000000,3.647376,0.768000,0.375000,0.625000,0.000000,0.000000,3.000000,1.000000
0.000000,2.686179,0.769841,0.333333,0.666667,0.000000,0.000000,3.000000,1.000000
0.000000,2.789992,0.771654,0.300000,0.700000,0.000000,0.000000,3.000000,1.000000
0.000000,3.117985,0.773438,0.272727,0.727273,0.000000,0.000000,3.000000,1.000000
0.000000,3.165706,0.775194,0.250000,0.750000,0.000000,0.000000,3.000000,1.000000
0.000000,4.202781,0.776923,0.230769,0.769231,0.000000,0.000000,3.000000,1.000000
3.449428,0.000000,0.778626,1.000000,0.000000,1.000000,1.000000,3.000000,1.000000
3.447704,0.000000,0.780303,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
4.533072,0.000000,0.781955,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.253423,0.776119,0.750000,0.250000,0.000000,1.000000,3.000000,1.000000
1.715562,0.000000,0.777778,0.800000,0.200000,0.000000,1.000000,3.000000,1.000000
4.553646,0.000000,0.779412,0.833333,0.166667,0.000000,0.000000,3.000000,1.000000
2.044831,0.000000,0.781022,0.857143,0.142857,0.000000,0.000000,3.000000,1.000000
0.000000,2.503954,0.775362,0.750000,0.250000,0.000000,1.000000,3.000000,1.000000
3.568584,0.000000,0.776978,0.777778,0.222222,0.000000,1.000000,3.000000,1.000000
3.326168,0.000000,0.778571,0.800000,0.200000,0.000000,0.000000,3.000000,1.000000
0.000000,4.117755,0.780142,0.000000,1.000000,1.000000,1.000000,3.000000,1.000000
0.000000,4.569557,0.781690,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,2.138962,0.783217,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,2.025033,0.784722,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,2.002202,0.786207,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,4.054253,0.787671,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
3.938079,0.000000,0.782313,0.142857,0.857143,0.000000,1.000000,3.000000,1.000000
0.000000,1.730352,0.783784,0.125000,0.875000,0.000000,1.000000,3.000000,1.000000
0.000000,2.595205,0.785235,0.111111,0.888889,0.000000,0.000000,3.000000,1.000000
0.000000,2.556273,0.786667,0.100000,0.900000,0.000000,0.000000,3.000000,1.000000
0.000000,1.351403,0.788079,0.090909,0.909091,0.000000,0.000000,3.000000,1.000000
0.000000,2.725176,0.789474,0.083333,0.916667,0.000000,0.000000,3.000000,1.000000
0.000000,2.663547,0.790850,0.076923,0.923077,0.000000,0.000000,3.000000,1.000000
0.000000,3.322930,0.792208,0.071429,0.928571,0.000000,0.000000,3.000000,1.000000
1.462323,0.000000,0.787097,0.133333,0.866667,0.000000,1.000000,3.000000,1.000000
1.643498,0.000000,0.782051,0.187500,0.812500,0.000000,0.000000,3.000000,1.000000
4.481033,0.000000,0.783439,1.000000,0.000000,1.000000,0.000000,3.000000,1.000000
0.000000,2.305564,0.778481,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
3.961072,0.000000,0.779874,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
3.738980,0.000000,0.781250,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
3.340024,0.000000,0.782609,0.800000,0.200000,0.000000,0.000000,3.000000,1.000000
2.121493,0.000000,0.783951,0.833333,0.166667,0.000000,0.000000,3.000000,1.000000
3.759491,0.000000,0.785276,0.857143,0.142857,0.000000,0.000000,3.000000,1.000000
0.000000,1.809522,0.780488,0.750000,0.250000,0.000000,1.000000,3.000000,1.000000
0.000000,3.084213,0.775758,0.666667,0.333333,0.000000,0.000000,3.000000,1.000000
3.185479,0.000000,0.777108,0.700000,0.300000,0.000000,1.000000,3.000000,1.000000
4.328436,0.000000,0.778443,0.727273,0.272727,0.000000,0.000000,3.000000,1.000000
2.609189,0.000000,0.779762,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
3.763625,0.000000,0.781065,0.769231,0.230769,0.000000,0.000000,3.000000,1.000000
3.562733,0.000000,0.782353,0.785714,0.214286,0.000000,0.000000,3.000000,1.000000
3.754623,0.000000,0.783626,0.800000,0.200000,0.000000,0.000000,3.000000,1.000000
0.000000,1.937655,0.779070,0.750000,0.250000,0.000000,1.000000,3.000000,1.000000
0.000000,4.505144,0.780347,0.000000,1.000000,1.000000,0.000000,3.000000,1.000000
0.000000,3.138333,0.781609,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,4.189559,0.782857,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
2.789516,0.000000,0.778409,0.250000,0.750000,0.000000,1.000000,3.000000,1.000000
0.000000,5.445040,0.779661,0.200000,0.800000,0.000000,1.000000,3.000000,1.000000
