r_t1, r_t2, c_prob, c_prob_epoch_t0, c_prob_epoch_t1,cp, obs_cp, mu_rewards, std_rewards
0.000000,0.894473,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,4.237053,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
3.914936,0.000000,0.666667,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
0.000000,2.957066,0.750000,0.250000,0.750000,0.000000,1.000000,3.000000,1.000000
0.000000,2.390352,0.800000,0.200000,0.800000,0.000000,0.000000,3.000000,1.000000
0.000000,3.237580,0.833333,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
0.000000,2.394399,0.857143,0.142857,0.857143,0.000000,0.000000,3.000000,1.000000
0.000000,3.410052,0.875000,0.125000,0.875000,0.000000,0.000000,3.000000,1.000000
0.000000,2.558641,0.888889,0.111111,0.888889,0.000000,0.000000,3.000000,1.000000
0.000000,3.876975,0.900000,0.100000,0.900000,0.000000,0.000000,3.000000,1.000000
0.000000,1.007261,0.909091,0.090909,0.909091,0.000000,0.000000,3.000000,1.000000
3.106503,0.000000,0.833333,0.166667,0.833333,0.000000,1.000000,3.000000,1.000000
0.000000,4.005317,0.846154,0.153846,0.846154,0.000000,1.000000,3.000000,1.000000
0.000000,2.336718,0.857143,0.142857,0.857143,0.000000,0.000000,3.000000,1.000000
0.000000,3.518210,0.866667,0.133333,0.866667,0.000000,0.000000,3.000000,1.000000
2.702515,0.000000,0.812500,0.187500,0.812500,0.000000,1.000000,3.000000,1.000000
0.000000,2.084904,0.823529,0.176471,0.823529,0.000000,1.000000,3.000000,1.000000
0.000000,2.847405,0.833333,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
0.000000,2.483495,0.842105,0.157895,0.842105,0.000000,0.000000,3.000000,1.000000
0.000000,4.218883,0.850000,0.150000,0.850000,0.000000,0.000000,3.000000,1.000000
0.000000,3.510711,0.857143,0.142857,0.857143,0.000000,0.000000,3.000000,1.000000
4.601971,0.000000,0.818182,0.181818,0.818182,0.000000,1.000000,3.000000,1.000000
0.000000,0.906010,0.826087,0.173913,0.826087,0.000000,1.000000,3.000000,1.000000
0.000000,2.979893,0.833333,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
0.000000,3.719969,0.840000,0.160000,0.840000,0.000000,0.000000,3.000000,1.000000
3.300159,0.000000,0.807692,0.192308,0.807692,0.000000,1.000000,3.000000,1.000000
0.000000,1.993795,0.814815,0.185185,0.814815,0.000000,1.000000,3.000000,1.000000
0.000000,3.893546,0.821429,0.178571,0.821429,0.000000,0.000000,3.000000,1.000000
2.831610,0.000000,0.793103,0.206897,0.793103,0.000000,1.000000,3.000000,1.000000
0.000000,1.867237,0.800000,0.200000,0.800000,0.000000,1.000000,3.000000,1.000000
0.000000,3.487983,0.774194,0.000000,1.000000,1.000000,0.000000,3.000000,1.000000
3.665444,0.000000,0.781250,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
2.511683,0.000000,0.787879,0.666667,0.333333,0.000000,0.000000,3.000000,1.000000
4.247052,0.000000,0.794118,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
3.977100,0.000000,0.800000,0.800000,0.200000,0.000000,0.000000,3.000000,1.000000
4.856455,0.000000,0.805556,0.833333,0.166667,0.000000,0.000000,3.000000,1.000000
