r_t1, r_t2, c_prob, c_prob_epoch_t0, c_prob_epoch_t1, cp, obs_cp,mu_rewards, std_rewards
0.000000,3.179774,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,1.599714,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
2.064230,0.000000,0.666667,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
0.000000,2.458413,0.750000,0.250000,0.750000,0.000000,1.000000,3.000000,1.000000
3.471470,0.000000,0.600000,0.400000,0.600000,0.000000,1.000000,3.000000,1.000000
0.000000,2.749272,0.666667,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
2.965166,0.000000,0.571429,0.428571,0.571429,0.000000,1.000000,3.000000,1.000000
0.000000,2.729926,0.625000,0.375000,0.625000,0.000000,1.000000,3.000000,1.000000
0.000000,2.937226,0.666667,0.333333,0.666667,0.000000,0.000000,3.000000,1.000000
3.187914,0.000000,0.600000,0.400000,0.600000,0.000000,1.000000,3.000000,1.000000
2.883202,0.000000,0.545455,0.454545,0.545455,0.000000,0.000000,3.000000,1.000000
0.000000,3.830850,0.583333,0.416667,0.583333,0.000000,1.000000,3.000000,1.000000
0.000000,3.614676,0.615385,0.384615,0.615385,0.000000,0.000000,3.000000,1.000000
0.000000,2.196803,0.642857,0.357143,0.642857,0.000000,0.000000,3.000000,1.000000
0.000000,3.738719,0.666667,0.333333,0.666667,0.000000,0.000000,3.000000,1.000000
0.000000,1.512615,0.687500,0.312500,0.687500,0.000000,0.000000,3.000000,1.000000
0.000000,2.362552,0.705882,0.294118,0.705882,0.000000,0.000000,3.000000,1.000000
0.000000,2.535682,0.722222,0.277778,0.722222,0.000000,0.000000,3.000000,1.000000
0.000000,4.236332,0.736842,0.263158,0.736842,0.000000,0.000000,3.000000,1.000000
4.088214,0.000000,0.700000,0.300000,0.700000,0.000000,1.000000,3.000000,1.000000
3.275511,0.000000,0.666667,0.333333,0.666667,0.000000,0.000000,3.000000,1.000000
0.000000,1.969948,0.681818,0.318182,0.681818,0.000000,1.000000,3.000000,1.000000
0.000000,2.315308,0.695652,0.304348,0.695652,0.000000,0.000000,3.000000,1.000000
0.000000,1.442665,0.708333,0.291667,0.708333,0.000000,0.000000,3.000000,1.000000
0.000000,3.455259,0.720000,0.280000,0.720000,0.000000,0.000000,3.000000,1.000000
3.539324,0.000000,0.692308,0.307692,0.692308,0.000000,1.000000,3.000000,1.000000
0.000000,3.476105,0.703704,0.296296,0.703704,0.000000,1.000000,3.000000,1.000000
0.000000,3.718994,0.714286,0.285714,0.714286,0.000000,0.000000,3.000000,1.000000
2.310881,0.000000,0.689655,0.310345,0.689655,0.000000,1.000000,3.000000,1.000000
0.000000,3.104040,0.700000,0.300000,0.700000,0.000000,1.000000,3.000000,1.000000
3.814655,0.000000,0.677419,0.322581,0.677419,0.000000,1.000000,3.000000,1.000000
0.000000,3.519952,0.687500,0.312500,0.687500,0.000000,1.000000,3.000000,1.000000
0.000000,2.453871,0.696970,0.303030,0.696970,0.000000,0.000000,3.000000,1.000000
0.000000,2.681803,0.705882,0.294118,0.705882,0.000000,0.000000,3.000000,1.000000
0.000000,1.447746,0.714286,0.285714,0.714286,0.000000,0.000000,3.000000,1.000000
0.000000,3.189676,0.722222,0.277778,0.722222,0.000000,0.000000,3.000000,1.000000
1.616135,0.000000,0.702703,0.297297,0.702703,0.000000,1.000000,3.000000,1.000000
1.660825,0.000000,0.684211,0.315789,0.684211,0.000000,0.000000,3.000000,1.000000
0.000000,2.307157,0.692308,0.307692,0.692308,0.000000,1.000000,3.000000,1.000000
0.000000,3.735557,0.700000,0.300000,0.700000,0.000000,0.000000,3.000000,1.000000
0.000000,2.220002,0.707317,0.292683,0.707317,0.000000,0.000000,3.000000,1.000000
0.000000,3.322605,0.714286,0.285714,0.714286,0.000000,0.000000,3.000000,1.000000
0.000000,3.746313,0.720930,0.279070,0.720930,0.000000,0.000000,3.000000,1.000000
0.000000,1.343922,0.727273,0.272727,0.727273,0.000000,0.000000,3.000000,1.000000
4.459041,0.000000,0.733333,1.000000,0.000000,1.000000,1.000000,3.000000,1.000000
0.000000,5.003441,0.717391,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
5.173698,0.000000,0.723404,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
2.788061,0.000000,0.729167,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
3.120152,0.000000,0.734694,0.800000,0.200000,0.000000,0.000000,3.000000,1.000000
3.582571,0.000000,0.740000,0.833333,0.166667,0.000000,0.000000,3.000000,1.000000
4.305516,0.000000,0.745098,0.857143,0.142857,0.000000,0.000000,3.000000,1.000000
2.208913,0.000000,0.750000,0.875000,0.125000,0.000000,0.000000,3.000000,1.000000
4.022836,0.000000,0.754717,0.888889,0.111111,0.000000,0.000000,3.000000,1.000000
2.522863,0.000000,0.759259,0.900000,0.100000,0.000000,0.000000,3.000000,1.000000
3.208446,0.000000,0.763636,0.909091,0.090909,0.000000,0.000000,3.000000,1.000000
1.914401,0.000000,0.767857,0.916667,0.083333,0.000000,0.000000,3.000000,1.000000
6.098858,0.000000,0.771930,0.923077,0.076923,0.000000,0.000000,3.000000,1.000000
3.551002,0.000000,0.775862,0.928571,0.071429,0.000000,0.000000,3.000000,1.000000
2.141631,0.000000,0.779661,0.933333,0.066667,0.000000,0.000000,3.000000,1.000000
0.000000,3.686007,0.766667,0.875000,0.125000,0.000000,1.000000,3.000000,1.000000
0.000000,2.965930,0.754098,0.823529,0.176471,0.000000,0.000000,3.000000,1.000000
2.425945,0.000000,0.758065,0.833333,0.166667,0.000000,1.000000,3.000000,1.000000
0.000000,3.487914,0.746032,0.789474,0.210526,0.000000,1.000000,3.000000,1.000000
3.690209,0.000000,0.750000,0.800000,0.200000,0.000000,1.000000,3.000000,1.000000
2.225496,0.000000,0.753846,0.809524,0.190476,0.000000,0.000000,3.000000,1.000000
2.639333,0.000000,0.757576,0.818182,0.181818,0.000000,0.000000,3.000000,1.000000
0.852656,0.000000,0.761194,0.826087,0.173913,0.000000,0.000000,3.000000,1.000000
2.360511,0.000000,0.764706,0.833333,0.166667,0.000000,0.000000,3.000000,1.000000
3.841637,0.000000,0.768116,0.840000,0.160000,0.000000,0.000000,3.000000,1.000000
4.472187,0.000000,0.771429,0.846154,0.153846,0.000000,0.000000,3.000000,1.000000
4.702446,0.000000,0.774648,0.851852,0.148148,0.000000,0.000000,3.000000,1.000000
3.471714,0.000000,0.777778,0.857143,0.142857,0.000000,0.000000,3.000000,1.000000
3.610258,0.000000,0.780822,0.862069,0.137931,0.000000,0.000000,3.000000,1.000000
2.917767,0.000000,0.783784,0.866667,0.133333,0.000000,0.000000,3.000000,1.000000
0.000000,2.912322,0.773333,0.838710,0.161290,0.000000,1.000000,3.000000,1.000000
1.203697,0.000000,0.776316,0.843750,0.156250,0.000000,1.000000,3.000000,1.000000
1.112698,0.000000,0.779221,0.848485,0.151515,0.000000,0.000000,3.000000,1.000000
4.841557,0.000000,0.782051,0.852941,0.147059,0.000000,0.000000,3.000000,1.000000
0.000000,1.247280,0.772152,0.828571,0.171429,0.000000,1.000000,3.000000,1.000000
0.000000,4.501072,0.775000,0.000000,1.000000,1.000000,0.000000,3.000000,1.000000
0.000000,3.512096,0.777778,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,4.092672,0.780488,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
4.565285,0.000000,0.771084,0.250000,0.750000,0.000000,1.000000,3.000000,1.000000
0.000000,4.623951,0.773810,0.200000,0.800000,0.000000,1.000000,3.000000,1.000000
0.000000,2.291857,0.776471,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
0.000000,4.217185,0.779070,0.142857,0.857143,0.000000,0.000000,3.000000,1.000000
3.998607,0.000000,0.770115,0.250000,0.750000,0.000000,1.000000,3.000000,1.000000
1.535853,0.000000,0.761364,0.333333,0.666667,0.000000,0.000000,3.000000,1.000000
0.000000,1.907153,0.764045,0.300000,0.700000,0.000000,1.000000,3.000000,1.000000
0.000000,4.693550,0.766667,0.272727,0.727273,0.000000,0.000000,3.000000,1.000000
0.000000,2.660267,0.769231,0.250000,0.750000,0.000000,0.000000,3.000000,1.000000
0.000000,3.357931,0.771739,0.230769,0.769231,0.000000,0.000000,3.000000,1.000000
0.000000,3.483089,0.774194,0.214286,0.785714,0.000000,0.000000,3.000000,1.000000
0.000000,2.261061,0.776596,0.200000,0.800000,0.000000,0.000000,3.000000,1.000000
0.000000,2.707635,0.778947,0.187500,0.812500,0.000000,0.000000,3.000000,1.000000
0.000000,5.240471,0.781250,0.176471,0.823529,0.000000,0.000000,3.000000,1.000000
0.000000,3.882595,0.783505,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
4.772826,0.000000,0.775510,0.210526,0.789474,0.000000,1.000000,3.000000,1.000000
3.546907,0.000000,0.767677,0.250000,0.750000,0.000000,0.000000,3.000000,1.000000
0.000000,2.200507,0.770000,0.238095,0.761905,0.000000,1.000000,3.000000,1.000000
0.000000,1.822440,0.772277,0.227273,0.772727,0.000000,0.000000,3.000000,1.000000
0.000000,3.680019,0.774510,0.217391,0.782609,0.000000,0.000000,3.000000,1.000000
0.000000,0.493434,0.776699,0.208333,0.791667,0.000000,0.000000,3.000000,1.000000
0.763891,0.000000,0.769231,0.240000,0.760000,0.000000,1.000000,3.000000,1.000000
2.186085,0.000000,0.761905,0.269231,0.730769,0.000000,0.000000,3.000000,1.000000
2.185183,0.000000,0.754717,0.296296,0.703704,0.000000,0.000000,3.000000,1.000000
1.594061,0.000000,0.747664,0.321429,0.678571,0.000000,0.000000,3.000000,1.000000
0.000000,4.354144,0.750000,0.310345,0.689655,0.000000,1.000000,3.000000,1.000000
0.000000,3.110448,0.752294,0.300000,0.700000,0.000000,0.000000,3.000000,1.000000
2.766142,0.000000,0.745455,0.322581,0.677419,0.000000,1.000000,3.000000,1.000000
0.000000,1.626802,0.747748,0.312500,0.687500,0.000000,1.000000,3.000000,1.000000
0.000000,2.363584,0.750000,0.303030,0.696970,0.000000,0.000000,3.000000,1.000000
2.532615,0.000000,0.743363,0.323529,0.676471,0.000000,1.000000,3.000000,1.000000
0.000000,2.369078,0.745614,0.314286,0.685714,0.000000,1.000000,3.000000,1.000000
3.597311,0.000000,0.747826,1.000000,0.000000,1.000000,1.000000,3.000000,1.000000
3.512194,0.000000,0.750000,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
4.181955,0.000000,0.752137,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
4.087948,0.000000,0.754237,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
3.126949,0.000000,0.756303,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.548648,0.750000,0.833333,0.166667,0.000000,1.000000,3.000000,1.000000
2.513696,0.000000,0.752066,0.857143,0.142857,0.000000,1.000000,3.000000,1.000000
2.106988,0.000000,0.754098,0.875000,0.125000,0.000000,0.000000,3.000000,1.000000
2.709348,0.000000,0.756098,0.888889,0.111111,0.000000,0.000000,3.000000,1.000000
3.343981,0.000000,0.758065,0.900000,0.100000,0.000000,0.000000,3.000000,1.000000
2.385605,0.000000,0.760000,0.909091,0.090909,0.000000,0.000000,3.000000,1.000000
3.175866,0.000000,0.761905,0.916667,0.083333,0.000000,0.000000,3.000000,1.000000
3.908522,0.000000,0.763780,0.923077,0.076923,0.000000,0.000000,3.000000,1.000000
3.285125,0.000000,0.765625,0.928571,0.071429,0.000000,0.000000,3.000000,1.000000
0.000000,1.693828,0.759690,0.866667,0.133333,0.000000,1.000000,3.000000,1.000000
3.021588,0.000000,0.761538,0.875000,0.125000,0.000000,1.000000,3.000000,1.000000
3.442841,0.000000,0.763359,0.882353,0.117647,0.000000,0.000000,3.000000,1.000000
3.927004,0.000000,0.765152,0.888889,0.111111,0.000000,0.000000,3.000000,1.000000
3.118421,0.000000,0.766917,0.894737,0.105263,0.000000,0.000000,3.000000,1.000000
3.078210,0.000000,0.768657,0.900000,0.100000,0.000000,0.000000,3.000000,1.000000
4.098691,0.000000,0.770370,0.904762,0.095238,0.000000,0.000000,3.000000,1.000000
2.722675,0.000000,0.772059,0.909091,0.090909,0.000000,0.000000,3.000000,1.000000
2.179283,0.000000,0.773723,0.913043,0.086957,0.000000,0.000000,3.000000,1.000000
1.507607,0.000000,0.775362,0.916667,0.083333,0.000000,0.000000,3.000000,1.000000
0.000000,2.492302,0.769784,0.880000,0.120000,0.000000,1.000000,3.000000,1.000000
2.792563,0.000000,0.771429,0.884615,0.115385,0.000000,1.000000,3.000000,1.000000
2.995106,0.000000,0.773050,0.888889,0.111111,0.000000,0.000000,3.000000,1.000000
0.000000,1.764348,0.774648,0.000000,1.000000,1.000000,1.000000,3.000000,1.000000
1.650214,0.000000,0.769231,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
0.000000,3.634309,0.770833,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
0.000000,4.532864,0.772414,0.250000,0.750000,0.000000,0.000000,3.000000,1.000000
0.000000,3.811942,0.773973,0.200000,0.800000,0.000000,0.000000,3.000000,1.000000
0.000000,6.042342,0.775510,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
0.000000,2.455828,0.777027,0.142857,0.857143,0.000000,0.000000,3.000000,1.000000
0.000000,3.598905,0.778523,0.125000,0.875000,0.000000,0.000000,3.000000,1.000000
3.210025,0.000000,0.773333,0.222222,0.777778,0.000000,1.000000,3.000000,1.000000
0.000000,4.947514,0.774834,0.200000,0.800000,0.000000,1.000000,3.000000,1.000000
0.000000,2.647239,0.776316,0.181818,0.818182,0.000000,0.000000,3.000000,1.000000
0.000000,2.683785,0.777778,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
0.000000,2.723034,0.779221,0.153846,0.846154,0.000000,0.000000,3.000000,1.000000
0.000000,4.065553,0.780645,0.142857,0.857143,0.000000,0.000000,3.000000,1.000000
3.248734,0.000000,0.775641,0.200000,0.800000,0.000000,1.000000,3.000000,1.000000
0.000000,2.976395,0.777070,0.187500,0.812500,0.000000,1.000000,3.000000,1.000000
2.799946,0.000000,0.772152,0.235294,0.764706,0.000000,1.000000,3.000000,1.000000
0.000000,4.036866,0.773585,0.222222,0.777778,0.000000,1.000000,3.000000,1.000000
0.000000,2.799894,0.775000,0.210526,0.789474,0.000000,0.000000,3.000000,1.000000
0.000000,2.830917,0.776398,0.200000,0.800000,0.000000,0.000000,3.000000,1.000000
4.984611,0.000000,0.771605,0.238095,0.761905,0.000000,1.000000,3.000000,1.000000
0.000000,3.142671,0.773006,0.227273,0.772727,0.000000,1.000000,3.000000,1.000000
3.282129,0.000000,0.768293,0.260870,0.739130,0.000000,1.000000,3.000000,1.000000
0.000000,3.094470,0.769697,0.250000,0.750000,0.000000,1.000000,3.000000,1.000000
0.000000,2.103294,0.771084,0.240000,0.760000,0.000000,0.000000,3.000000,1.000000
0.000000,1.786133,0.772455,0.230769,0.769231,0.000000,0.000000,3.000000,1.000000
3.608133,0.000000,0.767857,0.259259,0.740741,0.000000,1.000000,3.000000,1.000000
0.000000,2.765953,0.769231,0.250000,0.750000,0.000000,1.000000,3.000000,1.000000
0.000000,4.789523,0.770588,0.241379,0.758621,0.000000,0.000000,3.000000,1.000000
0.000000,3.513634,0.771930,0.233333,0.766667,0.000000,0.000000,3.000000,1.000000
0.000000,4.986681,0.773256,0.225806,0.774194,0.000000,0.000000,3.000000,1.000000
0.000000,4.491892,0.774566,0.218750,0.781250,0.000000,0.000000,3.000000,1.000000
0.000000,2.470227,0.775862,0.212121,0.787879,0.000000,0.000000,3.000000,1.000000
0.000000,3.897511,0.777143,0.205882,0.794118,0.000000,0.000000,3.000000,1.000000
3.245203,0.000000,0.772727,0.228571,0.771429,0.000000,1.000000,3.000000,1.000000
0.000000,3.378578,0.774011,0.222222,0.777778,0.000000,1.000000,3.000000,1.000000
0.000000,2.857317,0.775281,0.216216,0.783784,0.000000,0.000000,3.000000,1.000000
2.359309,0.000000,0.776536,1.000000,0.000000,1.000000,1.000000,3.000000,1.000000
2.465934,0.000000,0.777778,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
2.576259,0.000000,0.779006,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
2.632800,0.000000,0.780220,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
0.000000,4.454236,0.775956,0.800000,0.200000,0.000000,1.000000,3.000000,1.000000
3.072743,0.000000,0.777174,0.833333,0.166667,0.000000,1.000000,3.000000,1.000000
5.020024,0.000000,0.778378,0.857143,0.142857,0.000000,0.000000,3.000000,1.000000
3.328322,0.000000,0.779570,0.875000,0.125000,0.000000,0.000000,3.000000,1.000000
0.000000,2.201805,0.775401,0.777778,0.222222,0.000000,1.000000,3.000000,1.000000
3.577133,0.000000,0.776596,0.800000,0.200000,0.000000,1.000000,3.000000,1.000000
0.000000,1.287112,0.772487,0.727273,0.272727,0.000000,1.000000,3.000000,1.000000
0.000000,1.754485,0.768421,0.666667,0.333333,0.000000,0.000000,3.000000,1.000000
0.000000,1.668895,0.764398,0.615385,0.384615,0.000000,0.000000,3.000000,1.000000
3.206375,0.000000,0.765625,0.642857,0.357143,0.000000,1.000000,3.000000,1.000000
3.004572,0.000000,0.766839,0.666667,0.333333,0.000000,0.000000,3.000000,1.000000
2.354418,0.000000,0.768041,0.687500,0.312500,0.000000,0.000000,3.000000,1.000000
2.985948,0.000000,0.769231,0.705882,0.294118,0.000000,0.000000,3.000000,1.000000
4.293345,0.000000,0.770408,0.722222,0.277778,0.000000,0.000000,3.000000,1.000000
2.244363,0.000000,0.771574,0.736842,0.263158,0.000000,0.000000,3.000000,1.000000
4.762747,0.000000,0.772727,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
0.000000,1.518440,0.768844,0.714286,0.285714,0.000000,1.000000,3.000000,1.000000
5.392982,0.000000,0.770000,0.727273,0.272727,0.000000,1.000000,3.000000,1.000000
1.605184,0.000000,0.771144,0.739130,0.260870,0.000000,0.000000,3.000000,1.000000
2.471045,0.000000,0.772277,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
0.000000,3.153075,0.768473,0.720000,0.280000,0.000000,1.000000,3.000000,1.000000
3.784593,0.000000,0.769608,0.730769,0.269231,0.000000,1.000000,3.000000,1.000000
1.966164,0.000000,0.770732,0.740741,0.259259,0.000000,0.000000,3.000000,1.000000
2.087613,0.000000,0.771845,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
3.352354,0.000000,0.772947,0.758621,0.241379,0.000000,0.000000,3.000000,1.000000
3.018841,0.000000,0.774038,0.766667,0.233333,0.000000,0.000000,3.000000,1.000000
0.000000,3.548148,0.775120,0.000000,1.000000,1.000000,1.000000,3.000000,1.000000
0.000000,2.053444,0.776190,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.677831,0.777251,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,2.652847,0.778302,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.615954,0.779343,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,1.803513,0.780374,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.680119,0.781395,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
2.770293,0.000000,0.777778,0.125000,0.875000,0.000000,1.000000,3.000000,1.000000
0.000000,3.320980,0.778802,0.111111,0.888889,0.000000,1.000000,3.000000,1.000000
0.000000,1.616436,0.779817,0.100000,0.900000,0.000000,0.000000,3.000000,1.000000
0.000000,2.946678,0.780822,0.090909,0.909091,0.000000,0.000000,3.000000,1.000000
0.000000,3.556881,0.781818,0.083333,0.916667,0.000000,0.000000,3.000000,1.000000
2.104202,0.000000,0.778281,0.153846,0.846154,0.000000,1.000000,3.000000,1.000000
1.822508,0.000000,0.774775,0.214286,0.785714,0.000000,0.000000,3.000000,1.000000
3.707432,0.000000,0.771300,0.266667,0.733333,0.000000,0.000000,3.000000,1.000000
0.000000,4.520254,0.772321,0.250000,0.750000,0.000000,1.000000,3.000000,1.000000
0.000000,2.480248,0.773333,0.235294,0.764706,0.000000,0.000000,3.000000,1.000000
3.397324,0.000000,0.769912,0.277778,0.722222,0.000000,1.000000,3.000000,1.000000
0.000000,2.350243,0.770925,0.263158,0.736842,0.000000,1.000000,3.000000,1.000000
0.000000,0.714240,0.771930,0.250000,0.750000,0.000000,0.000000,3.000000,1.000000
3.621812,0.000000,0.768559,0.285714,0.714286,0.000000,1.000000,3.000000,1.000000
2.987788,0.000000,0.765217,0.318182,0.681818,0.000000,0.000000,3.000000,1.000000
0.000000,2.548623,0.766234,0.304348,0.695652,0.000000,1.000000,3.000000,1.000000
2.818389,0.000000,0.762931,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
2.207458,0.000000,0.759657,0.360000,0.640000,0.000000,0.000000,3.000000,1.000000
3.566007,0.000000,0.756410,0.384615,0.615385,0.000000,0.000000,3.000000,1.000000
0.000000,4.116981,0.757447,0.370370,0.629630,0.000000,1.000000,3.000000,1.000000
0.000000,4.064288,0.758475,0.357143,0.642857,0.000000,0.000000,3.000000,1.000000
0.000000,2.908508,0.759494,0.344828,0.655172,0.000000,0.000000,3.000000,1.000000
0.000000,1.909031,0.760504,0.333333,0.666667,0.000000,0.000000,3.000000,1.000000
0.000000,2.133577,0.761506,0.322581,0.677419,0.000000,0.000000,3.000000,1.000000
0.000000,4.353739,0.762500,0.312500,0.687500,0.000000,0.000000,3.000000,1.000000
0.000000,2.679765,0.763485,0.303030,0.696970,0.000000,0.000000,3.000000,1.000000
0.000000,3.046433,0.764463,0.294118,0.705882,0.000000,0.000000,3.000000,1.000000
4.074711,0.000000,0.765432,1.000000,0.000000,1.000000,1.000000,3.000000,1.000000
1.779764,0.000000,0.766393,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
0.000000,4.609909,0.763265,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
2.949012,0.000000,0.764228,0.750000,0.250000,0.000000,1.000000,3.000000,1.000000
0.000000,3.716002,0.761134,0.600000,0.400000,0.000000,1.000000,3.000000,1.000000
3.568094,0.000000,0.762097,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
3.119834,0.000000,0.763052,0.714286,0.285714,0.000000,0.000000,3.000000,1.000000
0.000000,2.930675,0.760000,0.625000,0.375000,0.000000,1.000000,3.000000,1.000000
0.000000,3.755222,0.756972,0.555556,0.444444,0.000000,0.000000,3.000000,1.000000
0.000000,4.072599,0.753968,0.500000,0.500000,0.000000,0.000000,3.000000,1.000000
2.366052,0.000000,0.754941,0.545455,0.454545,0.000000,1.000000,3.000000,1.000000
0.000000,2.272443,0.751969,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
3.469838,0.000000,0.752941,0.538462,0.461538,0.000000,1.000000,3.000000,1.000000
4.255791,0.000000,0.753906,0.571429,0.428571,0.000000,0.000000,3.000000,1.000000
1.713817,0.000000,0.754864,0.600000,0.400000,0.000000,0.000000,3.000000,1.000000
0.000000,3.484073,0.751938,0.562500,0.437500,0.000000,1.000000,3.000000,1.000000
0.000000,3.253403,0.749035,0.529412,0.470588,0.000000,0.000000,3.000000,1.000000
0.000000,3.962692,0.746154,0.500000,0.500000,0.000000,0.000000,3.000000,1.000000
4.468360,0.000000,0.747126,0.526316,0.473684,0.000000,1.000000,3.000000,1.000000
2.407945,0.000000,0.748092,0.550000,0.450000,0.000000,0.000000,3.000000,1.000000
1.147704,0.000000,0.749049,0.571429,0.428571,0.000000,0.000000,3.000000,1.000000
3.209011,0.000000,0.750000,0.590909,0.409091,0.000000,0.000000,3.000000,1.000000
1.768949,0.000000,0.750943,0.608696,0.391304,0.000000,0.000000,3.000000,1.000000
2.599165,0.000000,0.751880,0.625000,0.375000,0.000000,0.000000,3.000000,1.000000
3.403872,0.000000,0.752809,0.640000,0.360000,0.000000,0.000000,3.000000,1.000000
3.909129,0.000000,0.753731,0.653846,0.346154,0.000000,0.000000,3.000000,1.000000
0.839956,0.000000,0.754647,0.666667,0.333333,0.000000,0.000000,3.000000,1.000000
5.516356,0.000000,0.755556,0.678571,0.321429,0.000000,0.000000,3.000000,1.000000
2.289024,0.000000,0.756458,0.689655,0.310345,0.000000,0.000000,3.000000,1.000000
3.822002,0.000000,0.757353,0.700000,0.300000,0.000000,0.000000,3.000000,1.000000
4.350662,0.000000,0.758242,0.709677,0.290323,0.000000,0.000000,3.000000,1.000000
4.225180,0.000000,0.759124,0.718750,0.281250,0.000000,0.000000,3.000000,1.000000
