choice, accuracy, solution,  reward, cumulative_reward, rt,  total_trial_time, iti, cp_with_slow_fast, high_val_cue
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.100000000000000000e+01,4.100000000000000000e+01,5.322191715240478516e-01,1.821991205215454102e+00,2.904238265461394630e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000000e+01,9.700000000000000000e+01,3.456988334655761719e-01,1.959694862365722656e+00,6.165198869332433329e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.400000000000000000e+01,1.510000000000000000e+02,2.550830841064453125e-01,1.620841979980468750e+00,3.710089988904334835e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.500000000000000000e+01,2.060000000000000000e+02,2.735321521759033203e-01,1.519426107406616211e+00,2.572961243351719607e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.900000000000000000e+01,2.450000000000000000e+02,3.230328559875488281e-01,1.700252056121826172e+00,3.907694934141209275e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,3.010000000000000000e+02,2.880098819732666016e-01,1.985693931579589844e+00,7.095521687669557043e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000000e+01,3.570000000000000000e+02,2.467489242553710938e-01,1.522367954254150391e+00,2.824207180664430328e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,4.130000000000000000e+02,2.615380287170410156e-01,1.971285104751586914e+00,7.199857707699410803e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.530000000000000000e+02,2.567889690399169922e-01,1.743137121200561523e+00,4.967351577507139182e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.100000000000000000e+01,5.140000000000000000e+02,2.395119667053222656e-01,1.512017011642456055e+00,2.923874748142432645e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,5.740000000000000000e+02,2.519371509552001953e-01,1.785837888717651367e+00,5.446325808761260934e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.700000000000000000e+01,6.310000000000000000e+02,4.936370849609375000e-01,2.204594135284423828e+00,7.324631962557984766e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.500000000000000000e+01,6.860000000000000000e+02,2.880499362945556641e-01,1.829950094223022461e+00,5.459771026752597844e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,7.450000000000000000e+02,2.964830398559570312e-01,1.806450843811035156e+00,5.191553466025370378e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.400000000000000000e+01,8.090000000000000000e+02,2.808489799499511719e-01,1.859937906265258789e+00,5.790855297865120654e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,8.650000000000000000e+02,2.090380191802978516e-01,1.757282018661499023e+00,5.697747581038281606e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.300000000000000000e+01,9.180000000000000000e+02,2.182221412658691406e-01,1.726078987121582031e+00,5.126684285741907043e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.200000000000000000e+01,9.700000000000000000e+02,2.997081279754638672e-01,1.631946802139282227e+00,3.447895501762292536e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.700000000000000000e+01,1.027000000000000000e+03,2.603480815887451172e-01,1.739113807678222656e+00,5.005221691194050582e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,1.077000000000000000e+03,2.355229854583740234e-01,1.691465854644775391e+00,4.587426472790956944e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.400000000000000000e+01,1.131000000000000000e+03,2.452130317687988281e-01,1.853193998336791992e+00,6.118493249883308893e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.600000000000000000e+01,1.177000000000000000e+03,2.763609886169433594e-01,1.793605804443359375e+00,5.388961385514593472e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,1.233000000000000000e+03,2.763469219207763672e-01,1.802279949188232422e+00,5.412508981362122995e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,1.293000000000000000e+03,2.884609699249267578e-01,2.013998031616210938e+00,7.384159034490481721e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,1.352000000000000000e+03,3.287370204925537109e-01,1.652564048767089844e+00,3.248475510292183066e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000000e+01,1.408000000000000000e+03,2.878630161285400391e-01,1.628230810165405273e+00,3.530918010280622021e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,1.467000000000000000e+03,2.496068477630615234e-01,1.804940938949584961e+00,5.579047958150329389e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.900000000000000000e+01,1.526000000000000000e+03,2.566211223602294922e-01,1.978159904479980469e+00,7.359334282560689999e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,1.582000000000000000e+03,2.593910694122314453e-01,1.728048086166381836e+00,4.809877861789091935e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,1.641000000000000000e+03,2.886610031127929688e-01,2.010153055191040039e+00,7.409064346734127726e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,1.697000000000000000e+03,2.341718673706054688e-01,1.588208913803100586e+00,3.628887279250121445e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,1.756000000000000000e+03,2.889649868011474609e-01,1.566023111343383789e+00,2.957459303438125797e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+01,1.798000000000000000e+03,3.563048839569091797e-01,2.038506031036376953e+00,7.005529576763080968e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,1.854000000000000000e+03,2.643778324127197266e-01,1.519484043121337891e+00,2.538928221342753311e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.400000000000000000e+01,1.908000000000000000e+03,3.517439365386962891e-01,1.716089963912963867e+00,3.699002780992348138e-01,0.000000000000000000e+00,1.120000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,1.964000000000000000e+03,2.491281032562255859e-01,1.523074150085449219e+00,2.764461888524057387e-01,0.000000000000000000e+00,1.120000000000000000e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,2.014000000000000000e+03,3.145160675048828125e-01,1.727653980255126953e+00,4.206937717046221326e-01,1.000000000000000000e+00,1.110000000000000000e+02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.400000000000000000e+01,2.058000000000000000e+03,2.762749195098876953e-01,1.844692945480346680e+00,5.819581045376072126e-01,0.000000000000000000e+00,1.110000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.200000000000000000e+01,2.110000000000000000e+03,5.183148384094238281e-01,1.924610137939453125e+00,4.068084833236741416e-01,0.000000000000000000e+00,1.110000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,2.166000000000000000e+03,2.747008800506591797e-01,1.980113983154296875e+00,7.200028926115646932e-01,0.000000000000000000e+00,1.110000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000000e+01,2.222000000000000000e+03,3.004689216613769531e-01,1.980940103530883789e+00,6.843832817286379377e-01,0.000000000000000000e+00,1.110000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.400000000000000000e+01,2.276000000000000000e+03,3.162949085235595703e-01,1.985187053680419922e+00,6.696472852402022280e-01,0.000000000000000000e+00,1.110000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,2.336000000000000000e+03,3.319120407104492188e-01,2.063375949859619141e+00,7.330610579318280751e-01,0.000000000000000000e+00,1.110000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.400000000000000000e+01,2.390000000000000000e+03,3.093039989471435547e-01,1.917081832885742188e+00,6.169604651984332833e-01,0.000000000000000000e+00,1.110000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000000e+01,2.446000000000000000e+03,2.457449436187744141e-01,1.707673072814941406e+00,4.581947703159943153e-01,0.000000000000000000e+00,1.110000000000000000e+02
