t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
0.546587,0.453413,nan,0.000000,-0.093175,-0.164294,0.065941
0.573428,0.426572,nan,0.000000,-0.146856,-0.164294,0.065941
0.589171,0.410829,nan,0.000000,-0.178342,-0.164294,0.065941
0.577845,0.422155,nan,0.000000,-0.155689,-0.164294,0.065941
0.585237,0.414763,nan,0.000000,-0.170475,-0.164294,0.065941
0.541204,0.458796,nan,0.000000,-0.082407,-0.164294,0.065941
0.598790,0.401210,nan,0.000000,-0.197580,-0.164294,0.065941
0.530024,0.469976,nan,0.000000,-0.060048,-0.164294,0.065941
0.569093,0.430907,nan,0.000000,-0.138186,-0.164294,0.065941
0.568135,0.431865,nan,0.000000,-0.136270,-0.164294,0.065941
0.593668,0.406332,nan,0.000000,-0.187337,-0.164294,0.065941
0.572135,0.427865,nan,0.000000,-0.144270,-0.164294,0.065941
0.591732,0.408268,nan,0.000000,-0.183463,-0.164294,0.065941
0.582545,0.417455,nan,0.000000,-0.165090,-0.164294,0.065941
0.576305,0.423695,nan,0.000000,-0.152610,-0.164294,0.065941
0.555358,0.444642,nan,0.000000,-0.110715,-0.164294,0.065941
0.647562,0.352438,nan,0.000000,-0.295123,-0.164294,0.065941
0.635371,0.364629,nan,0.000000,-0.270742,-0.164294,0.065941
0.560908,0.439092,nan,0.000000,-0.121816,-0.164294,0.065941
0.589625,0.410375,nan,0.000000,-0.179250,-0.164294,0.065941
0.527187,0.472813,nan,0.000000,-0.054373,-0.164294,0.065941
0.587067,0.412933,nan,0.000000,-0.174133,-0.164294,0.065941
0.596513,0.403487,nan,0.000000,-0.193025,-0.164294,0.065941
0.550387,0.449613,nan,0.000000,-0.100774,-0.164294,0.065941
0.582989,0.417011,nan,0.000000,-0.165977,-0.164294,0.065941
0.606298,0.393702,nan,0.000000,-0.212596,-0.164294,0.065941
0.545028,0.454972,nan,0.000000,-0.090056,-0.164294,0.065941
0.590075,0.409925,nan,0.000000,-0.180151,-0.164294,0.065941
0.597444,0.402556,nan,0.000000,-0.194887,-0.164294,0.065941
0.630015,0.369985,nan,0.000000,-0.260029,-0.164294,0.065941
0.693108,0.306892,nan,0.000000,-0.386217,-0.164294,0.065941
0.634177,0.365823,nan,0.000000,-0.268355,-0.164294,0.065941
0.577699,0.422301,nan,0.000000,-0.155398,-0.164294,0.065941
0.539799,0.460201,nan,0.000000,-0.079599,-0.164294,0.065941
0.609576,0.390424,nan,0.000000,-0.219152,-0.164294,0.065941
0.619790,0.380210,nan,0.000000,-0.239581,-0.164294,0.065941
0.462836,0.537164,nan,1.000000,0.074329,0.130359,0.065941
0.447266,0.552734,nan,0.000000,0.105468,0.130359,0.065941
0.415062,0.584938,nan,0.000000,0.169876,0.130359,0.065941
0.401937,0.598063,nan,0.000000,0.196126,0.130359,0.065941
0.391716,0.608284,nan,0.000000,0.216569,0.130359,0.065941
0.462313,0.537687,nan,0.000000,0.075374,0.130359,0.065941
0.422711,0.577289,nan,0.000000,0.154578,0.130359,0.065941
0.414347,0.585653,nan,0.000000,0.171306,0.130359,0.065941
0.411469,0.588531,nan,0.000000,0.177062,0.130359,0.065941
0.456844,0.543156,nan,0.000000,0.086311,0.130359,0.065941
0.404522,0.595478,nan,0.000000,0.190957,0.130359,0.065941
0.436972,0.563028,nan,0.000000,0.126055,0.130359,0.065941
0.459575,0.540425,nan,0.000000,0.080851,0.130359,0.065941
0.390853,0.609147,nan,0.000000,0.218294,0.130359,0.065941
0.442124,0.557876,nan,0.000000,0.115753,0.130359,0.065941
0.467063,0.532937,nan,0.000000,0.065873,0.130359,0.065941
0.464666,0.535334,nan,0.000000,0.070668,0.130359,0.065941
0.454975,0.545025,nan,0.000000,0.090050,0.130359,0.065941
0.444655,0.555345,nan,0.000000,0.110690,0.130359,0.065941
0.432459,0.567541,nan,0.000000,0.135082,0.130359,0.065941
0.417023,0.582977,nan,0.000000,0.165953,0.130359,0.065941
0.453270,0.546730,nan,0.000000,0.093460,0.130359,0.065941
0.452505,0.547495,nan,0.000000,0.094990,0.130359,0.065941
0.416163,0.583837,nan,0.000000,0.167673,0.130359,0.065941
0.442211,0.557789,nan,0.000000,0.115577,0.130359,0.065941
0.429392,0.570608,nan,0.000000,0.141216,0.130359,0.065941
0.424668,0.575332,nan,0.000000,0.150663,0.130359,0.065941
0.445560,0.554440,nan,0.000000,0.108880,0.130359,0.065941
0.502632,0.497368,nan,0.000000,-0.005263,0.130359,0.065941
0.459339,0.540661,nan,0.000000,0.081322,0.130359,0.065941
0.451150,0.548850,nan,0.000000,0.097700,0.130359,0.065941
0.416329,0.583671,nan,1.000000,0.167341,0.164294,0.065941
0.440958,0.559042,nan,0.000000,0.118084,0.164294,0.065941
0.415221,0.584779,nan,0.000000,0.169559,0.164294,0.065941
0.460377,0.539623,nan,0.000000,0.079247,0.164294,0.065941
0.378390,0.621610,nan,0.000000,0.243221,0.164294,0.065941
0.407784,0.592216,nan,0.000000,0.184432,0.164294,0.065941
0.436450,0.563550,nan,0.000000,0.127101,0.164294,0.065941
0.445446,0.554554,nan,0.000000,0.109109,0.164294,0.065941
0.409512,0.590488,nan,0.000000,0.180975,0.164294,0.065941
0.452722,0.547278,nan,0.000000,0.094556,0.164294,0.065941
0.460043,0.539957,nan,0.000000,0.079913,0.164294,0.065941
0.443824,0.556176,nan,0.000000,0.112353,0.164294,0.065941
0.417147,0.582853,nan,0.000000,0.165706,0.164294,0.065941
0.410936,0.589064,nan,0.000000,0.178128,0.164294,0.065941
0.445948,0.554052,nan,0.000000,0.108104,0.164294,0.065941
0.422311,0.577689,nan,0.000000,0.155378,0.164294,0.065941
0.424842,0.575158,nan,0.000000,0.150316,0.164294,0.065941
0.405994,0.594006,nan,0.000000,0.188012,0.164294,0.065941
0.447820,0.552180,nan,0.000000,0.104361,0.164294,0.065941
0.387348,0.612652,nan,0.000000,0.225304,0.164294,0.065941
0.484084,0.515916,nan,0.000000,0.031833,0.164294,0.065941
0.335798,0.664202,nan,0.000000,0.328403,0.164294,0.065941
0.440584,0.559416,nan,0.000000,0.118833,0.164294,0.065941
0.458170,0.541830,nan,0.000000,0.083660,0.164294,0.065941
0.541676,0.458324,nan,1.000000,-0.083352,-0.084006,0.065941
0.572303,0.427697,nan,0.000000,-0.144606,-0.084006,0.065941
0.570650,0.429350,nan,0.000000,-0.141301,-0.084006,0.065941
0.559511,0.440489,nan,0.000000,-0.119022,-0.084006,0.065941
0.607921,0.392079,nan,0.000000,-0.215842,-0.084006,0.065941
0.529037,0.470963,nan,0.000000,-0.058075,-0.084006,0.065941
0.611756,0.388244,nan,0.000000,-0.223513,-0.084006,0.065941
0.554548,0.445452,nan,0.000000,-0.109097,-0.084006,0.065941
0.545881,0.454119,nan,0.000000,-0.091761,-0.084006,0.065941
0.550715,0.449285,nan,0.000000,-0.101430,-0.084006,0.065941
0.580312,0.419688,nan,0.000000,-0.160623,-0.084006,0.065941
0.519415,0.480585,nan,0.000000,-0.038829,-0.084006,0.065941
0.499385,0.500615,nan,0.000000,0.001230,-0.084006,0.065941
