t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
0.407282,0.592718,nan,0.000000,0.185436,0.200577,0.059641
0.393295,0.606705,nan,0.000000,0.213410,0.200577,0.059641
0.416787,0.583213,nan,0.000000,0.166427,0.200577,0.059641
0.369711,0.630289,nan,0.000000,0.260577,0.200577,0.059641
0.444804,0.555196,nan,0.000000,0.110392,0.200577,0.059641
0.372019,0.627981,nan,0.000000,0.255963,0.200577,0.059641
0.459014,0.540986,nan,0.000000,0.081971,0.200577,0.059641
0.391289,0.608711,nan,0.000000,0.217423,0.200577,0.059641
0.325179,0.674821,nan,0.000000,0.349642,0.200577,0.059641
0.405524,0.594476,nan,0.000000,0.188951,0.200577,0.059641
0.377110,0.622890,nan,0.000000,0.245780,0.200577,0.059641
0.378144,0.621856,nan,0.000000,0.243712,0.200577,0.059641
0.370586,0.629414,nan,0.000000,0.258829,0.200577,0.059641
0.383490,0.616510,nan,0.000000,0.233020,0.200577,0.059641
0.396508,0.603492,nan,0.000000,0.206984,0.200577,0.059641
0.441811,0.558189,nan,0.000000,0.116377,0.200577,0.059641
0.394926,0.605074,nan,0.000000,0.210149,0.200577,0.059641
0.417757,0.582243,nan,0.000000,0.164487,0.200577,0.059641
0.425821,0.574179,nan,0.000000,0.148358,0.200577,0.059641
0.403738,0.596262,nan,0.000000,0.192525,0.200577,0.059641
0.400257,0.599743,nan,0.000000,0.199487,0.200577,0.059641
0.395110,0.604890,nan,0.000000,0.209779,0.200577,0.059641
0.388371,0.611629,nan,0.000000,0.223258,0.200577,0.059641
0.413049,0.586951,nan,0.000000,0.173902,0.200577,0.059641
0.364980,0.635020,nan,0.000000,0.270039,0.200577,0.059641
0.424712,0.575288,nan,0.000000,0.150577,0.200577,0.059641
0.426894,0.573106,nan,0.000000,0.146211,0.200577,0.059641
0.364724,0.635276,nan,0.000000,0.270551,0.200577,0.059641
0.413049,0.586951,nan,0.000000,0.173903,0.200577,0.059641
